"relative_path","region","feature","file_domain","fork_status","hotfix_status","vanilla_status","difference_type","merge_status","intentional_fork_divergence","validated_static","validated_runtime","protected_concurrent_work","required_for_merge","priority","recommended_phase","recommended_action","evidence_report","evidence_commit","notes"
"common/government_types/00_mod_gov_types.txt","global","common/government_types","common/government_types","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","UNKNOWN_REQUIRES_REVIEW","false","false","false","false","true","P1_REVIEW","FUTURE_BOUNDED_FUNCTIONAL_AUDIT","No automatic import; identify an object-level delta and design intent first","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; AUDIT_REQUIRED_BEFORE_CORRECTION"
"common/history/ai/00_secret_goals.txt","global","common/history","common/history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/history/buildings/00_west_europe.txt","global","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/01_south_europe.txt","global","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/02_east_europe.txt","global","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/03_north_africa.txt","global","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/05_north_america.txt","america","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/06_central_america.txt","america","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/07_south_america.txt","america","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/08_middle_east.txt","mamluk_iraq","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/10_india.txt","india","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/11_east_asia.txt","global","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/12_indonesia.txt","east_indies","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/13_australasia.txt","global","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/buildings/15_russia.txt","russia","ADMIN_and_regional_setup","buildings","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve ADMIN/NAVY/setup hunks; no whole-file import","PHASE_ADMIN_2_GLOBAL_GOVERNMENT_ADMIN_PM_AUDIT.md; upstream audit","","ALL_THREE_DIFFER"
"common/history/characters/ir1 - mamluk iraq.txt","mamluk_iraq","Mamluk_Iraq","characters","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","MERGED_STATIC_ONLY","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve integrated IR1 chain; global runtime only","HOTFIX_3F_IR1_SECRET_GOAL.md; a24fe7e","","BOTH_CUSTOM_DIFFER"
"common/history/countries/bic - british east india company.txt","india","India_hotfix","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","MERGED_STATIC_ONLY","true","true","false","false","false","P3_OPTIONAL_CLEANUP","RECALCULATE_AFTER_HOTFIX_6A","Do not reopen HOTFIX_5 without new functional evidence","HOTFIX_5_INDIA_CLOSURE.md; 50ed582","","ALL_THREE_DIFFER"
"common/history/countries/dennor - denmark-norway.txt","global","country_history","country_history","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; BLOCKED_BY_PROTECTED_WORK"
"common/history/countries/ezo - ezochi.txt","japan","Japan_hotfix","country_history","PRESENT","PRESENT","PRESENT","HOTFIX_EQUALS_VANILLA_FORK_CUSTOM","MERGED_STATIC_ONLY","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve targeted 1776 Japan architecture; no full DLC file import","HOTFIX_4E8_FIX_EZO_HOKKAIDO_GATE.md; 2228ce8","","HOTFIX_EQUALS_VANILLA_FORK_CUSTOM"
"common/history/countries/fra - france.txt","france","French_content","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/history/countries/gbr - great britain.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; BLOCKED_BY_PROTECTED_WORK; NAVY_BIC_COLLISION; HBC_NAVIGATION_ACTS_SEPARATE"
"common/history/countries/gen - genoa.txt","global","country_history","country_history","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/history/countries/hbc - hudson bay company.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","POST_MERGE_DESIGN_BACKLOG","false","true","false","false","false","POST_MERGE","FUTURE_FLAVOR_OR_DESIGN_EXTENSION","Keep outside the hotfix merge completion path","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; BLOCKED_BY_DESIGN_DECISION; HBC_NAVIGATION_ACTS_SEPARATE"
"common/history/countries/ir1 - mamluk iraq.txt","mamluk_iraq","Mamluk_Iraq","country_history","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","MERGED_STATIC_ONLY","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve integrated IR1 chain; global runtime only","HOTFIX_3F_IR1_SECRET_GOAL.md; a24fe7e","","BOTH_CUSTOM_DIFFER"
"common/history/countries/jap - japan.txt","japan","Japan_hotfix","country_history","PRESENT","PRESENT","PRESENT","HOTFIX_EQUALS_VANILLA_FORK_CUSTOM","MERGED_STATIC_ONLY","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve targeted 1776 Japan architecture; no full DLC file import","HOTFIX_4E8_FIX_EZO_HOKKAIDO_GATE.md; 2228ce8","","HOTFIX_EQUALS_VANILLA_FORK_CUSTOM"
"common/history/countries/nbs - new brunswick.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","POST_MERGE_DESIGN_BACKLOG","false","true","false","false","false","POST_MERGE","FUTURE_FLAVOR_OR_DESIGN_EXTENSION","Keep outside the hotfix merge completion path","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; BLOCKED_BY_DESIGN_DECISION; HBC_NAVIGATION_ACTS_SEPARATE"
"common/history/countries/net - netherlands.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/history/countries/ont - ontario.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","POST_MERGE_DESIGN_BACKLOG","false","true","false","false","false","POST_MERGE","FUTURE_FLAVOR_OR_DESIGN_EXTENSION","Keep outside the hotfix merge completion path","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; BLOCKED_BY_DESIGN_DECISION; HBC_NAVIGATION_ACTS_SEPARATE"
"common/history/countries/ora - oranje.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","POST_MERGE_DESIGN_BACKLOG","false","true","false","false","false","POST_MERGE","FUTURE_FLAVOR_OR_DESIGN_EXTENSION","Keep outside the hotfix merge completion path","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; BLOCKED_BY_DESIGN_DECISION; HBC_NAVIGATION_ACTS_SEPARATE"
"common/history/countries/por - portugal.txt","iberia","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","UNKNOWN_REQUIRES_REVIEW","false","false","false","false","true","P1_REVIEW","FUTURE_BOUNDED_FUNCTIONAL_AUDIT","No automatic import; identify an object-level delta and design intent first","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; AUDIT_REQUIRED_BEFORE_CORRECTION"
"common/history/countries/rus - russia.txt","russia","russia_subjecthood","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","MERGED_STATIC_ONLY","false","true","false","false","true","P2_REQUIRED_VALIDATION","NONE","Inspect the preserved RUS subjecthood alignment during the consolidated final global runtime; do not reapply the correction","HOTFIX_6A_RUSSIA_SUBJECTHOOD_ALIGNMENT.md","991f6a1","RUSSIA_SUBJECTHOOD_ALIGNMENT_COMPLETE; STATIC_ALIGNMENT_COMMITTED_991F6A1; RUNTIME_DEFERRED_TO_CONSOLIDATED_GLOBAL_QA; DO_NOT_REAPPLY_LAW_CHANGE; PRESERVE_ALL_OTHER_RUS_1776_AND_NAVY_SETUP"
"common/history/countries/ryu - ryukyu.txt","japan","Japan_hotfix","country_history","PRESENT","PRESENT","PRESENT","HOTFIX_EQUALS_VANILLA_FORK_CUSTOM","MERGED_STATIC_ONLY","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve targeted 1776 Japan architecture; no full DLC file import","HOTFIX_4E8_FIX_EZO_HOKKAIDO_GATE.md; 2228ce8","","HOTFIX_EQUALS_VANILLA_FORK_CUSTOM"
"common/history/countries/sar - sardinia.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; BLOCKED_BY_PROTECTED_WORK"
"common/history/countries/sic - two sicilies.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; BLOCKED_BY_PROTECTED_WORK"
"common/history/countries/skh - sakhalin.txt","global","country_history","country_history","PRESENT","ABSENT","PRESENT","FORK_ONLY_CUSTOM","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve fork override pending final non-regression","Fork custom override against vanilla/hotfix baseline","","FORK_ONLY_CUSTOM"
"common/history/countries/spa - spain.txt","iberia","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; BLOCKED_BY_PROTECTED_WORK"
"common/history/countries/swe - sweden.txt","global","country_history","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/history/countries/tur - ottoman empire.txt","mamluk_iraq","Mamluk_Iraq","country_history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","MERGED_STATIC_ONLY","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve integrated IR1 chain; global runtime only","HOTFIX_3F_IR1_SECRET_GOAL.md; a24fe7e","","ALL_THREE_DIFFER"
"common/history/countries/ult - ulta.txt","global","country_history","country_history","PRESENT","ABSENT","PRESENT","FORK_ONLY_CUSTOM","INTENTIONAL_FORK_DIVERGENCE","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve fork override pending final non-regression","Fork custom override against vanilla/hotfix baseline","","FORK_ONLY_CUSTOM"
"common/history/countries/ven - venetia.txt","global","country_history","country_history","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","ALREADY_MERGED","false","true","false","false","false","CLOSED","NONE","Preserve the scoped merged result; do not re-import whole files","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; STATIC_SCOPE_CLOSED"
"common/history/diplomacy/00_subject_relationships.txt","global","diplomacy","diplomacy","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","UNKNOWN_REQUIRES_REVIEW","false","false","false","false","true","P1_REVIEW","FUTURE_BOUNDED_FUNCTIONAL_AUDIT","No automatic import; identify an object-level delta and design intent first","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; AUDIT_REQUIRED_BEFORE_CORRECTION"
"common/history/diplomatic_plays/00_otto_iraqi_persia_war.txt","mamluk_iraq","Mamluk_Iraq","diplomatic_plays","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","MERGED_STATIC_ONLY","true","true","false","false","false","P2_REQUIRED_VALIDATION","RECALCULATE_AFTER_HOTFIX_6A","Preserve integrated IR1 chain; global runtime only","HOTFIX_3F_IR1_SECRET_GOAL.md; a24fe7e","","BOTH_CUSTOM_DIFFER"
"common/history/global/00_global.txt","global","common/history","common/history","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","PROTECTED_CONCURRENT_WORK","false","true","false","true","false","PROTECTED_SCOPE","NONE","Preserve protected work and exclude from automatic merge","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","ALL_THREE_DIFFER; 6A19_INDIVIDUAL_REVIEW; NO_CURRENT_RUNTIME_EVIDENCE; BLOCKED_BY_PROTECTED_WORK"
"common/history/interests/00_interests.txt","global","common/history","common/history","PRESENT","PRESENT","ABSENT","BOTH_CUSTOM_DIFFER","OBSOLETE_HOTFIX_CONTENT","false","true","false","false","false","CLOSED","NONE","Do not restore obsolete hotfix content","HOTFIX_6A19_RESIDUAL_GLOBAL_SCRIPT_REINDEX.md","","BOTH_CUSTOM_DIFFER; 6A19_INDIVIDUAL_REVIEW; RETIRED_FROM_FORK; DECLARED_INTEREST_BLOCK_CLOSED"
"common/history/military_formations/00_military_formations_europe.txt","global","NAVY","military_formations","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","CONCURRENT_USER_WORK","true","false","false","true","false","P2_REQUIRED_VALIDATION","NO_CURRENT_MERGE_PHASE","Preserve NAVY; audit separately only on exact hotfix evidence","docs/reports/navy/; HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","","ALL_THREE_DIFFER"
"common/history/military_formations/01_military_formations_north_america.txt","america","NAVY","military_formations","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","CONCURRENT_USER_WORK","true","false","false","true","false","P2_REQUIRED_VALIDATION","NO_CURRENT_MERGE_PHASE","Preserve NAVY; audit separately only on exact hotfix evidence","docs/reports/navy/; HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","","ALL_THREE_DIFFER"
"common/history/military_formations/02_military_formations_south_america.txt","america","NAVY","military_formations","PRESENT","PRESENT","PRESENT","ALL_THREE_DIFFER","CONCURRENT_USER_WORK","true","false","false","true","false","P2_REQUIRED_VALIDATION","NO_CURRENT_MERGE_PHASE","Preserve NAVY; audit separately only on exact hotfix evidence","docs/reports/navy/; HOTFIX_DLC_UPSTREAM_CHANGE_AUDIT.md","","ALL_THREE_DIFFER"
