"source_phase","source_report","relationship","target_phase","target_report","relationship_reason","canonical_chain","notes"
"5C2E4C1L","../india/sepoy/HOTFIX_5C2E4C1L_B1_BENGAL_CORE_FIX.md","CORRECTS","5C2E4C1K","../india/sepoy/HOTFIX_5C2E4C1K_SEPOY_B1_RUNTIME_TEST.md","Protects Bengal core","Bengal 2.b",""
"5C2E4C1M","../india/sepoy/HOTFIX_5C2E4C1M_B1_FIX_RUNTIME_TEST.md","VALIDATES","5C2E4C1L","../india/sepoy/HOTFIX_5C2E4C1L_B1_BENGAL_CORE_FIX.md","Runtime preserves core","Bengal 2.b",""
"5C2E4C1N","../india/sepoy/HOTFIX_5C2E4C1N_B1_RADICAL_FORENSIC_AUDIT.md","PRECEDES","5C2E4C1P","../india/sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST.md","Forensic baseline leads to final retest","Bengal 2.b","INCONCLUSIVE"
"5C2E4C1O","../india/sepoy/HOTFIX_5C2E4C1O_B1_RADICAL_TICK_RUNTIME_TEST.md","RETESTS","5C2E4C1M","../india/sepoy/HOTFIX_5C2E4C1M_B1_FIX_RUNTIME_TEST.md","Investigates second-tick timing","Bengal 2.b","FAILED_TEST"
"5C2E4C1P","../india/sepoy/HOTFIX_5C2E4C1P_B1_RADICAL_2B_RUNTIME_TEST.md","SUPERSEDES","5C2E4C1N/O","../india/sepoy/HOTFIX_5C2E4C1N_B1_RADICAL_FORENSIC_AUDIT.md","Final radical validation supersedes diagnostics","Bengal 2.b","FINAL"
"5C2E4C1R","../india/sepoy/HOTFIX_5C2E4C1R_SEPOY_C1_RUNTIME_TEST.md","PRECEDES","5C2E4C1S","../india/sepoy/HOTFIX_5C2E4C1S_C1_MADRAS_CORE_FIX.md","Failed Madras core test triggers correction","Madras 2.c","FAILED_TEST"
"5C2E4C1S","../india/sepoy/HOTFIX_5C2E4C1S_C1_MADRAS_CORE_FIX.md","CORRECTS","5C2E4C1R","../india/sepoy/HOTFIX_5C2E4C1R_SEPOY_C1_RUNTIME_TEST.md","Protects Madras core","Madras 2.c",""
"5C2E4C1T","../india/sepoy/HOTFIX_5C2E4C1T_SEPOY_C1_FIX_RUNTIME_TEST.md","VALIDATES","5C2E4C1S","../india/sepoy/HOTFIX_5C2E4C1S_C1_MADRAS_CORE_FIX.md","Final runtime validation","Madras 2.c","FINAL"
"5C2E4C1V","../india/sepoy/HOTFIX_5C2E4C1V_SEPOY_E1_RUNTIME_TEST.md","PRECEDES","5C2E4C1W","../india/sepoy/HOTFIX_5C2E4C1W_E1_BOMBAY_CORE_FIX.md","Failed Bombay core test triggers correction","Bombay 2.e","FAILED_TEST"
"5C2E4C1W","../india/sepoy/HOTFIX_5C2E4C1W_E1_BOMBAY_CORE_FIX.md","CORRECTS","5C2E4C1V","../india/sepoy/HOTFIX_5C2E4C1V_SEPOY_E1_RUNTIME_TEST.md","Protects Bombay core","Bombay 2.e",""
"5C2E4C1X","../india/sepoy/HOTFIX_5C2E4C1X_SEPOY_E1_FIX_RUNTIME_TEST.md","VALIDATES","5C2E4C1W","../india/sepoy/HOTFIX_5C2E4C1W_E1_BOMBAY_CORE_FIX.md","Validates territorial/core correction","Bombay 2.e","Radical observation continued"
"5C2E4C1Y","../india/sepoy/HOTFIX_5C2E4C1Y_E1_RADICAL_FORENSIC_SETUP.md","PRECEDES","5C2E4C1AB","../india/sepoy/HOTFIX_5C2E4C1AB_E1_RADICAL_CLEAN_RERUN.md","Diagnostic setup precedes clean rerun","Bombay radicals",""
"5C2E4C1Z","../india/sepoy/HOTFIX_5C2E4C1Z_E1_RADICAL_DIAGNOSTIC_RUNTIME.md","PRECEDES","5C2E4C1AB","../india/sepoy/HOTFIX_5C2E4C1AB_E1_RADICAL_CLEAN_RERUN.md","Inconclusive diagnostic precedes clean rerun","Bombay radicals","INCONCLUSIVE"
"5C2E4C1AB","../india/sepoy/HOTFIX_5C2E4C1AB_E1_RADICAL_CLEAN_RERUN.md","SUPERSEDES","5C2E4C1X/Z","../india/sepoy/HOTFIX_5C2E4C1X_SEPOY_E1_FIX_RUNTIME_TEST.md","Clean rerun confirms radicals","Bombay radicals","FINAL"
"5C2E4C1AD","../india/sepoy/HOTFIX_5C2E4C1AD_SEPOY_E2_AVAILABILITY_RUNTIME.md","PRECEDES","5C2E4C1AE","../india/sepoy/HOTFIX_5C2E4C1AE_E2_BOMBAY_TRIGGER_FIX.md","Runtime mismatch identifies trigger defect","Bombay trigger","FAILED_TEST"
"5C2E4C1AE","../india/sepoy/HOTFIX_5C2E4C1AE_E2_BOMBAY_TRIGGER_FIX.md","CORRECTS","5C2E4C1AD","../india/sepoy/HOTFIX_5C2E4C1AD_SEPOY_E2_AVAILABILITY_RUNTIME.md","Minimal trigger correction","Bombay trigger",""
"5C2E4C1AF","../india/sepoy/HOTFIX_5C2E4C1AF_SEPOY_E3_STATIC_SETUP.md","PRECEDES","5C2E4C1AG","../india/sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","Prepares negative control","Bombay trigger",""
"5C2E4C1AG","../india/sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","VALIDATES","5C2E4C1AE","../india/sepoy/HOTFIX_5C2E4C1AE_E2_BOMBAY_TRIGGER_FIX.md","Positive and negative runtime controls pass","Bombay trigger","FINAL"
"5C2E4C1AG","../india/sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","SUPERSEDES","WEST_BENGAL_FUNCTIONAL_DECISION_DEFERRED","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","Observed behavior resolves deferred decision","West Bengal","WEST_BENGAL_RETREAT_TRANSFER_EXPECTED"
"5C2E4C1AG","../india/sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","CLOSES","HOTFIX-5","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","Final missing runtime condition validated","India","HOTFIX_5_INDIA_COMPLETE"
"AH","HOTFIX_REPORT_LIBRARY_REORGANIZATION.md","REFERENCES","HOTFIX-5","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","Library index exposes canonical closure","Documentation",""
"AH","HOTFIX_DISPOSABLE_TEST_MOD_RETIREMENT.md","DEPENDS_ON","5C2E4C1AG","../india/sepoy/HOTFIX_5C2E4C1AG_BOMBAY_TRIGGER_RUNTIME_VALIDATION.md","Retirement audit relies on final validation","Disposable copy",""
"AH","HOTFIX_5_INDIA_CLOSURE.md","CLOSES","HOTFIX-5","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","Administrative closure","India","HOTFIX_5_INDIA_COMPLETE"

