"record_id","subject","relative_path","file_domain","fork_present","hotfix_present","vanilla_present","fork_sha256","hotfix_sha256","vanilla_sha256","changelog_evidence","fork_value","hotfix_value","vanilla_value","candidate_hunk","classification","required_for_merge","priority","runtime_required","protected_overlap","recommended_phase","evidence","notes"
"ACWS-011","Swiss sliver population","common/history/pops/00_west_europe.txt","population_history","true","true","true","8A31C46D3402DB6FE13C2854D7D6EDC70C5B3B8D8443B82F1C5E02C2B84CA617","18EBA627DE65B017F7A19A288179F8E28FCF2C80845A6D1DC363B160D6BDDBCD","C5A05D43A960B00D912A3F1D629784FD94AC70688EA577A93E1B554118FEC869","Changelog 2.3 line 11","SWI population totals 895200 in STATE_EAST_SWITZERLAND; no AUS region_state","Same SWI totals plus AUS south_german pop size 30000","Same as fork apart from unrelated baseline differences","Add AUS region_state with south_german size 30000","UNVERIFIED","false","P0","true","none","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION","Full EAST_SWITZERLAND pop block comparison","Hotfix adds 30000 without subtracting from SWI; transfer versus population inflation is unproven"
"ACWS-012","Austria Adriatic fleet","common/history/military_formations/00_military_formations_europe.txt","military_formations","true","true","true","D85E9FF7A44E5FC1C2915969BEDCFC6DD298F6EE3F024155CC54E6E6BBE35292","69DD4CA64DE942C07C1B6A8AB734352131E3C74476B7B3A702F70FE4D0BE3A05","B1C6D06AAB880925EE7EB064FAFAFA71B797972C2D08B9001D0A9F163DC70098","Changelog 2.3 line 10 says fleet","No AUS fleet in the inspected AUS block","AUS region_balkans fleet: 3 ships of the line and 6 frigates","No equivalent AUS fleet in vanilla inspected block","Add the exact fleet block only after NAVY reconciliation","NAVY_PROTECTED","false","P0","true","NAVY","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION","Hotfix AUS lines 572-585 and NAVY commit history","File has seven later NAVY commits in fork"
"ACWS-013","Croatian army absorption","common/history/military_formations/00_military_formations_europe.txt","military_formations","true","true","true","D85E9FF7A44E5FC1C2915969BEDCFC6DD298F6EE3F024155CC54E6E6BBE35292","69DD4CA64DE942C07C1B6A8AB734352131E3C74476B7B3A702F70FE4D0BE3A05","B1C6D06AAB880925EE7EB064FAFAFA71B797972C2D08B9001D0A9F163DC70098","Changelog 2.3 line 10","CRO owns generalkommando_agram with 24 line infantry","CRO block removed; Agram moved under AUS but types and counts become 22 infantry 4 cuirassiers 6 artillery","Vanilla retains separate CRO block","Move or reconstruct Agram under AUS without importing unrelated AUS formation deltas","NAVY_PROTECTED","false","P0","true","NAVY","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION","Exact CRO block and hotfix AUS lines 586-610","Ownership transfer is intended but source also changes unit types and count; exact compatible hunk unresolved"
"ACWS-014","Austria country setup","common/history/countries/aus - austria.txt","country_history","true","true","true","B770D87B45E51F6E209A5B56D4472CB77579F79CC41AADC952DA94DE17EBF2A6","B770D87B45E51F6E209A5B56D4472CB77579F79CC41AADC952DA94DE17EBF2A6","EA76243489D920C27A7D37B2A6572E5610EFBF7C8168F072B60CE17F884A9C59","None for country setup","Fork custom 1776 AUS setup","Identical to fork","Different vanilla 1.13 setup","No hunk","ALREADY_MERGED_EQUIVALENT","false","P3","false","none","NONE","SHA-256 equality fork/hotfix","Preserve the shared 1776 override"
"ACWS-015","Croatia country setup","common/history/countries/cro - croatia.txt","country_history","true","true","true","3C751907679D96EC2666E92B9651F46A171854B677ABA3BF37C8A76AE1DED466","3C751907679D96EC2666E92B9651F46A171854B677ABA3BF37C8A76AE1DED466","0440F4389F539FA7406E7AB30B769E8452AF406DAC9B557116C2B1483926BB95","Changelog absorption does not delete country definition","Fork custom CRO definition","Identical to fork","Different vanilla 1.13 definition","No hunk","ALREADY_MERGED_EQUIVALENT","false","P3","false","none","NONE","SHA-256 equality fork/hotfix","Landless tag may remain defined; no deletion proved"
"ACWS-016","Switzerland country setup","common/history/countries/swi - switzerland.txt","country_history","true","true","true","B7EDAA90D3439733F8597FB36ADE8B90519AD1A261CDAB62AFDABBC2DFF4ECBB","B7EDAA90D3439733F8597FB36ADE8B90519AD1A261CDAB62AFDABBC2DFF4ECBB","9E2439FB531606EEC35E78FF6DE600574086C1B2CDA5AE08F8AA49546EB6C0C2","None for country setup","Fork custom SWI setup","Identical to fork","Different vanilla 1.13 setup","No hunk","ALREADY_MERGED_EQUIVALENT","false","P3","false","none","NONE","SHA-256 equality fork/hotfix","Territorial sliver does not require country-history change"
"ACWS-017","Austrian relations","common/history/diplomacy/00_relations.txt","diplomacy","true","true","true","99AE0D5074AEFAFCFEDF2BA63A6A7C621C0A26D6A41418EEDC92B236AA91D5B0","99AE0D5074AEFAFCFEDF2BA63A6A7C621C0A26D6A41418EEDC92B236AA91D5B0","C1448B09B4A2CFCDC982A16C28FAA4B55DD4C96662BF65B57BACDEEFCC9D290D","None","Fork custom relations","Identical to fork","Different vanilla baseline","No hunk","ALREADY_MERGED_EQUIVALENT","false","P3","false","none","NONE","SHA-256 equality fork/hotfix","Only subject pacts differ in a separate file"
"ACWS-018","Swiss map region","map_data/state_regions/00_west_europe.txt","map","false","false","true","","","315C5750814C12525AD468185910EA95AA8E29F8C4EF38A6851C4184625218B1","Changelog 2.3 line 11","Inherited from vanilla","Inherited from vanilla","STATE_EAST_SWITZERLAND contains x90C0E0 and mine x90C0E0","No override; preserve vanilla map definition","VANILLA_1_13_ALREADY_PROVIDES","false","P3","false","none","NONE","Vanilla lines 1090 and 1094","No map or state-region file needs copying"
"ACWS-019","Strategic regions","common/strategic_regions/europe_strategic_regions.txt","strategic_regions","false","false","true","","","BBDC686F2F7AB6C7A88C38B1D9BC120C7358E6ABC53796E546B861972E31E974","None","Inherited from vanilla","Inherited from vanilla","Vanilla assigns Croatia/Slavonia to Balkans and both Swiss states to South Germany","No hunk","VANILLA_1_13_ALREADY_PROVIDES","false","P3","false","none","NONE","Vanilla strategic-region inspection","Ownership changes do not require strategic-region changes"
"ACWS-020","Austria decisions","common/decisions/austria_decisions.txt","decisions","false","false","true","","","9B6575BCC375E362EAB4C4A4476EA42FC35541DE5B114D5CBEC532F7B207F8BE","None for 2.3 territorial announcements","Inherited from vanilla","Inherited from vanilla","Vanilla provides decisions","No hunk","VANILLA_1_13_ALREADY_PROVIDES","false","P3","false","none","NONE","Three-tree presence check","No decision override required"
"ACWS-021","Swiss buildings","common/history/buildings/00_west_europe.txt","building_history","true","true","true","0548E5258DACC4CB3EE1386D5EEACAA4B9138AC77FF71F4BF7D0CCA975A5A17C","8BC5B5B497FE5BC9FCCF45F924AFA3D4D8F8F5EAA93C609A9944D6BDDC94F7F9","7AD90163E5A810273F8758833BB02E657296FB6ADB6C213D60BBA94FDCF72A5F","Changelog 2.3 line 11","EAST and WEST SWITZERLAND building blocks","Same two blocks","Vanilla baseline","No hunk in the inspected Swiss blocks","ALREADY_MERGED_EQUIVALENT","false","P3","false","ADMIN","NONE","Block-level Compare-Object equality","Whole-file hashes differ for unrelated regions only"
"ACWS-022","Austria journal entry","common/journal_entries/05_austria_journal_entries.txt","journal_entries","true","true","true","BB7EBDB77C75362301ABF2DBD155A9D2181E93ABA0163732EBA002D8A300E7C6","ABC3AF4F08EE235A250A2DCA949CC4BF1B0E835B62C2380813CCF19B8614B369","ABC3AF4F08EE235A250A2DCA949CC4BF1B0E835B62C2380813CCF19B8614B369","No link to lines 10-11","Fork custom 1776 override","Hotfix equals vanilla","Vanilla 1.13 baseline","No 6A.2 hunk","INTENTIONAL_1776_DIVERGENCE","false","P3","false","none","NONE","Inventory classification and hash equality hotfix/vanilla","Preserve; unrelated to starting ownership"
"ACWS-023","Austria fascism journal","common/journal_entries/05_austrian_fascism.txt","journal_entries","true","true","true","5202FB8745E4A94D0C6CDD84DD880A3CCEBE168E5F077FF7714A821217F2B820","22A6F89D76D2B292765179E1B16B103BBDE6513316B2870373BE98EF01BF0494","97720483E4226CA845F58856B24A69C4080FADDEA44FED3953065E6572945BDF","No link to lines 10-11","Fork custom","Hotfix custom","Vanilla baseline","No 6A.2 hunk; retain for later global JE review","UNVERIFIED","false","P2","false","none","LATER_GLOBAL_JE_REVIEW","Three-way inventory PENDING_REVIEW","Does not block the territorial audit because no causal link is evidenced"
"ACWS-024","Austria events","events/balkans_events/00_ip3_austria_events.txt","events","true","true","true","C0495ADF66675F4C1606C13322B248BCC01FAD8FC4358DA99C6D898DD1FD662C","27B5864D9C62120AADC512FA8858D659AB3DFB70D771FB2C095FFE5B0723264C","27B5864D9C62120AADC512FA8858D659AB3DFB70D771FB2C095FFE5B0723264C","No link to lines 10-11","Fork 1776 adaptation","Hotfix equals vanilla","Vanilla 1.13 baseline","No 6A.2 hunk","INTENTIONAL_1776_DIVERGENCE","false","P3","false","none","NONE","Hash equality hotfix/vanilla and inventory classification","Preserve fork"
"ACWS-025","Austria events","events/balkans_events/03_ip3_austria_events.txt","events","true","true","true","10D4CC474D57BCC1F8276799C1E5961315813C425DBAD3B4E558F1056894B7F1","8681C6FB64AC3E3DD3B94B75BF28947D62590540B88CDA3C6E2933C1E6E44868","8681C6FB64AC3E3DD3B94B75BF28947D62590540B88CDA3C6E2933C1E6E44868","No link to lines 10-11","Fork 1776 adaptation","Hotfix equals vanilla","Vanilla 1.13 baseline","No 6A.2 hunk","INTENTIONAL_1776_DIVERGENCE","false","P3","false","none","NONE","Hash equality hotfix/vanilla and inventory classification","Preserve fork"
"ACWS-026","Austria federalism events","events/balkans_events/austria_federalism.txt","events","true","true","true","77C978E4329B8DF72BDC8993376A5EA1BCC9158F5862EFAF7234F0DE6725CABC","CD1643F29978A606C1B520D775CDD6A71E5A52B1E40425DB0CC64CBD5D0B10D9","CD1643F29978A606C1B520D775CDD6A71E5A52B1E40425DB0CC64CBD5D0B10D9","No link to lines 10-11","Fork 1776 adaptation","Hotfix equals vanilla","Vanilla 1.13 baseline","No 6A.2 hunk","INTENTIONAL_1776_DIVERGENCE","false","P3","false","none","NONE","Hash equality hotfix/vanilla and inventory classification","Preserve fork"
"ACWS-027","English Austria localization","localization/english/NM_Countries_l_english.yml","localization","true","true","false","05645AFE3588C0CB046F388FC764DCAF36372A55260C31E7FABFCFAACCF8CEB4","05645AFE3588C0CB046F388FC764DCAF36372A55260C31E7FABFCFAACCF8CEB4","","None","Austria dynamic-name keys present","Identical keys","Absent as mod file; base localization inherited separately","No hunk","ALREADY_MERGED_EQUIVALENT","false","P3","false","none","NONE","SHA-256 equality fork/hotfix","No key required by ownership changes"
"ACWS-028","French Austria localization","localization/french/NM_Countries_l_french.yml","localization","true","false","false","072428F9B780B16EAA5BE68C3432E703147BF011587D96B46F12497F277F83C4","","","None","French Austria dynamic-name keys present","Absent","Absent as mod file","Preserve file; no new key","LOCALIZATION_ONLY","false","P3","false","localization","NONE","Fork inspection","Protected French localization"
