"diagnostic_id","diagnostic_kind","normalized_message","relative_path","line","script_line","object","object_type","suspected_api_or_reference","raw_excerpt","family","runtime_current","fork_context","source_context","vanilla_context","fork_file_present","source_file_present","vanilla_file_present","existing_report","existing_block","existing_classification","protected_area","intentional_divergence","post_merge_backlog","semantic_rewrite_required","bounded_exception","already_accounted_for","final_classification","classification_reason","merge_blocker","recommended_action","fresh_log_file","fresh_log_line","raw_log_excerpt"
"6A28-0011","parser","Unexpected token: region_niger","common/ai_strategies/00_default_strategy.txt","4600","4587","ai_strategy_default","ai_strategie","region_niger","region_niger = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_niger = {","FILE_ABSENT","wanted_marines  = {","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2840","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_niger, near line: 4587"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4600"
"6A28-0012","parser","Unexpected token: region_congo","common/ai_strategies/00_default_strategy.txt","4614","4601","ai_strategy_default","ai_strategie","region_congo","region_congo = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_congo = {","FILE_ABSENT","if = {","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2841","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_congo, near line: 4601"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4614"
"6A28-0013","parser","Unexpected token: region_southern_africa","common/ai_strategies/00_default_strategy.txt","4628","4615","ai_strategy_default","ai_strategie","region_southern_africa","region_southern_africa = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_southern_africa = {","FILE_ABSENT","region = sr:region_southern_africa || capital.region = sr:region_southern_africa","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2842","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_southern_africa, near line: 4615"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4628"
"6A28-0014","parser","Unexpected token: region_zanj","common/ai_strategies/00_default_strategy.txt","4642","4629","ai_strategy_default","ai_strategie","region_zanj","region_zanj = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_zanj = {","FILE_ABSENT","limit = {","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2843","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_zanj, near line: 4629"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4642"
"6A28-0015","parser","Unexpected token: region_north_germany","common/ai_strategies/00_default_strategy.txt","4657","4643","ai_strategy_default","ai_strategie","region_north_germany","region_north_germany = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_north_germany = {","FILE_ABSENT","is_in_geographic_region = geographic_region_north_germany_old","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2844","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_north_germany, near line: 4643"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4657"
"6A28-0016","parser","Unexpected token: region_south_germany","common/ai_strategies/00_default_strategy.txt","4672","4658","ai_strategy_default","ai_strategie","region_south_germany","region_south_germany = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_south_germany = {","FILE_ABSENT","is_in_geographic_region = geographic_region_south_germany_old","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2845","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_south_germany, near line: 4658"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4672"
"6A28-0017","parser","Unexpected token: region_italy","common/ai_strategies/00_default_strategy.txt","4681","4673","ai_strategy_default","ai_strategie","region_italy","region_italy = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_italy = {","FILE_ABSENT","is_in_geographic_region = geographic_region_italy_old","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2846","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_italy, near line: 4673"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4681"
"6A28-0018","parser","Unexpected token: region_baltic","common/ai_strategies/00_default_strategy.txt","4689","4682","ai_strategy_default","ai_strategie","region_baltic","region_baltic = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_baltic = {","FILE_ABSENT","value = 100","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2847","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_baltic, near line: 4682"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4689"
"6A28-0019","parser","Unexpected token: region_england","common/ai_strategies/00_default_strategy.txt","4699","4691","ai_strategy_default","ai_strategie","region_england","region_england = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_england = {","FILE_ABSENT","limit = { has_technology_researched = napoleonic_warfare }","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2848","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_england, near line: 4691"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4699"
"6A28-0020","parser","Unexpected token: region_iberia","common/ai_strategies/00_default_strategy.txt","4708","4700","ai_strategy_default","ai_strategie","region_iberia","region_iberia = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_iberia = {","FILE_ABSENT","add = 10","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2849","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_iberia, near line: 4700"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4708"
"6A28-0021","parser","Unexpected token: region_rhine","common/ai_strategies/00_default_strategy.txt","4717","4709","ai_strategy_default","ai_strategie","region_rhine","region_rhine = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_rhine = {","FILE_ABSENT","is_in_geographic_region = geographic_region_rhine_old","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2850","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_rhine, near line: 4709"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4717"
"6A28-0022","parser","Unexpected token: region_central_asia","common/ai_strategies/00_default_strategy.txt","4732","4718","ai_strategy_default","ai_strategie","region_central_asia","region_central_asia = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_central_asia = {","FILE_ABSENT","capital.region = sr:region_central_asia || is_in_geographic_region = geographic_region_central_asia_old","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2851","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_central_asia, near line: 4718"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4732"
"6A28-0023","parser","Unexpected token: region_persia","common/ai_strategies/00_default_strategy.txt","4747","4733","ai_strategy_default","ai_strategie","region_persia","region_persia = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_persia = {","FILE_ABSENT","is_in_geographic_region = geographic_region_persia_old","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2852","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_persia, near line: 4733"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4747"
"6A28-0024","parser","Unexpected token: region_north_china","common/ai_strategies/00_default_strategy.txt","4757","4748","ai_strategy_default","ai_strategie","region_north_china","region_north_china = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_north_china = {","FILE_ABSENT","region = sr:region_north_china || sr:region_north_china = {","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2853","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_north_china, near line: 4748"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4757"
"6A28-0025","parser","Unexpected token: region_manchuria","common/ai_strategies/00_default_strategy.txt","4767","4758","ai_strategy_default","ai_strategie","region_manchuria","region_manchuria = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_manchuria = {","FILE_ABSENT","is_in_geographic_region = geographic_region_manchuria_old","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2854","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_manchuria, near line: 4758"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4767"
"6A28-0026","parser","Unexpected token: region_south_china","common/ai_strategies/00_default_strategy.txt","4783","4768","ai_strategy_default","ai_strategie","region_south_china","region_south_china = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_south_china = {","FILE_ABSENT","region = sr:region_south_china || sr:region_south_china = {","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2855","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_south_china, near line: 4768"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4783"
"6A28-0027","parser","Unexpected token: region_pacific_coast","common/ai_strategies/00_default_strategy.txt","4791","4784","ai_strategy_default","ai_strategie","region_pacific_coast","region_pacific_coast = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_pacific_coast = {","FILE_ABSENT","scope:region = sr:region_pacific_coast","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2856","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_pacific_coast, near line: 4784"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4791"
"6A28-0028","parser","Unexpected token: region_great_plains","common/ai_strategies/00_default_strategy.txt","4799","4792","ai_strategy_default","ai_strategie","region_great_plains","region_great_plains = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_great_plains = {","FILE_ABSENT","# A default value of 0 means the AI will tend to privatize most buildings","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2857","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_great_plains, near line: 4792"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4799"
"6A28-0029","parser","Unexpected token: region_dixie","common/ai_strategies/00_default_strategy.txt","4807","4800","ai_strategy_default","ai_strategie","region_dixie","region_dixie = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_dixie = {","FILE_ABSENT","","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2858","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_dixie, near line: 4800"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4807"
"6A28-0030","parser","Unexpected token: region_new_england","common/ai_strategies/00_default_strategy.txt","4815","4808","ai_strategy_default","ai_strategie","region_new_england","region_new_england = {","SYNTAX_STRATEGIC_REGION_LEGACY_KEYS","true","region_new_england = {","FILE_ABSENT","bg_agriculture = 1.25","true","false","true","docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md","common/ai_strategies","FAMILY_C","","false","false","true","false","false","SEMANTIC_REWRITE_REQUIRED","The 1.13 form requires a semantic or scope decision rather than a safe atomic substitution; it is outside this hotfix correction scope.","false","REVIEW_SEMANTICS_AFTER_MERGE_READINESS","debug.log","2859","[23:13:43][pdx_persistent_reader.cpp:268]: Error: ""Unexpected token: region_new_england, near line: 4808"" in file: ""common/ai_strategies/00_default_strategy.txt"" near line: 4815"
