file,line_or_range,identifier,enclosing_object,object_type,semantic_role,activity_class,current_scope,fork_behavior,hotfix_behavior,vanilla_behavior,proposed_target,confidence,conflict_class,recommended_phase,notes
"common/company_types/02_new_companies.txt","37-41","all five invalid IDs","company_dutch_east_india_company / possible","company type","Checks Indian ownership/buildings","ACTIVE_RUNTIME","any_scope_state","Five invalid regions","Hotfix uses north and south","Both strategic regions are vanilla-valid","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5"
"common/company_types/02_new_companies.txt","67-71","all five invalid IDs","company_dutch_east_india_company / ai_will_do","company type","AI eligibility in India/Indonesia","ACTIVE_RUNTIME","any_scope_state","Five invalid regions","Hotfix uses north and south","Both strategic regions are vanilla-valid","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5; preserve Indonesia sibling"
"common/company_types/02_new_companies.txt","82-86","all five invalid IDs","company_dutch_east_india_company / tea target","company construction target","Targets tea plantations","ACTIVE_RUNTIME","state_trigger","Five invalid regions","Hotfix uses north and south","Both strategic regions are vanilla-valid","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5; preserve Indonesia sibling"
"common/company_types/02_new_companies.txt","95-99","all five invalid IDs","company_dutch_east_india_company / tobacco target","company construction target","Targets tobacco plantations","ACTIVE_RUNTIME","state_trigger","Five invalid regions","Hotfix uses north and south","Both strategic regions are vanilla-valid","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5; preserve Indonesia sibling"
"common/company_types/02_new_companies.txt","108-112","all five invalid IDs","company_dutch_east_india_company / opium target","company construction target","Targets opium plantations","ACTIVE_RUNTIME","state_trigger","Five invalid regions","Hotfix uses north and south","Both strategic regions are vanilla-valid","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5"
"common/dynamic_country_names/00_dynamic_country_names.txt","1385-1392","region_madras;region_bengal;region_bombay","dyn_c_madras_presidency","dynamic country name","Distinguishes Madras Presidency by capital and excluded holdings","ACTIVE_RUNTIME","scope:actor country/states","Invalid strategic-region tests","Hotfix uses three *_old geographic regions","Vanilla defines geographic_region_madras_old/bengal_old/bombay_old","geographic_region_required","HIGH","BIC","HOTFIX-5C3","count=3"
"common/dynamic_country_names/00_dynamic_country_names.txt","1410-1417","region_bombay;region_bengal;region_madras","dyn_c_bombay_presidency","dynamic country name","Distinguishes Bombay Presidency","ACTIVE_RUNTIME","scope:actor country/states","Invalid strategic-region tests","Hotfix uses *_old geographic regions","Vanilla preserves exact old geographic subdivisions","geographic_region_required","HIGH","BIC","HOTFIX-5C3","count=3"
"common/dynamic_country_names/00_dynamic_country_names.txt","1435-1442","region_bengal;region_bombay;region_madras","dyn_c_bengal_presidency","dynamic country name","Distinguishes Bengal Presidency","ACTIVE_RUNTIME","scope:actor country/states","Invalid strategic-region tests","Hotfix uses *_old geographic regions","Vanilla preserves exact old geographic subdivisions","geographic_region_required","HIGH","BIC","HOTFIX-5C3","count=3"
"common/dynamic_country_names/00_dynamic_country_names.txt","1460","region_bengal","dyn_c_bengal_free_state","dynamic country name","Requires Bengal capital","ACTIVE_RUNTIME","scope:actor capital","Invalid Bengal strategic region","Hotfix uses geographic_region_bengal_old","Vanilla defines geographic_region_bengal_old","geographic_region_required","HIGH","BIC","HOTFIX-5C3","count=1"
"common/history/global/00_global.txt","118-122","all five invalid IDs","GLOBAL / c:BIC princely-state setup","history setup","Marks Indian/Burmese BIC subjects as princely states","ACTIVE_RUNTIME","BIC subject capital","Five invalid regions plus valid Himalayas and explicit Burma states","Hotfix uses north and south","Both vanilla strategic regions cover the replaced Indian core","north_and_south","HIGH","BIC","HOTFIX-5C2","count=5; preserve Himalayas and Burma states"
"common/history/interests/00_interests.txt","6-7","region_central_india;region_bombay","c:DUR declared interests","history setup","Starting Durrani interests","ACTIVE_RUNTIME","DUR","Two invalid interest IDs","Hotfix unchanged","Durrani intent may span India and Central Asia","manual_research_required","LOW","MANUAL_RESEARCH","HOTFIX-5D","count=2; reserve with Durrani review"
"common/history/interests/00_interests.txt","17-20","region_punjab;region_central_india;region_bombay;region_madras","c:GBR declared interests","history setup","Starting British interests in India","ACTIVE_RUNTIME","GBR","Four invalid interest IDs","Hotfix unchanged","north and south are the two valid India interests","north_and_south","HIGH","BIC","HOTFIX-5C2","count=4"
"common/history/interests/00_interests.txt","29-32","region_punjab;region_madras;region_central_india;region_bombay","c:BIC declared interests","history setup","Starting BIC interests in India","ACTIVE_RUNTIME","BIC","Four invalid interest IDs","Hotfix unchanged","north and south are the two valid India interests","north_and_south","HIGH","BIC","HOTFIX-5C2","count=4"
"common/history/military_formations/00_military_formations_europe.txt","1673","region_madras","c:GBR / Army_of_India","military formation","Army HQ","ACTIVE_RUNTIME","GBR army","Invalid Madras HQ","Hotfix uses region_north_india","Vanilla supports north/south HQs","region_north_india","MEDIUM","MANUAL_RESEARCH","HOTFIX-5C4","count=1; verify unit-state distribution before edit"
"common/history/military_formations/04_military_formations_middle_east.txt","519;535","region_bombay","c:DUR / two unnamed armies","military formation","Army HQs","ACTIVE_RUNTIME","DUR armies with Baluchistan units","Two invalid Bombay HQs","Hotfix uses region_south_india","Baluchistan is outside the two India strategic regions in vanilla","manual_research_required","LOW","MANUAL_RESEARCH","HOTFIX-5D","count=2"
"common/history/military_formations/05_military_formations_india.txt","5;35;72","region_punjab","c:PAN / FaujiKhas;FaujiAin;FaujiBe_Qawaid","military formation","Army HQs","ACTIVE_RUNTIME","Punjab armies","Invalid Punjab HQ","Hotfix uses region_north_india","Punjab is in region_north_india","region_north_india","HIGH","NONE","HOTFIX-5C4","count=3"
"common/history/military_formations/05_military_formations_india.txt","96","region_punjab","c:PAN / Alexander Gardner","character creation","General HQ","ACTIVE_RUNTIME","PAN general","Invalid Punjab HQ","Hotfix removes/reworks this line in compared block","Punjab is in region_north_india","region_north_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","118","region_bengal","c:BIC / Bengal_Army","military formation","Army HQ","ACTIVE_RUNTIME","BIC army","Invalid Bengal HQ","Hotfix uses region_north_india","Bengal states are in region_north_india","region_north_india","HIGH","BIC","HOTFIX-5C4","count=1; preserve BIC roster and size"
"common/history/military_formations/05_military_formations_india.txt","231","region_madras","c:HYD / sarf_e_khas","military formation","Army HQ","ACTIVE_RUNTIME","Hyderabad army","Invalid Madras HQ","Hotfix uses region_south_india","Hyderabad is in region_south_india","region_south_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","271","region_central_india","c:AWA / OudhRoyalArmy","military formation","Army HQ","ACTIVE_RUNTIME","Awadh army","Invalid Central India HQ","Hotfix uses region_north_india","Awadh is in region_north_india","region_north_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","314","region_central_india","c:MARATH / OudhRoyalArmy","military formation","Army HQ","ACTIVE_RUNTIME","MARATH army","Invalid Central India HQ","Hotfix uses region_north_india","Its unit states are northern, but block is stashed work territory","region_north_india","MEDIUM","STASH_MARATH","HOTFIX-5C4","count=1; do not modify while stash exists"
"common/history/military_formations/05_military_formations_india.txt","342","region_central_india","c:GWA / GwaliorArmy","military formation","Army HQ","ACTIVE_RUNTIME","Malwa army","Invalid Central India HQ","Hotfix uses region_north_india","Malwa is in region_north_india","region_north_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","379","region_central_india","c:NAG / NagpurArmy","military formation","Army HQ","ACTIVE_RUNTIME","Central Provinces army","Invalid Central India HQ","Hotfix uses region_north_india","Central Provinces is in region_north_india","region_north_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","410","region_madras","c:MYS / MysoreArmy","military formation","Army HQ","ACTIVE_RUNTIME","Mysore army","Invalid Madras HQ","Hotfix uses region_south_india","Mysore is in region_south_india","region_south_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","435","region_bengal","c:COO / CoochBeharArmy","military formation","Army HQ","ACTIVE_RUNTIME","West Bengal army","Invalid Bengal HQ","Hotfix uses region_north_india","West Bengal is in region_north_india","region_north_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","448","region_punjab","c:GAR / GarhwalArmy","military formation","Army HQ","ACTIVE_RUNTIME","Hill Punjab army","Invalid Punjab HQ","Hotfix uses region_north_india","Hill Punjab is in region_north_india","region_north_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","461;484","region_bombay","c:SAT SataraArmy; c:KHP KolhapurArmy","military formation","Army HQs","ACTIVE_RUNTIME","Bombay-state armies","Invalid Bombay HQs","Hotfix uses region_south_india","Bombay is in region_south_india","region_south_india","HIGH","NONE","HOTFIX-5C4","count=2"
"common/history/military_formations/05_military_formations_india.txt","507","region_madras","c:KNO / KurnoolArmy","military formation","Army HQ","ACTIVE_RUNTIME","Kurnool army","Invalid Madras HQ","Hotfix uses region_south_india","Kurnool is in region_south_india","region_south_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","538","region_bombay","c:BHV / BhavnagarArmy","military formation","Army HQ","ACTIVE_RUNTIME","Gujarat army","Invalid Bombay HQ","Hotfix uses region_south_india","Vanilla places Gujarat in region_north_india; hotfix appears geographically wrong","region_north_india","HIGH","MANUAL_RESEARCH","HOTFIX-5C4","count=1; prefer vanilla state membership over hotfix"
"common/history/military_formations/05_military_formations_india.txt","563","region_madras","c:PUD / PudukottaiArmy","military formation","Army HQ","ACTIVE_RUNTIME","Madras army","Invalid Madras HQ","Hotfix uses region_south_india","Madras is in region_south_india","region_south_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","582","region_madras","c:JEY / JeyporeArmy","military formation","Army HQ","ACTIVE_RUNTIME","Circars army","Invalid Madras HQ","Hotfix uses region_south_india","Circars is in region_south_india","region_south_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","607","region_madras","c:COC / CochinArmy","military formation","Army HQ","ACTIVE_RUNTIME","Travancore-state army","Invalid Madras HQ","Hotfix uses region_south_india","Travancore is in region_south_india","region_south_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/history/military_formations/05_military_formations_india.txt","625","region_madras","c:TRA / TravancoreArmy","military formation","Army HQ","ACTIVE_RUNTIME","Travancore army beside preserved local fleet","Invalid Madras HQ","Hotfix uses region_south_india and also changes fleet shape","Travancore is in region_south_india","region_south_india","HIGH","TRAVANCORE_PRESERVE","HOTFIX-5C4","count=1; HQ-only hunk later; preserve fleet and state_region"
"common/history/military_formations/05_military_formations_india.txt","661","region_bombay","c:SIN / SindhArmy","military formation","Army HQ","ACTIVE_RUNTIME","Sindh army","Invalid Bombay HQ","Hotfix uses region_south_india","Vanilla places Sindh in region_north_india; hotfix appears wrong","region_north_india","HIGH","MANUAL_RESEARCH","HOTFIX-5C4","count=1; prefer vanilla state membership"
"common/history/military_formations/05_military_formations_india.txt","692","region_punjab","c:MUG / MughalArmy","military formation","Army HQ","ACTIVE_RUNTIME","Mughal army","Invalid Punjab HQ","Hotfix uses region_north_india","Mughal unit states are northern","region_north_india","HIGH","NONE","HOTFIX-5C4","count=1"
"common/journal_entries/00_player_objectives_great_game.txt","1057;1060","region_bengal;region_madras","je_consolidate_british_india / immediate","journal entry","Marks objective regions","ACTIVE_RUNTIME","strategic region scopes","Two invalid region scopes","Hotfix uses north/south plus explicit Burma states","Vanilla defines north/south","north_and_south","HIGH","BIC","HOTFIX-5C2","count=2"
"common/journal_entries/00_player_objectives_great_game.txt","1091-1092","region_bengal;region_madras","je_consolidate_british_india / completion tooltip","journal entry","Rejects foreign capitals in British India","ACTIVE_RUNTIME","any_country capital","Two invalid region tests","Hotfix removes/restructures around objective states","Vanilla north/south are valid but exact objective includes Burma","explicit_state_region","MEDIUM","BIC","HOTFIX-5C3","count=2; compare full hotfix hunk before implementation"
"common/journal_entries/03_afghanistan.txt","397-398","region_punjab;region_bombay","je_consolidate_afghanistan / possible","journal entry","Checks Indian holdings for border negotiation","ACTIVE_BUT_DLC_GATED","root states","Two invalid regions","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=2; ep1_content"
"common/journal_entries/03_afghanistan.txt","412-473","region_punjab;region_bombay","je_consolidate_afghanistan / treaty target tooltips","journal entry","Finds countries with Indian states","ACTIVE_BUT_DLC_GATED","any_country states","Three repeated pairs","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=6; ep1_content"
"common/journal_entries/03_afghanistan.txt","551-858","region_punjab;region_bombay","je_consolidate_afghanistan / first treaty transfer branches","journal entry","Transfers states based on treaty outcome","ACTIVE_BUT_DLC_GATED","every_state","Four repeated pairs","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=8"
"common/journal_entries/03_afghanistan.txt","584-891;890-959","region_punjab;region_bombay","je_consolidate_afghanistan / alternate treaty branches","journal entry","Transfers states in alternate outcomes","ACTIVE_BUT_DLC_GATED","every_state","Four repeated pairs","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=8"
"common/journal_entries/03_afghanistan.txt","1162-1294","region_punjab;region_bombay","je_consolidate_afghanistan / later treaty branches","journal entry","Transfers states in later outcomes","ACTIVE_BUT_DLC_GATED","every_state","Four repeated pairs","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=8"
"common/journal_entries/03_afghanistan.txt","1511-1643","region_punjab;region_bombay","je_consolidate_afghanistan / final treaty branches","journal entry","Transfers states in final outcomes","ACTIVE_BUT_DLC_GATED","every_state","Four repeated pairs","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=8"
"common/journal_entries/04_india_railway.txt","23-27","all five invalid IDs","je_india_railway / possible","journal entry","Requires Indian ownership before railway JE","ACTIVE_BUT_DLC_GATED","root owns state in region","Five invalid strategic-region scopes","Hotfix uses north/south and geographic India guards","Vanilla defines both regions and geographic_region_india","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5; ip2_content and railways gated"
"common/journal_entries/04_indian_famines.txt","14-18","all five invalid IDs","je_indian_famines / is_shown_when_inactive","journal entry","Shows famine JE for Indian holdings","ACTIVE_BUT_DLC_GATED","any_scope_state","Five invalid regions","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=5; ip2_content"
"common/journal_entries/04_indian_famines.txt","26;31;36;41;46","all five invalid IDs","je_indian_famines / regional possible branches","journal entry","Checks famine state per historic subdivision","ACTIVE_BUT_DLC_GATED","any_scope_state","One invalid ID per branch","Hotfix consolidates north/south and broad India checks","Vanilla preserves *_old geographic subdivisions","geographic_region_required","MEDIUM","NONE","HOTFIX-5C3","count=5; review branch semantics"
"common/journal_entries/04_indian_famines.txt","52-56","all five invalid IDs","je_indian_famines / broad possible OR","journal entry","Checks active famine anywhere in India","ACTIVE_BUT_DLC_GATED","any_scope_state","Five invalid regions","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=5"
"common/journal_entries/04_indian_famines.txt","79-83","all five invalid IDs","je_indian_famines / initial state selection","journal entry","Selects famine region/state","ACTIVE_BUT_DLC_GATED","any_scope_state","Five invalid regions","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5"
"common/journal_entries/04_indian_famines.txt","94;117;140;163;186","all five invalid IDs","je_indian_famines / regional variable branches","journal entry","Selects one historic famine subdivision","ACTIVE_BUT_DLC_GATED","any_scope_state","One invalid ID per branch","Hotfix mixes north/south and geographic old regions","Vanilla defines five *_old geographic regions","geographic_region_required","HIGH","NONE","HOTFIX-5C3","count=5"
"common/journal_entries/04_indian_famines.txt","101-197","all five invalid IDs","je_indian_famines / regional exclusion ORs","journal entry","Ensures no competing famine region","ACTIVE_BUT_DLC_GATED","NOT any_scope_state","Five OR sets of five invalid IDs","Hotfix uses geographic_region_india and regionalized branches","Vanilla geographic predicates are valid","geographic_region_required","MEDIUM","NONE","HOTFIX-5C3","count=25"
"common/journal_entries/04_indian_famines.txt","215;226;237;248;259","all five invalid IDs","je_indian_famines / regional completion branches","journal entry","Completes per famine subdivision","ACTIVE_BUT_DLC_GATED","NOT any_scope_state","One invalid ID per branch","Hotfix uses five *_old geographic regions","Vanilla defines those geographic regions","geographic_region_required","HIGH","NONE","HOTFIX-5C3","count=5"
"common/journal_entries/04_indian_famines.txt","271-275","all five invalid IDs","je_indian_famines / broad completion OR","journal entry","Completes when no famine remains in India","ACTIVE_BUT_DLC_GATED","NOT any_scope_state","Five invalid regions","Hotfix uses geographic_region_india","Vanilla defines geographic_region_india","geographic_region_required","HIGH","NONE","HOTFIX-5C2","count=5"
"common/journal_entries/04_sepoy_mutiny.txt","44-56","all five invalid IDs","je_uneasy_raj / immediate","journal entry","Initializes presidency stability bars","ACTIVE_RUNTIME","BIC and strategic region scopes","Five invalid region scopes","Hotfix uses broad geographic India/state logic","Vanilla north/south cannot preserve five presidency bars alone","explicit_state_region","HIGH","BIC","HOTFIX-5C3","count=5; use explicit state-region groups"
"common/journal_entries/04_sepoy_mutiny.txt","611-615","all five invalid IDs","je_sepoy_mutiny / hidden trigger","journal entry","Checks revolt spread across India","ACTIVE_RUNTIME","country capital","Five invalid regions","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","BIC","HOTFIX-5C2","count=5; chain can affect 1776 if prerequisites fire"
"common/journal_entries/07_hindustan_is_durrani_mod.txt","15;20;25","region_central_india;region_punjab;region_bombay","je_hindustan_is_durrani / complete","journal entry","Durrani territorial completion","ACTIVE_RUNTIME","root states","Three invalid region scopes","Hotfix maps to south and north","Vanilla north/south are valid but scope is historically sensitive","north_and_south","MEDIUM","MANUAL_RESEARCH","HOTFIX-5D","count=3; reserved"
"common/journal_entries/07_hindustan_is_durrani_mod.txt","41-43","region_central_india;region_punjab;region_bombay","je_hindustan_is_durrani / fail","journal entry","Failure if foreign capital remains in target India","ACTIVE_RUNTIME","any_country capital","Three invalid regions","Hotfix uses north/south","Vanilla north/south are valid","north_and_south","MEDIUM","MANUAL_RESEARCH","HOTFIX-5D","count=3; reserved"
"common/scripted_buttons/00_new_colonial_admins.txt","356-405","region_central_india","je_colonial_administration_button_central_india","scripted button","Legacy regional company creation","LEGACY_DORMANT_5B2","root states","Five references in detached definition","Hotfix replaces with hidden north-India legacy variant","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=5; visible always no"
"common/scripted_buttons/00_new_colonial_admins.txt","457-506","region_madras","je_colonial_administration_button_madras","scripted button","Legacy regional company creation","LEGACY_DORMANT_5B2","root states","Five references in detached definition","Hotfix removes active caller","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=5; visible always no"
"common/scripted_buttons/00_new_colonial_admins.txt","776-825","region_bengal","je_colonial_administration_button_bengal","scripted button","Legacy regional company creation","LEGACY_DORMANT_5B2","root states","Five references in detached definition","Hotfix removes active caller","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=5; visible always no"
"common/scripted_buttons/00_new_colonial_admins.txt","877-926","region_bombay","je_colonial_administration_button_bombay","scripted button","Legacy regional company creation","LEGACY_DORMANT_5B2","root states","Five references in detached definition","Hotfix removes active caller","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=5; visible always no"
"common/scripted_buttons/00_new_colonial_admins.txt","1086-1135","region_punjab","je_colonial_administration_button_punjab","scripted button","Legacy regional company creation","LEGACY_DORMANT_5B2","root states","Five references in detached definition","Hotfix removes active caller","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=5; visible always no"
"common/scripted_buttons/00_new_colonial_admins.txt","1475;1505;1511","region_bengal","je_colonial_administration_button_expand_bengal","scripted button","Legacy regional company expansion","LEGACY_DORMANT_5B2","root states/legacy subject","Three references in detached definition","Hotfix does not call this button","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=3"
"common/scripted_buttons/00_new_colonial_admins.txt","1565;1595;1601","region_bombay","je_colonial_administration_button_expand_bombay","scripted button","Legacy regional company expansion","LEGACY_DORMANT_5B2","root states/legacy subject","Three references in detached definition","Hotfix does not call this button","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=3"
"common/scripted_buttons/00_new_colonial_admins.txt","1745;1775;1781","region_punjab","je_colonial_administration_button_expand_punjab","scripted button","Legacy regional company expansion","LEGACY_DORMANT_5B2","root states/legacy subject","Three references in detached definition","Hotfix does not call this button","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=3"
"common/scripted_buttons/00_new_colonial_admins.txt","1835;1864;1870","region_madras","je_colonial_administration_button_expand_madras","scripted button","Legacy regional company expansion","LEGACY_DORMANT_5B2","root states/legacy subject","Three references in detached definition","Hotfix does not call this button","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=3"
"common/scripted_buttons/00_new_colonial_admins.txt","1924;1953;1959","region_central_india","je_colonial_administration_button_expand_central_india","scripted button","Legacy regional company expansion","LEGACY_DORMANT_5B2","root states/legacy subject","Three references in detached definition","Hotfix does not call this button","No current caller in fork","preserve_legacy_temporarily","HIGH","BIC","HOTFIX-5C-LEGACY","count=3"
"events/india_events/india_misc_events.txt","659-663","all five invalid IDs","india_events.6 / trigger","event","Hindu-German Conspiracy enemy interest check","ACTIVE_BUT_DLC_GATED","top_overlord enemy","Five invalid interest markers","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5; ip2_content"
"events/india_events/india_misc_events.txt","675-679","all five invalid IDs","india_events.6 / immediate","event","Selects enemy with Indian interest","ACTIVE_BUT_DLC_GATED","ordered_enemy_in_war","Five invalid interest markers","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5; ip2_content"
"events/india_events/india_railway.txt","498-502","all five invalid IDs","india_railway.5 / option fallback","event","Selects an Indian state for railway effect","ACTIVE_BUT_DLC_GATED","ordered_scope_state","Five invalid regions","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=5; reached from ip2 railway chain"
"events/india_events/indian_famines.txt","31-49","all five invalid IDs","indian_famines.1 / trigger and immediate","event","Checks and selects famine state across India","ACTIVE_BUT_DLC_GATED","any/random scope state","Two OR sets of five invalid regions","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=10"
"events/india_events/indian_famines.txt","133-165","all five invalid IDs","indian_famines.2 / trigger and immediate","event","Checks and selects famine state across India","ACTIVE_BUT_DLC_GATED","any/random scope state","Two OR sets of five invalid regions","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=10"
"events/india_events/indian_famines.txt","198-233","all five invalid IDs","indian_famines.2 / option tooltip and effect","event","Displays and applies relief across India","ACTIVE_BUT_DLC_GATED","ordered/every scope state","Two OR sets of five invalid regions","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=10"
"events/india_events/indian_famines.txt","396-414","all five invalid IDs","indian_famines.4 / trigger and immediate","event","Checks and selects famine state across India","ACTIVE_BUT_DLC_GATED","any/random scope state","Two OR sets of five invalid regions","Hotfix uses north/south","Vanilla defines north/south","north_and_south","HIGH","NONE","HOTFIX-5C2","count=10"
