"state_id"                    , "numeric_id", "source_file"                                    , "current_relevant_resources"                                                                                                                                                                                                                    , "candidate_limestone_potential", "potential_class", "evidence_status"  , "evidence_region"                      , "evidence_summary"                                                                                                                                                                                                                                                                                                                                                                                                            , "source_urls"                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "implementation_status"            , "notes"
"STATE_ALASKA"                , "269"       , "map_data/state_regions/05_north_america.txt"    , "building_coal_mine=32;building_logging_camp=90;building_whaling_station=8;building_fishing_wharf=10;building_gold_field=discoverable"                                                                                                          , "8"                            , "LOW"            , "HIGH_CONFIDENCE"  , "North America"                        , "STATE_ALASKA is classified LOW because it represents only limited or poorly resolved carbonate occurrence amid unfavorable terrain or small land area. Regional basis: Limestone and dolomite are widespread across central and eastern North America and major western sedimentary basins; Canadian Shield and young volcanic provinces are substantially lower."                                                           , "https://www.usgs.gov/publications/natural-aggregates-conterminous-united-states|https://pubs.usgs.gov/bul/b1594/|https://pubs.usgs.gov/bul/1019e/report.pdf|https://geoappext.nrcan.gc.ca/arcgis/rest/services/MMS/GMRC_E/MapServer/0"                                                                                                                                                                                                                            , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALBANIA"               , "110"       , "map_data/state_regions/01_south_europe.txt"     , "building_iron_mine=24;building_logging_camp=6;building_fishing_wharf=8;building_oil_rig=discoverable"                                                                                                                                          , "80"                           , "VERY_HIGH"      , "MEDIUM_CONFIDENCE", "Balkans"                              , "STATE_ALBANIA is classified VERY_HIGH because it represents a major, well-exposed carbonate province or documented national concentration. Regional basis: The Dinaric, Hellenic and Balkan mountain systems contain extensive Mesozoic carbonate and karst belts, making limestone broadly abundant despite local basin or volcanic interruptions."                                                                         , "https://onegeology.github.io/documentation/using/portal.html|https://www.usgs.gov/centers/central-energy-resources-science-center/science/world-geologic-maps"                                                                                                                                                                                                                                                                                                    , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALBERTA"               , "314"       , "map_data/state_regions/05_north_america.txt"    , "building_coal_mine=48;building_sulfur_mine=32;building_logging_camp=70;building_oil_rig=discoverable;building_salt_mine=discoverable"                                                                                                          , "48"                           , "HIGH"           , "HIGH_CONFIDENCE"  , "North America"                        , "STATE_ALBERTA is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: Limestone and dolomite are widespread across central and eastern North America and major western sedimentary basins; Canadian Shield and young volcanic provinces are substantially lower."                                                                   , "https://www.usgs.gov/publications/natural-aggregates-conterminous-united-states|https://pubs.usgs.gov/bul/b1594/|https://pubs.usgs.gov/bul/1019e/report.pdf|https://geoappext.nrcan.gc.ca/arcgis/rest/services/MMS/GMRC_E/MapServer/0"                                                                                                                                                                                                                            , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALENTEJO"              , "106"       , "map_data/state_regions/01_south_europe.txt"     , "building_coal_mine=4;building_iron_mine=16;building_sulfur_mine=22;building_logging_camp=2;building_fishing_wharf=6;building_salt_pan=20"                                                                                                      , "28"                           , "MEDIUM"         , "HIGH_CONFIDENCE"  , "Iberia"                               , "STATE_ALENTEJO is classified MEDIUM because it represents meaningful but spatially mixed carbonate geology at state scale. Regional basis: National lithological mapping shows widespread limestone, dolomite and marl across the Iberian sedimentary basins and mountain belts, with lower confidence or access on crystalline western massifs."                                                                            , "https://mapas.igme.es/gis/rest/services/oneGeology/IGME_EN_Geology/MapServer/legend|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                                                                                                                                 , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALEPPO"                , "409"       , "map_data/state_regions/08_middle_east.txt"      , "building_logging_camp=6;building_fishing_wharf=5"                                                                                                                                                                                              , "48"                           , "HIGH"           , "MEDIUM_CONFIDENCE", "Middle East"                          , "STATE_ALEPPO is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: The Arabian platform, Levant and Zagros contain very extensive marine carbonate sequences; major river alluvium and interior sand cover reduce directly accessible outcrop in selected states."                                                                , "https://www.usgs.gov/maps/geologic-map-arabian-peninsula|https://pubs.usgs.gov/publication/ofr97470B|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                                                                                                                , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALGIERS"               , "190"       , "map_data/state_regions/03_north_africa.txt"     , "building_iron_mine=10;building_lead_mine=7;building_logging_camp=6;building_fishing_wharf=8"                                                                                                                                                   , "48"                           , "HIGH"           , "MEDIUM_CONFIDENCE", "North Africa"                         , "STATE_ALGIERS is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: Atlas belts, Mediterranean basins and Egypt contain widespread carbonate strata, while crystalline massifs, dunes and deep Saharan cover lower practical quarry potential inland."                                                                            , "https://www.brgm.fr/en/reference-completed-project/new-edition-110000000-geological-map-africa|https://infoterre.brgm.fr/rapports/RP-54404-FR.pdf|https://emra.gov.eg/ca/geological-maps|https://cartesgeoscientifiques.mem.gov.ma/?tc=gp"                                                                                                                                                                                                                        , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALSACE_LORRAINE"       , "35"        , "map_data/state_regions/00_west_europe.txt"      , "building_coal_mine=60;building_iron_mine=60;building_logging_camp=17;building_salt_mine=discoverable"                                                                                                                                          , "48"                           , "HIGH"           , "HIGH_CONFIDENCE"  , "France and Benelux"                   , "STATE_ALSACE_LORRAINE is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: The Paris and Anglo-Paris basins contain major chalk and limestone tracts, while Belgian Paleozoic belts add strong carbonate potential; lowland cover reduces direct access in parts of the Netherlands and Flanders."                               , "https://www.brgm.fr/fr/reference-projet-acheve/premiere-version-carte-lithologique-france-metropolitaine-au-150-000e|https://sigessn.brgm.fr/spip.php?article46=|https://gsb.naturalsciences.be/maps/old-geological-maps-40k/|https://geologievannederland.nl/ondergrond/afzettingen-en-delfstoffen/kalksteen"                                                                                                                                                    , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALTAI"                 , "828"       , "map_data/state_regions/15_russia.txt"           , "building_iron_mine=7;building_logging_camp=18;building_lead_mine=12;building_gold_field=discoverable"                                                                                                                                          , "16"                           , "MODEST"         , "LOW_CONFIDENCE"   , "Central Asia and Himalaya"            , "STATE_ALTAI is classified MODEST because it represents localized carbonate units constrained by cover, crystalline terrain, or access. Regional basis: Orogenic and sedimentary belts contain substantial carbonate sequences, but state boundaries are coarse and deserts, plateau cover and accessibility introduce high uncertainty."                                                                                     , "https://pubs.usgs.gov/publication/ofr97470E|https://data.usgs.gov/datacatalog/data/USGS%3A60ad3d53d34e4043c850f275|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                                                                                                  , "REVIEW_REQUIRED"                  , "Regional-scale evidence only; targeted geological-survey or deposit-level confirmation is required before editing state resources."
"STATE_ALTO_PARAGUAY"         , "372"       , "map_data/state_regions/07_south_america.txt"    , "building_logging_camp=11;building_oil_rig=discoverable"                                                                                                                                                                                        , "16"                           , "MODEST"         , "MEDIUM_CONFIDENCE", "Brazil and Southern Cone"             , "STATE_ALTO_PARAGUAY is classified MODEST because it represents localized carbonate units constrained by cover, crystalline terrain, or access. Regional basis: Brazilian and Argentine mapping shows carbonate occurrences within sedimentary basins and folded belts, but large shields, Amazon cover, Pampas sediment and Patagonia make potential uneven."                                                                , "https://rigeo.sgb.gov.br/items/32bb9679-e245-49d8-ba89-3fd9d68b59ea|https://repositorio.segemar.gov.ar/bitstream/handle/308849217/2825/CMIRyG_2766II_SM_Tucuman_M.pdf?isAllowed=y&sequence=1|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                        , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ALXA"                  , "484"       , "map_data/state_regions/11_east_asia.txt"        , "building_coal_mine=32;building_oil_rig=discoverable"                                                                                                                                                                                           , "28"                           , "MEDIUM"         , "HIGH_CONFIDENCE"  , "China"                                , "STATE_ALXA is classified MEDIUM because it represents meaningful but spatially mixed carbonate geology at state scale. Regional basis: China Geological Survey sources identify enormous carbonate and karst provinces, particularly in the southwest and several northern basins; deserts, loess cover and crystalline plateaus reduce access elsewhere."                                                                   , "https://en.cgs.gov.cn/Achievement/tci/gws/201603/t20160309_265903.html|https://en.cgs.gov.cn/Achievement/tci/gws/201603/t20160309_266042.html|https://m.cgs.gov.cn/cgkx/202108/t20210819_678423.html"                                                                                                                                                                                                                                                             , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_AL_RIF"                , "188"       , "map_data/state_regions/03_north_africa.txt"     , "building_logging_camp=6;building_fishing_wharf=7;building_coal_mine=6;building_salt_pan=25"                                                                                                                                                    , "48"                           , "HIGH"           , "MEDIUM_CONFIDENCE", "North Africa"                         , "STATE_AL_RIF is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: Atlas belts, Mediterranean basins and Egypt contain widespread carbonate strata, while crystalline massifs, dunes and deep Saharan cover lower practical quarry potential inland."                                                                             , "https://www.brgm.fr/en/reference-completed-project/new-edition-110000000-geological-map-africa|https://infoterre.brgm.fr/rapports/RP-54404-FR.pdf|https://emra.gov.eg/ca/geological-maps|https://cartesgeoscientifiques.mem.gov.ma/?tc=gp"                                                                                                                                                                                                                        , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_AMAZONAS"              , "386"       , "map_data/state_regions/07_south_america.txt"    , "building_logging_camp=40;building_rubber_plantation=discoverable;building_oil_rig=discoverable"                                                                                                                                                , "8"                            , "LOW"            , "MEDIUM_CONFIDENCE", "Brazil and Southern Cone"             , "STATE_AMAZONAS is classified LOW because it represents only limited or poorly resolved carbonate occurrence amid unfavorable terrain or small land area. Regional basis: Brazilian and Argentine mapping shows carbonate occurrences within sedimentary basins and folded belts, but large shields, Amazon cover, Pampas sediment and Patagonia make potential uneven."                                                      , "https://rigeo.sgb.gov.br/items/32bb9679-e245-49d8-ba89-3fd9d68b59ea|https://repositorio.segemar.gov.ar/bitstream/handle/308849217/2825/CMIRyG_2766II_SM_Tucuman_M.pdf?isAllowed=y&sequence=1|https://onegeology.github.io/documentation/using/portal.html"                                                                                                                                                                                                        , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_AMHARA"                , "229"       , "map_data/state_regions/04_subsaharan_africa.txt", "building_logging_camp=20;building_rubber_plantation=discoverable"                                                                                                                                                                              , "16"                           , "MODEST"         , "MEDIUM_CONFIDENCE", "Sub-Saharan Africa"                   , "STATE_AMHARA is classified MODEST because it represents localized carbonate units constrained by cover, crystalline terrain, or access. Regional basis: Local sedimentary basins and carbonate belts support limestone across the region, but large Precambrian shield areas make distribution discontinuous; South African mapping identifies major limestone and dolomite provinces."                                      , "https://www.brgm.fr/en/reference-completed-project/new-edition-110000000-geological-map-africa|https://infoterre.brgm.fr/rapports/RP-54404-FR.pdf|https://www.geoscience.org.za/cgs/systems/publications/downloadable-material/|https://www.geoscience.org.za/cgs/systems/publications/cgs-geological-maps/"                                                                                                                                                      , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_AMUR"                  , "831"       , "map_data/state_regions/15_russia.txt"           , "building_iron_mine=25;building_coal_mine=20;building_logging_camp=25;building_fishing_wharf=6;building_gold_field=discoverable"                                                                                                                , "16"                           , "MODEST"         , "LOW_CONFIDENCE"   , "Siberia and Arctic"                   , "STATE_AMUR is classified MODEST because it represents localized carbonate units constrained by cover, crystalline terrain, or access. Regional basis: Siberian sedimentary platforms contain carbonates, but shield terrain, volcanic arcs, permafrost and extreme remoteness sharply reduce practical state-scale quarry potential."                                                                                        , "https://pubs.usgs.gov/publication/ofr97470E|https://data.usgs.gov/datacatalog/data/USGS%3A60ad3d53d34e4043c850f275|https://www.usgs.gov/centers/central-energy-resources-science-center/science/world-geologic-maps"                                                                                                                                                                                                                                              , "REVIEW_REQUIRED"                  , "Regional-scale evidence only; targeted geological-survey or deposit-level confirmation is required before editing state resources."
"STATE_ANHALT"                , "62"        , "map_data/state_regions/00_west_europe.txt"      , "building_coal_mine=44;building_logging_camp=20;building_salt_mine=discoverable"                                                                                                                                                                , "28"                           , "MEDIUM"         , "MEDIUM_CONFIDENCE", "German states and Central Europe"     , "STATE_ANHALT is classified MEDIUM because it represents meaningful but spatially mixed carbonate geology at state scale. Regional basis: Mesozoic limestone belts, Alpine carbonates and Carpathian units create broad quarry potential, while northern lowlands and crystalline cores are more discontinuous."                                                                                                              , "https://www.bgr.bund.de/DE/Themen/Sammlungen-Grundlagen/GG_geol_Info/Karten/Deutschland/GUEK250/guek250_inhalt.html?nn=1840614|https://www.bgr.bund.de/EN/Themen/Sammlungen-Grundlagen/GG_geol_Info/Karten/Deutschland/Bodenschatzkarte/bodenschatzkarte_node_en.html|https://gemas.eurogeosurveys.org/image/GEMAS_Brochure.pdf"                                                                                                                                  , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ANKARA"                , "432"       , "map_data/state_regions/08_middle_east.txt"      , "building_logging_camp=9;building_salt_mine=discoverable"                                                                                                                                                                                       , "48"                           , "HIGH"           , "MEDIUM_CONFIDENCE", "Anatolia and Caucasus"                , "STATE_ANKARA is classified HIGH because it represents broad carbonate-bearing sedimentary or fold-belt geology with good quarry plausibility. Regional basis: Fold belts and plate margins expose extensive Mesozoic and Cenozoic carbonate sequences; high potential is tempered locally by volcanic massifs and narrow alluvial basins."                                                                                   , "https://onegeology.github.io/documentation/using/portal.html|https://pubs.usgs.gov/publication/ofr97470E|https://www.usgs.gov/maps/geologic-map-arabian-peninsula"                                                                                                                                                                                                                                                                                                , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ANNAM"                 , "518"       , "map_data/state_regions/11_east_asia.txt"        , "building_coal_mine=24;building_iron_mine=27;building_logging_camp=17;building_fishing_wharf=15;building_salt_pan=25;building_rubber_plantation=discoverable"                                                                                   , "28"                           , "MEDIUM"         , "MEDIUM_CONFIDENCE", "Southeast Asia"                       , "STATE_ANNAM is classified MEDIUM because it represents meaningful but spatially mixed carbonate geology at state scale. Regional basis: Regional geological compilation shows widespread carbonate and karst belts from Burma through Indochina and Malaya, interrupted by deltas, volcanic arcs and granitic uplands."                                                                                                      , "https://en.cgs.gov.cn/achievements/201601/t20160112_35416.html|https://gbank.gsj.jp/owscontents/index_en.html"                                                                                                                                                                                                                                                                                                                                                    , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ANTIOQUIA"             , "356"       , "map_data/state_regions/07_south_america.txt"    , "building_coal_mine=32;building_iron_mine=36;building_logging_camp=13;building_fishing_wharf=8;building_rubber_plantation=discoverable;building_oil_rig=discoverable"                                                                           , "80"                           , "VERY_HIGH"      , "HIGH_CONFIDENCE"  , "Andes"                                , "STATE_ANTIOQUIA is classified VERY_HIGH because it represents a major, well-exposed carbonate province or documented national concentration. Regional basis: National surveys document extensive limestone and industrial-mineral occurrences in Colombia and Peru; carbonate-bearing Andean basins continue regionally but volcanic massifs and high plateaus lower selected states."                                       , "https://www2.sgc.gov.co/Publicaciones/Cientificas/NoSeriadas/Documents/Caliza-en-Colombia-geologia.PDF|https://srvags.sgc.gov.co/PortalWeb/Elementos-web/Geoportal/sistema/index.html|https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_GEOLOGIA_50K_INTEGRADA/MapServer|https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_ROCAS_MINERALES_INDUSTRIALES/MapServer/17"                                                                         , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
"STATE_ANTOFAGASTA"           , "362"       , "map_data/state_regions/07_south_america.txt"    , "building_iron_mine=30;building_sulfur_mine=48;building_fishing_wharf=5;building_gold_field=discoverable"                                                                                                                                       , "16"                           , "MODEST"         , "HIGH_CONFIDENCE"  , "Andes"                                , "STATE_ANTOFAGASTA is classified MODEST because it represents localized carbonate units constrained by cover, crystalline terrain, or access. Regional basis: National surveys document extensive limestone and industrial-mineral occurrences in Colombia and Peru; carbonate-bearing Andean basins continue regionally but volcanic massifs and high plateaus lower selected states."                                       , "https://www2.sgc.gov.co/Publicaciones/Cientificas/NoSeriadas/Documents/Caliza-en-Colombia-geologia.PDF|https://srvags.sgc.gov.co/PortalWeb/Elementos-web/Geoportal/sistema/index.html|https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_GEOLOGIA_50K_INTEGRADA/MapServer|https://geocatmin.ingemmet.gob.pe/arcgis/rest/services/SERV_ROCAS_MINERALES_INDUSTRIALES/MapServer/17"                                                                         , "RESEARCHED_PENDING_IMPLEMENTATION", "Audit recommendation only. The value is a future state resource cap, not a mine count, production amount, or current quarry deployment."
