tag,country,expected_ruler,implemented_ruler,expected_age,implementation_date_mode,current_title,status,source_template,history_file,localization_file,special_case,runtime_required,notes
JAP,Tokugawa Shogunate,Tokugawa Ieharu,Tokugawa Ieharu,38,exact_birth_date,Shogun,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,EFFECTIVE_RULER,YES,Uses existing japanese primary culture and rel:mahayana.
KOR,Joseon,Yeongjo,Yi Yeongjo,81,exact_birth_date_gregorian,King,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,START_DATE_BEFORE_1776_SUCCESSION,YES,Removed the anachronistic 1836 regency modifier; no succession event added.
MUG,Mughal Empire,Shah Alam II,Shah Alam II,47,documented_approximate_age,Emperor,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NOMINAL_HISTORICAL_RULER,YES,No exact birth date fabricated.
MARATH,Maratha Confederacy,Madhavrao II,Sakharam Bapu Bokil / Madhavrao II,1,exact_birth_date_nominal_heir,Regent / Peshwa,PASS,direct_history_regency,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,REGENCY_EFFECTIVE_AND_NOMINAL,YES,Sakharam is the effective ruler-regent at approximate age 60 (circa 1716 research estimate); Madhavrao II is the nominal child heir born 1774-04-18; engine regency tenure starts at one completed year; Anandrao Dhulap and Konkan Flotilla remain untouched.
HYD,Hyderabad,Nizam Ali Khan (Asaf Jah II),Nizam Ali Khan Asaf Jah,41,exact_birth_date,Nizam,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,NO,YES,Replaces the engine-generated ruler.
MYS,Mysore,Hyder Ali,Hyder Ali,55,documented_approximate_age,Sarvadhikari,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,EFFECTIVE_DE_FACTO_RULER,YES,No exact birth date fabricated; no commander role or formation added.
PER,Zand Persia,Karim Khan Zand,Karim Khan Zand,70,documented_approximate_age,Vakil,PASS,per_karim_khand_zand_template,common/history/characters/per - persia.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,TITLE_FIX,YES,Existing DNA and military role preserved; fabricated exact birth date replaced by age 70.
NET,Dutch Republic,William V of Orange,William V van Oranje-Nassau,27,exact_birth_date,Stadtholder,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,REPUBLICAN_EXECUTIVE,YES,Governance changed from inherited monarchy and wealth voting to presidential republic and oligarchy for the historical single-ruler abstraction.
SIC+GR3,Kingdoms of Naples and Sicily,Ferdinand IV of Naples / Ferdinand III of Sicily,Ferdinand de Bourbon,24,exact_birth_date,King,PASS,direct_history,common/history/characters/sic - naples sicily.txt,existing_name_localization,PERSONAL_UNION_SHARED_RULER,YES,SIC is senior partner and GR3 the personal-union subject; the existing single character is shared by the engine and is not duplicated.
MON,Montenegro,Sava Petrovic,Sava II Petrovic-Njegos,74,documented_approximate_age,Prince-Bishop,PASS,direct_history,common/history/characters/cleanup2b1 - major rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,RESEARCH_REVISIT_LATER,YES,Medium-confidence identity implemented with approximate age only.
