"priority","tag","country","packet_decision","implementation_status","character_actually_used","government_actually_used","ruler_title_actually_used","deferred_reason","files_touched","static_validation_result","notes"
"P1","BRD","Burundi","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Mwambutsa III Syarushambo Butama","gov_cleanup2c1_brd","Mwami","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Modern reconstructions often place Mwambutsa III around 1767–1796, but older traditional chronologies differ substantially."
"P1","BRG","Borgu","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not create a unitary King of Borgu; defer to map/political-structure rework.","","PASS","Borgu was composed of multiple kingdoms/political centers rather than one centralized state."
"P1","BST","Basutoland","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","The tag is anachronistic as a centralized state in 1776; defer to map/population/political-structure rework.","","PASS","The Basotho nation/state coalesced under Moshoeshoe in the early 19th century, not in 1776."
"P1","BUG","Buganda","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Kyabaggu Kabinuli","gov_cleanup2c1_bug","Kabaka","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Traditional chronologies place Kyabaggu in the mid-to-late 18th century, including 1776."
"P1","CON","Constantine","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Salah Bey","gov_cleanup2c1_con","Bey","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Salah Bey governed Constantine from 1771 to 1792 under the Regency of Algiers."
"P1","DAH","Dahomey","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Kpengla","gov_cleanup2c1_dah","Ahosu","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Kpengla reigned 1774–1789."
"P1","DFR","Darfur","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Muhammad Tayrab","gov_cleanup2c1_dfr","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Muhammad Tayrab ruled approximately 1751–1786."
"P1","ETH","Ethiopia","IMPLEMENT_HISTORICAL_NOMINAL_SOVEREIGN","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Tekle Haymanot II","gov_cleanup2c1_eth","Emperor","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He held the throne from late 1770 until April 1777; practical power was fragmented among great nobles."
"P1","FTJ","Futa Jallon","IMPLEMENT_ELECTIVE_HISTORICAL_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ibrahima Sori","gov_cleanup2c1_ftj","Almamy","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ibrahima Sori became the leading Almamy in the 1770s and consolidated authority around 1776."
"P1","FTR","Futa Toro","TRANSITION_1776_IDENTITY_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not assume Abdul Kader was already ruler on 1776-01-01. Keep start-date identity procedural/deferred unless a day-specific source is found.","","PASS","The Torodbe revolution culminated in 1776, but accessible chronologies do not securely date the transfer to the scenario's exact first day."
"P1","GLD","Geledi","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Mahamud Ibrahim","gov_cleanup2c1_gld","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Historical syntheses place Mahamud Ibrahim in power in the mid-18th century through 1798."
"P1","HAU","Gobir","IDENTITY_CHRONOLOGY_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not force Bawa Jan Gwarzo at start while the accession-year conflict remains unresolved. Keep a justified procedural ruler until the chronology is securely resolved.","","PASS","Sources disagree whether Bawa's accession was 1776 or 1777 and some lists retain Gambai immediately before him; therefore the start-date identity is deliberately deferred."
"P1","ISQ","Isaaq","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Guled Abdi","gov_cleanup2c1_isq","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Traditional chronologies place Guled Abdi in office approximately 1750–1808."
"P1","KON","Kongo","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Álvaro XI","gov_cleanup2c1_kon","Manikongo","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Álvaro XI of the Kinlaza house reigned 1764–1779."
"P1","KRG","Karagwe","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ntare V Kiitabanyoro","gov_cleanup2c1_krg","Omugabe","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Reconstructed ruler lists place Ntare in power from roughly 1774 to 1794, with numbering/date variation across traditions."
"P1","KRT","Kaarta","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Sira Bo","gov_cleanup2c1_krt","Faama","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place Sira Bo in office 1761–1781."
"P1","MAD","Madagascar","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not install Andrianampoinimerina or any island-wide king in 1776. Defer the unified tag to map/political-structure rework.","","PASS","Island-wide political unification belongs to a later period; Andrianampoinimerina's reign began after 1776."
"P1","MAS","Mascara","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ibrahim Bey of Miliana","gov_cleanup2c1_mas","Bey","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Provincial ruler lists place Ibrahim of Miliana in office approximately 1774–1783."
"P1","MBS","Mombasa","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Abdallah ibn Muhammad al-Mazru'i","gov_cleanup2c1_mbs","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler lists place Masud to 1773 and Abdallah from 1773–1782, making Abdallah the correct start-date ruler."
"P1","MJT","Majerteen","IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Keep a Boqor/Sultan government abstraction but do not invent a named 1776 monarch; defer individual identity.","","PASS","The polity predates the well-documented 19th-century sultans, but accessible chronologies do not securely name the holder on 1776-01-01."
"P1","MOR","Morocco","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Mohammed ben Abdallah","gov_cleanup2c1_mor","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","He reigned 1757–1790."
"P1","MSN","Massina","IMPLEMENT_HISTORICAL_RULER_WITH_DEPENDENCY_CAVEAT","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Hamadou-Amina III","gov_cleanup2c1_msn","Ardo Mawdo","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","A ruler table derived from specialist histories places Hamadou-Amina III in office 1761–1780; the later jihad state dates to the 19th century."
"P1","ORA","Oranje","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Treat as anachronistic and defer/remove/restructure during map/population rework.","","PASS","The Orange Free State was a 19th-century republic, recognized as independent in 1854."
"P1","OYO","Oyo","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Abiodun","gov_cleanup2c1_oyo","Alaafin","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Chronologies place Abiodun's reign in the 1770s through 1789."
"P1","PHL","Philippolis","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Tag is anachronistic for 1776; defer to map/population/political-structure rework.","","PASS","Philippolis was founded as a mission station in 1823 and became associated with a Griqua captaincy afterward."
"P1","RWD","Rwanda","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Kigeli III Ndabarasa","gov_cleanup2c1_rwd","Mwami","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Modern historical reconstructions often place Kigeli III around 1765–1792, while older traditional chronologies differ considerably."
"P1","SGU","Segou","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ngolo Diarra","gov_cleanup2c1_sgu","Faama","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ngolo Diarra ruled from the 1760s until about 1790."
"P1","SIL","Sierra Leone","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not assign a British governor in 1776. Defer the colonial tag to map/population/political-structure rework.","","PASS","The Province of Freedom settlement dates to 1787 and Crown Colony status to 1808."
"P1","SOK","Sokoto","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Tag is anachronistic; defer to map/political-structure rework.","","PASS","The Sokoto Caliphate emerged from the jihad beginning in 1804."
"P1","SWZ","Swaziland","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ngwane III","gov_cleanup2c1_swz","Ngwenyama","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ngwane III is conventionally dated as ruler about 1745–1780."
"P1","TGI","Tungi","IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Retain a Sultan-type government but do not invent a personal ruler; defer individual identity until a secure chronology is found.","","PASS","Sources support an old coastal settlement/sultanate tradition but did not securely identify the 1776 officeholder."
"P1","TRI","Tripolitania","IMPLEMENT_DELEGATED_DYNASTIC_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ali I Qaramanli","gov_cleanup2c1_tri","Pasha","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ali I ruled 1754–1793."
"P1","TRN","Transvaal","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Tag is anachronistic; defer to map/population/political-structure rework.","","PASS","The South African Republic/Transvaal state belongs to the mid-19th century."
"P1","TUG","Touggourt","IMPLEMENT_HISTORICAL_RULER_WITH_DEPENDENCY","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ahmed VIII ben Amrane","gov_cleanup2c1_tug","Sultan","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Beni Djellab ruler lists place Ahmed VIII in office 1766–1778."
"P1","TUN","Tunis","IMPLEMENT_DELEGATED_DYNASTIC_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Ali II ibn Hussein","gov_cleanup2c1_tun","Bey","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ali II ruled 1759–1782."
"P1","WAD","Wadai","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Muhammad Jawda","gov_cleanup2c1_wad","Kolak","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place Muhammad Jawda/Joda in office 1747–1795."
"P1","WBL","Griqualand","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED_WITH_HISTORICAL_LEADER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Adam Kok I","gov_cleanup2c1_wbl","Kaptyn","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Adam Kok I was a real 18th-century community leader, but a later territorial 'Griqualand' state should not be projected backward wholesale."
"P1","WSG","Warsangali","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Garaad Ali","gov_cleanup2c1_wsg","Garaad","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place a Garaad Ali in power through 1776, though accession/name styling differs between lists."
"P1","WTU","Witu","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","Do not invent an 18th-century Sultan of Witu. Defer the tag to map/political-structure rework.","","PASS","The Witu Sultanate is a 19th-century polity; its known founding/ruler chronology does not extend to 1776."
"P1","ALK","Alaska","MAP_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","No historical ruler. Leave procedural only if tag must remain technically materialised, and classify the territory for future map/political reconstruction.","","PASS","Russian-American Company dates from 1799; first permanent Russian settlement on Kodiak dates from 1784."
"P1","BRZ","Brazil","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Luis de Almeida Portugal","gov_cleanup2c1_brz","Viceroy of Brazil","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","CUB","Cuba","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Felipe de Fonsdeviela y Ondeano","gov_cleanup2c1_cub","Governor and Captain General of Cuba","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","GR5","Santo Domingo","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","José Solano y Bote","gov_cleanup2c1_gr5","Governor and Captain General of Santo Domingo","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","HAI","Haiti","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Victor-Therese Charpentier","gov_cleanup2c1_hai","Governor-General of Saint-Domingue","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","HBC","Hudson's Bay Company","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Sir Bibye Lake Jr.","gov_cleanup2c1_hbc","Governor of the Hudson's Bay Company","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"P1","IQU","Iquicha","MAP_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","No historical 1776 sovereign/executive for an Iquicha state. Do not back-project Antonio Huachaca.","","PASS","The political Iquicha entity belongs to the independence-era royalist movements, not 1776."
"P1","LOU","Louisiana","IMPLEMENT_DELEGATED_EXECUTIVE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Luis de Unzaga y Amézaga","gov_cleanup2c1_lou","Governor of Louisiana","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Some secondary sources differ on Unzaga's birth year; use approximate age, not an invented exact date."
"P1","MKT","Miskitia","IMPLEMENT_HISTORICAL_RULER","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","George I","gov_cleanup2c1_mkt","King of the Miskito","","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","George II belongs later in 1776; at 1 January George I remains the safest assignment."
"P1","NBS","New Brunswick","MAP_REWORK_DEFERRED","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated placeholder retained; no historical identity forced","Existing effective government retained","Engine procedural title retained","No separate New Brunswick ruler/tag in 1776.","","PASS","New Brunswick was separated from Nova Scotia only in 1784."
