"tag","country_name_en","country_name_fr_if_available","active_1776","world_region","world_subregion","capital_or_primary_region","country_type","country_tier","subject_type","overlord_tag","government_form","distribution_of_power","religion_state","primary_cultures","ruler_name","ruler_age","ruler_title","ruler_source","ruler_generated","character_history_source","shared_monarch","regency","historical_packet_batch","historical_status","government_status","title_status","constitutional_status","colonial_or_company_status","map_dependency","research_required","recommended_next_action","notes"
"BRU","Brunei","Brunei","YES","SOUTHEAST_ASIA","INDONESIA","STATE_NORTH_BORNEO","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bornean","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BRZ","Brazil","Brésil","YES","SOUTH_AMERICA","BRAZIL","STATE_RIO_DE_JANEIRO","colonial","empire","colony","POR","law_colonial_administration","law_oligarchy","law_state_religion","brazilian","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","COLONIAL_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BST","Basutoland","Basutoland","YES","SOUTHERN_AFRICA","SOUTHERN_AFRICA","STATE_ZULULAND","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_freedom_of_conscience","sotho","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BTN","Buton","Buton","YES","SOUTHEAST_ASIA","INDONESIA","STATE_CELEBES","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","moluccan","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BUG","Buganda","Bouganda","YES","EAST_AFRICA","EAST_AFRICA","STATE_UGANDA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","baganda","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BUK","Bukhara","Boukhara","YES","CENTRAL_ASIA","CENTRAL_ASIA","STATE_UZBEKIA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","uzbek","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BUR","Burma","Birmanie","YES","SOUTHEAST_ASIA","INDOCHINA","STATE_MANDALAY","unrecognized","kingdom","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","burmese","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"CAM","Cambodia","Cambodge","YES","SOUTHEAST_ASIA","INDOCHINA","STATE_CAMBODIA","unrecognized","kingdom","tributary","DAI","law_monarchy","law_autocracy","law_state_religion","khmer","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"CHC","Chechnya","Tchétchénie","YES","CAUCASUS","CAUCASUS","STATE_NORTH_CAUCASUS","unrecognized","principality","INDEPENDENT","","law_theocracy","law_oligarchy","law_people_of_the_book","chechen","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"CHI","China","Chine","YES","EAST_ASIA","NORTH_CHINA","STATE_BEIJING","unrecognized","empire","INDEPENDENT","","law_monarchy","law_autocracy","law_freedom_of_conscience","manchu;han","Qianlong (Hongli)","64","Emperor","BATCH1_VALIDATED","NO","BATCH1 effective character history","NO","NO","BATCH1","ALREADY_VALIDATED_BATCH1","GOVERNMENT_OK","TITLE_OK","CONSTITUTIONAL_STATUS_OK","NOT_COLONIAL_OR_COMPANY","NO","NO","P3 retain validated Batch-1 packet; no new research.","Static 1776 setup audit; no external historical research performed."
"CHP","Champasak","Champassak","YES","SOUTHEAST_ASIA","INDOCHINA","STATE_LAOS","unrecognized","principality","vassal","SIA","law_monarchy","law_autocracy","law_state_religion","lao","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"CIR","Circassia","Circassie","YES","CAUCASUS","CAUCASUS","STATE_KUBAN","unrecognized","principality","INDEPENDENT","","law_parliamentary_republic","law_oligarchy","law_people_of_the_book","circassian","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"CMI","Chiang Mai","Chiang Mai","YES","SOUTHEAST_ASIA","INDOCHINA","STATE_CHIANG_MAI","unrecognized","principality","vassal","SIA","law_monarchy","law_autocracy","law_state_religion","thai;shan","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"COC","Cochin","Cochin","YES","INDIA","SOUTH_INDIA","STATE_TRAVANCORE","unrecognized","principality","puppet","DEI","law_monarchy","law_autocracy","law_state_religion","malayalam","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"CON","Constantine","Constantine","YES","NORTH_AFRICA","NORTH_AFRICA","STATE_CONSTANTINE","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_people_of_the_book","maghrebi;berber","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"COO","Cooch Behar","Cooch Behar","YES","INDIA","NORTH_INDIA","STATE_EAST_BENGAL","unrecognized","principality","puppet","BIC","law_monarchy","law_autocracy","law_state_religion","bengali","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"CUB","Cuba","Cuba","YES","CARIBBEAN","CARIBBEAN","STATE_WESTERN_CUBA","colonial","principality","colony","SPA","law_colonial_administration","law_autocracy","law_state_religion","caribeno","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","COLONIAL_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"DAH","Dahomey","Dahomey","YES","WEST_AFRICA","WEST_AFRICA","STATE_DAHOMEY","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","fon","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
