"tag","cleanup2c1b_runtime_status","cleanup2c1c_scope","company_issue","tibet_issue","title_duplication_issue","root_cause","hotfix_action","historical_character","historical_title","company_executive","implementation_status","technical_defer_reason","files_touched","static_validation","notes"
"BRD","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Mwambutsa III Syarushambo Butama","Mwami","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Modern reconstructions often place Mwambutsa III around 1767–1796, but older traditional chronologies differ substantially."
"BRG","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","Borgu was composed of multiple kingdoms/political centers rather than one centralized state."
"BST","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The Basotho nation/state coalesced under Moshoeshoe in the early 19th century, not in 1776."
"BUG","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Kyabaggu Kabinuli","Kabaka","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Traditional chronologies place Kyabaggu in the mid-to-late 18th century, including 1776."
"CON","NOT_INDIVIDUALLY_RETESTED_1B","TITLE_DUPLICATION_AUDIT","NOT_APPLICABLE","NOT_APPLICABLE","CANDIDATE_AUDITED_PRESERVED","The fixed identity contains a word also used by the ruler title, but the authority packet gives that complete form as the recommended character identity.","No automatic rewrite; preserve the packet-authorized identity.","Salah Bey","Bey","NOT_APPLICABLE","AUDITED_PRESERVED_AUTHORITY_UNCERTAIN","","None","PASS_NO_UNAUTHORIZED_REWRITE","Salah Bey is the packet-authorized conventional identity form; Bey was not stripped automatically."
"DAH","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Kpengla","Ahosu","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Kpengla reigned 1774–1789."
"DFR","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Muhammad Tayrab","Sultan","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Muhammad Tayrab ruled approximately 1751–1786."
"ETH","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Tekle Haymanot II","Emperor","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","He held the throne from late 1770 until April 1777; practical power was fragmented among great nobles."
"FTJ","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ibrahima Sori","Almamy","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ibrahima Sori became the leading Almamy in the 1770s and consolidated authority around 1776."
"FTR","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The Torodbe revolution culminated in 1776, but accessible chronologies do not securely date the transfer to the scenario's exact first day."
"GLD","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Mahamud Ibrahim","Sultan","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Historical syntheses place Mahamud Ibrahim in power in the mid-18th century through 1798."
"HAU","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","Sources disagree whether Bawa's accession was 1776 or 1777 and some lists retain Gambai immediately before him; therefore the start-date identity is deliberately deferred."
"ISQ","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Guled Abdi","Sultan","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Traditional chronologies place Guled Abdi in office approximately 1750–1808."
"KON","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Álvaro XI","Manikongo","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Álvaro XI of the Kinlaza house reigned 1764–1779."
"KRG","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ntare V Kiitabanyoro","Omugabe","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Reconstructed ruler lists place Ntare in power from roughly 1774 to 1794, with numbering/date variation across traditions."
"KRT","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Sira Bo","Faama","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ruler chronologies place Sira Bo in office 1761–1781."
"MAD","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","Island-wide political unification belongs to a later period; Andrianampoinimerina's reign began after 1776."
"MAS","NOT_INDIVIDUALLY_RETESTED_1B","TITLE_DUPLICATION_AUDIT","NOT_APPLICABLE","NOT_APPLICABLE","CANDIDATE_AUDITED_PRESERVED","The fixed identity contains a word also used by the ruler title, but the authority packet gives that complete form as the recommended character identity.","No automatic rewrite; preserve the packet-authorized identity.","Ibrahim Bey of Miliana","Bey","NOT_APPLICABLE","AUDITED_PRESERVED_AUTHORITY_UNCERTAIN","","None","PASS_NO_UNAUTHORIZED_REWRITE","Ibrahim Bey of Miliana is the packet-authorized identity form; Bey was preserved."
"MBS","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Abdallah ibn Muhammad al-Mazru'i","Sultan","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ruler lists place Masud to 1773 and Abdallah from 1773–1782, making Abdallah the correct start-date ruler."
"MJT","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The polity predates the well-documented 19th-century sultans, but accessible chronologies do not securely name the holder on 1776-01-01."
"MOR","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Mohammed ben Abdallah","Sultan","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","He reigned 1757–1790."
"MSN","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Hamadou-Amina III","Ardo Mawdo","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","A ruler table derived from specialist histories places Hamadou-Amina III in office 1761–1780; the later jihad state dates to the 19th century."
"ORA","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The Orange Free State was a 19th-century republic, recognized as independent in 1854."
"OYO","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Abiodun","Alaafin","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Chronologies place Abiodun's reign in the 1770s through 1789."
"PHL","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","Philippolis was founded as a mission station in 1823 and became associated with a Griqua captaincy afterward."
"RWD","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Kigeli III Ndabarasa","Mwami","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Modern historical reconstructions often place Kigeli III around 1765–1792, while older traditional chronologies differ considerably."
"SGU","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ngolo Diarra","Faama","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ngolo Diarra ruled from the 1760s until about 1790."
"SIL","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The Province of Freedom settlement dates to 1787 and Crown Colony status to 1808."
"SOK","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The Sokoto Caliphate emerged from the jihad beginning in 1804."
"SWZ","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ngwane III","Ngwenyama","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ngwane III is conventionally dated as ruler about 1745–1780."
"TGI","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","Sources support an old coastal settlement/sultanate tradition but did not securely identify the 1776 officeholder."
"TRI","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ali I Qaramanli","Pasha","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ali I ruled 1754–1793."
"TRN","PASS_EXPECTED_PROCEDURAL_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The South African Republic/Transvaal state belongs to the mid-19th century."
"TUG","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ahmed VIII ben Amrane","Sultan","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Beni Djellab ruler lists place Ahmed VIII in office 1766–1778."
"TUN","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Ali II ibn Hussein","Bey","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ali II ruled 1759–1782."
"WAD","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Muhammad Jawda","Kolak","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Ruler chronologies place Muhammad Jawda/Joda in office 1747–1795."
"WBL","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Adam Kok I","Kaptyn","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Adam Kok I was a real 18th-century community leader, but a later territorial 'Griqualand' state should not be projected backward wholesale."
"WSG","NOT_INDIVIDUALLY_RETESTED_1B","TITLE_DUPLICATION_AUDIT","NOT_APPLICABLE","NOT_APPLICABLE","CANDIDATE_AUDITED_PRESERVED","The fixed identity contains a word also used by the ruler title, but the authority packet gives that complete form as the recommended character identity.","No automatic rewrite; preserve the packet-authorized identity.","Garaad Ali","Garaad","NOT_APPLICABLE","AUDITED_PRESERVED_AUTHORITY_UNCERTAIN","","None","PASS_NO_UNAUTHORIZED_REWRITE","Garaad Ali is the packet-authorized identity form and chronology is approximate; Garaad was preserved."
"WTU","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The Witu Sultanate is a 19th-century polity; its known founding/ruler chronology does not extend to 1776."
"ALK","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","Russian-American Company dates from 1799; first permanent Russian settlement on Kodiak dates from 1784."
"BRZ","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Luis de Almeida Portugal","Viceroy of Brazil","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED",""
"CUB","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Felipe de Fonsdeviela y Ondeano","Governor and Captain General of Cuba","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED",""
"GR5","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","José Solano y Bote","Governor and Captain General of Santo Domingo","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED",""
"HAI","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Victor-Therese Charpentier","Governor-General of Saint-Domingue","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED",""
"HBC","FAIL_INITIAL_COMPANY_EXECUTIVE_1B","COMPANY_INITIAL_EXECUTIVE","Historical executive template existed but was never explicitly instantiated during startup character history.","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","executive_usage registers an eligible candidate for engine selection/replacement; it does not itself execute create_character during scenario initialization. The engine therefore retained its generated fallback cadre.","Explicitly create the historical company-bound template in the owner country character-history scope after the companies are established by country history.","Sir Bibye Lake Jr.","Governor of the Hudson's Bay Company","Sir Bibye Lake Jr.","DETERMINISTIC_INITIAL_EXECUTIVE_IMPLEMENTED_STATIC","","common/history/characters/cleanup2c1c - initial company executives 1776.txt","PASS_STATIC_RUNTIME_REQUIRED","Created under GBR from CLEANUP2C1B_HBC_sir_bibye_lake_jr; bound to company_hbc as a corporate Governor, not a territorial sovereign."
"IQU","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","The political Iquicha entity belongs to the independence-era royalist movements, not 1776."
"LOU","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Luis de Unzaga y Amézaga","Governor of Louisiana","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","Some secondary sources differ on Unzaga's birth year; use approximate age, not an invented exact date."
"MKT","NOT_INDIVIDUALLY_RETESTED_1B","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","George I","King of the Miskito","NOT_APPLICABLE","PRESERVED","","None","PASS_PRESERVED","George II belongs later in 1776; at 1 January George I remains the safest assignment."
"NBS","NOT_RETESTED_DEFERRED_PRESERVED","OUT_OF_SCOPE_PRESERVED","NOT_APPLICABLE","NOT_APPLICABLE","NO_EXACT_TITLE_WORD_OVERLAP_DETECTED","None in CLEANUP-2C-1C scope.","No content change; previous structure preserved.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","NOT_APPLICABLE","PRESERVED_DEFERRED","","None","PASS_PRESERVED","New Brunswick was separated from Nova Scotia only in 1784."
