country_tag,country_name,character_id,name,role,is_ruler,is_ig_leader,is_general,is_admiral,other_role,birth_date,age_field,computed_age_1776,death_date,home_region,culture,religion,historical_status,actual_1776_holder,problem_type,date_quality,likely_1836_inheritance,priority,confidence,source_file,source_line_or_block,template_source,historical_source_1,historical_source_2,recommended_action
AIT,Ait Abbas,AIT_ahmed_al_mokrani,Ahmed al-Mokrani,RULER;GENERAL,YES,NO,YES,NO,,1789.2.8,,-14,,STATE_CONSTANTINE,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/ait - ait abbas.txt,3,vanilla:common/character_templates/country_ald.txt:10,,,REPLACE_CHARACTER
AIT,Ait Abbas,AIT_mohamed_al_mokrani,Mohamed al-Mokrani,HEIR,NO,NO,NO,NO,HEIR,1815.3.7,,-40,,STATE_CONSTANTINE,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/ait - ait abbas.txt,6,vanilla:common/character_templates/country_ald.txt:29,,,REMOVE_ANACHRONISTIC_CHARACTER
AJJ,Kel Ajjer,UNSCRIPTED_RULER_AJJ,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
AJR,Ajuran,UNSCRIPTED_RULER_AJR,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ALK,Alaska,UNSCRIPTED_RULER_ALK,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ANH,Anhalt,ANH_leopold_askanier,Leopold Askanier,RULER,YES,NO,NO,NO,,,42,,,STATE_ANHALT,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,APPROXIMATION_NOT_DOCUMENTED,YES,P1_HIGH,MEDIUM,vanilla:common/history/characters/anh - anhalt.txt,4,vanilla:common/character_templates/country_anh.txt:1,,,REPLACE_CHARACTER
ANH,Anhalt,ANH_friedrich_askanier,Friedrich Askanier,HEIR,NO,NO,NO,NO,HEIR,,5,,,STATE_ANHALT,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,APPROXIMATION_NOT_DOCUMENTED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/anh - anhalt.txt,8,vanilla:common/character_templates/country_anh.txt:19,,,RESEARCH_MORE
ANK,Ankole,ANK_gasiyonga_nkole,Gasiyonga Nkole,RULER,YES,NO,NO,NO,,1791.12.8,,-16,,STATE_UGANDA,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/ank - ankole.txt,3,vanilla:common/character_templates/country_ank.txt:1,,,REPLACE_CHARACTER
AP7,Kayapo,UNSCRIPTED_RULER_AP7,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
APC,Apache,UNSCRIPTED_RULER_APC,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ARB,Arabistan,ARB_jaber_al_kaabi,Jaber al-Kaabi,RULER,YES,NO,NO,NO,,1796.3.1,,-21,,STATE_KHUZESTAN,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/arb - arabistan.txt,3,vanilla:common/character_templates/country_arb.txt:1,,,REPLACE_CHARACTER
ARB,Arabistan,ARB_mizal_al_kaabi,Mizal al-Kaabi,HEIR,NO,NO,NO,NO,HEIR,1834.1.1,,-58,,STATE_KHUZESTAN,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/arb - arabistan.txt,6,vanilla:common/character_templates/country_arb.txt:17,,,REMOVE_ANACHRONISTIC_CHARACTER
ARH,Arnhem,UNSCRIPTED_RULER_ARH,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ARP,Arapaho,UNSCRIPTED_RULER_ARP,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ARR,Arrernte,UNSCRIPTED_RULER_ARR,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ASH,Ashanti,ASH_kwaku_dua_bretuo,Kwaku Dua Bretuo,RULER;GENERAL,YES,NO,YES,NO,,,39,,,STATE_GOLD_COAST,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,APPROXIMATION_NOT_DOCUMENTED,YES,P1_HIGH,MEDIUM,vanilla:common/history/characters/ash - ashanti.txt,3,vanilla:common/character_templates/country_ash.txt:1,,,REPLACE_CHARACTER
ATB,Athabaska,UNSCRIPTED_RULER_ATB,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
ATR,Kel Ataram,UNSCRIPTED_RULER_ATR,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
AUL,Aulihan,UNSCRIPTED_RULER_AUL,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
AUS,Austria,inline_AUS_aus_17,Joseph von Habsburg-Lothringen,RULER,YES,NO,NO,NO,,1764.4.19,,11,,,primary_culture,,CORRECT_CO_REGENT_WRONG_DATE,Joseph II (junior co-regent),MULTIPLE_SCRIPTED_RULERS;WRONG_AGE,EXACT_DATE_CONFLICT_WITH_SOURCE,NO,P1_HIGH,HIGH,common/history/characters/aus.txt,17,,https://www.habsburger.net/en/persons/habsburg-emperor/joseph-ii,https://www.habsburger.net/en/chapter/joseph-ii-co-regent,FIX_AGE;OTHER
AUS,Austria,inline_AUS_aus_3,Maria Theresa,RULER,YES,NO,NO,NO,,1743.4.19,,32,,,primary_culture,,CORRECT_IDENTITY_WRONG_DATE,Maria Theresa (dominant ruler),MULTIPLE_SCRIPTED_RULERS;WRONG_AGE,EXACT_DATE_CONFLICT_WITH_SOURCE,NO,P1_HIGH,HIGH,common/history/characters/aus.txt,3,,https://www.habsburger.net/en/persons/habsburg-emperor/maria-theresa,https://www.habsburger.net/en/chapter/joseph-ii-co-regent,FIX_AGE;OTHER
AUS,Austria,aus_amilcare_paulucci,Amilcare Paulucci,ADMIRAL,NO,NO,NO,YES,,1773.1.11,,2,,region_italy,cu:north_italian,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/aus - austria.txt,79,common/character_templates/country_aus.txt:313,,,RESEARCH_MORE
AUS,Austria,aus_anton_von_dovlohh-dier,Anton von Doblhoff-Dier,IG_LEADER,NO,YES,NO,NO,,1800.11.10,,-25,,,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,62,common/character_templates/country_aus.txt:229,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_ferdinand_I_habsburg_template,Ferdinand von Habsburg-Lothringen,HEIR,NO,NO,NO,NO,HEIR,1793.4.19,,-18,,,cu:south_german,rel:catholic,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,3,common/character_templates/country_aus.txt:6,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_franz_anton_von_kolowrat_liebsteinsky,Franz Anton von Kolowrat-Liebsteinsky,IG_LEADER,NO,YES,NO,NO,,1778.1.31,,-3,,,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,42,common/character_templates/country_aus.txt:179,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_franz_josef_I_habsburg_template,Franz Josef von Habsburg-Lothringen,HEIR,NO,NO,NO,NO,HEIR,1830.8.18,,-55,,,cu:south_german,rel:catholic,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,8,common/character_templates/country_aus.txt:29,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_franz_von_bandiera,Franz von Bandiera,ADMIRAL,NO,NO,NO,YES,,1785.5.22,,-10,,region_italy,cu:north_italian,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,75,common/character_templates/country_aus.txt:297,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_ignaz_czapka,Ignaz Czapka,IG_LEADER,NO,YES,NO,NO,,1791.2.24,,-16,,,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,57,common/character_templates/country_aus.txt:213,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_von_haynau,Julius von Haynau,GENERAL,NO,NO,YES,NO,,1786.10.14,,-11,,region_poland,,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,71,common/character_templates/country_aus.txt:283,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_karl_ludwig_von_ficquelmont,Karl Ludwig von Ficquelmont,GENERAL,NO,NO,YES,NO,,1777.3.23,,-2,,region_balkans,cu:french,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,67,common/character_templates/country_aus.txt:266,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,aus_klemens_von_metternich,Klemens von Metternich,IG_LEADER,NO,YES,NO,NO,,1773.5.15,,2,,,cu:south_german,rel:catholic,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/aus - austria.txt,13,common/character_templates/country_aus.txt:142,,,RESEARCH_MORE
AUS,Austria,aus_ludwig_von_habsburg,Ludwig von Habsburg,IG_LEADER,NO,YES,NO,NO,,1784.12.13,,-9,,,cu:south_german,rel:catholic,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,37,common/character_templates/country_aus.txt:161,,,REMOVE_ANACHRONISTIC_CHARACTER
AUS,Austria,AUS_salomon_mayer_von_rothschild,Salomon von Rothschild,IG_LEADER,NO,YES,NO,NO,,1774.9.9,,1,,,cu:ashkenazi,rel:jewish,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/aus - austria.txt,47,common/character_templates/country_aus.txt:840,,,RESEARCH_MORE
AUS,Austria,aus_vincenz_milde,Vincenz Milde,IG_LEADER,NO,YES,NO,NO,,1777.5.11,,-2,,,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/aus - austria.txt,52,common/character_templates/country_aus.txt:197,,,REMOVE_ANACHRONISTIC_CHARACTER
AWA,Awadh,AWA_nasir_ud_din_haidar_nishapuri_template,Nasir-ud-Din Haidar Nishapuri,RULER,YES,NO,NO,NO,,1803.4.2,,-28,,STATE_AWADH,cu:avadhi,rel:shiite,ANACHRONISTIC,RESEARCH_REQUIRED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/awa - awadh.txt,4,vanilla:common/character_templates/indian_princely_states.txt:49,,,REPLACE_CHARACTER
AWA,Awadh,AWA_muhammad_ali_nishapuri_template,Muhammad Ali Nishapuri,HEIR,NO,NO,NO,NO,HEIR,1777.1.20,,-2,,STATE_AWADH,cu:avadhi,rel:shiite,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/awa - awadh.txt,7,vanilla:common/character_templates/indian_princely_states.txt:70,,,REMOVE_ANACHRONISTIC_CHARACTER
AWA,Awadh,AWA_muhammad_husayn_khan_template,Muhammad Husayn Khan,IG_LEADER,NO,YES,NO,NO,,1780.10.6,,-5,,STATE_AWADH,cu:avadhi,rel:sunni,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/awa - awadh.txt,11,vanilla:common/character_templates/indian_princely_states.txt:93,,,REMOVE_ANACHRONISTIC_CHARACTER
AYI,Anyi,UNSCRIPTED_RULER_AYI,Engine-generated or unresolved ruler,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNCERTAIN,RESEARCH_REQUIRED,NO_SCRIPTED_RULER,UNKNOWN,NO,P2_MEDIUM,LOW,effective 1776 state ownership; no create_character ruler found,,,,,RESEARCH_MORE
BAD,Baden,BAD_leopold_von_baden,Leopold von Baden,RULER,YES,NO,NO,NO,,,46,,,STATE_BADEN,primary_culture,rel:protestant,ANACHRONISTIC,RESEARCH_REQUIRED,LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,APPROXIMATION_NOT_DOCUMENTED,YES,P1_HIGH,MEDIUM,vanilla:common/history/characters/bad - baden.txt,3,vanilla:common/character_templates/country_bad.txt:1,,,REPLACE_CHARACTER
BAD,Baden,BAD_friedrich_hoffmann,Friedrich Hoffmann,GENERAL,NO,NO,YES,NO,,1795.1.15,,-20,,STATE_BADEN,cu:south_german,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/bad - baden.txt,23,vanilla:common/character_templates/country_bad.txt:82,,,REMOVE_ANACHRONISTIC_CHARACTER
BAD,Baden,BAD_friedrich_von_blittersdorf,Friedrich von Blittersdorf,IG_LEADER,NO,YES,NO,NO,,,44,,,STATE_ALSACE_LORRAINE,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,APPROXIMATION_NOT_DOCUMENTED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/bad - baden.txt,15,vanilla:common/character_templates/country_bad.txt:51,,,RESEARCH_MORE
BAD,Baden,BAD_karl_wilhelm_eugen_von_freydorf,Karl Wilhelm Eugen von Freydorf,IG_LEADER,NO,YES,NO,NO,,1781.2.3,,-6,,STATE_RHINELAND,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/bad - baden.txt,19,vanilla:common/character_templates/country_bad.txt:65,,,REMOVE_ANACHRONISTIC_CHARACTER
BAD,Baden,BAD_ludwig_georg_winter,Ludwig Georg Winter,IG_LEADER,NO,YES,NO,NO,,,58,,,STATE_BADEN,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,APPROXIMATION_NOT_DOCUMENTED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/bad - baden.txt,11,vanilla:common/character_templates/country_bad.txt:37,,,RESEARCH_MORE
BAD,Baden,BAD_ludwig_von_baden,Ludwig von Baden,HEIR,NO,NO,NO,NO,HEIR,,12,,,STATE_BADEN,primary_culture,rel:protestant,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,LIKELY_1836_INHERITANCE,APPROXIMATION_NOT_DOCUMENTED,YES,P2_MEDIUM,MEDIUM,vanilla:common/history/characters/bad - baden.txt,7,vanilla:common/character_templates/country_bad.txt:20,,,RESEARCH_MORE
BAL,Bali,BAL_putra_klungkung_ii,Putra Klungkung,RULER,YES,NO,NO,NO,,1783.5.6,,-8,,STATE_SUNDA_ISLANDS,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/bal - bali.txt,3,vanilla:common/character_templates/country_bal.txt:1,,,REPLACE_CHARACTER
BAL,Bali,BAL_putra_klungkung_iii,Putra Klungkung,HEIR,NO,NO,NO,NO,HEIR,1832.2.7,,-57,,STATE_SUNDA_ISLANDS,primary_culture,,ANACHRONISTIC_BY_1836_PROVENANCE,UNVERIFIED,NEGATIVE_AGE;BORN_AFTER_START;LIKELY_1836_INHERITANCE,EXACT_DATE_WEAKLY_SOURCED,YES,P0_CRITICAL,HIGH,vanilla:common/history/characters/bal - bali.txt,7,vanilla:common/character_templates/country_bal.txt:15,,,REMOVE_ANACHRONISTIC_CHARACTER
BAV,Bavaria,BAV_ludwig_i_von_bayern,Ludwig I von Bayern,RULER,YES,NO,NO,NO,,,50,,,STATE_BAVARIA,primary_culture,,ANACHRONISTIC,RESEARCH_REQUIRED,LIKELY_1836_INHERITANCE;ANACHRONISTIC_RULER,APPROXIMATION_NOT_DOCUMENTED,YES,P1_HIGH,MEDIUM,vanilla:common/history/characters/bav - bavaria.txt,3,vanilla:common/character_templates/country_bav.txt:7,,,REPLACE_CHARACTER
