tag_hint,country_1776,ruler_name,title_1776,birth_date,death_date,age_1776,office_start,office_end,house,religion,ruler_mode,date_policy,confidence,implementation_policy,source_1,source_2,note
MEI,Saxe-Meiningen,Charlotte Amalie of Hesse-Philippsthal,Regent / co-governor of Saxe-Meiningen,1730-08-11,1801-09-07,45,1763,regency/co-government continued beyond 1776,Hesse-Philippsthal,Reformed Protestant,effective_regent,exact_birth_date,HIGH_ROLE,SPECIAL_REGENCY_PRIMARY,https://www.lagis-hessen.de/de/subjects/rsrec/current/1/entry/sachsen-meiningen%252C%2Bcharlotte%2Bamalie%2Bherzogin%2Bvon/mode/categories/sn/bio/register/person,https://dl.ub.uni-freiburg.de/diglit/staatslexikon1865-13/0050/ocr,In 1776 Charlotte Amalie still exercises government. Model as regent/effective ruler if V3 needs one executive slot.
MEI_SECONDARY,Saxe-Meiningen,Karl Wilhelm,Duke of Saxe-Meiningen; co-government/titular sovereign,1754-11-19,1782-07-21,21,1763 nominal succession; active government from 1775 in sources,1782-07-21,Wettin (Ernestine),Protestant,nominal_duke_secondary,exact_birth_date,HIGH_IDENTITY_MEDIUM_CONSTITUTION,SPECIAL_REGENCY_SECONDARY,https://www.deutsche-biographie.de/gnd121892506.html,https://dl.ub.uni-freiburg.de/diglit/staatslexikon1865-13/0050/ocr,Do not create two simultaneous V3 rulers. Preserve Karl Wilhelm visibly as Duke/heir/secondary while Charlotte remains the effective regent if engine representation permits.
COB,Saxe-Coburg-Saalfeld,Ernst Friedrich,Duke of Saxe-Coburg-Saalfeld,1724-03-08,1800-08-26,51,1764-09-16,1800-08-26,Wettin (Ernestine),Lutheran,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/100265979.html,,Use Duke.
LIP,Lippe-Detmold,Simon August,Count of Lippe-Detmold,1727-01-12,1782-05-01,48,1734/1740s personal government,1782-05-01,Lippe,Reformed Protestant,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/gnd189485582.html,https://www.deutsche-biographie.de/sfz51757.html,"Use Count, not Prince: the effective princely elevation of the Detmold line belongs later."
OLD,Duchy of Oldenburg,Friedrich August,Duke of Oldenburg; Prince-Bishop of Lübeck,1711-09-20,1785,64,1773 received Oldenburg; duchy elevated 1774,1785,Holstein-Gottorp,Protestant,effective,exact_birth_date,HIGH,RULER,https://www.deutsche-biographie.de/sfz69836.html,https://www.deutsche-biographie.de/sfz73357.html,Do not confuse his Prince-Bishopric of Lübeck with the Free City of Lübeck tag LUB.
SAR,Kingdom of Sardinia-Piedmont,Victor Amadeus III,King of Sardinia,1726-06-26,1796,49,1773-02-19,1796,Savoy,Catholic,effective,exact_birth_date,HIGH,RULER,https://www.treccani.it/enciclopedia/vittorio-amedeo-iii-re-di-sardegna_%28Enciclopedia-Italiana%29/,https://www.treccani.it/enciclopedia/vittorio-amedeo-iii-re-di-sardegna/,Use King of Sardinia; Piedmont is part of the composite monarchy.
TUS,Grand Duchy of Tuscany,Pietro Leopoldo,Grand Duke of Tuscany,1747-05-03,1792,28,1765,1790 as Grand Duke,Habsburg-Lorraine,Catholic,effective,exact_birth_date,HIGH,RULER,https://www.treccani.it/enciclopedia/pietro-leopoldo-d-asburgo-lorena-granduca-di-toscana-poi-imperatore-del-sacro-romano-impero-come-leopoldo-ii_%28Dizionario-Biografico%29/,,"In 1776 use Pietro Leopoldo, Grand Duke; do not use his later imperial title Leopold II."
PAP,Papal States,Pius VI (Giovanni Angelo Braschi),Pope,1717-12-25,1799-08-29,58,1775-02-15 elected; enthronement/coronation followed,1799-08-29,Braschi,Catholic,effective_theocratic,exact_birth_date,HIGH,RULER,https://www.vatican.va/content/pius-vi/en.html,https://www.treccani.it/enciclopedia/pio-vi_%28Enciclopedia-dei-Papi%29/,Use Pius VI as papal name; secular identity Giovanni Angelo Braschi may be retained in character data/localisation if useful.
PAR,Duchy of Parma and Piacenza,Ferdinand of Bourbon-Parma,"Duke of Parma, Piacenza and Guastalla",1751-01-20,1802-10-09,24,1765,1802-10-09,Bourbon-Parma,Catholic,effective,exact_birth_date,HIGH,RULER,https://www.treccani.it/enciclopedia/ferdinando-duca-di-parma-e-piacenza_%28Enciclopedia-Italiana%29/,https://www.treccani.it/enciclopedia/ferdinando-di-borbone-duca-di-parma-e-di-piacenza/,"Use Duke, not king."
MOD,Duchy of Modena and Reggio,Francesco III d'Este,Duke of Modena and Reggio,1698-07-02,1780-02-22,77,1737-10-20,1780-02-22,Este,Catholic,effective,exact_birth_date,HIGH,RULER,https://www.treccani.it/enciclopedia/francesco-iii-d-este-duca-di-modena-e-reggio/,https://www.treccani.it/enciclopedia/ercole-iii-d-este-duca-di-modena-e-reggio/,Do not use Ercole III in 1776: he succeeds Francesco III only in 1780.
MLT,Order of Malta,Fra' Emmanuel de Rohan-Polduc,Grand Master of the Order of Malta,,1797,50,1775,1797,Rohan,Catholic,effective_theocratic,documented_approximate_age,HIGH_OFFICE_MEDIUM_BIRTH,RULER,https://www.orderofmalta.int/history/the-grand-masters/,https://postemagistrali.orderofmalta.int/en/stamps/250th-anniversary-of-the-election-of-the-grand-master-fra-emmanuel-de-rohan-polduc/,Office is institutionally confirmed. Use age 50 rather than encoding a precise birth date unless Codex finds the exact date already present in trusted local data.
VEN,Republic of Venice,Alvise IV Mocenigo,Doge of Venice,1701-05-19,1778-12-31,74,1763-04-19,1778-12-31,Mocenigo,Catholic,republic_head_of_state,exact_birth_date,HIGH,RULER_KEEP_REPUBLIC,https://www.treccani.it/enciclopedia/alvise-mocenigo_res-f8891be5-d924-11e0-8aa7-d5ce3506d72e_%28Dizionario-Biografico%29/,https://www.treccani.it/enciclopedia/alvise-iv-mocenigo/,"Create/keep Doge as ruler abstraction, but do not turn Venice into a monarchy."
GEN,Republic of Genoa,Brixio (Brizio/Fabrizio) Giustiniani,Doge of Genoa,1713-02-28,1778-11-08,62,1775-01-31,1777-01,Giustiniani Banca,Catholic,republic_head_of_state,exact_birth_date,HIGH,RULER_KEEP_REPUBLIC,https://www.treccani.it/enciclopedia/brixio-giustiniani_%28Dizionario-Biografico%29/,,He is the Doge on 1776-01-01. Keep republican institutions; Doge is the head-of-state abstraction.
MOL,Principality of Moldavia,Grigore III Ghica,Prince/Hospodar of Moldavia,,1777,51,1774 (second Moldavian reign),1777,Ghica,Eastern Orthodox,effective_ottoman_vassal_prince,documented_approximate_age,HIGH_OFFICE_MEDIUM_DATE,RULER_PRESERVE_OTTOMAN_SUZERAINTY,https://www.treccani.it/enciclopedia/gregorio-iii-alessandro-ghica-ospodaro-di-valacchia-e-di-moldavia/,https://www.moldovenii.md/en/people/847,Birth year is commonly given as 1724 but exact date is not secure here. Use approximate age 51; do not fabricate a birth day.
WAL,Principality of Wallachia,Alexandru Ipsilanti,Prince/Hospodar of Wallachia,,1805/1807 uncertain in older references,50,1774-09-15,1782,Ypsilanti,Eastern Orthodox,effective_ottoman_vassal_prince,documented_approximate_age,HIGH_OFFICE_MEDIUM_DATE,RULER_PRESERVE_OTTOMAN_SUZERAINTY,https://enciclopediaromaniei.ro/wiki/Index%3ADomnitori_ai_%C5%A2%C4%83rii_Rom%C3%A2ne%C5%9Fti,https://www.encyclopedia.com/people/history/modern-greek-history-biographies/ypsilanti-greek-family,Birth is circa 1725. Use approximate age 50; do not fabricate an exact date. Keep Wallachia's Ottoman suzerainty if the fork models it.
HAN,Electorate of Hanover,George III,Elector of Hanover,1738-06-04,1820-01-29,37,1760,1820,Hanover,Protestant,shared_monarch,exact_birth_date,HIGH,SHARED_MONARCH_NO_DUPLICATE,https://www.royal.uk/george-iii,,Same historical person as GBR batch-1 George III. Audit personal-union/subject representation; do not create an unrelated second George III.
HOL,Holstein,Christian VII,Duke of Holstein under the Danish crown,1749-01-28,1808-03-13,26,1766; Gottorp territorial exchange consolidated crown rights in 1773,1808,Oldenburg,Lutheran,shared_monarch,exact_birth_date,HIGH,SHARED_MONARCH_NO_DUPLICATE,https://denkongeligesamling.dk/en/the-collection/persons/christian-vii-1749-1808/,https://www.deutsche-biographie.de/sfz73357.html,Same person as DENNOR batch-1 Christian VII. Audit country relationship; do not create an independent unrelated duke.
SCH,Schleswig,Christian VII,Duke of Schleswig under the Danish crown,1749-01-28,1808-03-13,26,1766,1808,Oldenburg,Lutheran,shared_monarch,exact_birth_date,HIGH,SHARED_MONARCH_NO_DUPLICATE,https://denkongeligesamling.dk/en/the-collection/persons/christian-vii-1749-1808/,https://www.deutsche-biographie.de/sfz73357.html,Same person as DENNOR batch-1 Christian VII. Preserve the historical composite monarchy/duchy relationship rather than creating a separate random ruler.
