tag,country_1776,fork_country_name,world_region,current_fork_role,recommended_character,recommended_title,birth_date,age_1776,date_policy,office_1776,government_1776,succession_or_election,nominal_sovereign,effective_executive,subject_type,overlord,colonial_or_company,map_dependency,recommended_v3_representation,implementation_decision,identity_confidence,constitutional_confidence,mapping_confidence,source_1,source_2,source_3,notes
BRD,Kingdom of Burundi,Burundi,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Mwambutsa III Syarushambo Butama,Mwami,,,UNKNOWN_CHRONOLOGY_APPROXIMATE,Mwami of Burundi,Hereditary sacral monarchy,Dynastic succession,,Mwambutsa III Syarushambo Butama,INDEPENDENT,,NO,NO,Implement Mwambutsa III only with approximate chronology; do not synthesize a birth date.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,List of kings of Burundi | https://en.wikipedia.org/wiki/List_of_kings_of_Burundi,Kingdom of Burundi | https://en.wikipedia.org/wiki/Kingdom_of_Burundi,,"Modern reconstructions often place Mwambutsa III around 1767–1796, but older traditional chronologies differ substantially."
BRG,Borgu,Borgu,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,"Multiple rulers (Nikki, Bussa, Illo and others)",,,NOT_APPLICABLE,No single ruler of all Borgu,Cluster/confederation of related Bariba/Borgu kingdoms,Separate dynastic successions in multiple capitals,,Multiple Borgu potentates,INDEPENDENT,,NO,NO,Do not create a unitary King of Borgu; defer to map/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Borgu | https://en.wikipedia.org/wiki/Borgu,"Nikki, Benin | https://en.wikipedia.org/wiki/Nikki%2C_Benin",,Borgu was composed of multiple kingdoms/political centers rather than one centralized state.
BST,Basutoland / Lesotho,Basutoland,SOUTHERN_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,No 1776 Basotho state ruler,,,NOT_APPLICABLE,No unified Basotho polity,Pre-Moshoeshoe Sotho communities,Distributed local/chiefly authority,,Multiple local chiefs,INDEPENDENT,,NO,NO,The tag is anachronistic as a centralized state in 1776; defer to map/population/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Moshoeshoe I | https://en.wikipedia.org/wiki/Moshoeshoe_I,History of Lesotho | https://en.wikipedia.org/wiki/History_of_Lesotho,,"The Basotho nation/state coalesced under Moshoeshoe in the early 19th century, not in 1776."
BUG,Buganda,Buganda,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Kyabaggu Kabinuli,Kabaka,,,UNKNOWN_NO_INVENTION,Kabaka of Buganda,Hereditary but clan-mediated Buganda monarchy,Dynastic succession conditioned by clan and court politics,,Kyabaggu Kabinuli,INDEPENDENT,,NO,NO,Implement Kyabaggu Kabinuli as Kabaka.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Kyabaggu of Buganda | https://en.wikipedia.org/wiki/Kyabaggu_of_Buganda,Kabaka of Buganda | https://en.wikipedia.org/wiki/Kabaka_of_Buganda,,"Traditional chronologies place Kyabaggu in the mid-to-late 18th century, including 1776."
CON,Beylik of Constantine,Constantine,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Salah Bey,Bey,1725,~50,YEAR_ONLY_APPROX_AGE,Bey of Constantine,Provincial beylik of the Regency of Algiers,Appointment by the Dey; not hereditary sovereign monarchy,Dey Muhammad V of Algiers,Salah Bey,INDEPENDENT,,NO,NO,"Represent Salah Bey as delegated provincial governor, not independent monarch.",IMPLEMENT_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Salah Bey | https://en.wikipedia.org/wiki/Salah_Bey,Beylik of Constantine | https://en.wikipedia.org/wiki/Beylik_of_Constantine,,Salah Bey governed Constantine from 1771 to 1792 under the Regency of Algiers.
DAH,Kingdom of Dahomey,Dahomey,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Kpengla,Ahosu / King,1735,~40,YEAR_ONLY_APPROX_AGE,King of Dahomey,Centralized Fon monarchy,Dynastic royal succession,,Kpengla,INDEPENDENT,,NO,NO,Implement Kpengla; local title Ahosu may be used if supported by localisation scheme.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Kpengla | https://en.wikipedia.org/wiki/Kpengla,Kingdom of Dahomey | https://en.wikipedia.org/wiki/Kingdom_of_Dahomey,,Kpengla reigned 1774–1789.
DFR,Sultanate of Darfur,Darfur,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Muhammad Tayrab,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Darfur,Keira dynastic sultanate,Dynastic succession,,Muhammad Tayrab,INDEPENDENT,,NO,NO,Implement Muhammad Tayrab as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Muhammad Tayrab | https://en.wikipedia.org/wiki/Muhammad_Tayrab,Sultanate of Darfur | https://en.wikipedia.org/wiki/Sultanate_of_Darfur,,Muhammad Tayrab ruled approximately 1751–1786.
ETH,Ethiopian Empire,Ethiopia,HORN_OF_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Tekle Haymanot II,Emperor,1754,~21,YEAR_ONLY_APPROX_AGE,Emperor of Ethiopia,Solomonic monarchy during the Zemene Mesafint / Age of Princes,Dynastic imperial succession heavily constrained by regional nobles,,Tekle Haymanot II,INDEPENDENT,,NO,NO,Implement Tekle Haymanot II as Emperor but document weak/dependent imperial authority rather than treating him as an absolute executive.,IMPLEMENT_HISTORICAL_NOMINAL_SOVEREIGN,HIGH,HIGH,HIGH,Tekle Haymanot II | https://en.wikipedia.org/wiki/Tekle_Haymanot_II,Zemene Mesafint | https://en.wikipedia.org/wiki/Zemene_Mesafint,,He held the throne from late 1770 until April 1777; practical power was fragmented among great nobles.
FTJ,Imamate of Futa Jallon,Futa Jallon,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ibrahima Sori,Almamy,,,UNKNOWN_NO_INVENTION,Almamy / leading executive of the Futa Jallon confederation,Islamic confederation/theocratic state,Elective/alternating elite arrangements rather than simple hereditary monarchy,,Ibrahima Sori,INDEPENDENT,,NO,NO,Implement Ibrahima Sori with title Almamy; avoid hereditary-monarch transfer logic.,IMPLEMENT_ELECTIVE_HISTORICAL_EXECUTIVE,MEDIUM,HIGH,HIGH,Ibrahima Sori | https://en.wikipedia.org/wiki/Ibrahima_Sori,Imamate of Futa Jallon | https://en.wikipedia.org/wiki/Imamate_of_Futa_Jallon,,Ibrahima Sori became the leading Almamy in the 1770s and consolidated authority around 1776.
FTR,Futa Toro during the Torodbe revolution,Futa Toro,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Transitional 1776 leadership,,,NOT_APPLICABLE,Transition from Denianke satigi to Torodbe almamate during 1776,Political revolution and formation of the Almamate of Futa Toro,Denianke dynastic rule replaced by elective Islamic almamy system during 1776,,Sulayman Bal / Abdul Kader emerge during the 1776 transition,INDEPENDENT,,NO,NO,Do not assume Abdul Kader was already ruler on 1776-01-01. Keep start-date identity procedural/deferred unless a day-specific source is found.,TRANSITION_1776_IDENTITY_DEFERRED,MEDIUM,HIGH,MEDIUM,Imamate of Futa Toro | https://en.wikipedia.org/wiki/Imamate_of_Futa_Toro,Abdul Kader Kane | https://en.wikipedia.org/wiki/Abdul_Kader_Kane,,"The Torodbe revolution culminated in 1776, but accessible chronologies do not securely date the transfer to the scenario's exact first day."
GLD,Geledi Sultanate,Geledi,HORN_OF_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Mahamud Ibrahim,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Geledi,Geledi dynastic sultanate,Dynastic succession,,Mahamud Ibrahim,INDEPENDENT,,NO,NO,Implement Mahamud Ibrahim as Sultan.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Sultanate of the Geledi | https://en.wikipedia.org/wiki/Sultanate_of_the_Geledi,,,Historical syntheses place Mahamud Ibrahim in power in the mid-18th century through 1798.
HAU,Gobir,Gobir,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Bawa Jan Gwarzo,Sarkin Gobir,,,UNKNOWN_CHRONOLOGY_CONFLICT,Ruler of Gobir,Hausa hereditary/elite monarchy,Dynastic and elite succession,,Bawa Jan Gwarzo,INDEPENDENT,,NO,NO,Do not force Bawa Jan Gwarzo at start while the accession-year conflict remains unresolved. Keep a justified procedural ruler until the chronology is securely resolved.,IDENTITY_CHRONOLOGY_DEFERRED,LOW,MEDIUM,HIGH,Bawa Jan Gwarzo | https://en.wikipedia.org/wiki/Bawa_Jan_Gwarzo,Gobir | https://en.wikipedia.org/wiki/Gobir,,Sources disagree whether Bawa's accession was 1776 or 1777 and some lists retain Gambai immediately before him; therefore the start-date identity is deliberately deferred.
ISQ,Isaaq Sultanate,Isaaq,HORN_OF_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Guled Abdi,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of the Isaaq,Clan-confederal sultanate,Selection/hereditary continuity within the founding Guled line,,Guled Abdi,INDEPENDENT,,NO,NO,Implement Guled Abdi as Sultan while retaining the confederal clan context.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Sultanate of Isaaq | https://en.wikipedia.org/wiki/Sultanate_of_Isaaq,Guled Abdi | https://en.wikipedia.org/wiki/Guled_Abdi,,Traditional chronologies place Guled Abdi in office approximately 1750–1808.
KON,Kingdom of Kongo,Kongo,CENTRAL_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Álvaro XI,Manikongo / King,,,UNKNOWN_NO_INVENTION,King of Kongo,Kongo elective-dynastic monarchy after civil conflict,Royal election/selection among competing dynastic houses,,Álvaro XI,INDEPENDENT,,NO,NO,Implement Álvaro XI with Manikongo/King title and non-automatic hereditary transfer logic if feasible.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Álvaro XI of Kongo | https://en.wikipedia.org/wiki/%C3%81lvaro_XI_of_Kongo,Kingdom of Kongo | https://en.wikipedia.org/wiki/Kingdom_of_Kongo,,Álvaro XI of the Kinlaza house reigned 1764–1779.
KRG,Karagwe,Karagwe,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ntare V Kiitabanyoro,Omugabe,,,UNKNOWN_CHRONOLOGY_APPROXIMATE,Omugabe of Karagwe,Hereditary Haya monarchy,Dynastic succession,,Ntare V Kiitabanyoro,INDEPENDENT,,NO,NO,Implement Ntare V with approximate chronology and local Omugabe title.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Karagwe Kingdom | https://en.wikipedia.org/wiki/Karagwe_Kingdom,,,"Reconstructed ruler lists place Ntare in power from roughly 1774 to 1794, with numbering/date variation across traditions."
KRT,Kaarta,Kaarta,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Sira Bo,Faama,,,UNKNOWN_NO_INVENTION,Faama of Kaarta,Bambara dynastic kingdom,Dynastic succession,,Sira Bo,INDEPENDENT,,NO,NO,Implement Sira Bo as Faama.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Kaarta | https://en.wikipedia.org/wiki/Kaarta,,,Ruler chronologies place Sira Bo in office 1761–1781.
MAD,Madagascar (island-wide fork abstraction),Madagascar,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Multiple sovereign kingdoms,,,NOT_APPLICABLE,No single ruler of Madagascar,"Multiple Malagasy kingdoms and chiefdoms, including Imerina and others",Separate dynastic successions,,Multiple regional rulers,INDEPENDENT,,NO,NO,Do not install Andrianampoinimerina or any island-wide king in 1776. Defer the unified tag to map/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Andrianampoinimerina | https://en.wikipedia.org/wiki/Andrianampoinimerina,History of Madagascar | https://en.wikipedia.org/wiki/History_of_Madagascar,,Island-wide political unification belongs to a later period; Andrianampoinimerina's reign began after 1776.
MAS,Beylik of the West / Oran-Mascara,Mascara,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ibrahim Bey of Miliana,Bey,,,UNKNOWN_NO_INVENTION,Bey of the western province of the Regency of Algiers,Provincial beylik under the Dey of Algiers,Appointment by the Dey,Dey Muhammad V of Algiers,Ibrahim Bey of Miliana,INDEPENDENT,,NO,NO,"Represent Ibrahim as an appointed/delegated Bey, not as sovereign monarch.",IMPLEMENT_DELEGATED_EXECUTIVE,MEDIUM,HIGH,MEDIUM,Beylik of the West | https://en.wikipedia.org/wiki/Beylik_of_the_West,Regency of Algiers | https://en.wikipedia.org/wiki/Regency_of_Algiers,,Provincial ruler lists place Ibrahim of Miliana in office approximately 1774–1783.
MBS,Mombasa under the Mazrui,Mombasa,EAST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Abdallah ibn Muhammad al-Mazru'i,Sultan / ruler of Mombasa,,,UNKNOWN_NO_INVENTION,Mazrui ruler of Mombasa,Independent/semi-independent Mazrui coastal polity,Dynastic succession in the Mazrui house,,Abdallah ibn Muhammad al-Mazru'i,INDEPENDENT,,NO,NO,"Implement Abdallah ibn Muhammad al-Mazru'i; do not retain Masud, whose reign ended before 1776 in the stronger ruler chronology.",IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Mazrui | https://en.wikipedia.org/wiki/Mazrui,Mombasa | https://en.wikipedia.org/wiki/Mombasa,,"Ruler lists place Masud to 1773 and Abdallah from 1773–1782, making Abdallah the correct start-date ruler."
MJT,Majeerteen polity,Majerteen,HORN_OF_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Boqor / Sultan,,,NOT_APPLICABLE,Historical Majeerteen ruler; exact 1776 individual unresolved,Somali clan-state/sultanate with developing centralized authority,Dynastic/clan leadership,,Exact holder unresolved,INDEPENDENT,,NO,NO,Keep a Boqor/Sultan government abstraction but do not invent a named 1776 monarch; defer individual identity.,IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED,LOW,MEDIUM,MEDIUM,Majeerteen Sultanate | https://en.wikipedia.org/wiki/Majeerteen_Sultanate,African History Extra — Majeerteen | https://www.africanhistoryextra.com/,,"The polity predates the well-documented 19th-century sultans, but accessible chronologies do not securely name the holder on 1776-01-01."
MOR,Morocco,Morocco,NORTH_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Mohammed ben Abdallah,Sultan,1710,~65,YEAR_ONLY_APPROX_AGE,Sultan of Morocco,Alaouite hereditary monarchy,Dynastic succession,,Mohammed ben Abdallah,INDEPENDENT,,NO,NO,Implement Mohammed ben Abdallah as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Mohammed ben Abdallah | https://en.wikipedia.org/wiki/Mohammed_ben_Abdallah,Alaouite dynasty | https://en.wikipedia.org/wiki/Alaouite_dynasty,,He reigned 1757–1790.
MSN,Macina / Massina under Segou influence,Massina,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Hamadou-Amina III,Ardo Mawdo / Fondoko,,,UNKNOWN_NO_INVENTION,Ardo Mawdo/Fondoko of Massina,Fulbe polity under the broader political dominance/tributary framework of Segou,Local dynastic/chiefly succession,Segou/Bambara paramountcy,Hamadou-Amina III,INDEPENDENT,,NO,NO,"Implement Hamadou-Amina III as local ruler, while avoiding presentation as a fully independent later Macina Empire.",IMPLEMENT_HISTORICAL_RULER_WITH_DEPENDENCY_CAVEAT,MEDIUM,MEDIUM,MEDIUM,Massina Empire | https://en.wikipedia.org/wiki/Massina_Empire,Historical Dictionary / ruler chronology reference | https://books.google.com/,,A ruler table derived from specialist histories places Hamadou-Amina III in office 1761–1780; the later jihad state dates to the 19th century.
ORA,Orange Free State,Oranje,SOUTHERN_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_presidential_republic,,No 1776 state ruler,,,NOT_APPLICABLE,No Orange Free State in 1776,Region inhabited by indigenous communities before the 19th-century Boer republic,Not applicable,,No 1776 executive,INDEPENDENT,,NO,NO,Treat as anachronistic and defer/remove/restructure during map/population rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Orange Free State | https://en.wikipedia.org/wiki/Orange_Free_State,U.S. Office of the Historian — Orange Free State | https://history.state.gov/countries/orange-free-state,,"The Orange Free State was a 19th-century republic, recognized as independent in 1854."
OYO,Oyo Empire,Oyo,WEST_AFRICA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Abiodun,Alaafin,,,UNKNOWN_NO_INVENTION,Alaafin of Oyo,Yoruba imperial monarchy with strong constitutional checks by Oyo Mesi/Bashorun,Dynastic royal selection constrained by council institutions,,Abiodun,INDEPENDENT,,NO,NO,Implement Abiodun as Alaafin; avoid absolute-hereditary transfer assumptions.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Abiodun | https://en.wikipedia.org/wiki/Abiodun,Oyo Empire | https://en.wikipedia.org/wiki/Oyo_Empire,,Chronologies place Abiodun's reign in the 1770s through 1789.
