country_tag,country_name,character_id,name,role,is_ruler,is_ig_leader,is_general,is_admiral,other_role,birth_date,age_field,computed_age_1776,death_date,home_region,culture,religion,historical_status,actual_1776_holder,problem_type,date_quality,likely_1836_inheritance,priority,confidence,source_file,source_line_or_block,template_source,historical_source_1,historical_source_2,recommended_action,vfs_state,simulation_basis
ARR,Arrernte,UNSCRIPTED_RULER_ARR,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ASH,Ashanti,UNSCRIPTED_RULER_ASH,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ATB,Athabaska,UNSCRIPTED_RULER_ATB,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
ATR,Kel Ataram,UNSCRIPTED_RULER_ATR,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AUL,Aulihan,UNSCRIPTED_RULER_AUL,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AUS,Austria,inline_AUS_aus_17,Joseph von Habsburg-Lothringen,RULER,YES,NO,NO,NO,,1764.4.19,,11,,,primary_culture,,CORRECT_CO_REGENT_WRONG_DATE,Joseph II (junior co-regent),MULTIPLE_SCRIPTED_RULERS;WRONG_AGE,EXACT_DATE_CONFLICT_WITH_SOURCE,NO,P1_HIGH,HIGH,common/history/characters/aus.txt,17,,https://www.habsburger.net/en/persons/habsburg-emperor/joseph-ii,https://www.habsburger.net/en/chapter/joseph-ii-co-regent,FIX_AGE;OTHER,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
AUS,Austria,inline_AUS_aus_3,Maria Theresa,RULER,YES,NO,NO,NO,,1743.4.19,,32,,,primary_culture,,CORRECT_IDENTITY_WRONG_DATE,Maria Theresa (dominant ruler),MULTIPLE_SCRIPTED_RULERS;WRONG_AGE,EXACT_DATE_CONFLICT_WITH_SOURCE,NO,P1_HIGH,HIGH,common/history/characters/aus.txt,3,,https://www.habsburger.net/en/persons/habsburg-emperor/maria-theresa,https://www.habsburger.net/en/chapter/joseph-ii-co-regent,FIX_AGE;OTHER,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
AWA,Awadh,UNSCRIPTED_RULER_AWA,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
AYI,Anyi,UNSCRIPTED_RULER_AYI,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BAD,Baden,UNSCRIPTED_RULER_BAD,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BAL,Bali,UNSCRIPTED_RULER_BAL,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BAV,Bavaria,UNSCRIPTED_RULER_BAV,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BEN,Benin,UNSCRIPTED_RULER_BEN,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BEO,Belgium,UNSCRIPTED_RULER_BEO,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BGI,Bagirmi,UNSCRIPTED_RULER_BGI,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BHN,Bahrain,UNSCRIPTED_RULER_BHN,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BHU,Bhutan,UNSCRIPTED_RULER_BHU,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BHV,Bhavnagar,UNSCRIPTED_RULER_BHV,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_05_military_formations_india_177,Henry Fane,GENERAL,NO,NO,YES,NO,,,30,,,,cu:british,,YES,UNVERIFIED,NONE,APPROXIMATION_NOT_DOCUMENTED,NO,OK,MEDIUM,common/history/military_formations/05_military_formations_india.txt,177,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_05_military_formations_india_193,inline_BIC_193,GENERAL,NO,NO,YES,NO,,,33,,,,cu:british,,UNCERTAIN,UNVERIFIED,NONE,UNKNOWN,NO,OK,LOW,common/history/military_formations/05_military_formations_india.txt,193,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_05_military_formations_india_206,inline_BIC_206,GENERAL,NO,NO,YES,NO,,,33,,,,cu:bengali,,UNCERTAIN,UNVERIFIED,NONE,UNKNOWN,NO,OK,LOW,common/history/military_formations/05_military_formations_india.txt,206,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_bic - british india_7,Burdwan Raj,IG_LEADER,NO,YES,NO,NO,,,30,,,,cu:bengali,rel:hindu,YES,UNVERIFIED,NONE,APPROXIMATION_NOT_DOCUMENTED,NO,OK,MEDIUM,common/history/characters/bic - british india.txt,7,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_bic - british india_37,Claud Alexander,IG_LEADER,NO,YES,NO,NO,,,35,,,,cu:british,rel:protestant,YES,UNVERIFIED,NONE,APPROXIMATION_NOT_DOCUMENTED,NO,OK,MEDIUM,common/history/characters/bic - british india.txt,37,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_bic - british india_71,Haji Radhakanta,IG_LEADER,NO,YES,NO,NO,,,39,,,,cu:bengali,rel:hindu,UNCERTAIN,UNVERIFIED,NONE,UNKNOWN,NO,OK,LOW,common/history/characters/bic - british india.txt,71,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_bic - british india_54,Robert Clive,IG_LEADER,NO,YES,NO,NO,,,45,,,,cu:british,rel:protestant,YES,UNVERIFIED,NONE,APPROXIMATION_NOT_DOCUMENTED,NO,OK,MEDIUM,common/history/characters/bic - british india.txt,54,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,inline_BIC_bic - british india_22,Sir Charles Oakeley,IG_LEADER,NO,YES,NO,NO,,,42,,,,cu:british,rel:protestant,YES,UNVERIFIED,NONE,APPROXIMATION_NOT_DOCUMENTED,NO,OK,MEDIUM,common/history/characters/bic - british india.txt,22,,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,BIC_warren_hastings,Warren Hastings,OTHER,NO,NO,NO,NO,,1732.12.6,,43,,,cu:british,,YES,UNVERIFIED,NONE,EXACT_DATE_WEAKLY_SOURCED,NO,OK,MEDIUM,common/history/characters/bic - british india.txt,3,common/character_templates/country_bic.txt:5,,,KEEP,RETAINED_START_INSTANCE,descriptor replace_path common/history/characters
BIC,East India,UNSCRIPTED_RULER_BIC,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BLA,Bilua,UNSCRIPTED_RULER_BLA,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BLE,Baule,UNSCRIPTED_RULER_BLE,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BLF,Niitsitapi,UNSCRIPTED_RULER_BLF,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BLG,Bulungan,UNSCRIPTED_RULER_BLG,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BMB,Bemba,UNSCRIPTED_RULER_BMB,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BMM,Bamum,UNSCRIPTED_RULER_BMM,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BND,Bundu,UNSCRIPTED_RULER_BND,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
BNG,Bangala,UNSCRIPTED_RULER_BNG,Engine-generated or unresolved ruler after VFS isolation,RULER_UNSCRIPTED,YES,NO,NO,NO,,,,,,,,,UNSCRIPTED_AFTER_VFS_ISOLATION,RESEARCH_REQUIRED,NO_SCRIPTED_RULER_AFTER_VFS_ISOLATION,UNKNOWN,NO,P2_MEDIUM,LOW,post-VFS static simulation; no surviving create_character ruler found,,,,,RESEARCH_MORE,UNRESOLVED_RULER_SLOT,descriptor replace_path common/history/characters
