"tag","country_name_en","country_name_fr_if_available","active_1776","capital_or_primary_region","europe_classification","transcontinental","subject_type","overlord_tag","government_form","distribution_of_power","country_tier","ruler_name","ruler_age","ruler_title","ruler_source","ruler_generated","character_history_source","shared_monarch","regency","historical_packet_batch","historical_status","government_status","title_status","constitutional_status","map_dependency","research_required","recommended_next_action","notes"
"HOL","Holstein","Holstein","YES","STATE_SCHLESWIG_HOLSTEIN","EUROPE_DEPENDENCY","NO","personal_union","DENNOR","law_monarchy","law_oligarchy","principality","Christian VII","26","Duke","PERSONAL_UNION_SHARED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","YES","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_SHARED_CROWN","VALIDATED_SHARED_CROWN","VALIDATED_PERSONAL_UNION","NO","NO","Retain validated shared monarch; do not duplicate character.",""
"HUN","Hungary","Hongrie","YES","STATE_CENTRAL_HUNGARY","EUROPE_DEPENDENCY","NO","crown_land","AUS","law_monarchy","law_oligarchy","kingdom","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","SUBJECT_FORM_PRESENT_REPRESENTATIVE_UNVERIFIED","TITLE_RESEARCH_REQUIRED","SUBJECT_FORM_PRESENT_REPRESENTATIVE_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-D historical and constitutional research before implementation.","Austrian crown-land abstraction; determine shared sovereign versus governor representation."
"IREK","Kingdom of Ireland","Royaume d’Irlande","YES","STATE_LEINSTER","EUROPE_DEPENDENCY","NO","personal_union","GBR","law_monarchy","law_landed_voting","kingdom","George III","37","King","PERSONAL_UNION_SHARED","NO","common/history/characters/gbr.txt","YES","NO","UNVERIFIED_SHARED","LIKELY_CORRECT_NEEDS_RUNTIME_ONLY","SCRIPTED_SETUP_UNVERIFIED","UNVERIFIED_SHARED_CROWN","PERSONAL_UNION_PRESENT_STATIC_LAW_TOKEN_SUSPECT","NO","NO","Validate Ireland shared-crown display and separately correct the invalid state_religion law token in a later implementation phase.",""
"LIP","Lippe-Detmold","Lippe-Detmold","YES","STATE_WESTPHALIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Simon August von Lippe-Detmold","48","Count","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"LUB","Lübeck","Lübeck","YES","STATE_SCHLESWIG_HOLSTEIN","EUROPE_DEPENDENCY","NO","puppet","SWE","law_presidential_republic","law_wealth_voting","city_state","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","TITLE_RESEARCH_REQUIRED","REPUBLIC_FORM_PRESENT_OFFICE_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-B historical and constitutional research before implementation.","Free-city republican laws are present despite Swedish puppet status; executive/title need research."
"LUC","Lucca","Lucques","YES","STATE_EMILIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","principality","Ambrogio di Boglio","32","Duke","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","GOVERNMENT_MODEL_SUSPECT","TITLE_RESEARCH_REQUIRED","GOVERNMENT_MODEL_SUSPECT","NO","YES","P0 EUROPE-RESIDUAL-C historical and constitutional research before implementation.","User observed procedural Duke Ambrogio di Boglio age 32 and Absolute Duchy; republican constitution is a P0 research issue."
"LUX","Luxembourg","Luxembourg","YES","STATE_WALLONIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","grand_principality","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","MAP_REWORK_DEPENDENCY","GOVERNMENT_MODEL_SUSPECT","TITLE_RESEARCH_REQUIRED","GOVERNMENT_MODEL_SUSPECT","YES","YES","P0 EUROPE-RESIDUAL-D historical and constitutional research before implementation.","Independent absolute-monarchy abstraction inside the former Austrian Netherlands area; representation may require map/subject work."
"MEC","Mecklenburg-Schwerin","Mecklembourg-Schwerin","YES","STATE_MECKLENBURG","EUROPE_DEPENDENCY","NO","puppet","SWE","law_monarchy","law_autocracy","grand_principality","Friedrich II the Pious von Mecklenburg-Schwerin","58","Duke","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"MEI","Saxe-Meiningen","Saxe-Meiningen","YES","STATE_SAXONY","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Charlotte Amalie von Hesse-Philippsthal","45","Regent","REGENCY_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","YES","BATCH2","ALREADY_VALIDATED","VISUAL_PASS_RUNTIME_EFFECT_ERROR","VALIDATED_BATCH2","REGENT_VISIBLE_BUT_DESIGNATION_EFFECT_INVALID","NO","NO","Later implementation task: replace unsupported regent designation effect; no new research needed.",""
"MLT","Order of Malta","Ordre de Malte","YES","STATE_MALTA","MEDITERRANEAN_EUROPE","NO","INDEPENDENT","","law_theocracy","law_autocracy","city_state","Fra' Emmanuel de Rohan-Polduc","50","Grand Master","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"MOD","Modena","Modène","YES","STATE_EMILIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","principality","Francesco III d'Este","77","Duke","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"MOL","Moldavia","Moldavie","YES","STATE_MOLDAVIA","EUROPE_DEPENDENCY","NO","protectorate","TUR","law_monarchy","law_autocracy","principality","Grigore III Ghica","51","Hospodar","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"MON","Montenegro","Monténégro","YES","STATE_MONTENEGRO","EUROPE","NO","INDEPENDENT","","law_theocracy","not_explicit","principality","Sava II Petrovic-Njegos","74","Prince-Bishop","BATCH1_SCRIPTED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"MST","Mecklenburg-Strelitz","Mecklembourg-Strelitz","YES","STATE_MECKLENBURG","EUROPE_DEPENDENCY","NO","puppet","SWE","law_monarchy","law_oligarchy","grand_principality","Adolf Friedrich IV von Mecklenburg-Strelitz","37","Duke","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"NAS","Nassau","Nassau","YES","STATE_HESSE","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","principality","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","TITLE_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-A historical and constitutional research before implementation.","Deferred Batch-2 dynastic and constitutional research."
"NET","Netherlands","Pays-Bas","YES","STATE_HOLLAND","EUROPE","NO","INDEPENDENT","","law_presidential_republic","law_oligarchy","kingdom","William V van Oranje-Nassau","27","Stadtholder","BATCH1_SCRIPTED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"OLD","Oldenburg","Oldenbourg","YES","STATE_HANNOVER","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","grand_principality","Friedrich August von Holstein-Gottorp","64","Duke","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"PAP","Papal States","États pontificaux","YES","STATE_LAZIO","EUROPE","NO","INDEPENDENT","","law_theocracy","law_oligarchy","kingdom","Pius VI Braschi","58","Pope","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"PAR","Parma","Parme","YES","STATE_EMILIA","EUROPE_DEPENDENCY","NO","protectorate","SPA","law_monarchy","law_autocracy","principality","Ferdinand de Bourbon-Parma","24","Duke","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"PLC","Poland-Lithuania","Pologne-Lituanie","YES","STATE_WEST_GALICIA","EUROPE","NO","INDEPENDENT","","law_presidential_republic","law_oligarchy","empire","Stanislaw August Poniatowski","43","King and Grand Duke","BATCH1_SCRIPTED","NO","common/history/characters/plc - poland lithuania.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"POR","Portugal","Portugal","YES","STATE_ESTREMADURA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","kingdom","Joseph I","61","King","BATCH1_SCRIPTED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"PRU","Prussia","Prusse","YES","STATE_BRANDENBURG","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","kingdom","Frederick II","63","King","BATCH1_SCRIPTED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"RUS","Russia","Russie","YES","STATE_INGRIA","TRANSCONTINENTAL_EUROPE","YES","INDEPENDENT","","law_monarchy","law_autocracy","empire","Catherine II","46","Tsarina","BATCH1_SCRIPTED","NO","common/history/characters/rus.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"SAR","Sardinia-Piedmont","Piémont-Sardaigne","YES","STATE_PIEDMONT","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","kingdom","Victor Amadeus III di Savoia","49","King","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"SAX","Saxony","Saxe","YES","STATE_SAXONY","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","kingdom","Frederick Augustus III von Wettin","25","Elector","BATCH2_SCRIPTED","NO","common/history/characters/cleanup2b2 - europe rulers 1776.txt","NO","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_BATCH2","VALIDATED_BATCH2","VALIDATED_BATCH2","NO","NO","No historical research; retain validated packet.",""
"SCH","Schleswig","Schleswig","YES","STATE_SCHLESWIG_HOLSTEIN","EUROPE_DEPENDENCY","NO","personal_union","DENNOR","law_monarchy","law_oligarchy","principality","Christian VII","26","Duke","PERSONAL_UNION_SHARED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","YES","NO","BATCH2","ALREADY_VALIDATED","VALIDATED_SHARED_CROWN","VALIDATED_SHARED_CROWN","VALIDATED_PERSONAL_UNION","NO","NO","Retain validated shared monarch; do not duplicate character.",""
"SCM","Schaumburg-Lippe","Schaumbourg-Lippe","YES","STATE_WESTPHALIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","TITLE_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-A historical and constitutional research before implementation.","Generated ruler; exact 1776 count/principality title family must be established."
"SCW","Schwarzburg","Schwarzbourg","YES","STATE_SAXONY","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","principality","Procedural ruler (name not captured)","","Duke","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","COUNTRY_ABSTRACTION_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","TITLE_RESEARCH_REQUIRED","GENERIC_MONARCHY_UNVERIFIED","NO","YES","P1 EUROPE-RESIDUAL-A historical and constitutional research before implementation.","User observed a procedural ruler and Duchy; determine Rudolstadt, Sondershausen, or combined Schwarzburg abstraction."
"SIC","Two Sicilies","Deux-Siciles","YES","STATE_CAMPANIA","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","kingdom","Ferdinand de Bourbon","24","King","BATCH1_SCRIPTED","NO","common/history/characters/sic - naples sicily.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"SPA","Spain","Espagne","YES","STATE_NEW_CASTILE","EUROPE","NO","INDEPENDENT","","law_monarchy","law_autocracy","kingdom","Charles III","59","King","BATCH1_SCRIPTED","NO","common/history/characters/spa.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"SWE","Sweden","Suède","YES","STATE_SVEALAND","EUROPE","NO","INDEPENDENT","","law_monarchy","law_oligarchy","kingdom","Gustav III","29","King","BATCH1_SCRIPTED","NO","common/history/characters/cleanup2b1 - major rulers 1776.txt","NO","NO","BATCH1","ALREADY_VALIDATED","VALIDATED_BATCH1","VALIDATED_BATCH1","VALIDATED_BATCH1","NO","NO","No historical research; retain validated packet.",""
"SWI","Switzerland","Suisse","YES","STATE_WEST_SWITZERLAND","EUROPE","NO","INDEPENDENT","","law_parliamentary_republic","law_census_voting","kingdom","Engine-generated ruler (name not captured)","","Unverified engine title","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","CONSTITUTIONAL_MODEL_SUSPECT","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_MODEL_SUSPECT","NO","YES","P0 EUROPE-RESIDUAL-B historical and constitutional research before implementation.","Generated executive under parliamentary republic/census voting; model is suspect for the 1776 Old Swiss Confederacy."
