tag,country,expected_ruler,implemented_ruler,expected_age,date_mode,title,government,implementation_mode,shared_monarch,regency,history_file,localization_file,status,runtime_required,notes
MEI,Saxe-Meiningen,Charlotte Amalie of Hesse-Philippsthal,Charlotte Amalie von Hesse-Philippsthal,45,exact_birth_date,Regent,gov_1776_meiningen_regency,direct_history_regency,NO,YES,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,SPECIAL_CASE_PASS,YES,"Only ruler=yes character; regency_years begins at 13 completed years."
MEI_SECONDARY,Saxe-Meiningen,Karl Wilhelm,Karl Wilhelm von Saxe-Meiningen,21,exact_birth_date,Duke,gov_1776_meiningen_regency,direct_history_heir,NO,YES,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,SPECIAL_CASE_PASS,YES,"Visible adult dynastic heir/secondary; never ruler=yes."
COB,Saxe-Coburg-Saalfeld,Ernst Friedrich,Ernst Friedrich von Saxe-Coburg-Saalfeld,51,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Birth date 1724-03-08."
LIP,Lippe-Detmold,Simon August,Simon August von Lippe-Detmold,48,exact_birth_date,Count,gov_1776_lippe_county,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Country-specific Count title prevents Prince."
OLD,Duchy of Oldenburg,Friedrich August,Friedrich August von Holstein-Gottorp,64,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"No relation to the Free City of Lübeck tag was changed."
SAR,Kingdom of Sardinia-Piedmont,Victor Amadeus III,Victor Amadeus III di Savoia,49,exact_birth_date,King,vanilla_kingdom,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Existing kingdom structure already supplies King."
TUS,Grand Duchy of Tuscany,Pietro Leopoldo,Pietro Leopoldo von Habsburg-Lorraine,28,exact_birth_date,Grand Duke,gov_1776_tuscan_grand_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"No later Emperor Leopold II title."
PAP,Papal States,Pius VI,Pius VI Braschi,58,exact_birth_date,Pope,gov_papacy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Vanilla PAP-scoped papacy government retained."
PAR,Duchy of Parma and Piacenza,Ferdinand of Bourbon-Parma,Ferdinand de Bourbon-Parma,24,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"French protectorate relationship preserved."
MOD,Duchy of Modena and Reggio,Francesco III d'Este,Francesco III d'Este,77,exact_birth_date,Duke,gov_1776_duchy,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Francesco III retained for 1776; Ercole III not introduced."
MLT,Order of Malta,Fra' Emmanuel de Rohan-Polduc,Fra' Emmanuel de Rohan-Polduc,50,documented_approximate_age,Grand Master,gov_1776_malta_order,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Uses age=50; no exact birth date fabricated."
VEN,Republic of Venice,Alvise IV Mocenigo,Alvise IV Mocenigo,74,exact_birth_date,Doge,gov_1776_merchant_republic_doge,direct_history_republic,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,SPECIAL_CASE_PASS,YES,"Presidential republic and merchant republic laws preserved."
GEN,Republic of Genoa,Brixio Giustiniani,Brixio Giustiniani,62,exact_birth_date,Doge,gov_1776_merchant_republic_doge,direct_history_republic,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,SPECIAL_CASE_PASS,YES,"Presidential republic and merchant republic laws preserved."
MOL,Principality of Moldavia,Grigore III Ghica,Grigore III Ghica,51,documented_approximate_age,Hospodar,gov_1776_danubian_hospodar,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Uses age=51; Ottoman protectorate relationship and territory preserved."
WAL,Principality of Wallachia,Alexandru Ipsilanti,Alexandru Ipsilanti,50,documented_approximate_age,Hospodar,gov_1776_danubian_hospodar,direct_history,NO,NO,common/history/characters/cleanup2b2 - europe rulers 1776.txt,localization/english/mod_v2content_l_english.yml|localization/french/mod_v2content_l_french.yml,PASS,YES,"Uses age=50; Ottoman protectorate relationship and territory preserved."
HAN,Electorate of Hanover,George III,George III,37,exact_birth_date,Elector,gov_1776_electorate,personal_union_shared_character,YES,NO,common/history/characters/gbr.txt,base_and_batch1_localization,SPECIAL_CASE_PASS,YES,"GBR senior partner creates the existing George III; no duplicate HAN character."
HOL,Holstein,Christian VII,Christian VII,26,exact_birth_date,Duke,gov_1776_duchy,personal_union_shared_character,YES,NO,common/history/characters/cleanup2b1 - major rulers 1776.txt,base_and_batch1_localization,SPECIAL_CASE_PASS,YES,"DENNOR senior partner creates Christian VII; no duplicate HOL character."
SCH,Schleswig,Christian VII,Christian VII,26,exact_birth_date,Duke,gov_1776_duchy,personal_union_shared_character,YES,NO,common/history/characters/cleanup2b1 - major rulers 1776.txt,base_and_batch1_localization,SPECIAL_CASE_PASS,YES,"DENNOR senior partner creates Christian VII; no duplicate SCH character."
