family_id,family_description,diagnostic_count,occurrence_count,unique_paths,primary_classification,risk,semantic_rewrite_required,runtime_required,recommended_action,candidate_phase
API_HAS_BUILDING,API_HAS_BUILDING: PostValidate of trigger 'has_building' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_INTEREST_MARKER_IN_REGION,API_HAS_INTEREST_MARKER_IN_REGION: PostValidate of trigger 'has_interest_marker_in_region' returned false,23,23,6,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_JOURNAL_ENTRY,API_HAS_JOURNAL_ENTRY: PostValidate of trigger 'has_journal_entry' returned false,6,6,6,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_OVERRIDE,NONE
API_HAS_OBJECTIVE,API_HAS_OBJECTIVE: PostValidate of trigger 'has_objective' returned false,2,2,2,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_OVERRIDE,NONE
API_HAS_PORT,API_HAS_PORT: Unknown trigger type: has_port,2,2,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_PORT,API_HAS_PORT: Unknown trigger type: has_port,5,5,1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,DEFER_TO_SEMANTIC_DESIGN_REVIEW,LATER_LOG_CLEANUP_SEMANTIC_REVIEW
API_HAS_ROLE,API_HAS_ROLE: PostValidate of trigger 'has_role' returned false,91,91,15,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_TECHNOLOGY_RESEARCHED,API_HAS_TECHNOLOGY_RESEARCHED: PostValidate of trigger 'has_technology_researched' returned false,1,1,1,FORK_ATTRIBUTABLE_FIXABLE,LOW,NO,YES,AUDIT_THEN_APPLY_BOUNDED_FIX,LATER_LOG_CLEANUP_BOUNDED_API
API_HAS_TEMPLATE,API_HAS_TEMPLATE: PostValidate of trigger 'has_template' returned false,4,4,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_TEMPLATE,API_HAS_TEMPLATE: PostValidate of trigger 'has_template' returned false,4,4,2,INTENTIONAL_FORK_DIVERGENCE,MEDIUM,NO,NO,PRESERVE_AND_DOCUMENT,NONE
API_HAS_TEMPLATE,API_HAS_TEMPLATE: PostValidate of trigger 'has_template' returned false,43,75,7,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_OVERRIDE,NONE
API_IS_BUILDING_TYPE,API_IS_BUILDING_TYPE: PostValidate of trigger 'is_building_type' returned false,5,5,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_IS_BUILDING_TYPE,API_IS_BUILDING_TYPE: PostValidate of trigger 'is_building_type' returned false,6,6,3,INTENTIONAL_FORK_DIVERGENCE,MEDIUM,NO,NO,PRESERVE_AND_DOCUMENT,NONE
API_IS_HEIR,API_IS_HEIR: Unknown trigger type: is_heir,2,2,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_IS_RULER,API_IS_RULER: Unknown trigger type: is_ruler,21,21,8,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_IS_TEMPLATE_USED,API_IS_TEMPLATE_USED: PostValidate of trigger 'is_template_used' returned false,1,1,1,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_OVERRIDE,NONE
API_POST_NOTIFICATION,API_POST_NOTIFICATION: PostValidate of effect 'post_notification' returned false,3,3,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_REMOVE_MODIFIER,API_REMOVE_MODIFIER: PostValidate of effect 'remove_modifier' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_SET_INSTITUTION_INVESTMENT_LEVEL,API_SET_INSTITUTION_INVESTMENT_LEVEL: PostValidate of effect 'set_institution_investment_level' returned false,2,2,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_TYPE,API_TYPE: Unexpected token: type,1,1,1,INTENTIONAL_FORK_DIVERGENCE,MEDIUM,NO,NO,PRESERVE_AND_DOCUMENT,NONE
API_VALUE,API_VALUE: Unknown trigger type: value,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
EXTERNAL_ACHIEVEMENT_REGISTRY,Steam achievement identifiers rejected by the external achievement registry.,121,121,0,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_OVERRIDE,NONE
JOURNAL_ENTRY_SCOPE_COMPARISON,Runtime scope/comparison failures in fork journal entries.,3,3,2,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,DEFER_TO_SEMANTIC_DESIGN_REVIEW,LATER_LOG_CLEANUP_SEMANTIC_REVIEW
LEGACY_LAW_ENACTMENT_MODIFIER,Legacy country_law_enactment_time_mult parser failures in fork files.,11,11,5,FORK_ATTRIBUTABLE_FIXABLE,LOW,NO,YES,AUDIT_THEN_APPLY_BOUNDED_FIX,LATER_LOG_CLEANUP_BOUNDED_API
PINNING_ATOMICITY_EXCEPTION,PINNING_ATOMICITY_EXCEPTION: Unexpected token: should_be_pinned_by_default,14,14,12,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
RUNTIME_COUNTRY_LAW_RETENTION,Runtime countries retaining laws no longer permitted by the active rule set.,113,113,0,NEEDS_RUNTIME_REPRODUCTION,MEDIUM,NO,YES,TARGETED_RUNTIME_ATTRIBUTION,LATER_LOG_CLEANUP_COUNTRY_LAW_RUNTIME
STRATEGIC_REGION_RUNTIME_COMPARISON,Known repeated strategic-region comparison failure at AI strategy line 5078.,1,14163,1,ALREADY_ACCOUNTED_FOR,SEMANTIC,NO,YES,KEEP_DOCUMENTED_STATUS,NONE
SYNTAX_INTEREST_GROUP_LEADER_CHANCE_KEYS,SYNTAX_INTEREST_GROUP_LEADER_CHANCE_KEYS: Unexpected token: commander_leader_chance,2,2,1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,DEFER_TO_SEMANTIC_DESIGN_REVIEW,LATER_LOG_CLEANUP_SEMANTIC_REVIEW
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,SYNTAX_STRATEGIC_REGION_LEGACY_KEYS: Unexpected token: region_caucasus,32,32,1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,DEFER_TO_SEMANTIC_DESIGN_REVIEW,LATER_LOG_CLEANUP_SEMANTIC_REVIEW
