"historical_identity","normalized_message","country_if_known","country_tag_if_known","law_or_variant_if_known","law_script_key","fallback_law","script_path_if_known","line_if_known","source_mode","historical_occurrences","generation_seen","source_log","current_reproduced","current_occurrences","root_cause_group","fork_attribution","classification","vanilla_1_13_behavior","notes"
"CL-011","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","BRA","BRA","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bra - braunschweig.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-012","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","BRE","BRE","Censorship","law_censorship","Right of Assembly","common/history/countries/bre - bremen.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-013","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","BRE","BRE","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bre - bremen.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-014","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","CAUC","CAUC","Mercantilism","law_mercantilism","Isolationism","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-015","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","CAUC","CAUC","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-016","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","CIR","CIR","Censorship","law_censorship","Right of Assembly","common/history/countries/cir - circassia.txt","12","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-017","Country {COUNTRY} is not permitted to retain law Homesteading, fix this or consider Serfdom instead","CIR","CIR","Homesteading","law_homesteading","Serfdom","common/history/countries/cir - circassia.txt","11","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G02_VARIANT_VISIBILITY","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Vanilla 1.13.9 enforces parent/variant visibility by country, subject, culture, or geography.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-018","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","COB","COB","Censorship","law_censorship","Right of Assembly","common/history/countries/cob - saxe-coburg-gotha.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-019","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","COB","COB","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/cob - saxe-coburg-gotha.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-020","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","CUB","CUB","Censorship","law_censorship","Right of Assembly","common/history/countries/cub - cuba.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-021","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","CUB","CUB","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/cub - cuba.txt","19","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-022","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_baltic_governorate","UBD","Censorship","law_censorship","Right of Assembly","common/history/countries/ubd - baltic.txt","20","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-023","Country {COUNTRY} is not permitted to retain law Serfdom, fix this or consider Manorialism instead","dyn_c_belgiumo_subject","BEO","Serfdom","law_serfdom","Manorialism","common/history/countries/beo - belgium old.txt","21","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G02_VARIANT_VISIBILITY","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Vanilla 1.13.9 enforces parent/variant visibility by country, subject, culture, or geography.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-024","Country {COUNTRY} is not permitted to retain law Colonial Resettlement, fix this or consider No Colonial Affairs instead","dyn_c_british_west_africa","SIL","Colonial Resettlement","law_colonial_resettlement","No Colonial Affairs","common/history/countries/sil - sierra leone.txt","10","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-025","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_chechnya_imamate","CHC","Censorship","law_censorship","Right of Assembly","common/history/countries/chc - chechnya.txt","12","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-026","Country {COUNTRY} is not permitted to retain law Homesteading, fix this or consider Serfdom instead","dyn_c_chechnya_imamate","CHC","Homesteading","law_homesteading","Serfdom","common/history/countries/chc - chechnya.txt","9","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G02_VARIANT_VISIBILITY","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Vanilla 1.13.9 enforces parent/variant visibility by country, subject, culture, or geography.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-027","Country {COUNTRY} is not permitted to retain law National Militia, fix this or consider Peasant Levies instead","dyn_c_chechnya_imamate","CHC","National Militia","law_national_militia","Peasant Levies","common/history/countries/chc - chechnya.txt","11","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-028","Country {COUNTRY} is not permitted to retain law Millet System, fix this or consider People of the Book instead","dyn_c_crimean_khanate","CRI","Millet System","law_millet_system","People of the Book","common/history/countries/cri - crimean khanate.txt","14","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G02_VARIANT_VISIBILITY","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Vanilla 1.13.9 enforces parent/variant visibility by country, subject, culture, or geography.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-029","Country {COUNTRY} is not permitted to retain law Manorialism, fix this or consider Serfdom instead","dyn_c_french_kingdom","FRA","Manorialism","law_manorialism","Serfdom","common/history/countries/fra - france.txt","28","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.1.log","NO","0","CL-G02_VARIANT_VISIBILITY","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Vanilla 1.13.9 enforces parent/variant visibility by country, subject, culture, or geography.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-030","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_japan_shogunate","JAP","Censorship","law_censorship","Right of Assembly","common/history/countries/jap - japan.txt","23","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.1.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-031","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_korea_joseon","KOR","Censorship","law_censorship","Right of Assembly","common/history/countries/kor - korea.txt","14","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-032","Country {COUNTRY} is not permitted to retain law Agrarianism, fix this or consider Traditionalism instead","dyn_c_malta_knights","MLT","Agrarianism","law_agrarianism","Traditionalism","common/history/countries/mlt - malta.txt","16","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-033","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_malta_knights","MLT","Censorship","law_censorship","Right of Assembly","common/history/countries/mlt - malta.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-034","Country {COUNTRY} is not permitted to retain law Charity Hospitals, fix this or consider No Health System instead","dyn_c_malta_knights","MLT","Charity Hospitals","law_charitable_health_system","No Health System","common/history/countries/mlt - malta.txt","19","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-035","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_naples","GR4","Censorship","law_censorship","Right of Assembly","common/history/countries/gr4 - naples.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-036","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","dyn_c_ottoman_empire","TUR","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","common/history/countries/tur - ottoman empire.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-037","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_papal_states","PAP","Censorship","law_censorship","Right of Assembly","common/history/countries/pap - papal states.txt","15","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-038","Country {COUNTRY} is not permitted to retain law Charity Hospitals, fix this or consider No Health System instead","dyn_c_papal_states","PAP","Charity Hospitals","law_charitable_health_system","No Health System","common/history/countries/pap - papal states.txt","18","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-039","Country {COUNTRY} is not permitted to retain law Religious Schools, fix this or consider No Schools instead","dyn_c_papal_states","PAP","Religious Schools","law_religious_schools","No Schools","common/history/countries/pap - papal states.txt","17","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-040","Country {COUNTRY} is not permitted to retain law Charity Hospitals, fix this or consider No Health System instead","dyn_c_portu_king","POR","Charity Hospitals","law_charitable_health_system","No Health System","common/history/countries/por - portugal.txt","32","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.1.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-041","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_potchefstroom","TRN","Censorship","law_censorship","Right of Assembly","common/history/countries/trn - transvaal.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-042","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","dyn_c_winburg","ORA","Censorship","law_censorship","Right of Assembly","common/history/countries/ora - oranje.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-043","Country {COUNTRY} is not permitted to retain law National Militia, fix this or consider Peasant Levies instead","dyn_c_winburg","ORA","National Militia","law_national_militia","Peasant Levies","common/history/countries/ora - oranje.txt","17","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-044","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FRM","FRM","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/frm - frankfurt am main.txt","13","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
