"id","subsystem","diagnostic_type","normalized_message","raw_example","script_path","script_line","occurrences","fork_file","current_vanilla_homologue","present_in_previous_cleanup","previous_classification","root_cause","attribution","safe_fix","patch_applied","notes"
"LOG13-R0011","country.cpp","COUNTRY","The ruler of JÃ¼z moyenne is scripted to be Ablai Khan but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","The ruler of JÃ¼z moyenne is scripted to be Ablai Khan but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0012","country.cpp","COUNTRY","The ruler of Khalsa Raj is scripted to be Jassa Singh Ahluwalia but that character does not lead the interest group of Ã‰lite intellectuelle that they belong to, which is required under Presidential Elective","The ruler of Khalsa Raj is scripted to be Jassa Singh Ahluwalia but that character does not lead the interest group of Ã‰lite intellectuelle that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0013","country.cpp","COUNTRY","The ruler of Kongo is scripted to be Ãlvaro XI but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","The ruler of Kongo is scripted to be Ãlvaro XI but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0014","country.cpp","COUNTRY","The ruler of LÃ¼beck is scripted to be Bernhard von Wickede but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","The ruler of LÃ¼beck is scripted to be Bernhard von Wickede but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0015","country.cpp","COUNTRY","The ruler of Oyo is scripted to be Abiodun but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","The ruler of Oyo is scripted to be Abiodun but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0016","country.cpp","COUNTRY","The ruler of Petite jÃ¼z is scripted to be Nuraly Khan but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","The ruler of Petite jÃ¼z is scripted to be Nuraly Khan but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0017","country.cpp","COUNTRY","The ruler of SÃ©rÃ©nissime RÃ©publique de GÃªnes is scripted to be Brixio Giustiniani but that character does not lead the interest group of Petite bourgeoisie that they belong to, which is required under Presidential El","The ruler of SÃ©rÃ©nissime RÃ©publique de GÃªnes is scripted to be Brixio Giustiniani but that character does not lead the interest group of Petite bourgeoisie that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0018","country.cpp","COUNTRY","The ruler of SÃ©rÃ©nissime rÃ©publique de Venise is scripted to be Alvise IV Mocenigo but that character does not lead the interest group of Petite bourgeoisie that they belong to, which is required under Presidential El","The ruler of SÃ©rÃ©nissime rÃ©publique de Venise is scripted to be Alvise IV Mocenigo but that character does not lead the interest group of Petite bourgeoisie that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0019","country.cpp","COUNTRY","The ruler of Suisse is scripted to be Johann Konrad Heidegger but should actually be Gaston Jolissaint from the Landvolk interest group under Parliamentary Elective","The ruler of Suisse is scripted to be Johann Konrad Heidegger but should actually be Gaston Jolissaint from the Landvolk interest group under Parliamentary Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0020","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country ANH is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country ANH is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0021","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country ANH is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","Country ANH is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0022","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country AP7 is not permitted to retain law Dissidence illÃ©gale, fix this or consider Droit de rÃ©union instead","Country AP7 is not permitted to retain law Dissidence illÃ©gale, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0023","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country AP7 is not permitted to retain law Mercantilisme, fix this or consider Isolationnisme instead","Country AP7 is not permitted to retain law Mercantilisme, fix this or consider Isolationnisme instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0024","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BAD is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country BAD is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0025","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BAD is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","Country BAD is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0026","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BAV is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country BAV is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0027","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BAV is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","Country BAV is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0028","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BAV is not permitted to retain law Traditionalisme, fix this or consider Interventionnisme instead","Country BAV is not permitted to retain law Traditionalisme, fix this or consider Interventionnisme instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0029","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BRA is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country BRA is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0030","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BRA is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","Country BRA is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0031","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BRE is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country BRE is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0032","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country BRE is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","Country BRE is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0033","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country CAUC is not permitted to retain law Dissidence illÃ©gale, fix this or consider Droit de rÃ©union instead","Country CAUC is not permitted to retain law Dissidence illÃ©gale, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0034","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country CAUC is not permitted to retain law Mercantilisme, fix this or consider Isolationnisme instead","Country CAUC is not permitted to retain law Mercantilisme, fix this or consider Isolationnisme instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0035","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country CIR is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country CIR is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0036","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country CIR is not permitted to retain law Homestead Act, fix this or consider Servage instead","Country CIR is not permitted to retain law Homestead Act, fix this or consider Servage instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0037","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country COB is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country COB is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0038","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country COB is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","Country COB is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0039","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country Compagnie de la Baie dâ€™Hudson is not permitted to retain law Ã‰coles religieuses, fix this or consider Pas dâ€™Ã©coles instead","Country Compagnie de la Baie dâ€™Hudson is not permitted to retain law Ã‰coles religieuses, fix this or consider Pas dâ€™Ã©coles instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0040","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country Compagnie de la Baie dâ€™Hudson is not permitted to retain law SÃ©paration totale, fix this or consider Religion dâ€™Ã‰tat instead","Country Compagnie de la Baie dâ€™Hudson is not permitted to retain law SÃ©paration totale, fix this or consider Religion dâ€™Ã‰tat instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0041","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country CUB is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country CUB is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0042","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country CUB is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","Country CUB is not permitted to retain law Imposition par tÃªte, fix this or consider FiscalitÃ© basÃ©e sur la consommation instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0043","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_baltic_governorate is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country dyn_c_baltic_governorate is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0044","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_belgiumo_subject is not permitted to retain law Servage, fix this or consider Seigneurie instead","Country dyn_c_belgiumo_subject is not permitted to retain law Servage, fix this or consider Seigneurie instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0045","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_british_west_africa is not permitted to retain law Ã‰tablissement de colonies, fix this or consider Aucune affaire coloniale instead","Country dyn_c_british_west_africa is not permitted to retain law Ã‰tablissement de colonies, fix this or consider Aucune affaire coloniale instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0046","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_chechnya_imamate is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","Country dyn_c_chechnya_imamate is not permitted to retain law Censure, fix this or consider Droit de rÃ©union instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0047","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_chechnya_imamate is not permitted to retain law Homestead Act, fix this or consider Servage instead","Country dyn_c_chechnya_imamate is not permitted to retain law Homestead Act, fix this or consider Servage instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0048","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_chechnya_imamate is not permitted to retain law Milice nationale, fix this or consider LevÃ©es paysannes instead","Country dyn_c_chechnya_imamate is not permitted to retain law Milice nationale, fix this or consider LevÃ©es paysannes instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0049","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_crimean_khanate is not permitted to retain law SystÃ¨me des millets, fix this or consider Gens du Livre instead","Country dyn_c_crimean_khanate is not permitted to retain law SystÃ¨me des millets, fix this or consider Gens du Livre instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0050","country_law_manager.cpp","COUNTRY_LAW_DIAGNOSTIC","Country dyn_c_french_kingdom is not permitted to retain law Seigneurie, fix this or consider Servage instead","Country dyn_c_french_kingdom is not permitted to retain law Seigneurie, fix this or consider Servage instead","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
