"id","family","path","line","invalid_key","expected_type","context","vanilla_exists","fork_definition_exists","legacy_name","modern_name","scope_operation","target_object","expected_scope","actual_scope","root_cause","fork_vs_vanilla","classification","safe_fix","patch_applied","notes"
"NR-011","NON_REGION_DATABASE_OBJECT","common/history/countries/bol - bolivia.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-012","NON_REGION_DATABASE_OBJECT","common/history/countries/ecu - ecuador.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-013","NON_REGION_DATABASE_OBJECT","common/history/countries/hai - haiti.txt","13","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-014","NON_REGION_DATABASE_OBJECT","common/history/countries/hbc - hubson bay company.txt","15","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-015","NON_REGION_DATABASE_OBJECT","common/history/countries/lou - louisiana.txt","10","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-016","NON_REGION_DATABASE_OBJECT","common/history/countries/mex - mexico.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-017","NON_REGION_DATABASE_OBJECT","common/history/countries/org -oregan.txt","15","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-018","NON_REGION_DATABASE_OBJECT","common/history/countries/peu - Peru.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-019","NON_REGION_DATABASE_OBJECT","common/history/countries/prg - Paraguay.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-020","NON_REGION_DATABASE_OBJECT","common/history/countries/prg - paraguay.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-021","NON_REGION_DATABASE_OBJECT","common/history/countries/sc1 - colonial mexico.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-022","NON_REGION_DATABASE_OBJECT","common/history/countries/sc2 - colonial colombia.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-023","NON_REGION_DATABASE_OBJECT","common/history/countries/sc3 - colonial peru.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-024","NON_REGION_DATABASE_OBJECT","common/history/countries/sc4 - colonial argentina.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-025","NON_REGION_DATABASE_OBJECT","common/history/countries/uca - central america.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-026","NON_REGION_DATABASE_OBJECT","common/history/countries/uru - uruguay.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"NR-027","NON_REGION_DATABASE_OBJECT","common/history/countries/vnz - venezula.txt","9","state_religion","law","country-history activate_law","YES","YES","state_religion","law_state_religion","","","","","Legacy country-history law key lacks the law_ prefix.","FORK_OVERRIDE_OR_LEGACY_REFERENCE","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","Deferred to LAW-SYSTEM-1776; the two PRG log paths resolve to one case-insensitive physical file."
"SC-001","EVENTTARGET_SCOPE_FAILURE","events/iran_troubles_events_mod.txt","280","ig_devot","interest_group","ig scope link","YES","YES","ig_devot","ig_devout","ig: scope","ig_devot","interest_group","missing database target","Typographical legacy interest-group key.","FORK_ONLY_TYPO","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact current interest group is ig_devout."
"SC-002","EVENTTARGET_SCOPE_FAILURE","common/history/diplomacy/00_subject_relationships.txt","130","DWI","country","create_diplomatic_pact target","NO","NO","DWI","REMOVE_DEAD_PACT_BLOCK","country scope link","c:DWI","country","absent country","DWI has no country definition in vanilla, the fork, or the initial import; the pact has always been dead.","FORK_INITIAL_IMPORT_DEAD_REFERENCE","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Removed only the invalid DWI pact; the adjacent DEI relationship is unchanged."
"NR-EXT-001","PARENT_API_ERROR","events/brazil/misc_events.txt","116","law_homesteading","parent law_type","has_law_or_variant","YES","YES","law_homesteading","law_peasant_proprietorship","trigger argument","law_type:law_homesteading","parent law","variant law","has_law_or_variant requires the parent when its argument is a variant.","FORK_LEGACY_API_REFERENCE","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","LOG12 runtime extension; LOG-CLEANUP-11 already proved law_peasant_proprietorship as the exact parent."
