"id","script_path","line","raw_message","legacy_region_key","script_context","API_or_trigger","left_scope","expected_object_type","runtime_observed","runtime_occurrences_if_script_system","fork_file","vanilla_homologue","modern_object","migration_rule","classification","safe_fix","patch_applied","notes"
"RGN-015","events/major_railways.txt","43","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_manchuria' file location: events/major_railways.txt:43","region_manchuria","sr:region_manchuria = {","strategic_region_scope","enclosing script scope","current strategic region or geographic iterator","NO","","YES","Exact Victoria 3 1.13.9 file homologue or generated geographic-region iterator.","sr:region_northeast_asia","LEGACY_STRATEGIC_SCOPE_TO_VANILLA_CURRENT_STRATEGIC_SCOPE","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","YES","YES","Structural migration locally proven."
"RGN-016","events/major_railways.txt","56","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_east_siberia' file location: events/major_railways.txt:56","region_east_siberia","region = sr:region_east_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_east_siberia_old.","is_in_geographic_region = geographic_region_east_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-017","events/major_railways.txt","57","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_west_siberia' file location: events/major_railways.txt:57","region_west_siberia","region = sr:region_west_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_west_siberia_old.","is_in_geographic_region = geographic_region_west_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-018","events/major_railways.txt","58","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_manchuria' file location: events/major_railways.txt:58","region_manchuria","region = sr:region_manchuria","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_manchuria_old.","is_in_geographic_region = geographic_region_manchuria_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-019","events/major_railways.txt","72","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_east_siberia' file location: events/major_railways.txt:72","region_east_siberia","region = sr:region_east_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_east_siberia_old.","is_in_geographic_region = geographic_region_east_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-020","events/major_railways.txt","73","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_west_siberia' file location: events/major_railways.txt:73","region_west_siberia","region = sr:region_west_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_west_siberia_old.","is_in_geographic_region = geographic_region_west_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-021","events/major_railways.txt","74","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_manchuria' file location: events/major_railways.txt:74","region_manchuria","region = sr:region_manchuria","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_manchuria_old.","is_in_geographic_region = geographic_region_manchuria_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-022","events/major_railways.txt","93","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_east_siberia' file location: events/major_railways.txt:93","region_east_siberia","region = sr:region_east_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_east_siberia_old.","is_in_geographic_region = geographic_region_east_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-023","events/major_railways.txt","94","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_west_siberia' file location: events/major_railways.txt:94","region_west_siberia","region = sr:region_west_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_west_siberia_old.","is_in_geographic_region = geographic_region_west_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-024","events/major_railways.txt","95","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_manchuria' file location: events/major_railways.txt:95","region_manchuria","region = sr:region_manchuria","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_manchuria_old.","is_in_geographic_region = geographic_region_manchuria_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-025","events/major_railways.txt","109","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_east_siberia' file location: events/major_railways.txt:109","region_east_siberia","region = sr:region_east_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_east_siberia_old.","is_in_geographic_region = geographic_region_east_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-026","events/major_railways.txt","110","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_west_siberia' file location: events/major_railways.txt:110","region_west_siberia","region = sr:region_west_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_west_siberia_old.","is_in_geographic_region = geographic_region_west_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-027","events/major_railways.txt","111","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_manchuria' file location: events/major_railways.txt:111","region_manchuria","region = sr:region_manchuria","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_manchuria_old.","is_in_geographic_region = geographic_region_manchuria_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-028","events/manifest_destiny_events.txt","137","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_the_midwest' file location: events/manifest_destiny_events.txt:137","region_the_midwest","region = sr:region_the_midwest","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_the_midwest_old.","is_in_geographic_region = geographic_region_the_midwest_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-029","events/manifest_destiny_events.txt","138","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_dixie' file location: events/manifest_destiny_events.txt:138","region_dixie","region = sr:region_dixie","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_dixie_old.","is_in_geographic_region = geographic_region_dixie_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-030","events/manifest_destiny_events.txt","164","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_the_midwest' file location: events/manifest_destiny_events.txt:164","region_the_midwest","region = sr:region_the_midwest","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_the_midwest_old.","is_in_geographic_region = geographic_region_the_midwest_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-031","events/manifest_destiny_events.txt","165","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_dixie' file location: events/manifest_destiny_events.txt:165","region_dixie","region = sr:region_dixie","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_dixie_old.","is_in_geographic_region = geographic_region_dixie_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-032","events/misc_unifications.txt","168","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_anatolia' file location: events/misc_unifications.txt:168","region_anatolia","region = sr:region_anatolia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_anatolia_old.","is_in_geographic_region = geographic_region_anatolia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-033","events/oscar_wilde.txt","45","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_england' file location: events/oscar_wilde.txt:45","region_england","capital.region = sr:region_england","capital.region comparison","country.capital state","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_england_old and uses the capital-state trigger pattern.","capital = { is_in_geographic_region = geographic_region_england_old }","CAPITAL_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-034","events/agitators_events/historic_agitator_events.txt","997","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_west_siberia' file location: events/agitators_events/historic_agitator_events.txt:997","region_west_siberia","region = sr:region_west_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_west_siberia_old.","is_in_geographic_region = geographic_region_west_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-035","events/agitators_events/historic_agitator_events.txt","1009","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_east_siberia' file location: events/agitators_events/historic_agitator_events.txt:1009","region_east_siberia","region = sr:region_east_siberia","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_east_siberia_old.","is_in_geographic_region = geographic_region_east_siberia_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-036","events/agitators_events/natural_borders.txt","625","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_rhine' file location: events/agitators_events/natural_borders.txt:625","region_rhine","region = sr:region_rhine","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_rhine_old.","is_in_geographic_region = geographic_region_rhine_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-037","events/agitators_events/natural_borders.txt","626","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_north_germany' file location: events/agitators_events/natural_borders.txt:626","region_north_germany","region = sr:region_north_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_north_germany_old.","is_in_geographic_region = geographic_region_north_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-038","events/agitators_events/natural_borders.txt","627","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_south_germany' file location: events/agitators_events/natural_borders.txt:627","region_south_germany","region = sr:region_south_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_south_germany_old.","is_in_geographic_region = geographic_region_south_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-039","events/agitators_events/natural_borders.txt","645","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_rhine' file location: events/agitators_events/natural_borders.txt:645","region_rhine","region = sr:region_rhine","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_rhine_old.","is_in_geographic_region = geographic_region_rhine_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-040","events/agitators_events/natural_borders.txt","646","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_north_germany' file location: events/agitators_events/natural_borders.txt:646","region_north_germany","region = sr:region_north_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_north_germany_old.","is_in_geographic_region = geographic_region_north_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-041","events/agitators_events/natural_borders.txt","647","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_south_germany' file location: events/agitators_events/natural_borders.txt:647","region_south_germany","region = sr:region_south_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_south_germany_old.","is_in_geographic_region = geographic_region_south_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-042","events/agitators_events/natural_borders.txt","668","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_rhine' file location: events/agitators_events/natural_borders.txt:668","region_rhine","region = sr:region_rhine","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_rhine_old.","is_in_geographic_region = geographic_region_rhine_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-043","events/agitators_events/natural_borders.txt","669","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_north_germany' file location: events/agitators_events/natural_borders.txt:669","region_north_germany","region = sr:region_north_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_north_germany_old.","is_in_geographic_region = geographic_region_north_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-044","events/agitators_events/natural_borders.txt","670","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_south_germany' file location: events/agitators_events/natural_borders.txt:670","region_south_germany","region = sr:region_south_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_south_germany_old.","is_in_geographic_region = geographic_region_south_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-045","events/agitators_events/natural_borders.txt","687","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_rhine' file location: events/agitators_events/natural_borders.txt:687","region_rhine","region = sr:region_rhine","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_rhine_old.","is_in_geographic_region = geographic_region_rhine_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-046","events/agitators_events/natural_borders.txt","688","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_north_germany' file location: events/agitators_events/natural_borders.txt:688","region_north_germany","region = sr:region_north_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_north_germany_old.","is_in_geographic_region = geographic_region_north_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-047","events/agitators_events/natural_borders.txt","689","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_south_germany' file location: events/agitators_events/natural_borders.txt:689","region_south_germany","region = sr:region_south_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_south_germany_old.","is_in_geographic_region = geographic_region_south_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-048","events/agitators_events/natural_borders.txt","716","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_rhine' file location: events/agitators_events/natural_borders.txt:716","region_rhine","region = sr:region_rhine","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_rhine_old.","is_in_geographic_region = geographic_region_rhine_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-049","events/agitators_events/natural_borders.txt","717","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_north_germany' file location: events/agitators_events/natural_borders.txt:717","region_north_germany","region = sr:region_north_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_north_germany_old.","is_in_geographic_region = geographic_region_north_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-050","events/agitators_events/natural_borders.txt","718","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_south_germany' file location: events/agitators_events/natural_borders.txt:718","region_south_germany","region = sr:region_south_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_south_germany_old.","is_in_geographic_region = geographic_region_south_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-051","events/agitators_events/natural_borders.txt","781","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_rhine' file location: events/agitators_events/natural_borders.txt:781","region_rhine","region = sr:region_rhine","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_rhine_old.","is_in_geographic_region = geographic_region_rhine_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
"RGN-052","events/agitators_events/natural_borders.txt","782","[18:43:47][eventtargetlinks.cpp:136]: Invalid database object key 'region_north_germany' file location: events/agitators_events/natural_borders.txt:782","region_north_germany","region = sr:region_north_germany","region comparison","state-compatible scope","geographic_region","NO","","YES","Victoria 3 1.13.9 defines geographic_region_north_germany_old.","is_in_geographic_region = geographic_region_north_germany_old","STATE_REGION_COMPARISON_TO_EXACT_GEOGRAPHIC_TRIGGER","FORK_ATTRIBUTABLE_FIXABLE","YES","YES","Exact legacy footprint preserved."
