record_type,checkpoint,game_date,game_tick,state_region,religion,population,radicals_visible,population_radicals,trend_radicals,radicals_increase,event_2b_executed,bic_portion_preserved,loop_terminated,save_name,save_sha256,materialization_class,result,evidence,notes
WEST_BENGAL,BIC_portion_final,1776-01-05,tick17,STATE_WEST_BENGAL,all_targeted,16893435,169256,169256,,part_of_42.141,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_TICK2_1776_01_05.v3,9556141FA0BBF907B30733E4F321C893BCB38B0D81D7256C18765FD6183AED6F,IMMEDIATE,PRESERVED,"State 487 country=218 BIC; state 488 country=412 COO","No owner null; aggregate stale despite pop mutation"
EAST_BENGAL,BIC_portion_final,1776-01-05,tick17,STATE_EAST_BENGAL,all_targeted,21400143,214017,214017,,part_of_42.141,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_TICK2_1776_01_05.v3,9556141FA0BBF907B30733E4F321C893BCB38B0D81D7256C18765FD6183AED6F,IMMEDIATE,PRESERVED,"State 14 country=218 BIC","No owner null; aggregate stale despite pop mutation"
HINDU,west_bengal_bic_immediate,1776-01-03,tick9,STATE_WEST_BENGAL,hindu,13071323,not_separately_visible,pop_object_delta_1307426,,included_in_42.13819,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_IMMEDIATE_1776_01_03.v3,D6758A45CEA575F2EB9368FD66BDE769E5AEDCB2DA6601EA9C24326DE829637A,IMMEDIATE,SCOPE_CONFIRMED,"65 objects; LR delta -13.07426","52 pop objects changed immediately"
SUNNI,west_bengal_bic_immediate,1776-01-03,tick9,STATE_WEST_BENGAL,sunni,3822116,not_separately_visible,pop_object_delta_382608,,included_in_42.13819,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_IMMEDIATE_1776_01_03.v3,D6758A45CEA575F2EB9368FD66BDE769E5AEDCB2DA6601EA9C24326DE829637A,IMMEDIATE,SCOPE_CONFIRMED,"15 objects; LR delta -3.82608","7 pop objects changed immediately"
HINDU,east_bengal_bic_immediate,1776-01-03,tick9,STATE_EAST_BENGAL,hindu,5992000,not_separately_visible,pop_object_delta_599197,,included_in_42.13819,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_IMMEDIATE_1776_01_03.v3,D6758A45CEA575F2EB9368FD66BDE769E5AEDCB2DA6601EA9C24326DE829637A,IMMEDIATE,SCOPE_CONFIRMED,"30 objects; LR delta -5.99197","24 pop objects changed immediately"
SUNNI,east_bengal_bic_immediate,1776-01-03,tick9,STATE_EAST_BENGAL,sunni,15408126,not_separately_visible,pop_object_delta_1541011,,included_in_42.13819,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_IMMEDIATE_1776_01_03.v3,D6758A45CEA575F2EB9368FD66BDE769E5AEDCB2DA6601EA9C24326DE829637A,IMMEDIATE,SCOPE_CONFIRMED,"11 objects; LR delta -15.41011","5 pop objects changed immediately"
LOOP,after_2b,1776-01-03,tick9,BIC,,,,,,,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_IMMEDIATE_1776_01_03.v3,D6758A45CEA575F2EB9368FD66BDE769E5AEDCB2DA6601EA9C24326DE829637A,IMMEDIATE,TERMINATED,"Event closed; game responsive; later ticks and saves completed","No empty-loop symptom"
LOGS,post_close,,,,,,,,,,true,true,true,,,N/A,NO_TARGETED_RUNTIME_ERROR,"Zero B1 Sepoy radical API Bengal or Invalid scope match; 1628 generic Script system errors are unrelated","427 Unexpected token and 16 BOM warnings are global out of scope"
SAVE_COMPARISON,pre_to_immediate_to_tick2,1776-01-03_to_1776-01-05,tick9_to_tick17,BIC,,38293565_to_38293578,383K,383338,"0 0 383338","3.83577 -> 42.13819 -> 42.141",true,true,true,"three saves","9E41F8B...; D6758A45...; 9556141F...",IMMEDIATE,PASS_SERIALIZED_POP_EFFECT,"121 targeted pop objects; 88 changed immediately; LR delta exactly -38.30242","UI national/state aggregates stale through second tick"
FILE_INTEGRITY,final,,,,,,,,,,true,true,true,,,N/A,UNCHANGED,"Copy 964 files; 20 harness; Sepoy 63422 bytes SHA256 FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","No gameplay harness localization or save original modified"
SUMMARY,verdict,1776-01-05,tick17,BIC,,38293578,383K,383338,"0 0 383338",42.141,true,true,true,HOTFIX_5C2E4C1P_B1_RADICAL_POST_2B_TICK2_1776_01_05.v3,9556141FA0BBF907B30733E4F321C893BCB38B0D81D7256C18765FD6183AED6F,IMMEDIATE,PASS_B1_RADICAL_2B_RUNTIME_PARTIAL_UI,"Large_radicals serialized immediately in correct Hindu and Sunni Bengal BIC pop objects; exact internal delta 38.30242","UI cannot separate religions and aggregate counters do not refresh by Jan 5"
