record_type,checkpoint,game_date,game_tick,state_region,province_id,owner_before,owner_after,controller_before,controller_after,region_state_empty,province_count,west_bengal_status,bombay_status,population,religion,radicals_visible,population_radicals,trend_radicals,radicals_increase,loyalists_and_radicals,event_2e_executed,bic_portion_preserved,loop_terminated,subject_before,subject_after,save_name,save_sha256,result,evidence,notes
"EVENT_2E","manual_selection","1776-01-03","game_date=1776.1.3.12","STATE_WEST_BENGAL trigger / STATE_BOMBAY intended core","","","","","","","","","","","","","","","","","YES","","YES","","","","","EXECUTED","event screenshot","sepoy_mutiny_events.2 opened manually; only option 2.e selected"
"BOMBAY_POST_2E","immediate","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","x51F0A0 / internal 39686","BIC","KHP","BIC","KHP","TRUE","0","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","0 real BIC population","none in BIC Bombay","not applicable","cached 909 in empty state 482","sample_rate=4;count=3650 national","0.01473 national","incoming Hindu signal remains -0.00909 after merge","YES","NO","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","FAIL_E1_BOMBAY_CORE_LOST","province 39686 state changes 482 to 485","State 482 remains only as an empty cached object with previous_country=218"
"WEST_BENGAL_POST_2E","immediate","1776-01-03","game_date=1776.1.3.12","STATE_WEST_BENGAL","initial BIC portion serialized 40292;40306","BIC","COO","BIC","COO","TRUE","0","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","0 real BIC population","none in BIC portion","","cached 260 in empty state 487","","","","YES","NO","YES","subject of BIC","independent","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","WEST_BENGAL_LOST","state 487 empty; state 488 population 17513023","Secondary observation; not automatically a core-protection requirement"
"POR_POST_2E","immediate","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","x51F0A0 / internal 39686","POR","KHP","POR","KHP","","0","","BOMBAY_CORE_LOST","","","","","","","","YES","NO","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","PASS","POR no longer has a Bombay portion after preparation","POR retained its other territories per operator"
"MARATH_POST_2E","immediate","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","MARATH portion","MARATH","MARATH","MARATH","MARATH","FALSE","25","","UNCHANGED","11811923","mixed","","5298","","","","YES","","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","PASS","state 483 province encoding and population identical","No harness or runtime mutation of MARATH"
"SAT_POST_2E","immediate","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","SAT portion","SAT","SAT","SAT","SAT","FALSE","10","","UNCHANGED","742713","mixed","","","","","","YES","","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","PASS","state 484 province encoding and population identical","No transfer"
"KHP_POST_2E","immediate","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY","KHP portion plus x51F0A0","KHP","KHP","KHP","KHP","FALSE","4","","RECEIVER","964082","mixed; merged Hindu target","909 visible/deep contribution","909","","","-0.00909 merged Hindu pop","YES","","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","PASS","state 485 gains 39686 and population 517691 to 964082","Exact Bombay receiver is KHP/Kolhapur"
"POST_2E_IMMEDIATE","save_checkpoint","1776-01-03","game_date=1776.1.3.12","STATE_BOMBAY / STATE_WEST_BENGAL","","BIC","KHP / COO","BIC","KHP / COO","TRUE for BIC 482 and 487","0","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","","","","1234 national","sample_rate=4;count=3650","0.01473","-0.00909 merged Hindu pop","YES","NO","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","FAIL_E1_BOMBAY_CORE_LOST","8274555 bytes","Immediate proof at the same serialized game date"
"POST_2E_TICK1","visual_checkpoint","1776-01-04","first post-event day","STATE_BOMBAY / STATE_WEST_BENGAL","x51F0A0","BIC","KHP / COO","BIC","KHP / COO","TRUE for BIC portions","0","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","","","909 observed for transferred Bombay population","","","","-0.00909 later serialized","YES","NO","YES","","","","","FAIL_E1_BOMBAY_CORE_LOST","operator observation","State transfer remains stable and game remains responsive"
"POST_2E_TICK2","final_checkpoint","1776-01-05","game_date=1776.1.5.18","STATE_BOMBAY / STATE_WEST_BENGAL","x51F0A0 / internal 39686","BIC","KHP / COO","BIC","KHP / COO","TRUE for BIC 482 and 487","0","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","","","","1234 national","sample_rate=4;count=3650","0.01473","-0.00909 merged Hindu pop","YES","NO","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_TICK2_1776_01_05.v3","13C1249BB0D14B8313B27337DE9E486D952B3FAC085D99DB81DC1239DF9AE30D","FAIL_E1_BOMBAY_CORE_LOST","state and pop results identical to immediate save","Stable after two ticks"
"COO","diplomacy_post_2e","1776-01-03..1776-01-05","","STATE_WEST_BENGAL","initial BIC portion","BIC","COO","BIC","COO","FALSE for COO state 488","combined","WEST_BENGAL_LOST","","17513023","mixed","","303","","","","YES","NO","YES","subject of BIC","independent; definition becomes BGL by Jan 5","","","PASS","market 0 to independent market 281; operator confirmation","COO receives BIC West Bengal then transforms to Bengal/BGL by Jan 5"
"JEY","diplomacy_post_2e","1776-01-03..1776-01-05","","","","BIC subject","JEY independent","","","","","","","","","","","","","","YES","","YES","subject of BIC","independent","","","PASS","market 0 to independent market 282; operator confirmation","No territorial anomaly reported"
"LOOP","post_effect","1776-01-03","game_date=1776.1.3.12","","","","","","","","","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","","","","","","","","YES","NO","YES","","","HOTFIX_5C2E4C1V_E1_POST_2E_IMMEDIATE_1776_01_03.v3","946A6405BCD93789479825E1D668BB743FC16E945796FE35FA8425D727A589D0","PASS_TECHNICAL_LOOP","event closed; save created; game advanced to Jan 5","Loop terminates despite incorrect core redistribution"
"LOGS","post_close","","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","PASS_DIRECT_SCOPE","Get-ChildItem plus Select-String: zero direct pattern matches","Global unrelated diagnostics remain and are classified separately"
"SAVE_COMPARISON","all_three","1776-01-03..1776-01-05","1776.1.3.12 / 1776.1.3.12 / 1776.1.5.18","STATE_BOMBAY / STATE_WEST_BENGAL","39686","BIC","KHP / COO","BIC","KHP / COO","TRUE after 2.e","0 BIC cores","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","","Hindu target merged into KHP","909 baseline","1234 national unchanged","sample_rate=4;count=3650 unchanged","0.01473 unchanged","-0.00909 unchanged","YES","NO","YES","","","","","FAIL_E1_BOMBAY_CORE_LOST","Rakaly 0.8.18 melts of temporary copies","No original save modified; temporary files deleted"
"FILE_INTEGRITY","post_runtime","","","","","","","","","","972 total; 28 harness; 4 E1","","","","","","","","","","","","","","","","","PASS","C1U manifest: 0 mismatches","Sepoy fork/copy 63540 bytes and expected SHA-256; no gameplay/harness/localization change"
"SUMMARY","final","1776-01-05","game_date=1776.1.5.18","STATE_BOMBAY / STATE_WEST_BENGAL","x51F0A0 / internal 39686","BIC","KHP / COO","BIC","KHP / COO","TRUE for both BIC region states","0","WEST_BENGAL_LOST","BOMBAY_CORE_LOST","","","","1234 national","sample_rate=4;count=3650","0.01473","-0.00909","YES","NO","YES","COO and JEY subjects","COO and JEY independent","HOTFIX_5C2E4C1V_E1_POST_2E_TICK2_1776_01_05.v3","13C1249BB0D14B8313B27337DE9E486D952B3FAC085D99DB81DC1239DF9AE30D","FAIL_E1_BOMBAY_CORE_LOST / WEST_BENGAL_LOST","serialized saves plus screenshots plus logs","Correct both while guard and random_scope_state for STATE_BOMBAY in a distinct phase"
