"record_type","checkpoint","game_date","game_tick","state_region","state_id","province_id","owner_before","owner_after","controller_before","controller_after","region_state_empty","province_count","population","subject_status","capital_before","capital_after","event_opened","option_2e_visibility","option_2e_enabled","failed_trigger","real_option_selected","event_effect_executed","reload_completed","save_name","save_sha256","result","evidence","notes"
"BIC_CAPITAL","PRE_EVENT","1776.1.1","0","STATE_EAST_BENGAL","14","40324","BIC","BIC","BIC","BIC","false","30","21556674","","STATE_WEST_BENGAL","STATE_EAST_BENGAL","false","","","","false","false","false","HOTFIX_5C2E4C1AD_E2_PRE_EVENT","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9","PASS","BIC country block capital=14","Automatic engine relocation; no harness capital effect"
"SUBJECTS_PRE_EVENT","PRE_EVENT","1776.1.1","0","","","","BIC","BIC","","","","","","COO and JEY puppets of BIC","","","false","","","","false","false","false","HOTFIX_5C2E4C1AD_E2_PRE_EVENT","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9","PASS","Pacts 218→412 and 218→428 action=puppet","Both remain market=0"
"PRE_EVENT_SAVE","PRE_EVENT","1776.1.1","0","","","","","","","","","","","","","","false","","","","false","false","false","HOTFIX_5C2E4C1AD_E2_PRE_EVENT","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9","PASS","7911168 bytes; exact checkpoint name","Original unchanged after Rakaly analysis"
"EVENT_OPEN","EVENT_UI","1776.1.1","0","","","","BIC","BIC","","","","","","","","","true","","","","false","false","false","","","PASS","sepoy_mutiny_events.2 opened as Le coup de grâce","Opened manually through E-2 decision"
"OPTION_2E_UI","EVENT_UI","1776.1.1","0","STATE_BOMBAY;STATE_WEST_BENGAL","482;487","39686","BIC;absent","BIC;absent","BIC;absent","BIC;absent","false;true","1;0","446391;0","","","","true","OPTION_2E_HIDDEN","false","STATE_WEST_BENGAL absent from BIC","false","false","false","","","PASS_E2_OPTION_HIDDEN","Only abandon-India option displayed in screenshot","No 2.e button or tooltip visible"
"OPTION_2E_TRIGGER","EVENT_UI","1776.1.1","0","STATE_WEST_BENGAL","487","","BIC","absent","BIC","absent","true","0","0","","","","true","OPTION_2E_HIDDEN","false","any_scope_state STATE_WEST_BENGAL","false","false","false","","","TRIGGER_WEST_BENGAL_GOVERNS_2E_CONFIRMED","Static trigger contains only West Bengal; Bombay BIC is present","Runtime contradiction between announced Bombay retreat and access trigger"
"NO_OPTION_SELECTED","EVENT_UI","1776.1.1","0","","","","","","","","","","","","","","true","OPTION_2E_HIDDEN","false","STATE_WEST_BENGAL absent from BIC","false","false","false","","","PASS","Operator selected no real option","Reload performed directly from open event"
"RELOAD_1","POST_RELOAD","1776.1.1","0","","","","BIC","BIC","","","","","","COO and JEY puppets","14","14","false","","","","false","false","true","HOTFIX_5C2E4C1AD_E2_PRE_EVENT","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9","PASS","Exactly one reload in same session","No Sepoy window after reload"
"POST_RELOAD_BOMBAY","POST_RELOAD","1776.1.1","0","STATE_BOMBAY","482","39686","BIC","BIC","BIC","BIC","false","1","446391","","","","false","","","","false","false","true","HOTFIX_5C2E4C1AD_E2_POST_RELOAD_CONTROL","0C91E27B20504DB5270C55920FA12F3D0ED8536793DFE80CCBD40E8F40FDD7CE","PASS","Same owner, province and population as PRE","No territorial effect leak"
"POST_RELOAD_WEST_BENGAL","POST_RELOAD","1776.1.1","0","STATE_WEST_BENGAL","487;488","40292 16","empty;COO","empty;COO","empty;COO","empty;COO","true for 487; false for 488","17","17512663","COO puppet of BIC","488","488","false","","","","false","false","true","HOTFIX_5C2E4C1AD_E2_POST_RELOAD_CONTROL","0C91E27B20504DB5270C55920FA12F3D0ED8536793DFE80CCBD40E8F40FDD7CE","PASS","Same owner, provinces and total population as PRE","One non-material pop consolidation; no large radicals"
"POST_RELOAD_EAST_BENGAL","POST_RELOAD","1776.1.1","0","STATE_EAST_BENGAL","14","40309 29","BIC","BIC","BIC","BIC","false","30","21556674","","40324","40324","false","","","","false","false","true","HOTFIX_5C2E4C1AD_E2_POST_RELOAD_CONTROL","0C91E27B20504DB5270C55920FA12F3D0ED8536793DFE80CCBD40E8F40FDD7CE","PASS","Identical owner, province encoding and population","East Bengal remains BIC and non-empty"
"POST_RELOAD_SUBJECTS","POST_RELOAD","1776.1.1","0","","","","BIC","BIC","","","","","","COO and JEY puppets of BIC","","","false","","","","false","false","true","HOTFIX_5C2E4C1AD_E2_POST_RELOAD_CONTROL","0C91E27B20504DB5270C55920FA12F3D0ED8536793DFE80CCBD40E8F40FDD7CE","PASS","Puppet and exempt-from-service pacts unchanged","COO/JEY markets remain 0; no independence"
"EFFECT_LEAK_CHECK","PRE_VS_POST","1776.1.1","0","STATE_BOMBAY;STATE_WEST_BENGAL;STATE_EAST_BENGAL","482;487;488;14","39686;40292 16;40309 29","BIC;empty;COO;BIC","BIC;empty;COO;BIC","same","same","same","1;0;17;30","446391;0;17512663;21556674","COO and JEY remain puppets","14","14","false","OPTION_2E_HIDDEN","false","STATE_WEST_BENGAL absent from BIC","false","false","true","HOTFIX_5C2E4C1AD_E2_POST_RELOAD_CONTROL","0C91E27B20504DB5270C55920FA12F3D0ED8536793DFE80CCBD40E8F40FDD7CE","PASS_NO_EVENT_EFFECT_LEAK","Territory, player, pacts and markets unchanged","Tiny pop-object/LR serialization drift is non-material and not large_radicals"
"LOGS","POST_CLOSE","","","","","","","","","","","","","","","","false","","","","false","false","true","","","PASS","Zero targeted E-2/event/state/scope/tooltip/BOM matches","Global: Invalid right side 1307; Script system error 1309; PostValidate 164"
"SAVE_INTEGRITY","POST_MELT_REHASH","1776.1.1","0","","","","","","","","","","","","","","false","","","","false","false","true","HOTFIX_5C2E4C1AD_E2_PRE_EVENT;HOTFIX_5C2E4C1AD_E2_POST_RELOAD_CONTROL","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9;0C91E27B20504DB5270C55920FA12F3D0ED8536793DFE80CCBD40E8F40FDD7CE","PASS","Exactly two saves; hashes unchanged after Rakaly 0.8.18","Temporary copies, melts, archive and binary removed"
"FILE_INTEGRITY","POST_RUNTIME","","","","","","","","","","","","","","","","false","","","","false","false","true","","","PASS","980 files; 36 harnesses; 44/44 C1AC checks","Sepoy SHA 51F489F00FA6CB2D7BBF1D1FDC587104F2A17D4932187DAA8BBE954F7312A9FB"
"SUMMARY","VERDICT","1776.1.1","0","STATE_BOMBAY;STATE_WEST_BENGAL","482;487","39686","BIC;absent","BIC;absent","BIC;absent","BIC;absent","false;true","1;0","446391;0","COO and JEY remain puppets","14","14","true","OPTION_2E_HIDDEN","false","STATE_WEST_BENGAL absent from BIC","false","false","true","HOTFIX_5C2E4C1AD_E2_PRE_EVENT;HOTFIX_5C2E4C1AD_E2_POST_RELOAD_CONTROL","C4155C0C88472CE16FEF1C428A548FC58AA7479F3AE2A049E06DA30E463F0EB9;0C91E27B20504DB5270C55920FA12F3D0ED8536793DFE80CCBD40E8F40FDD7CE","PASS_E2_OPTION_BLOCKED","PASS_E2_OPTION_HIDDEN; TRIGGER_WEST_BENGAL_GOVERNS_2E_CONFIRMED","No West Bengal protection recommended; separate trigger correction study"
