system,function_or_object,source_file,vanilla_equivalent,implementation_method,inputs,decision_logic,outputs,used_by_tech_res,criticality,1776_relevance,reimplementation_complexity,notes
PM AI,PRODUCTION_METHOD_UNDESIRABLE_GOODS_PRICE_FACTOR_UNTRADEABLE,common/defines/kai_ai.txt,NAI define,DEFINE_CHANGE,input price and tradability,Penalizes expensive untradeable inputs but absent goods have no price penalty,PM selection score,INDIRECT,OPTIONAL_ENHANCEMENT,CRITICAL,LOW,Allows first demand but discourages worsening mature shortages
PM AI,PRODUCTION_METHOD_STICKINESS_UPGRADE_DOWNGRADE,common/defines/kai_ai.txt,NAI defines,DEFINE_CHANGE,current and candidate PM output values,Removes upgrade stickiness and reduces downgrade stickiness,PM switching,INDIRECT,OPTIONAL_ENHANCEMENT,HIGH,LOW,Can exit failed PM experiments
PM AI,PRODUCTION_METHOD_FAVORED_MILITARY_GOODS_FACTOR,common/defines/kai_ai.txt,NAI define,DEFINE_CHANGE,military output value,Boosts military-good PM evaluation,PM choice,INDIRECT,OPTIONAL_ENHANCEMENT,HIGH,LOW,Targets aeroplanes and tanks
Resource AI,ai_strategy_resource_expansion,common/ai_strategies/kai_admin_strategies.txt,ai_strategy_resource_expansion,REPLACE,goods technologies market supply,Adjusts desired/high-supply/export stances,Goods/building evaluation,OVERWRITTEN_BY_TECH_RES,OPTIONAL_ENHANCEMENT,HIGH,MEDIUM,Tech & Res replaces this object with its expanded version
Resource AI,kai_has_high_supply,common/scripted_triggers/kai_scripted_triggers.txt,NONE,SCRIPTED_AUXILIARY_LOGIC,current market price,Prevents export stance while a resource is expensive,Export stance eligibility,YES,REQUIRED_FOR_AI,HIGH,LOW,Does not detect unexploited potential itself
Trade AI,ai_strategy_default goods stances,common/ai_strategies/00_default_strategy.txt,ai_strategy_default,OVERRIDE,technology strategy religion market state,Declares wanted imports exports and high supply,Trade/building/PM preferences,EXTENDED_BY_TECH_RES,OPTIONAL_ENHANCEMENT,HIGH,HIGH,No direct route-sizing algorithm replacement found
Trade AI,administrative strategy export guards,common/ai_strategies/kai_admin_strategies.txt,admin strategies,REPLACE,current supply via kai_has_high_supply,Exports only once domestic price is low,Trade stance,YES_PATTERN,REQUIRED_FOR_AI,HIGH,MEDIUM,Tech & Res reuses trigger for new goods
Research AI,atmospheric_engine,common/technology/technologies/kai_technologies.txt,atmospheric_engine,INJECT,industrial/resource strategy,Base weight 3 plus 2 under relevant strategies,Research priority,NO,OPTIONAL_ENHANCEMENT,HIGH,LOW,Railway prerequisite
Research AI,mechanical_tools,common/technology/technologies/kai_technologies.txt,mechanical_tools,INJECT,none,Static weight 2,Research priority,NO,OPTIONAL_ENHANCEMENT,MEDIUM,LOW,Railway prerequisite
Research AI,steam_turbine,common/technology/technologies/kai_technologies.txt,steam_turbine,INJECT,electricity adoption rationale,Static weight 2,Research priority,NO,OPTIONAL_ENHANCEMENT,MEDIUM,LOW,No current price check
Research AI,radio,common/technology/technologies/kai_technologies.txt,radio,INJECT,military prerequisite rationale,Static weight 2,Research priority,NO,OPTIONAL_ENHANCEMENT,MEDIUM,LOW,No fleet/army state check
Research AI,telephone,common/technology/technologies/kai_technologies.txt,telephone,INJECT,central planning ordering rationale,Static weight 2,Research priority,NO,OPTIONAL_ENHANCEMENT,MEDIUM,LOW,No resource condition
Political AI,kai_can_afford_institution,common/scripted_triggers/kai_scripted_triggers.txt,NONE,SCRIPTED_AUXILIARY_LOGIC,bureaucracy and normalized income,Allows institution laws below 30 percent estimated bureaucracy cost,Law weighting,NO,OPTIONAL_ENHANCEMENT,LOW,MEDIUM,Used across injected law weights
Political AI,law AI weights,common/laws/kai_*.txt,vanilla laws,INJECT,IG support economy peasants bureaucracy,Adds contextual law weights,Law selection,NO,OPTIONAL_ENHANCEMENT,LOW,HIGH,Eleven law files
Military AI,wanted_army_size_script_value,common/script_values/kai_script_values.txt,wanted_army_size_script_value,REPLACE,population income rank geography laws strategies,Recomputes army target and caps density effects,Desired barracks,NO,OPTIONAL_ENHANCEMENT,MEDIUM,HIGH,Not a new-good chain mechanism
Naval AI,wanted_navy_size_script_value,common/script_values/kai_script_values.txt,wanted_navy_size_script_value,REPLACE,coastal population income rank laws technology,Recomputes navy target,Desired ships,NO,OPTIONAL_ENHANCEMENT,HIGH,HIGH,Relevant to TECH-1B principles
Naval AI,ship type weights,common/ship_types/kai_ship_types.txt,vanilla ship types,INJECT,market aeroplane potential and type limitations,Disables unsupported types and gates carriers,Ship construction choices,NO,OPTIONAL_ENHANCEMENT,HIGH,MEDIUM,Five ship injections
Company AI,NONE,NO_COMPANY_FILES,vanilla company AI,OTHER,NONE,No company logic changed,NONE,NO,FALLBACK_EXISTS,HIGH,NONE,Explicit negative finding
Future demand,general planner,NONE,engine and strategy stances,OTHER,current prices PM evaluation wanted goods,No multi-step future-demand planner found,NONE,NO,FALLBACK_EXISTS,CRITICAL,HIGH,Only one-step experimentation and declared stances
