calling_mod,calling_file,line,calling_object,external_symbol,symbol_type,dependency,context,purpose,criticality
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,97,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=automobiles,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,104,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=telephones,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,111,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=radios,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,236,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=civil_planes,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,245,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=homeappliances,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,254,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=robotics,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,263,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=computer,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,272,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=interactive_entertainment,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,283,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=space_assets,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,495,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=coal,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,496,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=iron,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,497,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=oil,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,498,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=lead,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,499,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=wood,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,500,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=hardwood,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,501,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=sulfur,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,502,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=fruit,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,503,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=fabric,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,504,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=sugar,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,505,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=coffee,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,506,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=tea,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,507,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=opium,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,508,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=tobacco,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,509,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=dye,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,510,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=silk,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,511,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=rubber,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,513,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=good_uranium,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,514,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=bauxite,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,515,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=copper,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,516,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=commonores,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,517,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=advancedores,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,518,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=rare_earths,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,519,ai_strategy_colonial_extraction,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=gas,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1212,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=oil,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1283,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=gas,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1292,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=good_uranium,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1301,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=lead,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1310,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=sulfur,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1319,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=bauxite,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1328,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=copper,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1337,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=commonores,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1346,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=advancedores,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_default_strategy.txt,1355,ai_strategy_default,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=rare_earths,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
