layer,object_or_relation,object_type,source_file,key_mechanics,technology_or_condition,ai_behavior,classification,verdict,notes
MODIFIER,gabelle_income,static_modifier,common/static_modifiers/lagab_static_modifiers.txt,"tax collection +15%; lower SoL -1.5; middle SoL -0.5",je_gabelle,None,MOD_SPECIFIC,NEEDS_REBALANCE,Direct SoL loss is separate from market shortage
EVENT,lagab_generic.1-.4,country_events,events/lagab_generic.txt,"tax adoption; black market; tax burden; alternative obsessions",monthly pulse and price/tax conditions,Equal/simple option weights,MOD_SPECIFIC,NEEDS_RUNTIME_TEST,Black-market modifier adds only 0.25% salt output multiplier
EVENT,lagab_france.1-.2,country_events,events/lagab_france.txt,"revolution response and intended reform",FRA tax and politics,Simple option weights,MOD_SPECIFIC,AVOID,France.2 requires reform global variable before setting it; likely unreachable normally
EVENT,lagab_india.1,country_event,events/lagab_india.txt,"Salt March after 1925 with Gandhi template",BIC subject plus tax,Default option present,MOD_SPECIFIC,NOT_RELEVANT,Historical flavor
COMPANY,company_basic_salt,company_type,common/company_types/lagab_companies.txt,"pan/mine; generic; prestige eligible; SoL +1 prosperity",level 5 possible; AI level 3,Explicit ai_will_do trigger,ARCHITECTURE_REUSABLE,REUSE_IDEA,Uses vanilla charters only
COMPANY,company_salt_union,company_type,common/company_types/lagab_companies.txt,"GBR flavor; SoL +0.5; trade capacity +10%",Home Counties presence,Explicit ai_will_do,MOD_SPECIFIC,REUSE_IDEA,No Chinese flavor company
COMPANY,company_groupe_salins,company_type,common/company_types/lagab_companies.txt,"FRA flavor; vineyard extension; prestige +5%",Languedoc presence,Explicit ai_will_do,MOD_SPECIFIC,REUSE_IDEA,No law hook
COMPANY,company_morton_salt,company_type,common/company_types/lagab_companies.txt,"USA flavor; farms/rail throughput; mortality -2.5%",Illinois presence,Explicit ai_will_do,MOD_SPECIFIC,REUSE_IDEA,No law hook
COMPANY,company_kali_und_salz_ag,company_type,common/company_types/lagab_companies.txt,"Central Europe; chemical extensions; production research +10%",Hesse presence,Explicit ai_will_do,MOD_SPECIFIC,REUSE_IDEA,No law hook
COMPANY,company_maldon_sea_salt,company_type,common/company_types/lagab_companies.txt,"GBR flavor; coal extension; mortality -5%",East Anglia presence,Explicit ai_will_do,MOD_SPECIFIC,REUSE_IDEA,Present in scripts and localization though omitted from README list
PRESTIGE,prestige_good_generic_salt,prestige_good,common/prestige_goods/lagab_prestige_goods.txt,"base good salt",mp1 feature through JE,Company-based,MOD_SPECIFIC,REUSE_IDEA,Top-three production rank and prosperity progression
LOCALIZATION,English French Simplified Chinese,localization set,localization/,"six files per language",NA,NA,MOD_SPECIFIC,REUSE_IDEA,Chinese localization is not a Chinese company definition
ICON,salt/buildings/companies/events,dds assets,gfx/interface/icons/,"good; two building icons; six company icons; event; prestige",NA,NA,MOD_SPECIFIC,NOT_RELEVANT,Audited as presence only; no asset reuse
ABSENCE,laws institutions decrees decisions state traits map modes scripted effects,absence audit,entire mod,"No salt-specific definitions found",NA,NA,UNKNOWN,NOT_RELEVANT,Do not infer nonexistent mechanisms
