"candidate_id","candidate_name","good_class","historical_period","historical_importance","industrial_versatility","strategic_importance","trade_importance","geographic_concentration","price_and_market_potential","number_of_industrial_uses","gameplay_distinctiveness","compatibility_with_victoria3","implementation_complexity","risk_of_redundancy","positive_score","final_score","tier","recommended_representation","principal_uses","justification"
"R23","guano","extractive_resource","1840-1880","4","1","3","5","5","4","1","4","3","4","4","30","22","C","state_trait_or_phosphate_PM","fertilizer;nitrates","Powerful historical episode but one-use and short-lived."
"R24","saltpeter","extractive_or_agricultural_good","pre-1776-1900","5","2","5","5","4","4","2","4","3","4","3","34","27","B","nitrates_good_early_PM","gunpowder;fertilizer;chemicals","Best represented as early source feeding a broader nitrates good."
"R25","cellulose","intermediate_good","1870-1936","3","4","2","3","2","3","4","2","3","4","5","26","17","C","pulp_or_industrial_chemical_PM","rayon;celluloid;paper","Too abstract and overlaps pulp."
"R26","industrial_glass","industrial_good","1850-1936","3","4","3","3","2","4","4","2","2","4","5","27","18","C","existing_glass_PM","windows;bottles;optics;insulators","Existing glass already supports these decisions."
"R27","alloy_metals_bundle","extractive_resource","1870-1936","4","4","5","4","4","4","5","4","3","4","2","37","31","B","single_aggregated_good","nickel;chrome;manganese;tungsten uses","Gameplay-efficient alternative to four separate strategic ores."
"R28","alumina","intermediate_good","1887-1936","4","1","4","2","2","2","1","2","2","4","5","20","11","D","internal_PM_step","aluminum","Single-use intermediate creates no market decision."
"R29","sulfuric_acid","intermediate_good","1780-1936","5","5","4","3","1","4","5","3","3","5","5","33","23","C","industrial_chemicals_aggregator","fertilizer;explosives;dyes;metals","Historically central but hazardous micro-good; aggregate."
"R30","concrete","industrial_good","1870-1936","4","2","3","2","1","4","2","2","3","4","5","23","14","D","construction_PM_using_cement","buildings;infrastructure","Non-traded on-site mixture; cement is the meaningful market good."





