"innovation_id","innovation_name","category","innovation_type","earliest_antecedent_date","practical_breakthrough_date","commercial_adoption_date","mass_industrialization_date","origin_regions","important_people_or_institutions","diffusion_routes","scientific_prerequisites","technical_prerequisites","institutional_prerequisites","energy_requirements","raw_materials_required","intermediate_goods","final_products","industries_enabled","industries_transformed","labor_and_skill_changes","infrastructure_requirements","military_uses","civilian_uses","social_effects","environmental_effects","importance_for_1776_start","possible_game_representation","candidate_tech_era","historical_confidence","gameplay_relevance_score","sources","notes"
"I011","Distillation du zinc à Zawar","métallurgie","production_process","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","métallurgie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S11;S28","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I012","Noria et pompe à pistons","chimie","production_process","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","chimie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S12;S29","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I013","Écluse à sas","transport","infrastructure_system","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","transport","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S13;S30","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I014","Cloisons étanches navales","transport","infrastructure_system","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","transport","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S14;S31","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I015","Boussole maritime","transport","infrastructure_system","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","transport","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S15;S32","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I016","Navigation astronomique","transport","infrastructure_system","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","transport","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S16;S33","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I017","Cartographie nautique","information","knowledge_diffusion","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","information","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S17;S34","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I018","Comptabilité en partie double","organisation","organizational_innovation","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","organisation","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S18;S35","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I019","Société par actions","organisation","organizational_innovation","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","organisation","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S19;S36","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I020","Assurance maritime","organisation","organizational_innovation","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","organisation","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S20;S37","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I021","Brevet moderne","organisation","organizational_innovation","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","organisation","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S21;S38","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I022","Service postal national","organisation","organizational_innovation","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","organisation","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S22;S39","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I023","Chronomètre de marine","chimie","production_process","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","chimie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S23;S40","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I024","Route à chaussée drainée","transport","infrastructure_system","antécédents pré-1650","1650-1776","1700-1790","1750-1830","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","transport","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","advanced_or_frontier_in_1776","technology_PM_building_institution_or_modifier","1650-1776","HIGH_CONFIDENCE","5","S24;S41","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I025","Canal industriel moderne","transport","infrastructure_system","antécédents pré-1650","1650-1776","1700-1790","1750-1830","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","transport","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","advanced_or_frontier_in_1776","technology_PM_building_institution_or_modifier","1650-1776","HIGH_CONFIDENCE","5","S25;S42","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I026","Coke sidérurgique","chimie","production_process","antécédents pré-1650","1650-1776","1700-1790","1750-1830","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","chimie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","advanced_or_frontier_in_1776","technology_PM_building_institution_or_modifier","1650-1776","HIGH_CONFIDENCE","5","S26;S43","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I027","Pompe atmosphérique à vapeur","énergie","technical_invention","antécédents pré-1650","1650-1776","1700-1790","1750-1830","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","énergie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","advanced_or_frontier_in_1776","technology_PM_building_institution_or_modifier","1650-1776","HIGH_CONFIDENCE","5","S27;S44","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I028","Machine à vapeur de Watt","énergie","technical_invention","antécédents pré-1650","1650-1776","1700-1790","1750-1830","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","énergie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","advanced_or_frontier_in_1776","technology_PM_building_institution_or_modifier","1650-1776","HIGH_CONFIDENCE","5","S28;S45","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I029","Alésage de précision","machines-outils","technical_invention","antécédents pré-1650","1650-1776","1700-1790","1750-1830","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","machines-outils","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","advanced_or_frontier_in_1776","technology_PM_building_institution_or_modifier","1650-1776","HIGH_CONFIDENCE","5","S29;S46","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
