object_type,object_id,definition_mode,source_file,category_or_group,base_price,tradeable,role,technology_gates,pop_consumption,producer_relations,consumer_relations,ai_hooks,dead_chain_risk,notes
GOOD,pharmaceuticals,CREATE,common/goods/ztr_new_goods.txt,staple,50,YES_DEFAULT,FINAL_GOOD,antibiotics|automatic_bottle_blowers|fast_food|genetic_disease_screening|genetic_engineering|modern_cosmetics|mri_development|neuroscience|penicillin|pharmaceuticals|synthetic_cosmetics|synthetic_pesticides|theiler_microbiology_tech|vaccination_campaigns,YES,6,12,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,plastics,CREATE,common/goods/ztr_new_goods.txt,industrial,45,YES_DEFAULT,CONSTRUCTION_GOOD,additive_manufacturing|advanced_personal_computer|advanced_solar_panels|advanced_water_filtration|advanced_wire|alkaline_battery|automated_industrial_robots|automatic_machine_guns|bauxite_processing|cathode_tube|computer|elastomers|electric_vehicles|embedded_control_systems|fast_modular_furniture|genetic_disease_screening|global_music|hdpe|high_definition_television|integrated_circuits|jet_aviation|kraft_recovery_process|laser|lithium_battery|mass_entertainment|mass_propaganda|mendelejew_synthetic_rubber_tech|mobile_devices|mobile_phone|modern_tools|neuroscience|optic_fibers|personal_computer|photovoltaic_effect|plastic_recovery|plastics|polyester_synthesis|polyethylene|prefabricated_concrete_buildings|proto_digital_devices|rock_and_roll|rocket_artillery|rudimental_home_appliances|sea_water_desalination|smart_appliances|smart_energy_grid|smartphones|supermarket|synthetic_fibres|tv_color|urban_sustainability|virtual_reality,NO,7,56,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,processors,CREATE,common/goods/ztr_new_goods.txt,industrial,130,YES_DEFAULT,INTERMEDIATE_GOOD,advanced_personal_computer|advanced_solar_panels|automated_industrial_robots|autonomous_and_remote_ops_mining|cobots|computer|digital_infrastructure|electric_vehicles|embedded_control_systems|global_music|hydrogen_bomb|integrated_circuits|internet|iot_driven_manufacturing|micro_processors|mobile_devices|mobile_phone|modular_shipbuilding|mri_development|networking_protocols|nuclear_fusion_reactor|parallel_computing_architecture|personal_computer|satellites|second_nuclear_reactor|smart_appliances|smart_vehicles|smartphones|virtual_reality,NO,3,66,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,rare_earths,CREATE,common/goods/ztr_new_goods.txt,industrial,50,YES_DEFAULT,PRIMARY_GOOD,advanced_solar_panels|embedded_control_systems|heavy_machinery|integrated_circuits|lithium_battery|micro_processors|neoliberism|nuclear_fusion_reactor|parallel_computing_architecture|rare_earths_advanced_purification|silicon|wind_turbines,NO,7,7,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,raw_data,CREATE,common/goods/ztr_new_goods.txt,luxury,5,YES_DEFAULT,KNOWLEDGE_RESEARCH_GOOD,algorithmic_dispatch|big_data_analytics|cloud_computing|digital_governance|digital_infrastructure|internet|machine_learning|parallel_computing_architecture,NO,24,5,STRATEGY_STANCE,MEDIUM,No explicit tradeable=no
GOOD,robotics,CREATE,common/goods/ztr_new_goods.txt,industrial,100,YES_DEFAULT,INTERMEDIATE_GOOD,additive_manufacturing|advanced_harbor_facilities|advanced_personal_computer|advanced_solar_panels|algorithmic_dispatch|astronautics|automated_industrial_robots|autonomous_and_remote_ops_mining|civil_drones|cnc_control|cobots|e_commerce|embedded_control_systems|euv_photolithography|freight_village|funded_research_projects|hdpe|heavy_machinery|high_pressure_grinding_rolls|hydraulic_fracturing|hydrogen_bomb|iot_driven_manufacturing|machine_learning|mechanical_arms|mechatronics|micro_processors|modular_shipbuilding|network_centric_warfare|nuclear_fusion_reactor|prefabricated_concrete_buildings|rare_earths_advanced_purification|satellites|second_nuclear_reactor|smart_energy_grid|third_nuclear_reactor|user_interface,NO,3,105,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,softwares,CREATE,common/goods/ztr_new_goods.txt,luxury,60,YES_DEFAULT,FINAL_GOOD,advanced_personal_computer|agentic_ai|algorithmic_dispatch|app_economy|artificial_intelligence|big_data_analytics|cloud_computing|cnc_control|cobots|computer|data_processing|digital_governance|digital_infrastructure|e_commerce|electric_vehicles|global_music|globalization|interactive_media|internet|iot_driven_manufacturing|mobile_devices|mobile_phone|modern_statistics|networking_protocols|nuclear_fusion_reactor|operating_systems|personal_computer|smart_appliances|smart_vehicles|smartphones|social_media|software_development_paradigms|software_tech|third_nuclear_reactor|user_interface|videogames|virtual_reality,YES,7,59,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,space_assets,CREATE,common/goods/ztr_new_goods.txt,military,200,YES_DEFAULT,MILITARY_GOOD,astronautics|iot_driven_manufacturing|satellites|space_rocketery|telecommunications|wireless_broadband_networks,NO,3,3,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,telecommunications,CREATE,common/goods/ztr_new_goods.txt,staple,30,YES_DEFAULT,FINAL_GOOD,advanced_solar_panels|agentic_ai|algorithmic_dispatch|autonomous_and_remote_ops_mining|autonomous_road_vehicles|basic_home_appliances|big_data_analytics|cathode_tube|civil_drones|cloud_computing|combustion_engine|data_processing|digital_governance|e_commerce|embedded_control_systems|global_music|high_definition_television|international_travel|internet|iot_driven_manufacturing|market_studies|mass_propaganda|mine_precision_blasting|mobile_devices|mobile_phone|networking_protocols|nuclear_fusion_reactor|operating_systems|polyethylene|precision_agriculture|proto_digital_devices|radio|secure_market_transactions|smart_appliances|smart_energy_grid|smartphones|social_media|socialdemocracy|software_development_paradigms|software_tech|telecommunications|telephone|tv_color|urban_sustainability|virtual_reality|wireless_broadband_networks,NO,9,105,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,televisions,CREATE,common/goods/ztr_new_goods.txt,luxury,140,YES_DEFAULT,FINAL_GOOD,advanced_personal_computer|app_economy|cathode_tube|global_music|government_broadcasting|high_definition_television|interactive_media|iot_driven_manufacturing|mass_entertainment|mobile_devices|personal_computer|smart_appliances|social_media|tv_color|videogames,YES,4,13,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,water,CREATE,common/goods/ztr_new_goods.txt,staple,50,YES_DEFAULT,PRIMARY_GOOD,acquafarm_systems|advanced_water_filtration|antibiotics|artificial_general_intelligence|artificial_intelligence|atomic_bomb|bayer_process|carbon_capture_storage|cloud_computing|controlled_environment_agriculture|digital_infrastructure|elastomers|electric_vehicles|electrical_capacitors|fuel_cell_tech|genetic_disease_screening|geothermal_energy|green_revolution|hydraulic_fracturing|hydrogen_bomb|improved_fertilizer|integrated_circuits|machine_learning|micro_processors|natural_gas_extraction|neoimperialism|neoliberism|nitrogen_fixation|nuclear_fusion_reactor|parallel_computing_architecture|pharmaceuticals|plastics|pneumatic_tools|polyester_synthesis|precision_agriculture|sea_water_desalination|steam_donkey|synthetic_fibres|theiler_microbiology_tech|vertical_farming,YES,15,43,STRATEGY_STANCE,LOW,No explicit tradeable=no
BUILDING,building_advancedores_mine,CREATE,common/buildings/ztr_resources_buildings.txt,bg_mining,,,RESOURCE_BUILDING,quartz_glass,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_aircraft_industry,CREATE,common/buildings/ztr_industrial_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,zeppelins,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_airport,REPLACE_OR_CREATE,common/buildings/ztr_mr_modified_buildings.txt,bg_private_infrastructure,,,INDUSTRIAL_OR_INFRASTRUCTURE,zeppelins,,,,EXPLICIT_AI_VALUE=1000,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_alloys_plant,CREATE,common/buildings/ztr_industrial_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,alloysworking,,,,EXPLICIT_AI_VALUE=1600,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_battery_plant,CREATE,common/buildings/ztr_industrial_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,verrier_electromagnetism_tech,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_bauxite_mine,CREATE,common/buildings/ztr_resources_buildings.txt,bg_mining,,,RESOURCE_BUILDING,bauxite_processing,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_commonores_mine,CREATE,common/buildings/ztr_resources_buildings.txt,bg_mining,,,RESOURCE_BUILDING,shaft_mining,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_computer_assembly_plant,CREATE,common/buildings/ztr_industrial_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,computer,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_consumer_electronics_industry,CREATE,common/buildings/ztr_industrial_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,rudimental_home_appliances,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_copper_mine,CREATE,common/buildings/ztr_resources_buildings.txt,bg_mining,,,RESOURCE_BUILDING,shaft_mining,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_datacenter_industry,CREATE,common/buildings/ztr_digital_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,digital_infrastructure,,,,EXPLICIT_AI_VALUE=2000,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_ecommerce_logistics,CREATE,common/buildings/ztr_digital_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,on_demand_delivery,,,,EXPLICIT_AI_VALUE=2000,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_electronics_industry,CREATE,common/buildings/ztr_industrial_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,verrier_electromagnetism_tech,,,,EXPLICIT_AI_VALUE=2000,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_elgar_opera,REPLACE_OR_CREATE,common/buildings/ztr_mr_modified_buildings.txt,bg_opera,,,INDUSTRIAL_OR_INFRASTRUCTURE,elgar_classicism_tech,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_fusion_power_plant,CREATE,common/buildings/ztr_energy_buildings.txt,bg_power,,,INDUSTRIAL_OR_INFRASTRUCTURE,nuclear_fusion_reactor,,,,EXPLICIT_AI_VALUE=2500,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_geothermal_power_plant,CREATE,common/buildings/ztr_energy_buildings.txt,bg_power,,,INDUSTRIAL_OR_INFRASTRUCTURE,geothermal_energy,,,,EXPLICIT_AI_VALUE=1600,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_hydroelectric_power_plant,CREATE,common/buildings/ztr_energy_buildings.txt,bg_power,,,INDUSTRIAL_OR_INFRASTRUCTURE,electrical_generation,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_hydroponic,CREATE,common/buildings/ztr_resources_buildings.txt,bg_hydroponic_farms,,,INDUSTRIAL_OR_INFRASTRUCTURE,hydroponic_farming,,,,EXPLICIT_AI_VALUE=1800,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_instrument_workshops,REPLACE_OR_CREATE,common/buildings/ztr_mr_modified_buildings.txt,bg_light_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,elgar_classicism_tech,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_interactive_media_industry,CREATE,common/buildings/ztr_digital_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,videogames,,,,EXPLICIT_AI_VALUE=2000,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_manzoni_publishing_industry,REPLACE_OR_CREATE,common/buildings/ztr_mr_modified_buildings.txt,bg_light_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,mass_communication,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_mendelejew_hydrogenation_plants,REPLACE_OR_CREATE,common/buildings/ztr_mr_modified_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,oil_distillation,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_mendelejew_synthetic_rubber_factory,REPLACE_OR_CREATE,common/buildings/ztr_mr_modified_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,plastics,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
BUILDING,building_modern_state_baseline,CREATE,common/buildings/ztr_unique_buildings.txt,bg_heavy_industry,,,INDUSTRIAL_OR_INFRASTRUCTURE,NONE,,,,ENGINE_DEFAULT,LOW,Government/private restrictions and PMGs require object-level runtime validation
