vanilla_tech_id,vanilla_name,category,matching_branch,matching_v1_node,overlap_class,primary_action,recommended_target_era,confidence,notes
academia,Academia,Society,Society V1,institutionalized_scientific_exchange,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,VANILLA_BROADER overlap with institutionalized_scientific_exchange: Generic academia spans several institutional stages.
banking,Banking,Society,Society V1,institutionalized_public_credit,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,VANILLA_BROADER overlap with institutionalized_public_credit: Generic banking collapses several institutions.
centralization,Centralization,Society,Society V1,systematic_population_registration,VANILLA_BROADER,SPLIT,ERA III,MEDIUM,VANILLA_BROADER overlap with systematic_population_registration: Centralization is an outcome composed of administrative technologies.
colonization,Colonization,Society,Society V1,systematic_cadastral_surveying,PARTIAL,REWIRE,ERA IV,MEDIUM,"PARTIAL overlap with systematic_cadastral_surveying: Colonial administration uses surveys, but colonization is broader."
currency_standards,Currency Standards,Society,Society V1,scientific_metrology,PARTIAL,SPLIT,ERA IV,MEDIUM,PARTIAL overlap with scientific_metrology: Currency standards overlap metrology and public credit.
democracy,Democracy,Society,Society V1,constitutional_government,VANILLA_BROADER,SPLIT,ERA IV,MEDIUM,"VANILLA_BROADER overlap with constitutional_government: Constitutional form, sovereignty, citizenship and later liberal politics are combined."
empiricism,Empiricism,Society,Society V1,institutionalized_scientific_exchange,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,VANILLA_BROADER overlap with institutionalized_scientific_exchange: Philosophy label carries distinct institutional roles.
international_relations,International Relations,Society,Society V1,institutionalized_scientific_exchange,NAME_COLLISION_ONLY,KEEP,ERA I,MEDIUM,NAME_COLLISION_ONLY overlap with institutionalized_scientific_exchange: No frozen V1 diplomacy node; only weak exchange similarity.
international_trade,International Trade,Society,Society V1,commercial_insurance_markets,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,VANILLA_BROADER overlap with commercial_insurance_markets: Broad trade node bundles market institutions.
law_enforcement,Law Enforcement,Society,Society V1,professional_civil_policing,STRONG,RETIME,ERA VI,MEDIUM,STRONG overlap with professional_civil_policing: Same policing professionalization role.
mass_communication,Mass Communication,Society,Society V1,periodical_print_networks,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,VANILLA_BROADER overlap with periodical_print_networks: Several print and mass-media stages are combined.
medical_degrees,Medical Degrees,Society,Society V1,clinical_medical_education,EXACT,REPLACE,ERA III,HIGH,EXACT overlap with clinical_medical_education: Same credentialed clinical medical education.
rationalism,Rationalism,Society,Society V1,codified_practical_knowledge,VANILLA_BROADER,SPLIT,ERA III,MEDIUM,VANILLA_BROADER overlap with codified_practical_knowledge: Philosophical label carries broad knowledge-system effects.
romanticism,Romanticism,Society,NONE,NONE,NONE,KEEP,ERA I-IV differentiated,MEDIUM,No significant V1 duplication found.
stock_exchange,Stock Exchange,Society,Society V1,joint_stock_capital_markets,EXACT,MERGE,ERA I,HIGH,EXACT overlap with joint_stock_capital_markets: V1 explicitly merges Stock Exchange into this node.
tech_bureaucracy,Bureaucracy,Society,Society V1,systematic_administrative_statistics,VANILLA_BROADER,SPLIT,ERA II,MEDIUM,VANILLA_BROADER overlap with systematic_administrative_statistics: Distinct administrative information capacities are compressed.
urban_planning,Urban Planning,Society,Production V1.1,professional_civil_engineering,CROSS_BRANCH,REWIRE,ERA V,MEDIUM,CROSS_BRANCH overlap with professional_civil_engineering: Planning depends on engineering and cadastral administration.
urbanization,Urbanization,Society,Production V1.1,professional_civil_engineering,CROSS_BRANCH,RETIME,ERA V,MEDIUM,CROSS_BRANCH overlap with professional_civil_engineering: Urban growth infrastructure overlaps Production civil engineering.
central_archives,Central Archives,Society,Society V1,systematic_administrative_statistics,VANILLA_BROADER,SPLIT,ERA II,MEDIUM,VANILLA_BROADER overlap with systematic_administrative_statistics: Archives support several information systems.
central_banking,Central Banking,Society,Society V1,institutionalized_public_credit,STRONG,MERGE,ERA I,MEDIUM,STRONG overlap with institutionalized_public_credit: Same public-credit and bank-of-issue family.
corporate_charters,Corporate Charters,Society,Society V1,joint_stock_capital_markets,STRONG,MERGE,ERA I,MEDIUM,STRONG overlap with joint_stock_capital_markets: Same chartered/joint-stock institutional family.
dialectics,Dialectics,Society,Society V1,early_socialism_cooperativism,PARTIAL,RETIME,ERA VI,MEDIUM,PARTIAL overlap with early_socialism_cooperativism: Intellectual method contributes to socialism but is not the movement.
egalitarianism,Egalitarianism,Society,Society V1,universal_rights_discourse,VANILLA_BROADER,SPLIT,ERA IV,MEDIUM,VANILLA_BROADER overlap with universal_rights_discourse: Broad ideology gateway overlaps political concepts.
joint_stock_companies,Joint-Stock Companies,Society,Society V1,joint_stock_capital_markets,EXACT,MERGE,ERA I,HIGH,EXACT overlap with joint_stock_capital_markets: Same institutional concept.
labor_movement,Labor Movement,Society,Society V1,organized_labor_movements,EXACT,RETIME,ERA VI,HIGH,EXACT overlap with organized_labor_movements: Same organized labor concept.
modern_sewerage,Modern Sewerage,Society,Production V1.1,professional_civil_engineering,CROSS_BRANCH,KEEP,ERA V,MEDIUM,CROSS_BRANCH overlap with professional_civil_engineering: Sanitary infrastructure depends on engineering but is distinct.
nationalism,Nationalism,Society,Society V1,national_sovereignty,VANILLA_BROADER,SPLIT,ERA IV,MEDIUM,"VANILLA_BROADER overlap with national_sovereignty: Sovereignty, identity and later mass nationalism are combined."
organized_sports,Organized Sports,Society,NONE,NONE,NONE,KEEP,era_2 (preserve post-1836),MEDIUM,No significant V1 duplication found.
pharmaceuticals,Pharmaceuticals,Society,Society V1,active_principle_pharmacy,VANILLA_BROADER,SPLIT,ERA V,MEDIUM,"VANILLA_BROADER overlap with active_principle_pharmacy: Drug isolation, medical science and public-health diffusion are bundled."
postal_savings,Postal Savings,Society,Society V1,popular_savings_institutions,EXACT,RETIME,ERA V,HIGH,EXACT overlap with popular_savings_institutions: Same popular savings institution.
psychiatry,Psychiatry,Society,Society V1,clinical_medical_education,PARTIAL,RETIME,ERA III,MEDIUM,PARTIAL overlap with clinical_medical_education: Professional medicine overlap; psychiatry is specialized.
quinine,Quinine,Society,Society V1,active_principle_pharmacy,STRONG,RETIME,ERA V,MEDIUM,STRONG overlap with active_principle_pharmacy: Key active-principle case; malaria systems extend beyond it.
realism,Realism,Society,NONE,NONE,NONE,KEEP,era_2 (preserve post-1836),HIGH,No significant V1 duplication found.
anarchism,Anarchism,Society,Society V1,early_socialism_cooperativism,PARTIAL,KEEP,ERA VI,MEDIUM,"PARTIAL overlap with early_socialism_cooperativism: Related radical current, mostly post-1836 as explicit doctrine."
camera,Camera,Society,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
civilizing_mission,Civilizing Mission,Society,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
corporatism,Corporatism,Society,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
feminism,Feminism,Society,Society V1,universal_rights_discourse,PARTIAL,KEEP,ERA IV,MEDIUM,PARTIAL overlap with universal_rights_discourse: Women's-rights movements overlap but are not exhausted by universal rights.
human_rights,Human Rights,Society,Society V1,universal_rights_discourse,EXACT,REPLACE,ERA IV,HIGH,EXACT overlap with universal_rights_discourse: Same rights-and-citizenship discourse.
identification_documents,Identification Documents,Society,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
investment_banks,Investment Banks,Society,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
mutual_funds,Mutual Funds,Society,Society V1,popular_savings_institutions,PARTIAL,KEEP,ERA V,MEDIUM,"PARTIAL overlap with popular_savings_institutions: Shared pooled-savings logic, later financial vehicle."
pan-nationalism,Pan-nationalism,Society,Society V1,national_sovereignty,PARTIAL,KEEP,ERA IV,MEDIUM,PARTIAL overlap with national_sovereignty: Later pan-national movements build on sovereignty.
philosophical_pragmatism,Philosophical Pragmatism,Society,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
socialism,Socialism,Society,Society V1,early_socialism_cooperativism,STRONG,RETIME,ERA VI,MEDIUM,"STRONG overlap with early_socialism_cooperativism: Same early socialist/cooperative family, extending into later socialism."
steel_frame_buildings,Steel-Frame Buildings,Society,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
central_planning,Central Planning,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
corporate_management,Corporate Governance,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
elevator,Elevators,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
film,Film,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
international_exchange_standards,International Exchange Standards,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
malaria_prevention,Malaria Prevention,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
multilateral_alliances,Multilateral Alliances,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
political_agitation,Political Agitation,Society,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
