tech_id,tech_name,target_object_type,target_object_id,relationship_type,source_file,source_context,DLC_requirement,notes
monitor_tech,$ship_type_modern_ironclad$,LAW,law_jeune_ecole,COMPATIBILITY,common/laws/00_navy_model.txt:38,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
monitor_tech,$ship_type_modern_ironclad$,LAW,law_professional_navy,COMPATIBILITY,common/laws/00_navy_model.txt:90,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
monitor_tech,$ship_type_modern_ironclad$,SHIP_TYPE,ship_type_coastal_defense_ship,HULL_UNLOCK,common/ship_types/00_ship_types.txt:278,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
monitor_tech,$ship_type_modern_ironclad$,SHIP_TYPE,ship_type_early_ironclad,AI_GATE,common/ship_types/00_ship_types.txt:185,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
monitor_tech,$ship_type_modern_ironclad$,SHIP_TYPE,ship_type_frigate,AI_GATE,common/ship_types/00_ship_types.txt:798,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
monitor_tech,$ship_type_modern_ironclad$,SHIP_TYPE,ship_type_modern_ironclad,HULL_UNLOCK,common/ship_types/00_ship_types.txt:373,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
monitor_tech,$ship_type_modern_ironclad$,SHIP_TYPE,ship_type_monitor,AI_GATE,common/ship_types/00_ship_types.txt:94,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
monitor_tech,$ship_type_modern_ironclad$,SHIP_TYPE,ship_type_ship_of_the_line,AI_GATE,common/ship_types/00_ship_types.txt:2,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
navigation,Navigation,BUILDING,building_port,BUILDING_UNLOCK,common/buildings/11_private_infrastructure.txt:3,unlocking_technologies,BASE_GAME_FREE_1_13,
navigation,Navigation,BUILDING,building_shipyard,BUILDING_UNLOCK,common/buildings/01_industry.txt:318,unlocking_technologies,BASE_GAME_FREE_1_13,
paddle_steamer,Paddle Steamer,MODIFIER,ship_crew_damage_mult,MODIFIER,common/technology/technologies/20_military.txt:193,modifier=0.05,BASE_GAME_FREE_1_13,
paddle_steamer,Paddle Steamer,MODIFIER,ship_hull_damage_mult,MODIFIER,common/technology/technologies/20_military.txt:193,modifier=0.05,BASE_GAME_FREE_1_13,
pan-nationalism,Pan-nationalism,MODIFIER,country_support_separatism_strength_mult,MODIFIER,common/technology/technologies/30_society.txt:1180,modifier=0.25,BASE_GAME_FREE_1_13,
power_of_the_purse,Power of the Purse,PRODUCTION_METHOD,pm_power_of_the_purse,PM_UNLOCK,common/production_methods/05_military.txt:333,unlocking_technologies,BASE_GAME_FREE_1_13,"UNWIRED in certified script topology: containing PMG has no building reference, or PM has no PMG; runtime hardcoding not evidenced"
pre_dreadnought_tech,$ship_type_pre_dreadnought$,LAW,law_diplomatic_navy,COMPATIBILITY,common/laws/00_navy_model.txt:139,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
pre_dreadnought_tech,$ship_type_pre_dreadnought$,LAW,law_jeune_ecole,COMPATIBILITY,common/laws/00_navy_model.txt:38,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
pre_dreadnought_tech,$ship_type_pre_dreadnought$,LAW,law_professional_navy,COMPATIBILITY,common/laws/00_navy_model.txt:90,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_MODIFICATION,ship_mod_supply_ship_armor_high,COMPONENT_UNLOCK,common/ship_modifications/00_ship_modifications.txt:4132,unlocking_technologies; slot=ship_mod_slot_armor,BASE_GAME_FREE_1_13,
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_MODIFICATION,ship_mod_supply_ship_propulsion_high,PROPULSION_UNLOCK,common/ship_modifications/00_ship_modifications.txt:4164,unlocking_technologies; slot=ship_mod_slot_propulsion,BASE_GAME_FREE_1_13,
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_TYPE,ship_type_armored_cruiser,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1130,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_TYPE,ship_type_coastal_defense_ship,AI_GATE,common/ship_types/00_ship_types.txt:278,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_TYPE,ship_type_early_ironclad,AI_GATE,common/ship_types/00_ship_types.txt:185,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_TYPE,ship_type_iron_frigate,AI_GATE,common/ship_types/00_ship_types.txt:883,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_TYPE,ship_type_modern_ironclad,AI_GATE,common/ship_types/00_ship_types.txt:373,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_TYPE,ship_type_pre_dreadnought,HULL_UNLOCK,common/ship_types/00_ship_types.txt:470,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
pre_dreadnought_tech,$ship_type_pre_dreadnought$,SHIP_TYPE,ship_type_protected_cruiser,AI_GATE,common/ship_types/00_ship_types.txt:1038,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
screw_frigate,Screw Frigate,PRODUCTION_METHOD,pm_complex_shipbuilding,PM_UNLOCK,common/production_methods/01_industry.txt:1937,unlocking_technologies,BASE_GAME_FREE_1_13,
screw_frigate,Screw Frigate,PRODUCTION_METHOD,pm_military_shipbuilding_wooden_2,PM_UNLOCK,common/production_methods/01_industry.txt:2077,unlocking_technologies,BASE_GAME_FREE_1_13,"UNWIRED in certified script topology: containing PMG has no building reference, or PM has no PMG; runtime hardcoding not evidenced"
sea_lane_strategies,Sea Lane Strategies,LAW,law_diplomatic_navy,COMPATIBILITY,common/laws/00_navy_model.txt:139,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
sea_lane_strategies,Sea Lane Strategies,LAW,law_jeune_ecole,COMPATIBILITY,common/laws/00_navy_model.txt:38,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
sea_lane_strategies,Sea Lane Strategies,LAW,law_professional_navy,COMPATIBILITY,common/laws/00_navy_model.txt:90,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
sea_lane_strategies,Sea Lane Strategies,PRODUCTION_METHOD,pm_sea_lane_strategies,PM_UNLOCK,common/production_methods/05_military.txt:383,unlocking_technologies,BASE_GAME_FREE_1_13,"UNWIRED in certified script topology: containing PMG has no building reference, or PM has no PMG; runtime hardcoding not evidenced"
sea_lane_strategies,Sea Lane Strategies,SHIP_TYPE,ship_type_iron_frigate,AI_GATE,common/ship_types/00_ship_types.txt:883,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
sea_lane_strategies,Sea Lane Strategies,SHIP_TYPE,ship_type_protected_cruiser,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1038,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
sea_lane_strategies,Sea Lane Strategies,SHIP_TYPE,ship_type_torpedo_boat,AI_GATE,common/ship_types/00_ship_types.txt:1478,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
sea_lane_strategies,Sea Lane Strategies,SHIP_TYPE,ship_type_torpedo_boat_destroyer,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1563,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
self_propelled_torpedoes,Self-Propelled Torpedoes,SHIP_MODIFICATION,utility_mod_torpedo_nets,COMPONENT_UNLOCK,common/ship_modifications/01_utility_modifications.txt:98,unlocking_technologies; slot=ship_mod_slot_utility_1,BASE_GAME_FREE_1_13,
self_propelled_torpedoes,Self-Propelled Torpedoes,SHIP_TYPE,ship_type_torpedo_boat,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1478,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
shell_gun,Shell Gun,SHIP_MODIFICATION,ship_mod_frigate_guns_high,WEAPON_UNLOCK,common/ship_modifications/00_ship_modifications.txt:109,unlocking_technologies; slot=ship_mod_slot_guns,BASE_GAME_FREE_1_13,
shell_gun,Shell Gun,SHIP_MODIFICATION,ship_mod_ship_of_the_line_guns_high,WEAPON_UNLOCK,common/ship_modifications/00_ship_modifications.txt:381,unlocking_technologies; slot=ship_mod_slot_guns,BASE_GAME_FREE_1_13,
submarine,Submarine,SHIP_TYPE,ship_type_submarine,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1648,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
watertube_boiler,Water-tube Boiler,SHIP_MODIFICATION,ship_mod_frigate_propulsion_high,PROPULSION_UNLOCK,common/ship_modifications/00_ship_modifications.txt:179,unlocking_technologies; slot=ship_mod_slot_propulsion,BASE_GAME_FREE_1_13,
watertube_boiler,Water-tube Boiler,SHIP_MODIFICATION,ship_mod_ship_of_the_line_propulsion_high,PROPULSION_UNLOCK,common/ship_modifications/00_ship_modifications.txt:452,unlocking_technologies; slot=ship_mod_slot_propulsion,BASE_GAME_FREE_1_13,
