tech_id,category,unlock_type,unlock_id,unlock_name,relationship_type,source_file,source_context,notes
anarchism,society,journal_entries,je_communism_1,The Spectre Haunting the World,UNLOCK,common/journal_entries/00_communism.txt,10: has_technology_researched = anarchism,JOURNAL_REQUIREMENT
anarchism,society,journal_entries,je_nihilist_movement,The Nihilist Movement,UNLOCK,common/journal_entries/01_nihilism.txt,130: has_technology_researched = anarchism,JOURNAL_REQUIREMENT
anarchism,society,journal_entries,je_populist_unrest,Populist Unrest,UNLOCK,common/journal_entries/02_vargas.txt,10: has_technology_researched = anarchism,JOURNAL_REQUIREMENT
anarchism,society,journal_entries,je_prohibition,The Temperance Movement,UNLOCK,common/journal_entries/00_prohibition_laws.txt,8: has_technology_researched = anarchism,JOURNAL_REQUIREMENT
anarchism,society,journal_entries,je_spanish_anarchism,The Internacionalistas,UNLOCK,common/journal_entries/06_spanish_anarchism.txt,15: has_technology_researched = anarchism,JOURNAL_REQUIREMENT
anarchism,society,journal_entries,je_the_paris_commune_display,The Paris Commune,UNLOCK,common/journal_entries/01_paris_commune.txt,11: has_technology_researched = anarchism,JOURNAL_REQUIREMENT
anarchism,society,laws,law_anarchy,Anarchy,UNLOCK,common/laws/00_distribution_of_power.txt,1162: anarchism,LAW_REQUIREMENT
anarchism,society,parties,anarchist_party,Anarchist Party,UNLOCK,common/parties/anarchist_party.txt,76: anarchism,UNLOCK
aniline,production,technology,art_silk,Art Silk,PREREQUISITE,common/technology/technologies/10_production.txt,781: aniline,PREREQUISITE
aniline,production,buildings,building_synthetics_plant,Synthetics Plants,UNLOCK,common/buildings/01_industry.txt,226: aniline,BUILDING_REQUIREMENT
aniline,production,company_types,company_basf,BASF,UNLOCK,common/company_types/00_companies_germany.txt,463: has_technology_researched = aniline,COMPANY_REQUIREMENT
antibiotics,society,modifier,country_institution_health_system_max_investment_add,Max $institution_health_system$ [concept_institution] Investment,MODIFIER,common/technology/technologies/30_society.txt,1595: technology modifier block,country_institution_health_system_max_investment_add=1
antibiotics,society,modifier,state_harvest_condition_disease_outbreak_impact_mult,[GetHarvestConditionType('disease_outbreak').GetName] [concept_harvest_condition] Impact,MODIFIER,common/technology/technologies/30_society.txt,1595: technology modifier block,state_harvest_condition_disease_outbreak_impact_mult=-0.15
arc_welding,production,modifier,country_ship_group_capital_ships_construction_progress_max_add,$ship_group_capital_ships$ Max Construction Progress,MODIFIER,common/technology/technologies/10_production.txt,1084: technology modifier block,country_ship_group_capital_ships_construction_progress_max_add=20
arc_welding,production,company_types,company_ilva,Ilva,UNLOCK,common/company_types/00_companies_italy.txt,43: has_technology_researched = arc_welding,COMPANY_REQUIREMENT
arc_welding,production,production_methods,pm_arc_welded_buildings,Arc-Welded Buildings,UNLOCK,common/production_methods/13_construction.txt,117: arc_welding,PM_REQUIREMENT
arc_welding,production,production_methods,pm_arc_welding_shipbuilding,Arc-Welded Steamships,UNLOCK,common/production_methods/01_industry.txt,2015: arc_welding,PM_REQUIREMENT
arc_welding,production,production_methods,pm_military_shipbuilding_steam_2,Capital Ships,UNLOCK,common/production_methods/01_industry.txt,2129: arc_welding,PM_REQUIREMENT
army_reserves,military,modifier,country_general_rank_impact_mult,$concept_general$ $concept_rank$ Impact,MODIFIER,common/technology/technologies/20_military.txt,158: technology modifier block,country_general_rank_impact_mult=0.2
army_reserves,military,modifier,state_conscription_rate_mult,Conscriptable Battalions,MODIFIER,common/technology/technologies/20_military.txt,158: technology modifier block,state_conscription_rate_mult=0.2
army_reserves,military,technology,general_staff,General Staff,PREREQUISITE,common/technology/technologies/20_military.txt,358: army_reserves,PREREQUISITE
army_reserves,military,technology,logistics,Logistics,PREREQUISITE,common/technology/technologies/20_military.txt,254: army_reserves,PREREQUISITE
army_reserves,military,mobilization_options,mobilization_option_extra_supplies,Extra Supplies,UNLOCK,common/mobilization_options/00_mobilization_option.txt,43: army_reserves,UNIT_REQUIREMENT
art_silk,production,production_methods,pm_rayon,Rayon,UNLOCK,common/production_methods/01_industry.txt,1503: art_silk,PM_REQUIREMENT
artillery,military,technology,napoleonic_warfare,Napoleonic Warfare,PREREQUISITE,common/technology/technologies/20_military.txt,126: artillery,PREREQUISITE
artillery,military,technology,shell_gun,Shell Gun,PREREQUISITE,common/technology/technologies/20_military.txt,305: artillery,PREREQUISITE
artillery,military,combat_unit_types,combat_unit_type_cannon_artillery,Cannon Artillery,UNLOCK,common/combat_unit_types/00_land_combat_unit_types.txt,406: unlocking_technologies = { artillery },UNIT_REQUIREMENT
artillery,military,production_methods,pm_cannons,Cannons,UNLOCK,common/production_methods/01_industry.txt,2427: artillery,PM_REQUIREMENT
atmospheric_engine,production,technology,railways,Railways,PREREQUISITE,common/technology/technologies/10_production.txt,296: atmospheric_engine,PREREQUISITE
atmospheric_engine,production,technology,watertube_boiler,Water-tube Boiler,PREREQUISITE,common/technology/technologies/10_production.txt,241: atmospheric_engine,PREREQUISITE
atmospheric_engine,production,buildings,building_motor_industry,Motor Industries,UNLOCK,common/buildings/01_industry.txt,293: atmospheric_engine,BUILDING_REQUIREMENT
atmospheric_engine,production,company_types,company_nokia,Nokia,UNLOCK,common/company_types/00_companies_europe.txt,912: has_technology_researched = atmospheric_engine,COMPANY_REQUIREMENT
atmospheric_engine,production,production_methods,pm_atmospheric_engine_pump_building_coal_mine,Atmospheric Engine Pump,UNLOCK,common/production_methods/03_mines.txt,24: atmospheric_engine,PM_REQUIREMENT
atmospheric_engine,production,production_methods,pm_atmospheric_engine_pump_building_gold_mine,Atmospheric Engine Pump,UNLOCK,common/production_methods/03_mines.txt,821: atmospheric_engine,PM_REQUIREMENT
atmospheric_engine,production,production_methods,pm_atmospheric_engine_pump_building_iron_mine,Atmospheric Engine Pump,UNLOCK,common/production_methods/03_mines.txt,240: atmospheric_engine,PM_REQUIREMENT
atmospheric_engine,production,production_methods,pm_atmospheric_engine_pump_building_lead_mine,Atmospheric Engine Pump,UNLOCK,common/production_methods/03_mines.txt,472: atmospheric_engine,PM_REQUIREMENT
atmospheric_engine,production,production_methods,pm_atmospheric_engine_pump_building_sulfur_mine,Atmospheric Engine Pump,UNLOCK,common/production_methods/03_mines.txt,643: atmospheric_engine,PM_REQUIREMENT
atmospheric_engine,production,ship_modifications,ship_mod_frigate_propulsion_medium,$ship_mod_full_sail_rig_single_expansion_engine$,UNLOCK,common/ship_modifications/00_ship_modifications.txt,171: unlocking_technologies = { atmospheric_engine },NAVAL_DESIGN_REQUIREMENT
atmospheric_engine,production,ship_modifications,ship_mod_ship_of_the_line_propulsion_medium,$ship_mod_full_sail_rig_single_expansion_engine$,UNLOCK,common/ship_modifications/00_ship_modifications.txt,444: unlocking_technologies = { atmospheric_engine },NAVAL_DESIGN_REQUIREMENT
automatic_bottle_blowers,production,production_methods,pm_automatic_bottle_blowers,Automatic Bottle Blowers,UNLOCK,common/production_methods/01_industry.txt,893: automatic_bottle_blowers,PM_REQUIREMENT
automatic_machine_guns,military,technology,chemical_warfare,Chemical Warfare,PREREQUISITE,common/technology/technologies/20_military.txt,1008: automatic_machine_guns,PREREQUISITE
automatic_machine_guns,military,technology,flamethrowers,Flamethrowers,PREREQUISITE,common/technology/technologies/20_military.txt,1105: automatic_machine_guns,PREREQUISITE
automatic_machine_guns,military,company_types,company_rheinmetall,Rheinmetall,UNLOCK,common/company_types/00_companies_germany.txt,138: has_technology_researched = automatic_machine_guns,COMPANY_REQUIREMENT
automatic_machine_guns,military,mobilization_options,mobilization_option_machinegunners,Machine Gunners,UNLOCK,common/mobilization_options/00_mobilization_option.txt,586: automatic_machine_guns,UNIT_REQUIREMENT
automatic_machine_guns,military,production_methods,pm_recoiled_barrels,Recoil Mechanisms,UNLOCK,common/production_methods/01_industry.txt,2505: automatic_machine_guns,PM_REQUIREMENT
baking_powder,production,production_methods,pm_baking_powder,Baking Powder,UNLOCK,common/production_methods/01_industry.txt,51: baking_powder,PM_REQUIREMENT
banking,society,modifier,country_loan_interest_rate_add,Loan interest rate,MODIFIER,common/technology/technologies/30_society.txt,202: technology modifier block,country_loan_interest_rate_add=-0.02
banking,society,modifier,country_minting_mult,Minting,MODIFIER,common/technology/technologies/30_society.txt,202: technology modifier block,country_minting_mult=0.1
banking,society,modifier,state_max_trade_advantage_from_capacity_add,Maximum [concept_trade_advantage] from Capacity,MODIFIER,common/technology/technologies/30_society.txt,202: technology modifier block,state_max_trade_advantage_from_capacity_add=0.05
banking,society,technology,central_banking,Central Banking,PREREQUISITE,common/technology/technologies/30_society.txt,604: banking,PREREQUISITE
banking,society,technology,joint_stock_companies,Joint-Stock Companies,PREREQUISITE,common/technology/technologies/30_society.txt,623: banking,PREREQUISITE
battlefleet_tactics,military,modifier,country_admiral_rank_impact_mult,$concept_admiral$ $concept_rank$ Impact,MODIFIER,common/technology/technologies/20_military.txt,1158: technology modifier block,country_admiral_rank_impact_mult=0.25
battlefleet_tactics,military,production_methods,pm_battlefleet_tactics,Battlefleet Tactics,UNLOCK,common/production_methods/05_military.txt,417: battlefleet_tactics,PM_REQUIREMENT
battleship_tech,military,technology,battlefleet_tactics,Modern Battlefleet Tactics,PREREQUISITE,common/technology/technologies/20_military.txt,1170: battleship_tech,PREREQUISITE
battleship_tech,military,ship_types,ship_type_armored_cruiser,Armored Cruiser,UNLOCK,common/ship_types/00_ship_types.txt,1143: has_technology_researched = battleship_tech,NAVAL_DESIGN_REQUIREMENT
battleship_tech,military,ship_types,ship_type_dreadnought,Dreadnought,UNLOCK,common/ship_types/00_ship_types.txt,582: has_technology_researched = battleship_tech,NAVAL_DESIGN_REQUIREMENT
battleship_tech,military,ship_types,ship_type_pre_dreadnought,Pre-Dreadnought,UNLOCK,common/ship_types/00_ship_types.txt,483: has_technology_researched = battleship_tech,NAVAL_DESIGN_REQUIREMENT
battleship_tech,military,ship_types,ship_type_protected_cruiser,Protected Cruiser,UNLOCK,common/ship_types/00_ship_types.txt,1051: has_technology_researched = battleship_tech,NAVAL_DESIGN_REQUIREMENT
battleship_tech,military,ship_types,ship_type_super_dreadnought,Super Dreadnought,UNLOCK,common/ship_types/00_ship_types.txt,733: unlocking_technologies = { battleship_tech },NAVAL_DESIGN_REQUIREMENT
behaviorism,society,modifier,country_diplomatic_play_maneuvers_mult,"[Concept('concept_maneuver', '$concept_maneuvers$')] per Diplomatic Play",MODIFIER,common/technology/technologies/30_society.txt,1677: technology modifier block,country_diplomatic_play_maneuvers_mult=0.5
behaviorism,society,modifier,country_influence_mult,@inf![Nbsp][concept_influence],MODIFIER,common/technology/technologies/30_society.txt,1677: technology modifier block,country_influence_mult=0.5
behaviorism,society,modifier,state_bureaucracy_population_base_cost_factor_mult,@bur![Nbsp][concept_bureaucracy] Population Cost Multiplier,MODIFIER,common/technology/technologies/30_society.txt,1677: technology modifier block,state_bureaucracy_population_base_cost_factor_mult=-0.05
bessemer_process,production,technology,open_hearth_process,Open Hearth Process,PREREQUISITE,common/technology/technologies/10_production.txt,642: bessemer_process,PREREQUISITE
bessemer_process,production,technology,reinforced_concrete,Reinforced Concrete,PREREQUISITE,common/technology/technologies/10_production.txt,560: bessemer_process,PREREQUISITE
bessemer_process,production,company_types,company_bolckow_vaughan,"Bolckow, Vaughan & Co.",UNLOCK,common/company_types/00_companies_great_britain.txt,334: has_technology_researched = bessemer_process,COMPANY_REQUIREMENT
bessemer_process,production,company_types,company_fundidora_monterrey,Fundidora de Fierro y Acero de Monterrey,UNLOCK,common/company_types/00_companies_americas.txt,51: has_technology_researched = bessemer_process,COMPANY_REQUIREMENT
bessemer_process,production,company_types,company_john_hughes,New Russia Company Ltd.,UNLOCK,common/company_types/00_companies_russia.txt,440: has_technology_researched = bessemer_process,COMPANY_REQUIREMENT
bessemer_process,production,company_types,company_societe_mokta_el_hadid,Société Mokta El Hadid,UNLOCK,common/company_types/00_companies_france.txt,32: has_technology_researched = bessemer_process,COMPANY_REQUIREMENT
bessemer_process,production,company_types,company_william_sandford,William Sandford Limited,UNLOCK,common/company_types/00_companies_asia.txt,907: has_technology_researched = bessemer_process,COMPANY_REQUIREMENT
bessemer_process,production,production_methods,pm_bessemer_process,Bessemer Process,UNLOCK,common/production_methods/01_industry.txt,1562: bessemer_process,PM_REQUIREMENT
bolt_action_rifles,military,technology,automatic_machine_guns,Automatic Machine Guns,PREREQUISITE,common/technology/technologies/20_military.txt,820: bolt_action_rifles,PREREQUISITE
bolt_action_rifles,military,company_types,company_saint_etienne,Manufacture d'armes de Saint-Étienne,UNLOCK,common/company_types/00_companies_france.txt,328: has_technology_researched = bolt_action_rifles,COMPANY_REQUIREMENT
bolt_action_rifles,military,journal_entries,je_increase_technology,Solidify Our Technological Advantage,UNLOCK,common/journal_entries/00_player_objectives_hegemon.txt,163: has_technology_researched = bolt_action_rifles,JOURNAL_REQUIREMENT
bolt_action_rifles,military,production_methods,pm_bolt_action_rifles,Bolt Action Rifles,UNLOCK,common/production_methods/01_industry.txt,2394: bolt_action_rifles,PM_REQUIREMENT
breech_loading_artillery,military,technology,handcranked_machine_gun,Handcranked Machine Gun,PREREQUISITE,common/technology/technologies/20_military.txt,573: breech_loading_artillery,PREREQUISITE
breech_loading_artillery,military,technology,monitor_tech,$ship_type_modern_ironclad$,PREREQUISITE,common/technology/technologies/20_military.txt,608: breech_loading_artillery,PREREQUISITE
breech_loading_artillery,military,combat_unit_types,combat_unit_type_shrapnel_artillery,Shrapnel Artillery,UNLOCK,common/combat_unit_types/00_land_combat_unit_types.txt,536: unlocking_technologies = { breech_loading_artillery },UNIT_REQUIREMENT
breech_loading_artillery,military,company_types,company_hanyang_arsenal,Hanyang Arsenal,UNLOCK,common/company_types/00_companies_china.txt,130: has_technology_researched = breech_loading_artillery,COMPANY_REQUIREMENT
breech_loading_artillery,military,production_methods,pm_breech_loaders,Breech Loaders,UNLOCK,common/production_methods/01_industry.txt,2478: breech_loading_artillery,PM_REQUIREMENT
breech_loading_artillery,military,production_methods,pm_naval_fortification_reinforced,Reinforced Fortification,UNLOCK,common/production_methods/05_military.txt,465: breech_loading_artillery,PM_REQUIREMENT
breech_loading_artillery,military,ship_modifications,ship_mod_iron_frigate_guns_high,9-in RML + 7-in RML + 5-in BL,UNLOCK,common/ship_modifications/00_ship_modifications.txt,2486: unlocking_technologies = { breech_loading_artillery },NAVAL_DESIGN_REQUIREMENT
camera,society,modifier,country_prestige_mult,Prestige,MODIFIER,common/technology/technologies/30_society.txt,1261: technology modifier block,country_prestige_mult=0.05
camera,society,technology,film,Film,PREREQUISITE,common/technology/technologies/30_society.txt,1537: camera,PREREQUISITE
camera,society,journal_entries,je_belle_epoque,The Belle Époque,UNLOCK,common/journal_entries/00_belle_epoque.txt,8: has_technology_researched = camera,JOURNAL_REQUIREMENT
camera,society,journal_entries,je_camera,Establish the Photographic Arts,UNLOCK,common/journal_entries/00_art_jes.txt,101: has_technology_researched = camera,JOURNAL_REQUIREMENT
camera,society,journal_entries,je_film,Establish the Film Arts,UNLOCK,common/journal_entries/00_art_jes.txt,143: has_technology_researched = camera,JOURNAL_REQUIREMENT
camera,society,journal_entries,je_realism,Patronize Realist Art,UNLOCK,common/journal_entries/00_art_jes.txt,56: NOT = { has_technology_researched = camera },JOURNAL_REQUIREMENT
camera,society,production_methods,pm_photographic_art,Photographic Art,UNLOCK,common/production_methods/06_urban_center.txt,283: camera,PM_REQUIREMENT
canneries,production,technology,mechanized_workshops,Mechanized Workshops,PREREQUISITE,common/technology/technologies/10_production.txt,410: canneries,PREREQUISITE
canneries,production,company_types,company_ramirez,Ramirez & Cia. (Filhos) Lda.,UNLOCK,common/company_types/00_companies_ep2.txt,588: has_technology_researched = canneries,COMPANY_REQUIREMENT
canneries,production,production_methods,pm_cannery,Canned Meat,UNLOCK,common/production_methods/01_industry.txt,82: canneries,PM_REQUIREMENT
canneries,production,production_methods,pm_cannery_fish,Canned Fish,UNLOCK,common/production_methods/01_industry.txt,107: canneries,PM_REQUIREMENT
carrier_tech,military,ship_types,ship_type_aircraft_carrier,Aircraft Carrier,UNLOCK,common/ship_types/00_ship_types.txt,1431: carrier_tech,NAVAL_DESIGN_REQUIREMENT
carrier_tech,military,ship_types,ship_type_seaplane_tender,Seaplane Tender,UNLOCK,common/ship_types/00_ship_types.txt,1314: has_technology_researched = carrier_tech,NAVAL_DESIGN_REQUIREMENT
central_archives,society,scripted_effect,on_researched,On researched effect,EVENT_EFFECT,common/technology/technologies/30_society.txt,537: on_researched,if = { limit = { NOT = { any_political_movement = { is_political_movement_type = movement_modernizer } } OR = { AND = { OR = { is_in_geographic_region = geographic_region_south_america is_in_geographic_region = geographic_region_central_america_old } country_rank <= rank_value:major_power } country_is_colonial_or_company = yes is_country_type = unrecognized } NAND = { has_law_or_variant = law_type:law_protectionism OR = { has_law_or_variant = law_type:law_interventionism has_law_or_variant = law_type:law_command_economy has_law_or_variant = law_type:law_laissez_faire } has_law_or_variant = law_type:law_compulsory_primary_school } } create_political_movement = { type = movement_modernizer } }
central_archives,society,modifier,country_institution_home_affairs_max_investment_add,Max $institution_home_affairs$ [concept_institution] Investment,MODIFIER,common/technology/technologies/30_society.txt,537: technology modifier block,country_institution_home_affairs_max_investment_add=1
central_archives,society,modifier,state_incorporation_speed_mult,Incorporation Speed,MODIFIER,common/technology/technologies/30_society.txt,537: technology modifier block,state_incorporation_speed_mult=0.05
central_archives,society,modifier,state_tax_capacity_add,Taxation Capacity,MODIFIER,common/technology/technologies/30_society.txt,537: technology modifier block,state_tax_capacity_add=25
central_archives,society,technology,identification_documents,Identification Documents,PREREQUISITE,common/technology/technologies/30_society.txt,1315: central_archives,PREREQUISITE
central_archives,society,journal_entries,je_technocracy,The New Machine,UNLOCK,common/journal_entries/05_technocracy.txt,7: has_technology_researched = central_archives,JOURNAL_REQUIREMENT
central_archives,society,laws,law_secret_police,Secret Police,UNLOCK,common/laws/00_internal_security.txt,80: central_archives,LAW_REQUIREMENT
central_archives,society,laws,law_technocracy,Technocracy,UNLOCK,common/laws/00_distribution_of_power.txt,274: central_archives,LAW_REQUIREMENT
central_archives,society,production_methods,pm_vertical_filing_cabinets,Standardized Filing System,UNLOCK,common/production_methods/07_government.txt,58: central_archives,PM_REQUIREMENT
central_banking,society,modifier,country_loan_interest_rate_add,Loan interest rate,MODIFIER,common/technology/technologies/30_society.txt,592: technology modifier block,country_loan_interest_rate_add=-0.02
central_banking,society,modifier,country_minting_mult,Minting,MODIFIER,common/technology/technologies/30_society.txt,592: technology modifier block,country_minting_mult=0.1
central_banking,society,modifier,state_max_trade_advantage_from_capacity_add,Maximum [concept_trade_advantage] from Capacity,MODIFIER,common/technology/technologies/30_society.txt,592: technology modifier block,state_max_trade_advantage_from_capacity_add=0.05
central_banking,society,technology,mutual_funds,Mutual Funds,PREREQUISITE,common/technology/technologies/30_society.txt,1231: central_banking,PREREQUISITE
central_banking,society,diplomatic_actions,fund_lobbies,Fund Lobbies,UNLOCK,common/diplomatic_actions/30_fund_lobby.txt,9: central_banking,UNLOCK
central_banking,society,treaty_articles,money_transfer,Money Transfer,UNLOCK,common/treaty_articles/05_transfer_money.txt,23: central_banking,UNLOCK
central_banking,society,treaty_articles,take_on_debt,Take on Debt,UNLOCK,common/treaty_articles/04_take_on_debt.txt,15: central_banking,UNLOCK
central_planning,society,modifier,country_government_dividends_efficiency_add,$concept_government_dividends$ Efficiency,MODIFIER,common/technology/technologies/30_society.txt,1399: technology modifier block,country_government_dividends_efficiency_add=0.05
central_planning,society,modifier,country_institution_home_affairs_max_investment_add,Max $institution_home_affairs$ [concept_institution] Investment,MODIFIER,common/technology/technologies/30_society.txt,1399: technology modifier block,country_institution_home_affairs_max_investment_add=1
central_planning,society,modifier,state_incorporation_speed_mult,Incorporation Speed,MODIFIER,common/technology/technologies/30_society.txt,1399: technology modifier block,state_incorporation_speed_mult=0.05
central_planning,society,modifier,state_literacy_growth_add,Literacy Growth,MODIFIER,common/technology/technologies/30_society.txt,1399: technology modifier block,state_literacy_growth_add=0.0002
central_planning,society,modifier,state_tax_capacity_add,Taxation Capacity,MODIFIER,common/technology/technologies/30_society.txt,1399: technology modifier block,state_tax_capacity_add=25
central_planning,society,technology,mass_surveillance,Mass Surveillance,PREREQUISITE,common/technology/technologies/30_society.txt,1587: central_planning,PREREQUISITE
central_planning,society,company_types,company_argentinian_wine,Centro Vitivinícola Nacional,UNLOCK,common/company_types/00_companies_cots.txt,497: has_technology_researched = central_planning,COMPANY_REQUIREMENT
central_planning,society,company_types,company_cgv,Confédération générale des vignerons,UNLOCK,common/company_types/00_companies_france.txt,270: has_technology_researched = central_planning,COMPANY_REQUIREMENT
central_planning,society,company_types,company_sunhwaguk,Sunhwaguk,UNLOCK,common/company_types/00_companies_asia.txt,595: has_technology_researched = central_planning,COMPANY_REQUIREMENT
central_planning,society,journal_entries,je_imperialism_of_promise,Imperialism of Promise,UNLOCK,common/journal_entries/04_imperialism_of_promise.txt,"2: icon = ""gfx/interface/icons/invention_icons/central_planning.dds""",JOURNAL_REQUIREMENT
central_planning,society,journal_entries,je_new_republic,The New [ROOT.GetCountry.GetCustom('brz_republic_or_state')],UNLOCK,common/journal_entries/02_vargas.txt,"156: icon = ""gfx/interface/icons/invention_icons/central_planning.dds""",JOURNAL_REQUIREMENT
central_planning,society,journal_entries,je_technocracy,The New Machine,UNLOCK,common/journal_entries/05_technocracy.txt,"2: icon = ""gfx/interface/icons/invention_icons/central_planning.dds""",JOURNAL_REQUIREMENT
central_planning,society,laws,law_command_economy,Command Economy,UNLOCK,common/laws/00_economic_system.txt,628: central_planning,LAW_REQUIREMENT
central_planning,society,production_methods,pm_switch_boards,Telephone Switchboards,UNLOCK,common/production_methods/07_government.txt,87: central_planning,PM_REQUIREMENT
centralization,society,modifier,country_institution_home_affairs_max_investment_add,Max $institution_home_affairs$ [concept_institution] Investment,MODIFIER,common/technology/technologies/30_society.txt,158: technology modifier block,country_institution_home_affairs_max_investment_add=1
centralization,society,modifier,state_incorporation_speed_mult,Incorporation Speed,MODIFIER,common/technology/technologies/30_society.txt,158: technology modifier block,state_incorporation_speed_mult=0.05
centralization,society,modifier,state_tax_capacity_add,Taxation Capacity,MODIFIER,common/technology/technologies/30_society.txt,158: technology modifier block,state_tax_capacity_add=25
centralization,society,technology,central_archives,Central Archives,PREREQUISITE,common/technology/technologies/30_society.txt,551: centralization,PREREQUISITE
centralization,society,technology,currency_standards,Currency Standards,PREREQUISITE,common/technology/technologies/30_society.txt,87: centralization,PREREQUISITE
centralization,society,decrees,decree_emergency_relief,Emergency Relief,UNLOCK,common/decrees/00_decree.txt,147: centralization,UNLOCK
centralization,society,decrees,decree_road_maintenance,Road Maintenance,UNLOCK,common/decrees/00_decree.txt,18: centralization,UNLOCK
centralization,society,journal_entries,je_age_of_princes,The Age of Princes,UNLOCK,common/journal_entries/00_ethiopia.txt,15: has_technology_researched = centralization,JOURNAL_REQUIREMENT
centralization,society,production_methods,pm_horizontal_drawer_cabinets,Filing Cabinets,UNLOCK,common/production_methods/07_government.txt,29: centralization,PM_REQUIREMENT
chemical_bleaching,production,technology,rubber_mastication,Rubber Mastication,PREREQUISITE,common/technology/technologies/10_production.txt,516: chemical_bleaching,PREREQUISITE
chemical_bleaching,production,company_types,company_jiangnan_weaving_bureaus,Jiangnan Weaving Bureaus,UNLOCK,common/company_types/00_companies_mp1.txt,304: has_technology_researched = chemical_bleaching,COMPANY_REQUIREMENT
chemical_bleaching,production,company_types,company_jingdezhen,Jingdezhen Kilns,UNLOCK,common/company_types/00_companies_china.txt,276: has_technology_researched = chemical_bleaching,COMPANY_REQUIREMENT
chemical_bleaching,production,company_types,company_konigliche_porzellan_manufaktur_meissen,Königliche Porzellan-Manufaktur Meissen,UNLOCK,common/company_types/00_companies_mp1.txt,202: has_technology_researched = chemical_bleaching,COMPANY_REQUIREMENT
chemical_bleaching,production,production_methods,pm_bleached_paper,Paper Bleaching,UNLOCK,common/production_methods/01_industry.txt,1157: chemical_bleaching,PM_REQUIREMENT
chemical_bleaching,production,production_methods,pm_bone_china,Bone China,UNLOCK,common/production_methods/01_industry.txt,861: chemical_bleaching,PM_REQUIREMENT
chemical_warfare,military,mobilization_options,mobilization_option_chemical_weapons,Chemical Weapons,UNLOCK,common/mobilization_options/00_mobilization_option.txt,635: chemical_warfare,UNIT_REQUIREMENT
civilizing_mission,society,modifier,country_infamy_generation_against_unrecognized_mult,Infamy Generation against Unrecognized Powers,MODIFIER,common/technology/technologies/30_society.txt,951: technology modifier block,country_infamy_generation_against_unrecognized_mult=-0.25
civilizing_mission,society,modifier,country_institution_colonial_affairs_max_investment_add,Max $institution_colonial_affairs$ [concept_institution] Investment,MODIFIER,common/technology/technologies/30_society.txt,951: technology modifier block,country_institution_colonial_affairs_max_investment_add=1
civilizing_mission,society,technology,malaria_prevention,Malaria Prevention,PREREQUISITE,common/technology/technologies/30_society.txt,1376: civilizing_mission,PREREQUISITE
civilizing_mission,society,buildings,building_panama_canal,Panama Canal,UNLOCK,common/buildings/10_canals.txt,62: civilizing_mission,BUILDING_REQUIREMENT
civilizing_mission,society,company_types,company_oriental_development_company,Oriental Development Company,UNLOCK,common/company_types/00_companies_soi.txt,1152: has_technology_researched = civilizing_mission,COMPANY_REQUIREMENT
civilizing_mission,society,decrees,decree_establish_missions,Establish Missions,UNLOCK,common/decrees/00_decree.txt,1010: civilizing_mission,UNLOCK
civilizing_mission,society,journal_entries,je_american_west_migration,Populating the American West,UNLOCK,common/journal_entries/02_south_america_migration.txt,309: has_technology_researched = civilizing_mission,JOURNAL_REQUIREMENT
