path,location,status,size,sha256,utf8_bom,lf_only,purpose,scenario,state_region,province_or_portion,original_owner,prepared_owner,territorial_mutation_count,radical_baseline,radical_region,west_bengal_required,bombay_required_by_harness,calls_sepoy_event_2,automatic_option_choice,custom_tooltip_count,source_example,notes
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","TRUE","TRUE","A-1 English","A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","TRUE","TRUE","A-1 French","A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","TRUE","TRUE","A-2 decisions","A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","TRUE","TRUE","A-2 event","A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","TRUE","TRUE","A-2 English","A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","TRUE","TRUE","A-2 French","A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","TRUE","TRUE","A-3 decisions","A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","TRUE","TRUE","A-3 event","A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2054","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","TRUE","TRUE","A-3 English","A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2314","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","TRUE","TRUE","A-3 French","A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","TRUE","TRUE","B-1 decisions","B1","Bengal","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","UNCHANGED_CONTROL","1484","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","TRUE","TRUE","B-1 event","B1","Bengal","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/english/zz_sepoy_functional_test_b1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2146","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","TRUE","TRUE","B-1 English","B1","Bengal","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_b1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2562","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","TRUE","TRUE","B-1 French","B1","Bengal","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","UNCHANGED_CONTROL","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","TRUE","TRUE","C-1 decisions","C1","STATE_MADRAS","FRA portion","FRA","BIC","0","described","BIC Madras","N/A","N/A","1","NO","2","C-1 reference","unchanged"
"events/zz_sepoy_functional_test_c1_events.txt","disposable_copy","UNCHANGED_CONTROL","1462","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","TRUE","TRUE","C-1 event","C1","STATE_MADRAS","FRA portion","FRA","BIC","1","1% Hindu and Sunni","BIC Madras","N/A","N/A","0","NO","1","C-1 reference","unchanged"
"localization/english/zz_sepoy_functional_test_c1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2345","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","TRUE","TRUE","C-1 English","C1","STATE_MADRAS","FRA portion","FRA","BIC","N/A","1% described","BIC Madras","N/A","N/A","0","NO","0","C-1 reference","unchanged"
"localization/french/zz_sepoy_functional_test_c1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2731","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","TRUE","TRUE","C-1 French","C1","STATE_MADRAS","FRA portion","FRA","BIC","N/A","1% described","BIC Madras","N/A","N/A","0","NO","0","C-1 reference","unchanged"
"events/india_events/sepoy_mutiny_events.txt","fork","UNCHANGED_CONTROL","63540","98C4A50C1DCF2CE79B13AFF82B1FE461651BB99A9B42B002914FD10C338FDCAD","TRUE","FALSE","real Sepoy source","E1_OPTION_2E_AUDIT","STATE_BOMBAY and STATE_WEST_BENGAL","real states","N/A","N/A","0","large_radicals","region_south_india","trigger only","NO","N/A","NO","N/A","vanilla/local comparison","protected gameplay file; 2.e unchanged"
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","UNCHANGED_CONTROL","63540","98C4A50C1DCF2CE79B13AFF82B1FE461651BB99A9B42B002914FD10C338FDCAD","TRUE","FALSE","real Sepoy source copy","E1_OPTION_2E_AUDIT","STATE_BOMBAY and STATE_WEST_BENGAL","real states","N/A","N/A","0","large_radicals","region_south_india","trigger only","NO","N/A","NO","N/A","fork byte-identical","protected gameplay file"
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","TRUE","FALSE","Sepoy journal control","PROTECTED","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","TRUE","FALSE","Sepoy journal copy control","PROTECTED","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","fork byte-identical"
"descriptor.mod","disposable_copy","UNCHANGED_CONTROL","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","FALSE","FALSE","internal descriptor","PROTECTED","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"DISPOSABLE_SEPOY_TEST_COPY.txt","disposable_copy","UNCHANGED_CONTROL","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","FALSE","FALSE","disposable marker","PROTECTED","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"1776_Age_of_Revolutions_sepoy_test.mod","launcher_descriptor","UNCHANGED_CONTROL","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","FALSE","FALSE","launcher descriptor","PROTECTED","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","outside copy; unchanged"
"docs/reports/hotfix/HOTFIX_5C2E4C1U_SEPOY_E1_STATIC_SETUP.md","fork","CREATED_REPORT","17952","13A4FF168A0753A4B8796C9A002D46EC269B0DC9B56745154E72A439921E8DD7","FALSE","TRUE","E-1 static audit and runtime plan","READY_FOR_E1_RUNTIME_TEST","STATE_BOMBAY","POR x51F0A0","POR","BIC","1 documented","1% documented","STATE_BOMBAY then South India runtime","TRUE","TRUE","1 documented","NO","3 documented","local fork/copy/hotfix/vanilla audit","45 numbered sections"
"docs/reports/hotfix/HOTFIX_5C2E4C1U_E1_HARNESS_MANIFEST.csv","fork","SELF_REFERENTIAL","SELF_REFERENTIAL","SELF_REFERENTIAL","TRUE","TRUE","C1U E-1 manifest","READY_FOR_E1_RUNTIME_TEST","STATE_BOMBAY","POR x51F0A0","POR","BIC","1 documented","1% documented","STATE_BOMBAY.region_state:BIC","TRUE","TRUE","1 documented","NO","3 documented","all local controls","self hash intentionally omitted"
