"path","location","status","size","sha256","utf8_bom","purpose","scenario_state","original_owner","prepared_owner","territorial_mutation_count","radical_baseline","radical_region","calls_sepoy_event_2","automatic_option_choice","custom_tooltip_count","source_example","notes"
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","TRUE","A-1 EN control","PREEXISTING_A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","TRUE","A-1 FR control","PREEXISTING_A1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","TRUE","A-2 decision control","PREEXISTING_A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","TRUE","A-2 event control","PREEXISTING_A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","TRUE","A-2 EN control","PREEXISTING_A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","TRUE","A-2 FR control","PREEXISTING_A2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","TRUE","A-3 decision control","PREEXISTING_A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","TRUE","A-3 event control","PREEXISTING_A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2054","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","TRUE","A-3 EN control","PREEXISTING_A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2314","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","TRUE","A-3 FR control","PREEXISTING_A3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","TRUE","B-1 decision control","PREEXISTING_B1_C1P","N/A","N/A","N/A","N/A","BIC Bengal","N/A","N/A","N/A","N/A","unchanged C1P"
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","UNCHANGED_CONTROL","1484","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","TRUE","B-1 event control","PREEXISTING_B1_C1P","N/A","N/A","N/A","N/A","BIC Bengal","N/A","N/A","N/A","N/A","unchanged C1P"
"localization/english/zz_sepoy_functional_test_b1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2146","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","TRUE","B-1 EN control","PREEXISTING_B1_C1P","N/A","N/A","N/A","N/A","BIC Bengal","N/A","N/A","N/A","N/A","unchanged C1P"
"localization/french/zz_sepoy_functional_test_b1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2562","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","TRUE","B-1 FR control","PREEXISTING_B1_C1P","N/A","N/A","N/A","N/A","BIC Bengal","N/A","N/A","N/A","N/A","unchanged C1P"
"events/india_events/sepoy_mutiny_events.txt","fork","UNCHANGED_CONTROL","63422","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","TRUE","real Sepoy source","OPTION_2C_IDENTICAL_TO_VANILLA","N/A","N/A","N/A","large_radicals in surviving south states","region_south_india","N/A","N/A","N/A","vanilla same normalized 2.c SHA-256 A72B6991...","protected gameplay file"
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","UNCHANGED_CONTROL","63422","FFB4060E659FB8A30691E26BA5BBDA838650EF11AB1760C89EDACFA2310D9BBE","TRUE","real Sepoy source copy","OPTION_2C_IDENTICAL_TO_FORK","N/A","N/A","N/A","large_radicals in surviving south states","region_south_india","N/A","N/A","N/A","fork byte-identical","protected gameplay file"
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","TRUE","Sepoy journal control","PROTECTED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","TRUE","Sepoy journal copy control","PROTECTED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","fork byte-identical"
"descriptor.mod","disposable_copy","UNCHANGED_CONTROL","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","FALSE","Disposable internal descriptor","PROTECTED_DESCRIPTOR","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"DISPOSABLE_SEPOY_TEST_COPY.txt","disposable_copy","UNCHANGED_CONTROL","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","FALSE","Disposable copy marker","PROTECTED_MARKER","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","unchanged"
"1776_Age_of_Revolutions_sepoy_test.mod","launcher_descriptor","UNCHANGED_CONTROL","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","FALSE","Disposable launcher descriptor","PROTECTED_DESCRIPTOR","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","outside copy; unchanged"
"docs/reports/hotfix/HOTFIX_5C2E4C1Q_SEPOY_C1_STATIC_SETUP.md","fork","CREATED_REPORT","24087","FA474E24C136760234B99D7EFBDD59BB6C4A5C558EE9A8A9E7DECC75D0F1E405","FALSE","C1Q static audit and runtime plan","READY_FOR_C1_RUNTIME_TEST","FRA","BIC","1 documented","1% documented","STATE_MADRAS then region_south_india runtime","1 documented","NO","3 documented","local fork/hotfix/vanilla audit","46 numbered sections"
"docs/reports/hotfix/HOTFIX_5C2E4C1Q_C1_HARNESS_MANIFEST.csv","fork","SELF_REFERENTIAL","SELF_REFERENTIAL","SELF_REFERENTIAL","TRUE","C1Q hash manifest","READY_FOR_C1_RUNTIME_TEST","FRA","BIC","1 documented","1% documented","STATE_MADRAS.region_state:BIC","1 documented","NO","3 documented","all local source controls","self hash intentionally not embedded"
