"path","location","status","size_before","size_after","sha256_before","sha256_after","utf8_bom","option_2b_only","west_bengal_excluded","east_bengal_excluded","loop_filter_consistent","territorial_mutation_in_harness","radical_baseline_added","radical_target","calls_sepoy_event_2","automatic_option_choice","purpose","notes"
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","true","false","false","false","n/a","false","false","none","false","false","root English control","Unchanged byte-for-byte from C1J."
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","true","false","false","false","n/a","false","false","none","false","false","root French control","Unchanged byte-for-byte from C1J."
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","true","false","false","false","n/a","false","false","none","false","false","A-1 decision control","Unchanged byte-for-byte."
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","true","false","false","false","n/a","false","false","none","false","false","A-1 event control","Unchanged byte-for-byte."
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","true","false","false","false","n/a","false","false","none","false","false","A-1 English control","Unchanged byte-for-byte."
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","true","false","false","false","n/a","false","false","none","false","false","A-1 French control","Unchanged byte-for-byte."
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","true","false","false","false","n/a","false","false","none","false","false","A-2 decision control","Unchanged byte-for-byte."
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","true","false","false","false","n/a","false","false","none","false","false","A-2 event control","Unchanged byte-for-byte."
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","true","false","false","false","n/a","false","false","none","false","false","A-2 English control","Unchanged byte-for-byte."
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","true","false","false","false","n/a","false","false","none","false","false","A-2 French control","Unchanged byte-for-byte."
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","true","false","false","false","n/a","false","false","none","false","false","A-3 clean decision control","Unchanged byte-for-byte from C1I1 tooltip cleanup."
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","true","false","false","false","n/a","false","false","none","false","false","A-3 event control","Unchanged byte-for-byte from C1I1."
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2054","2054","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","true","false","false","false","n/a","false","false","none","false","false","A-3 clean English control","Unchanged byte-for-byte from C1I1."
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2314","2314","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","true","false","false","false","n/a","false","false","none","false","false","A-3 clean French control","Unchanged byte-for-byte from C1I1."
"descriptor.mod","disposable_copy","EXPECTED_DESCRIPTOR_DIFFERENCE","104","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","false","false","false","false","n/a","false","false","none","false","false","disposable descriptor control","Intentionally differs from main fork; unchanged."
"DISPOSABLE_SEPOY_TEST_COPY.txt","disposable_copy","UNCHANGED_CONTROL","406","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","false","false","false","false","n/a","false","false","none","false","false","disposable-copy safety marker","Unchanged."
"1776_Age_of_Revolutions_sepoy_test.mod","launcher_descriptor","EXPECTED_DESCRIPTOR_DIFFERENCE","206","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","false","false","false","false","n/a","false","false","none","false","false","launcher pointer to disposable copy","Outside copy; unchanged and intentionally points to disposable copy."
"docs/reports/hotfix/HOTFIX_5C2E4C1L_B1_BENGAL_CORE_FIX.md","fork","CREATED_REPORT","0","17263","","7079E9EAFF2D3CE80DEC198DBFE451A355F6179C90168C07F2773ECA3DB53D93","false","false","true","true","true","false","true","documented BIC Bengal Hindu/Sunni baseline","false","false","C1L static fix report","Contains required audit, proof, validation, runtime plan and verdict."
"docs/reports/hotfix/HOTFIX_5C2E4C1L_B1_FIX_MANIFEST.csv","fork","SELF_REFERENTIAL","0","SELF_REFERENTIAL","","SELF_REFERENTIAL_NOT_RECORDED","true","false","true","true","true","false","true","documented in manifest rows","false","false","C1L integrity manifest","Own final size and hash intentionally omitted because recording them changes the file."
