"path","location","status","size","sha256","utf8_bom","lf_only","purpose","scenario","target_state","target_religion","script_value","territorial_mutation_count","calls_sepoy_event_2","automatic_option","marker_count","source_or_control","notes"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","True","True","A-1 decisions","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","True","True","A-1 event","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","True","True","A-1 English","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","True","True","A-1 French","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","True","True","A-2 decisions","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","True","True","A-2 event","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","True","True","A-2 English","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","True","True","A-2 French","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","True","True","A-3 decisions","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","True","True","A-3 event","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2054","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","True","True","A-3 English","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2314","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","True","True","A-3 French","A-series","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","True","True","B-1 decisions","B1","N/A","N/A","N/A","0","1","false","N/A","control","Unchanged"
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","UNCHANGED_CONTROL","1484","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","True","True","B-1 event","B1","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/english/zz_sepoy_functional_test_b1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2146","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","True","True","B-1 English","B1","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/french/zz_sepoy_functional_test_b1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2562","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","True","True","B-1 French","B1","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","UNCHANGED_CONTROL","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","True","True","C-1 decisions","C1","N/A","N/A","N/A","0","1","false","N/A","control","Unchanged"
"events/zz_sepoy_functional_test_c1_events.txt","disposable_copy","UNCHANGED_CONTROL","1462","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","True","True","C-1 event","C1","N/A","N/A","N/A","1","0","false","N/A","control","Unchanged"
"localization/english/zz_sepoy_functional_test_c1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2345","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","True","True","C-1 English","C1","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/french/zz_sepoy_functional_test_c1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2731","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","True","True","C-1 French","C1","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"descriptor.mod","disposable_copy","UNCHANGED_CONTROL","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","False","False","Internal disposable descriptor","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"DISPOSABLE_SEPOY_TEST_COPY.txt","disposable_copy","UNCHANGED_CONTROL","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","False","False","Disposable-copy marker","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"1776_Age_of_Revolutions_sepoy_test.mod","launcher_descriptor","UNCHANGED_CONTROL","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","False","False","Launcher descriptor","control","N/A","N/A","N/A","0","0","false","N/A","control","Intentionally distinct path-bearing launcher descriptor; unchanged before/after"
"common/decisions/zz_sepoy_radical_diagnostic_e1d.txt","disposable_copy","CREATED_DIAGNOSTIC","855","015724557E3ACFED476F3C0700A155CC5EA88C45735BA69CD18BFEADBCF89725","False","True","open E1D event with evaluated prerequisites","E1D","Bombay;West Bengal","hindu","N/A","0","0","false","0","diagnostic","one manual decision"
"events/zz_sepoy_radical_diagnostic_e1d_events.txt","disposable_copy","CREATED_DIAGNOSTIC","2446","2E1FF0C381F9686BCDB06AB0685B71A4376422B98441C98C0438D22848ACF86E","False","True","four direct differential radical calls","E1D","Bombay;West Bengal","hindu","very_small_radicals;large_radicals","0","0","false","4","diagnostic","five manual options; cancel has no effect"
"localization/english/zz_sepoy_radical_diagnostic_e1d_l_english.yml","disposable_copy","CREATED_LOCALIZATION","1280","3185D2F93957C115DD2AA17FBA06B5F7EEE6ACFE2769A65E40D3BC2653E2EE4B","True","True","English E1D localization","E1D","N/A","N/A","N/A","0","0","false","0","diagnostic","UTF-8 BOM; LF only"
"localization/french/zz_sepoy_radical_diagnostic_e1d_l_french.yml","disposable_copy","CREATED_LOCALIZATION","1441","59349FE6D79851952B6B1EF1246613BED04A9049BC9740FE33051C26A65B157D","True","True","French E1D localization","E1D","N/A","N/A","N/A","0","0","false","0","diagnostic","UTF-8 BOM; LF only"
"docs/reports/hotfix/HOTFIX_5C2E4C1Y_E1_RADICAL_FORENSIC_SETUP.md","fork","CREATED_REPORT","16645","82E1D10098DAC3EBB37CD3DDB98546A7D5726733D08B094BEF6EA7D7E4A36EBE","False","True","C1Y forensic report and runtime plan","C1Y","Bombay;Madras;West/East Bengal","hindu;sunni","0.01;0.1","0","0","false","0","source","33 required sections"
"docs/reports/hotfix/HOTFIX_5C2E4C1Y_E1_RADICAL_DIAGNOSTIC_MANIFEST.csv","fork","SELF_REFERENTIAL","SELF","SELF","true","true","C1Y control manifest","C1Y","N/A","N/A","N/A","0","0","false","0","control","self-referential row"
