"path","location","status","size_before","size_after","sha256_before","sha256_after","bom_before","bom_after","utf8_valid","lf_only","semantic_text_unchanged","logic_unchanged","purpose","notes"
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","True","True","true","True","true","true","A-1 English","Byte-identical control"
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","True","True","true","True","true","true","A-1 French","Byte-identical control"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","True","True","true","True","true","true","A-2 decisions","Byte-identical control"
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","True","True","true","True","true","true","A-2 event","Byte-identical control"
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","True","True","true","True","true","true","A-2 English","Byte-identical control"
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","True","True","true","True","true","true","A-2 French","Byte-identical control"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","True","True","true","True","true","true","A-3 decisions","Byte-identical control"
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","True","True","true","True","true","true","A-3 event","Byte-identical control"
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2054","2054","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","True","True","true","True","true","true","A-3 English","Byte-identical control"
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2314","2314","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","True","True","true","True","true","true","A-3 French","Byte-identical control"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","True","True","true","True","true","true","B-1 decisions","Byte-identical control"
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","UNCHANGED_CONTROL","1484","1484","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","True","True","true","True","true","true","B-1 event","Byte-identical control"
"localization/english/zz_sepoy_functional_test_b1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2146","2146","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","True","True","true","True","true","true","B-1 English","Byte-identical control"
"localization/french/zz_sepoy_functional_test_b1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2562","2562","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","True","True","true","True","true","true","B-1 French","Byte-identical control"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","UNCHANGED_CONTROL","1496","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","True","True","true","True","true","true","C-1 decisions","Byte-identical control"
"events/zz_sepoy_functional_test_c1_events.txt","disposable_copy","UNCHANGED_CONTROL","1462","1462","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","True","True","true","True","true","true","C-1 event","Byte-identical control"
"localization/english/zz_sepoy_functional_test_c1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2345","2345","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","True","True","true","True","true","true","C-1 English","Byte-identical control"
"localization/french/zz_sepoy_functional_test_c1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2731","2731","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","True","True","true","True","true","true","C-1 French","Byte-identical control"
"descriptor.mod","disposable_copy","UNCHANGED_CONTROL","104","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","False","False","true","False","true","true","Internal disposable descriptor","Byte-identical control"
"DISPOSABLE_SEPOY_TEST_COPY.txt","disposable_copy","UNCHANGED_CONTROL","406","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","False","False","true","False","true","true","Disposable-copy marker","Byte-identical control"
"1776_Age_of_Revolutions_sepoy_test.mod","launcher_descriptor","EXPECTED_DESCRIPTOR_DIFFERENCE","206","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","False","False","true","False","true","true","Launcher descriptor","Path-bearing launcher descriptor intentionally differs from internal descriptor; unchanged in AA"
"common/decisions/zz_sepoy_radical_diagnostic_e1d.txt","disposable_copy","MODIFIED_BOM_ONLY","855","858","015724557E3ACFED476F3C0700A155CC5EA88C45735BA69CD18BFEADBCF89725","D0605A942B70B0CABE1159AA296000A4FAA0A5F1D65359C785EE0B638F24A750","false","true","true","True","true","true","open E1D event with evaluated prerequisites","Only EF BB BF added; semantic SHA remains 015724557E3ACFED476F3C0700A155CC5EA88C45735BA69CD18BFEADBCF89725"
"events/zz_sepoy_radical_diagnostic_e1d_events.txt","disposable_copy","MODIFIED_BOM_ONLY","2446","2449","2E1FF0C381F9686BCDB06AB0685B71A4376422B98441C98C0438D22848ACF86E","B962465965502A6F4532957EF41EC654072EF28B7EE9A68AE850BD74280E89F8","false","true","true","True","true","true","four direct differential radical calls","Only EF BB BF added; semantic SHA remains 2E1FF0C381F9686BCDB06AB0685B71A4376422B98441C98C0438D22848ACF86E"
"localization/english/zz_sepoy_radical_diagnostic_e1d_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1280","1280","3185D2F93957C115DD2AA17FBA06B5F7EEE6ACFE2769A65E40D3BC2653E2EE4B","3185D2F93957C115DD2AA17FBA06B5F7EEE6ACFE2769A65E40D3BC2653E2EE4B","True","True","true","True","true","true","English E1D localization","Byte-identical control"
"localization/french/zz_sepoy_radical_diagnostic_e1d_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1441","1441","59349FE6D79851952B6B1EF1246613BED04A9049BC9740FE33051C26A65B157D","59349FE6D79851952B6B1EF1246613BED04A9049BC9740FE33051C26A65B157D","True","True","true","True","true","true","French E1D localization","Byte-identical control"
"docs/reports/hotfix/HOTFIX_5C2E4C1AA_E1D_BOM_AND_RERUN_PREPARATION.md","fork","CREATED_REPORT","N/A","11800","N/A","1A15931135516A83F25AD770A96FE9FEB2E26948311D191E5A612EE462203812","N/A","false","true","true","N/A","N/A","Document strict BOM repair and reduced clean rerun plan","31 required sections"
"docs/reports/hotfix/HOTFIX_5C2E4C1AA_E1D_BOM_FIX_MANIFEST.csv","fork","SELF_REFERENTIAL","SELF","SELF","SELF","SELF","N/A","true","true","true","N/A","N/A","C1AA BOM repair control manifest","Self-referential row"
