record_type,branch,checkpoint,game_date,game_tick,state_region,state_id,province_id,owner,population,religion,target_pop_count,loyalists_and_radicals_before,loyalists_and_radicals_after,delta_pop,radicals_increase_before,radicals_increase_after,delta_country,population_radicals,trend_radicals,script_value,expected_fraction,observed_expected_ratio,materialization_class,small_marker,large_marker,event_2e_executed,bombay_preserved,west_bengal_status,base_clean,loop_terminated,save_name,save_sha256,result,evidence,notes
"ANTI_CONTAMINATION","C","BASE_VS_PRE_2E","1776.1.3","00:00 vs 18:00","STATE_BOMBAY/STATE_WEST_BENGAL","482/487","39686/40292 40306","BIC","75852","hindu","1","-0.00909","-0.00909","0","0.01492","0.01492","0","909","1776.1.3/index=3/values=0 0 1240","N/A","N/A","N/A","NOT_APPLICABLE","false","false","false","true","WEST_BENGAL_PRESERVED","true","true","E1D_BASE vs C_PRE_2E_CLEAN","N/A","PASS","Owners, provinces, Bombay pop/LR, BIC increase and trend identical","West pop 14845 workforce/dependents identical; LR 0 to 0.00001 is natural 18-hour drift"
"C_2E_IMMEDIATE","C","IMMEDIATE","1776.1.3","18:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.00909","-0.08494","-0.07585","0.01492","0.09077","0.07585","909","1776.1.3/index=3/values=0 0 1240","0.10","0.075852","0.999974","FULL_EXPECTED","false","false","true","true","WEST_BENGAL_LOST","true","true","HOTFIX_5C2E4C1AB_C_2E_IMMEDIATE.v3","807B898DE9DE4A3B760C41783F48D5922E8D10B3C295F65C5DF87C9DCA176057","PASS","2.e event history serialized; equal immediate pop/country delta","Bombay remains BIC; West Bengal is lost separately"
"C_2E_TICK1","C","TICK1","1776.1.5","00:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.08494","-0.08494","0","0.09077","0.09086","0.00009","909","1776.1.3/index=3/values=0 0 1240","0.10","0.075852","0.999974","FULL_EXPECTED","false","false","true","true","WEST_BENGAL_LOST","true","true","HOTFIX_5C2E4C1AB_C_2E_TICK1.v3","DD189FFF5CE55A525D77ACB22CDB8D84F0F42A614F5BEB5AD99A851C99096528","PASS","Target-pop effect retained after tick; BIC responsive","No deferred Bombay materialization"
"SMALL_COMPARISON","A","BASE_TO_SMALL_IMMEDIATE","1776.1.3","same serialized date","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.00909","-0.01667","-0.00758","0.01492","0.02250","0.00758","909","0 0 1240","0.01","0.0075852","0.999314","FULL_EXPECTED","true","false","false","true","WEST_BENGAL_PRESERVED","true","true","E1D_BASE -> A_SMALL_IMMEDIATE","N/A","PASS","Absolute pop and country deltas are equal","Approximately 758 radicals expected and observed within serialization precision"
"LARGE_COMPARISON","A","SMALL_TICK1_TO_LARGE_IMMEDIATE","1776.1.4","12:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.01667","-0.09252","-0.07585","0.03502","0.11087","0.07585","909","0 0 1240","0.10","0.075852","0.999974","FULL_EXPECTED","true","true","false","true","WEST_BENGAL_PRESERVED","true","true","A_SMALL_TICK1 -> A_LARGE_IMMEDIATE","N/A","PASS","Absolute incremental pop and country deltas are equal","Approximately 7585 additional radicals"
"EVENT_2E_COMPARISON","C","PRE_2E_TO_IMMEDIATE","1776.1.3","18:00","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","-0.00909","-0.08494","-0.07585","0.01492","0.09077","0.07585","909","0 0 1240","0.10","0.075852","0.999974","FULL_EXPECTED","false","false","true","true","WEST_BENGAL_LOST","true","true","C_PRE_2E_CLEAN -> C_2E_IMMEDIATE","N/A","PASS","Clean 2.e delta matches direct LARGE delta exactly","Real 2.e radical path works immediately"
"TERRITORIAL_STATUS","C","POST_2E","1776.1.3-1776.1.5","immediate and tick","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","N/A","N/A","N/A","N/A","N/A","N/A","909","0 0 1240","N/A","N/A","N/A","NOT_APPLICABLE","false","false","true","true","WEST_BENGAL_LOST","true","true","C_2E_IMMEDIATE and C_2E_TICK1","N/A","BOMBAY_PRESERVED","State 482 and province 39686 remain owned by BIC","MARATH/SAT/KHP unchanged per operator; no null or double owner"
"WEST_BENGAL_STATUS","C","POST_2E","1776.1.3-1776.1.5","immediate and tick","STATE_WEST_BENGAL","487","40292","COO","200","hindu","1","0.00001","0.00001","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NOT_APPLICABLE","false","false","true","true","WEST_BENGAL_LOST","true","true","C_2E_IMMEDIATE and C_2E_TICK1","N/A","WEST_BENGAL_LOST","BIC state 487 with provinces 40292/40306 becomes COO state 487 with 40292","WEST_BENGAL_FUNCTIONAL_DECISION_DEFERRED"
"LOGS","SESSION","POST_CLOSE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NOT_APPLICABLE","N/A","N/A","N/A","N/A","N/A","true","true","error.log/game.log/debug.log","N/A","PASS","0 targeted E1D/E-1/2.e/scope/tooltip matches; 0 E1D BOM warnings","4037 generic diagnostics classified out of scope; representative locations are unrelated journal files"
"SAVE_INTEGRITY","SESSION","POST_MELT_REHASH","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NOT_APPLICABLE","N/A","N/A","N/A","N/A","N/A","true","true","eight exact AB originals","eight SHA-256 values in checkpoint rows","PASS","Exactly eight AB saves; Rakaly 0.8.18 melts succeeded","Temporary copies and melts deleted; original sizes and hashes unchanged"
"FILE_INTEGRITY","SESSION","POST_RUNTIME","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NOT_APPLICABLE","N/A","N/A","N/A","N/A","N/A","true","true","C1AA manifest","N/A","PASS","976 files, 32 harnesses, 0 manifest mismatches","974-file aggregate 84951AE24C148E9D9E645942EA3B3342D5F6578F72E8DB6286C930CA6651C266"
"CAUSALITY_MATRIX","A+C","FINAL","N/A","N/A","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","N/A","N/A","N/A","N/A","N/A","N/A","909","0 0 1240","0.01/0.10","0.0075852/0.075852","0.999314/0.999974","FULL_EXPECTED","true","true","true","true","WEST_BENGAL_LOST","true","true","all eight AB saves","N/A","C1X_RADICAL_FAILURE_NON_REPRODUCIBLE_OR_TIMING_DEPENDENT","SMALL direct, LARGE direct, and clean real 2.e all work immediately","Evidence does not distinguish non-reproducibility from timing"
"SUMMARY","SESSION","VERDICT","N/A","N/A","STATE_BOMBAY","482","39686","BIC","75852","hindu","1","N/A","N/A","N/A","N/A","N/A","N/A","909","0 0 1240","N/A","N/A","N/A","FULL_EXPECTED","true","true","true","true","WEST_BENGAL_LOST","true","true","all evidence","N/A","C1X_RADICAL_FAILURE_NON_REPRODUCIBLE_OR_TIMING_DEPENDENT","BOMBAY_PRESERVED; WEST_BENGAL_LOST","WEST_BENGAL_FUNCTIONAL_DECISION_DEFERRED; no gameplay correction recommended"
