record_type,checkpoint,game_date,game_tick,state_region,province_id,owner_before,owner_after,controller_before,controller_after,region_state_empty,province_count,west_bengal_status,bombay_status,population,religion,radicals_visible,population_radicals,trend_radicals,radicals_increase,loyalists_and_radicals,event_2e_executed,bic_portion_preserved,loop_terminated,subject_before,subject_after,save_name,save_sha256,result,evidence,notes
"RADICAL_SUNNI_NO_TARGET","pre-2.e","1776.1.4.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","N/A","PRESERVED","0","sunni","0","0","0 0 0","0","0","FALSE","TRUE","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_PRE_2E_1776_01_03.v3","2E04BCA6AF509216D792F351B9D13F06EE7275B64CF0488BBA751C7E71B6768E","PASS","Fourteen Catholic pops and one Hindu pop at location 482","No Sunni target expected"
"PRE_2E_SAVE","immutable save","1776.1.4.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","WEST_BENGAL_PRESERVED","PRESERVED","N/A","N/A","0","0","0 0 0","0","0","FALSE","TRUE","TRUE","TRUE","TRUE","HOTFIX_5C2E4C1X_E1_FIX_PRE_2E_1776_01_03.v3","2E04BCA6AF509216D792F351B9D13F06EE7275B64CF0488BBA751C7E71B6768E","PASS_WITH_DATE_OFFSET","Original rehashed after analysis","Filename says Jan 3; serialized date Jan 4 06:00"
"EVENT_2E","manual selection","1776.1.4.6","N/A","N/A","N/A","BIC","BIC","BIC","BIC","N/A","N/A","WEST_BENGAL_LOST","PRESERVED","N/A","N/A","0","0","0 0 0","0.00001","-0.00001","TRUE","TRUE","TRUE","TRUE","FALSE","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PARTIAL_FAIL_RADICALS","Operator report and serialized comparison","Only Bombay tient bon selected"
"BOMBAY_POST_2E","immediate","1776.1.4.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_LOST","PRESERVED","446391","hindu+catholic","0","0","0 0 0","0.00001","-0.00001","TRUE","TRUE","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PASS_TERRITORIAL","State 482 country 218; provinces 39686 0","Real non-empty BIC region state"
"WEST_BENGAL_POST_2E","immediate","1776.1.4.6","N/A","STATE_WEST_BENGAL","40292;40306","BIC","COO","BIC","COO","TRUE","0","WEST_BENGAL_LOST","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","FALSE","TRUE","TRUE","FALSE","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","WEST_BENGAL_LOST","State 487 empty; previous_country 218; state 488 expanded","WEST_BENGAL_FUNCTIONAL_DECISION_DEFERRED"
"MARATH_POST_2E","immediate","1776.1.4.6","N/A","STATE_BOMBAY","N/A","MARATH","MARATH","MARATH","MARATH","FALSE","25","WEST_BENGAL_LOST","UNCHANGED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","N/A","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PASS","State 483 province encoding unchanged","Twenty-five logical provinces"
"SAT_POST_2E","immediate","1776.1.4.6","N/A","STATE_BOMBAY","N/A","SAT","SAT","SAT","SAT","FALSE","10","WEST_BENGAL_LOST","UNCHANGED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","N/A","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PASS","State 484 province encoding unchanged","Ten logical provinces"
"KHP_POST_2E","immediate","1776.1.4.6","N/A","STATE_BOMBAY","39690;39692;39696","KHP","KHP","KHP","KHP","FALSE","3","WEST_BENGAL_LOST","UNCHANGED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","N/A","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PASS","State 485 still has three provinces","KHP did not receive x51F0A0"
"POST_2E_IMMEDIATE","save comparison","1776.1.4.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_LOST","PRESERVED","446391","hindu","0","0","0 0 0","0.00001","-0.00001","TRUE","TRUE","TRUE","TRUE","FALSE","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","FAIL_E1_FIX_RADICAL_EFFECT","Deep delta is -0.00001 instead of about -0.07585","Territorial pass; radical fail"
"POST_2E_TICK1","first post tick","1776.1.5","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_LOST","PRESERVED","446391","hindu","0","0","0 0 0","0.00001","-0.00001","TRUE","TRUE","TRUE","TRUE","FALSE","N/A","N/A","FAIL_E1_FIX_RADICAL_EFFECT","Operator observation between saves","No visible radicals; territory stable"
"POST_2E_TICK2","final save","1776.1.6.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_LOST","PRESERVED","446391","hindu","0","0","0 0 0","0.00001","-0.00001","TRUE","TRUE","TRUE","TRUE","FALSE","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_TICK2_1776_01_05.v3","99D353B508B9F093AA59C9F1B0BD167F77EE217688AE0B496B67CACC087CFE61","FAIL_E1_FIX_RADICAL_EFFECT","Final deep values unchanged","Filename says Jan 5; serialized date Jan 6 06:00"
"RADICALS_HINDU","deep comparison","1776.1.4.6-1776.1.6.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_LOST","PRESERVED","75852","hindu","0","0","0 0 0","0 to 0.00001","0 to -0.00001","TRUE","TRUE","TRUE","N/A","N/A","three-save comparison","N/A","FAIL_E1_FIX_RADICAL_BASELINE+FAIL_E1_FIX_RADICAL_EFFECT","Pop 14727 exact comparison","Expected approximately 7585 added radicals; observed about 1"
"COO","subject status","1776.1.4.6","N/A","STATE_WEST_BENGAL","N/A","BIC subject","independent","N/A","N/A","FALSE","N/A","WEST_BENGAL_LOST","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","N/A","TRUE","TRUE","FALSE","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PASS","COO market 282 and power_bloc_leave_date 1776.1.4.6","Later Bengal evolution is outside immediate subject check"
"JEY","subject status","1776.1.4.6","N/A","N/A","N/A","BIC subject","independent","N/A","N/A","N/A","N/A","WEST_BENGAL_LOST","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","N/A","TRUE","TRUE","FALSE","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PASS","JEY market 283 and power_bloc_leave_date 1776.1.4.6","Independence preserved"
"LOOP","post-2.e","1776.1.4.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","WEST_BENGAL_LOST","PRESERVED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","TRUE","TRUE","N/A","N/A","HOTFIX_5C2E4C1X_E1_FIX_POST_2E_IMMEDIATE_1776_01_03.v3","AF684B805170F3DEA3F0452646D459D43F15B7D6637E3CA68BF94E968E660F0D","PASS","Event closed and game remained responsive","No empty loop"
"LOGS","post-close","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","WEST_BENGAL_LOST","PRESERVED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","TRUE","TRUE","TRUE","N/A","N/A","N/A","N/A","PASS_TARGETED","Zero direct E-1/2.e/Bombay/scope/transfer hits","Generic diagnostics classified separately"
"SAVE_COMPARISON","three originals","1776.1.4.6-1776.1.6.6","N/A","STATE_BOMBAY","x51F0A0/39686","BIC","BIC","BIC","BIC","FALSE","1","WEST_BENGAL_LOST","PRESERVED","446391","hindu","0","0","0 0 0","0 to 0.00001","0 to -0.00001","TRUE","TRUE","TRUE","TRUE","FALSE","three originals","three SHA-256 values recorded","PARTIAL_FAIL_RADICALS","Rakaly 0.8.18 melted temporary copies","Dates offset by one day from save names"
"FILE_INTEGRITY","post-runtime","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","PASS","35 manifest controls; 0 mismatch","972 files; 28 harnesses; Sepoy hash expected"
"SUMMARY","final","1776.1.6.6","N/A","STATE_BOMBAY","x51F0A0/39686","POR","BIC","POR","BIC","FALSE","1","WEST_BENGAL_LOST","PRESERVED","75852","hindu","0","0","0 0 0","0.00001","-0.00001","TRUE","TRUE","TRUE","TRUE","FALSE","three saves","three SHA-256 values recorded","FAIL_E1_FIX_RADICAL_BASELINE / WEST_BENGAL_LOST","Bombay territorial PASS; radical baseline and effect FAIL","WEST_BENGAL_FUNCTIONAL_DECISION_DEFERRED; secondary FAIL_E1_FIX_RADICAL_EFFECT"
