"path","location","status","size","sha256","utf8_bom","lf_only","purpose","scenario","west_bengal_bic_required","bombay_bic_absent_required","east_bengal_bic_required","territorial_mutation_count","radical_call_count","variable_count","calls_sepoy_event_2","automatic_option_choice","custom_tooltip_count","source_or_control","notes"
"common/decisions/zz_sepoy_functional_test_e1.txt","disposable_copy","UNCHANGED_CONTROL","1804","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","true","true","E-1 pre-existing disposable harness","E-1","N/A","N/A","N/A","0","0","0","1","false","2","AE_MANIFEST_CONTROL","Matches AE manifest control"
"common/decisions/zz_sepoy_functional_test_e2.txt","disposable_copy","UNCHANGED_CONTROL","2171","40F46A2DD3CBA51C84639F69D1D6364F0FD3B498CD046AE95FC42A352D57613B","true","true","Separate positive Bombay-trigger control","E-2","phase-dependent","phase-dependent","phase-dependent","0","0","0","1","false","2","AE_MANIFEST_CONTROL","Unchanged; two territorial mutations remain in the preparation event"
"common/decisions/zz_sepoy_radical_diagnostic_e1d.txt","disposable_copy","UNCHANGED_CONTROL","858","D0605A942B70B0CABE1159AA296000A4FAA0A5F1D65359C785EE0B638F24A750","true","true","E1D pre-existing disposable harness","E1D","N/A","N/A","N/A","0","0","0","0","false","1","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","1","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","2","0","1","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","1","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","UNCHANGED_CONTROL","1484","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","2","1","0","false","1","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_functional_test_c1_events.txt","disposable_copy","UNCHANGED_CONTROL","1462","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","1","2","1","0","false","1","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_functional_test_e1_events.txt","disposable_copy","UNCHANGED_CONTROL","1620","FDFCEE011219F08F3FB3296310EC28959F6ACEEBA7FA63EED439F2E9A045C079","true","true","E-1 pre-existing disposable harness","E-1","N/A","N/A","N/A","1","2","1","0","false","1","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_functional_test_e2_events.txt","disposable_copy","UNCHANGED_CONTROL","1674","49E98E6D1CC077C7AA7462CCB5BEC286BB53DC85F4E5449C1BA826FD840B71C9","true","true","Separate positive Bombay-trigger control","E-2","phase-dependent","phase-dependent","phase-dependent","2","0","1","0","false","1","AE_MANIFEST_CONTROL","Unchanged; two territorial mutations remain in the preparation event"
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/zz_sepoy_radical_diagnostic_e1d_events.txt","disposable_copy","UNCHANGED_CONTROL","2449","B962465965502A6F4532957EF41EC654072EF28B7EE9A68AE850BD74280E89F8","true","true","E1D pre-existing disposable harness","E1D","N/A","N/A","N/A","0","4","4","0","false","1","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2054","22F4BA0CF7046762419EE1CC728DCBE28AD017CAA87A584C5255D342499B9C95","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_functional_test_b1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2146","964B6620D7A09E4F5C3C6DD629870C0ADBA69DD529D4F96CA8C0DA7714149673","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_functional_test_c1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2345","FA8DED06482051D664529F133FDE1F43406A3C22C3BA4F2DD41EDDB76E9C5F26","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_functional_test_e1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2396","B214114C69916E07FB16FB5FE8721E14DC354B46304D05E724DE6B60B88DAA00","true","true","E-1 pre-existing disposable harness","E-1","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_functional_test_e2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2227","29D1CEC499627489246E82F376935C89B0435B007149DABFE6A6B81FDD5347B4","true","true","Separate positive Bombay-trigger control","E-2","phase-dependent","phase-dependent","phase-dependent","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Unchanged; two territorial mutations remain in the preparation event"
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/english/zz_sepoy_radical_diagnostic_e1d_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1280","3185D2F93957C115DD2AA17FBA06B5F7EEE6ACFE2769A65E40D3BC2653E2EE4B","true","true","E1D pre-existing disposable harness","E1D","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2314","55A333929F162BEAD50D6D955AAEA08B20151A803F9EE74A085B28B372232E36","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_functional_test_b1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2562","EC5C3CA83C39EC2F735D940876A31D7415A2CB8F84E248DC449ED74B6EB9812D","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_functional_test_c1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2731","2FD0E74D30B0A89321F0FBA707AF29270F9D52A9BD7166BADA9A6E4E1386135C","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_functional_test_e1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2818","D5F1BB1EDC06C1C5DC48B756DF1E7E072ACE1C3F34B0E2A3ED4978297B7825FE","true","true","E-1 pre-existing disposable harness","E-1","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_functional_test_e2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2676","6218678091C156F0CF8C4A4F80FB4C8D29780B5F2F623CE447AC52F744ED8CEF","true","true","Separate positive Bombay-trigger control","E-2","phase-dependent","phase-dependent","phase-dependent","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Unchanged; two territorial mutations remain in the preparation event"
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"localization/french/zz_sepoy_radical_diagnostic_e1d_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1441","59349FE6D79851952B6B1EF1246613BED04A9049BC9740FE33051C26A65B157D","true","true","E1D pre-existing disposable harness","E1D","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"events/india_events/sepoy_mutiny_events.txt","fork","MODIFIED_TRIGGER_FIX","63653","66465CB840A5D7348E342F233205F0389E46E5E1C5ECA97B17870ED09D93C6BB","true","true","Corrected Sepoy event control","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AE_MANIFEST_CONTROL","AE Bombay trigger hash retained"
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","MODIFIED_TRIGGER_FIX","63653","66465CB840A5D7348E342F233205F0389E46E5E1C5ECA97B17870ED09D93C6BB","true","true","Corrected Sepoy event control","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AE_MANIFEST_CONTROL","AE Bombay trigger hash retained"
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","true","true","Sepoy journal control","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AE_MANIFEST_CONTROL","Unchanged control"
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","true","true","Sepoy journal control","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AE_MANIFEST_CONTROL","Unchanged control"
"descriptor.mod","disposable_copy","UNCHANGED_CONTROL","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","false","false","Disposable-copy descriptor or marker control","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AE_MANIFEST_CONTROL","Unchanged control"
"DISPOSABLE_SEPOY_TEST_COPY.txt","disposable_copy","UNCHANGED_CONTROL","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","false","false","Disposable-copy descriptor or marker control","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AE_MANIFEST_CONTROL","Unchanged control"
"1776_Age_of_Revolutions_sepoy_test.mod","launcher_descriptor","EXPECTED_DESCRIPTOR_DIFFERENCE","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","false","false","AF static report","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AE_MANIFEST_CONTROL","Expected launcher descriptor path difference retained"
"docs/reports/hotfix/HOTFIX_5C2E4C1AF_SEPOY_E3_STATIC_SETUP.md","fork","CREATED_REPORT","9895","618B06809AC0675B7CE83EE4BB9A4BC4700372851442F8A288FED010BEC20C3A","false","true","AF static report","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AF_DELIVERABLE","Static setup and combined runtime plan"
"docs/reports/hotfix/HOTFIX_5C2E4C1AF_E3_HARNESS_MANIFEST.csv","fork","SELF_REFERENTIAL","N/A","N/A","true","true","AF manifest","CONTROL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","AF_DELIVERABLE","Size and SHA-256 N/A because this row is self-referential"
