country,year,population
Greece,1840,2777000
Grenada,1800,29409
Guatemala,1750,315000
Guatemala,1840,706000
Guinea,1800,983959
Guinea-Bissa,1800,218167
Guyana,1800,166034
Guyana,1840,98000
Haiti,1700,50000
Haiti,1750,190000
Haiti,1800,500000
Honduras,1750,96000
Honduras,1800,130000
Hungary,1700,1500000
Hungary,1750,2000000
Hungary,1800,3250000
Iceland,1750,46000
Iceland,1800,61428
Iceland,1840,57000
India,1700,165000000
India,1830,217576583.9
India,1840,226505104.5
Iran,1700,5000000
Iran,1800,6000000
Iraq,1700,1000000
Iraq,1800,1000000
Ireland,1700,1925000
Ireland,1750,3000000
Ireland,1800,5250000
Ireland,1830,7827000
Ireland,1840,8349000
Israel,1800,209954
Italy,1700,13300000
Italy,1750,15000000
Italy,1800,19000000
Italy,1830,21513000
Italy,1840,22939000
Jamaica,1700,50000
Jamaica,1750,170000
Jamaica,1800,300000
Jamaica,1840,377000
Japan,1700,27000000
Japan,1750,29000000
Japan,1800,28000000
Japan,1830,31329811.99
Japan,1840,31663132.88
Jordan,1700,200000
Jordan,1800,200000
Kazakhstan,1800,2041282
Kenya,1700,2000000
Kenya,1800,2574000
Kiribati,1800,17876
Kuwait,1800,81280
Kyrgyzstan,1800,530343
Laos,1800,470000
Latvia,1800,590588
Lebanon,1700,300000
Lebanon,1800,300000
Lesotho,1800,276361
Liberia,1800,313543
Liechtenstein,1800,5802
Lithuania,1800,778655
Luxembourg,1800,127030
Luxembourg,1830,170000
Luxembourg,1840,180000
Macedonia,1800,391865
Madagascar,1700,1000000
Madagascar,1800,1500000
Malawi,1800,737000
Malaysia,1800,287000
Maldives,1800,42378
Mali,1800,1403398
Malta,1800,134072
Marshall Islands,1800,5828
Mauritania,1800,382696
Mauritius,1750,29500
Mauritius,1800,59000
Mauritius,1830,93000
Mauritius,1840,115000
Mexico,1700,2825000
Mexico,1750,3777000
Mexico,1800,5100000
Mexico,1830,6382000
Mexico,1840,7044000
Moldova,1800,712558
Monaco,1800,7789
Mongolia,1800,600000
Montenegro,1800,126582
Morocco,1700,1750000
Morocco,1800,2500000
Mozambique,1700,1500000
Mozambique,1800,2000000
Myanmar,1700,5000000
Myanmar,1800,6000000
Namibia,1800,229000
Naur,1800,1834
Nepal,1700,3000000
Nepal,1750,3500000
Nepal,1800,4000000
Netherlands,1700,1900000
Netherlands,1750,2000000
Netherlands,1800,2000000
Netherlands,1830,2633000
Netherlands,1840,2886000
New Zealand,1700,100000
New Zealand,1800,200000
New Zealand,1830,100000
New Zealand,1840,70000
Nicaragua,1700,93000
Nicaragua,1750,114000
Nicaragua,1800,186000
Nigeria,1800,12100855
North Korea,1800,4345000
Norway,1700,500000
Norway,1750,724000
Norway,1800,900000
Norway,1830,1124000
Norway,1840,1241000
Oman,1800,300000
Pakistan,1700,10777105
Pala,1800,3875
Panama,1700,34200
Panama,1750,42200
Panama,1800,75600
Papua New Guinea,1800,754894
Paraguay,1700,200000
Paraguay,1750,200000
Paraguay,1800,300000
Per,1700,654000
Per,1750,773000
Per,1800,1271000
Per,1830,1374000
Philippines,1700,1250000
Philippines,1800,2500000
Philippines,1840,3096000
Poland,1700,6000000
Poland,1750,7000000
Poland,1800,9000000
Portugal,1700,2000000
Portugal,1750,2250000
Portugal,1800,2750000
Portugal,1830,3491000
Portugal,1840,3704000
Qatar,1800,14092
Romania,1700,2500000
Romania,1750,3500000
Romania,1800,5500000
Rwanda,1800,928368
Samoa,1700,43000
Samoa,1800,47300
San Marino,1800,5492
Sao Tome and Principe,1800,22731
Saudi Arabia,1700,2000000
Saudi Arabia,1800,2000000
Senegal,1800,1009886
Serbia,1800,2147197
Seychelles,1800,12522
Sierra Leone,1800,794264
Singapore,1800,30000
Slovakia,1800,2140651
Slovenia,1800,469664
Solomon Islands,1800,56998
Somalia,1700,950000
South Africa,1700,1000000
South Korea,1800,9395000
Spain,1700,8770000
Spain,1750,9500000
Spain,1800,11500000
Spain,1830,13041000
Spain,1840,13937000
Sri Lanka,1700,1500000
Sri Lanka,1800,1750000
Suriname,1800,80721
Swaziland,1800,86000
Sweden,1700,1260000
Sweden,1750,1781000
Sweden,1800,2500000
Sweden,1830,2876000
Sweden,1840,3123000
Switzerland,1700,1200000
Switzerland,1750,1500000
Switzerland,1800,1750000
Switzerland,1830,2100000
Switzerland,1840,2220000
Syria,1700,1250000
Syria,1800,1250000
Tajikistan,1800,466629
Tanzania,1700,2500000
Tanzania,1800,3000000
Thailand,1700,2500000
Thailand,1800,3000000
Timor,1800,137262
Togo,1800,445985
Tonga,1700,16962
Tonga,1800,18658
Tonga,1840,18500
Trinidad and Tobago,1800,20000
Tunisia,1700,800000
Tunisia,1800,800000
Turkey,1700,8400000
Turkmenistan,1800,367215
Tuval,1800,2499
Uganda,1700,2000000
Uganda,1800,2500000
Ukraine,1800,11215490
United Arab Emirates,1800,40153
United Kingdom,1700,8565000
United Kingdom,1750,7250000
United Kingdom,1800,10750000
United Kingdom,1830,24139000
United Kingdom,1840,26745000
United States,1700,1000000
United States,1750,2000000
United States,1800,6000000
United States,1830,13240313.9
United States,1840,17443768
Uruguay,1800,55000
Uzbekistan,1800,1919159
Vanuat,1800,27791
Venezuela,1700,500000
Venezuela,1750,700000
Venezuela,1800,1000000
Venezuela,1830,887000
Venezuela,1840,1219000
Vietnam,1700,3000000
Vietnam,1800,4000000
Yemen,1700,2250000
Yemen,1800,2593000
Zambia,1800,747000
Zimbabwe,1800,1085814
