tag,country_name,land_units_3b,effective_barracks_before,effective_barracks_after,land_capacity_shortfall_after,naval_crew_3b,naval_admin_before,naval_admin_after,naval_capacity_after,naval_shortfall_after,structural_defer,structural_defer_shortfall_preserved,budget_risk,confidence,notes
BTN,Buton,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BUG,Buganda,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BUK,Bukhara,8,28,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
BUR,Burma,30,30,30,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CAM,Cambodia,6,21,6,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CHC,Chechnya,8,8,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CHI,China,290,290,290,0,4000,0,4,4000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CHP,Champasak,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CIR,Circassia,14,14,14,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CMI,Chiang Mai,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
COB,Saxe-Coburg-Gotha,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
COC,Cochin,2,2,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CON,Constantine,2,8,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
COO,Cooch Behar,2,2,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CRI,Crimea,10,10,10,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
CUB,Cuba,11,11,11,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
DAH,Dahomey,7,14,7,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
DAI,Dai Nam,0,55,55,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
DEI,East Indies,12,12,12,0,1000,2,1,1000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
DENNOR,Denmark-Norway,18,18,18,0,8800,9,9,9000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
DFR,Darfur,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
DUR,Afghanistan,45,45,45,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
ETH,Ethiopia,16,55,16,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
EZO,Ezochi,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
FRA,France,165,165,165,0,27400,24,28,28000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
FRM,Frankfurt,1,1,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
FTJ,Futa Jallon,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
FTR,Futa Toro,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
GAL,Galicia-Lodomeria,12,12,12,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
GAR,Garhwal,2,2,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
GBR,Great Britain,49,49,49,0,83400,33,84,84000,0,NO,NO,HIGH,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
GEN,Most Serene Republic of Genoa,2,2,2,0,1500,3,2,2000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
GLD,Geledi,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
GR3,Sicily,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
GR5,Santo Domingo,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
GWA,Gwalior,30,30,30,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HAI,Haiti,20,20,20,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
HAM,Hamburg,1,1,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HAN,Hanover,21,21,21,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HAU,Gobir,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HAW,Hawaii,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
HBC,Hudson's Bay Company,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HDJ,Hedjaz,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HEK,Hesse-Kassel,5,5,5,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HES,Hesse-Darmstadt,4,4,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HOH,Hohenzollern,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HOL,Holstein,4,4,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
HUN,Hungary,28,28,28,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
HYD,Hyderabad,28,28,28,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
IQU,Iquicha,0,1,1,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
IR1,Mamluk Iraq,10,10,10,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
IREK,Kingdom of Ireland,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
ISQ,Isaaq,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
JAP,Japan,42,42,42,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
JEY,Jeypore,3,3,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
JMB,Jambi,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
JOH,Johore,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KAU,Kaurna,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
KHI,Khiva,8,28,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KHP,Kolhapur,4,4,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KNO,Kurnool,5,5,5,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KOK,Kokand,8,28,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KON,Kongo,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KOR,Korea,18,48,18,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KRG,Karagwe,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KRT,Kaarta,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KTI,Kutai,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
KZH,Kishi Zhuz,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
LAH,Lahej,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
LAN,Lanfang,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
LIP,Lippe-Detmold,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
LOU,Louisiana,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
LUA,Luang Prabang,3,11,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
LUB,Lübeck,1,1,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
LUC,Lucca,1,1,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
LUX,Luxembourg,3,3,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MAD,Madagascar,8,28,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MARATH,Maratha Confederacy,45,45,45,0,1000,1,1,1000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MAS,Mascara,17,17,17,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MBS,Mombasa,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MEC,Mecklenburg-Schwerin,5,5,5,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MEI,Saxe-Meiningen,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MGD,Maguindanao,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MJT,Majerteen,3,10,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MKT,Miskitia,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MLD,Maldives,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MLT,Order of Malta,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MOD,Modena,4,4,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MOL,Moldavia,3,3,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MON,Montenegro,6,6,6,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MOR,Morocco,11,38,11,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MSN,Massina,8,28,8,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MST,Mecklenburg-Strelitz,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MUG,Hindustan,2,2,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
MYS,Mysore,32,32,32,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
NAG,Nagpur,16,16,16,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
NAS,Nassau,3,3,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
NBS,New Brunswick,0,2,2,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
NEP,Nepal,14,49,14,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
NET,Netherlands,24,24,24,0,8800,13,9,9000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
NVS,Nova Scotia,0,3,3,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
OLD,Oldenburg,3,3,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
OMA,Oman,10,20,10,0,4000,4,4,4000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
ONT,Ontario,0,5,5,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
ORA,Oranje,0,2,2,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
OYO,Oyo,12,27,12,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
OZH,Orta Zhuz,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PAN,Punjab,45,45,45,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PAP,Papal States,6,6,6,0,500,1,1,1000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PAR,Parma,3,3,3,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PCO,Puerto Rico,7,7,7,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
PER,Persia,32,32,32,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PHI,Philippines,7,7,7,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
PHL,Philippolis,0,1,1,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
PLC,Poland-Lithuania,16,16,16,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PLY,Tahiti,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PON,Pontianak,1,4,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
POR,Portugal,24,24,24,0,7200,9,8,8000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PRK,Perak,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PRU,Prussia,158,158,158,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
PUD,Pudukottai,2,2,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
QUE,Quebec,0,5,5,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
RUS,Russia,215,215,215,0,21400,0,22,22000,0,NO,NO,MEDIUM,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
RWD,Rwanda,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
RYU,Ryukyu,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SAK,Siak,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SAR,Sardinia-Piedmont,19,19,19,0,2500,2,3,3000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SAT,Satara,2,2,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SAX,Saxony,22,22,22,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SC1,Nueva España,0,8,8,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
SC2,Nueva Granada,34,34,34,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
SC3,Perú,0,15,15,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
SC4,Río de la Plata,7,7,7,0,500,0,0,0,500,YES,YES,MEDIUM,HIGH,Explicit structural-defer infrastructure preserved.
SCH,Schleswig,2,2,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SCM,Schaumburg-Lippe,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SCW,Schwarzburg,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SEL,Selangor,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SGU,Segou,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SHS,Shan,0,0,0,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SIA,Siam,18,63,18,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SIC,Two Sicilies,30,25,25,5,4600,3,3,3000,1600,YES,YES,MEDIUM,HIGH,Five units recruit from GR3-owned Sicily; land and naval structural shortfalls preserved.
SIK,Sikkim,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SIL,Sierra Leone,0,0,0,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
SIN,Sindh,17,17,17,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SMB,Sambas,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SOK,Sokoto,0,70,70,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
SPA,Spain,95,95,95,0,26600,24,27,27000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SRK,Surakarta,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
STG,Sintang,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SUL,Sulu,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SWE,Sweden,30,30,30,0,15800,10,16,16000,0,NO,NO,MEDIUM,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SWI,Switzerland,4,14,4,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
SWZ,Swaziland,1,3,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TGI,Tungi,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TIB,Tibet,7,25,7,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TID,Tidore,2,7,2,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TRA,Travancore,7,7,7,0,500,1,1,1000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TRI,Tripolitania,6,21,6,0,500,1,1,1000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TRN,Transvaal,0,3,3,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
TRS,Transylvania,8,8,8,0,0,0,0,0,0,YES,NO,LOW,HIGH,Explicit structural-defer infrastructure preserved.
TUG,Touggourt,1,2,1,0,0,0,0,0,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
TUN,Tunis,5,18,5,0,500,1,1,1000,0,NO,NO,LOW,HIGH,Formation materialized land capacity; naval administration set to exact national ceiling minimum.
