tag,formation_type,formation_name_key,english_value_after,french_value_after,generic_after,native_language_policy,duplicate_localization_after,file
TRS,army,generalkommando_hermannstadt,generalkommando_hermannstadt,generalkommando_hermannstadt,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRA,army,cleanup2d3b_fra_land_1,Armée du Nord,Armée du Nord,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRA,army,cleanup2d3b_fra_land_2,Armée de l Est,Armée de l Est,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRA,army,cleanup2d3b_fra_land_3,Armée du Midi,Armée du Midi,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRA,army,cleanup2d3b_fra_land_4,Garnisons Coloniales,Garnisons Coloniales,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRA,fleet,cleanup2d3b_fra_naval_2,Escadre de Toulon,Escadre de Toulon,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRA,fleet,cleanup2d3b_fra_naval_1,Escadre de Brest,Escadre de Brest,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRA,fleet,cleanup2d3b_fra_naval_3,Rochefort and Overseas Station,Rochefort and Overseas Station,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,army,cleanup2d3b_gbr_land_2,North American Command,North American Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,army,Home_Army,Home_Army,Home_Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,army,cleanup2d3b_gbr_land_4,Mediterranean Garrison,Mediterranean Garrison,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,army,cleanup2d3b_gbr_land_3,West Indies Garrison,West Indies Garrison,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,army,cleanup2d3b_gbr_land_5,India Crown Detachment,India Crown Detachment,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,fleet,Mediterranean_Station,Mediterranean_Station,Mediterranean_Station,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,fleet,North_America_and_West_Indies_Station,North_America_and_West_Indies_Station,North_America_and_West_Indies_Station,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,fleet,cleanup2d3b_gbr_naval_6,Cape and South Atlantic Station,Cape and South Atlantic Station,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,fleet,cleanup2d3b_gbr_naval_5,East Indies Station,East Indies Station,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,fleet,cleanup2d3b_gbr_naval_1,Channel Fleet,Channel Fleet,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,fleet,cleanup2d3b_gbr_naval_2,Western Approaches Fleet,Western Approaches Fleet,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GBR,fleet,cleanup2d3b_gbr_naval_7,Home Reserve and Coastal Station,Home Reserve and Coastal Station,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
RUS,army,cleanup2d3b_rus_land_1,Гвардейский и Западный корпус,Гвардейский и Западный корпус,NO,CYRILLIC,NO,00_military_formations_europe.txt
RUS,army,cleanup2d3b_rus_land_2,1-я полевая армия,1-я полевая армия,NO,CYRILLIC,NO,00_military_formations_europe.txt
RUS,army,cleanup2d3b_rus_land_3,2-я полевая армия,2-я полевая армия,NO,CYRILLIC,NO,00_military_formations_europe.txt
RUS,army,cleanup2d3b_rus_land_4,Южная пограничная армия,Южная пограничная армия,NO,CYRILLIC,NO,00_military_formations_europe.txt
RUS,army,cleanup2d3b_rus_land_5,Сибирские и Восточные гарнизоны,Сибирские и Восточные гарнизоны,NO,CYRILLIC,NO,00_military_formations_europe.txt
RUS,fleet,cleanup2d3b_rus_naval_1,Балтийский флот,Балтийский флот,NO,CYRILLIC,NO,00_military_formations_europe.txt
RUS,fleet,cleanup2d3b_rus_naval_2,Архипелагская эскадра,Архипелагская эскадра,NO,CYRILLIC,NO,00_military_formations_europe.txt
CIR,army,cleanup2d3e_r1_cir_land_1,Circassian Princely Host,Circassian Princely Host,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
CHC,army,Murtazeki,Murtazeki,Murtazeki,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
BAD,army,Groherzoglich_Badische_Armee,Groherzoglich_Badische_Armee,Groherzoglich_Badische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
WUR,army,Kniglich_Wrttembergische_Armee,Kniglich_Wrttembergische_Armee,Kniglich_Wrttembergische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SAX,army,Kniglich_Schsische_Armee,Kniglich_Schsische_Armee,Kniglich_Schsische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
BAV,army,I_ArmeeKorps,I_ArmeeKorps,I_ArmeeKorps,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
HEK,army,Kurfrstlich_Hessische_Armee,Kurfrstlich_Hessische_Armee,Kurfrstlich_Hessische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
HES,army,Groherzoglich_Hessische_Armee,Groherzoglich_Hessische_Armee,Groherzoglich_Hessische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
NAS,army,Herzoglich_Nassauische_Armee,Herzoglich_Nassauische_Armee,Herzoglich_Nassauische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
HAN,army,Kniglich_Hannoversche_Armee,Kniglich_Hannoversche_Armee,Kniglich_Hannoversche_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
MEC,army,Groherzoglich_MecklenburgischSchwerinsche_Armee,Groherzoglich_MecklenburgischSchwerinsche_Armee,Groherzoglich_MecklenburgischSchwerinsche_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
OLD,army,Groherzoglich_Oldenburgische_Armee,Groherzoglich_Oldenburgische_Armee,Groherzoglich_Oldenburgische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
HAM,army,Hamburger_Burgermilitar,Hamburger_Burgermilitar,Hamburger_Burgermilitar,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
BRE,army,Bremer_Stadtmilitar,Bremer_Stadtmilitar,Bremer_Stadtmilitar,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
LUB,army,Lubecker_Militar,Lubecker_Militar,Lubecker_Militar,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
FRM,army,Linienbataillon_Frankfurt,Linienbataillon_Frankfurt,Linienbataillon_Frankfurt,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
WLD,army,Waldecksches_Bataillon,Waldecksches_Bataillon,Waldecksches_Bataillon,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
LUX,army,Luxemburger_Miliz,Luxemburger_Miliz,Luxemburger_Miliz,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SWE,fleet,cleanup2d3b_swe_naval_2,Archipelago and Coastal Squadron,Archipelago and Coastal Squadron,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SWE,army,Kungliga_Svenska_Armn,Kungliga_Svenska_Armn,Kungliga_Svenska_Armn,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SWE,fleet,cleanup2d3b_swe_naval_1,Swedish Line Fleet,Swedish Line Fleet,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
DENNOR,army,Hren,Hren,Hren,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
DENNOR,fleet,Kongelige_Danske_Marine,Kongelige_Danske_Marine,Kongelige_Danske_Marine,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SCH,army,Schleswigsche_Armee,Schleswigsche_Armee,Schleswigsche_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
HOL,army,Holsteinische_Armee,Holsteinische_Armee,Holsteinische_Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
WAL,army,Armata_rii_Romneti,Armata_rii_Romneti,Armata_rii_Romneti,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
MON,army,Montengrin_Raiders,Montengrin_Raiders,Montengrin_Raiders,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
MOL,army,Armata_Principatului_Moldovei,Armata_Principatului_Moldovei,Armata_Principatului_Moldovei,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SIC,army,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SIC,army,Guardia_Reale,Guardia_Reale,Guardia_Reale,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SIC,fleet,Armata_di_Mare_di_SM_il_Re_del_Regno_delle_Due_Sicilie,Armata_di_Mare_di_SM_il_Re_del_Regno_delle_Due_Sicilie,Armata_di_Mare_di_SM_il_Re_del_Regno_delle_Due_Sicilie,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SAR,army,I_Corpo_dArmata,I_Corpo_dArmata,I_Corpo_dArmata,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SAR,fleet,Marina_del_Regno_di_Sardegna,Marina_del_Regno_di_Sardegna,Marina_del_Regno_di_Sardegna,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PAP,army,Esercito_dello_Stato_della_Chiesa,Esercito_dello_Stato_della_Chiesa,Esercito_dello_Stato_della_Chiesa,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PAP,fleet,Marina_Pontificia,Marina_Pontificia,Marina_Pontificia,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
TUS,army,Esercito_del_Granducato_di_Toscana,Esercito_del_Granducato_di_Toscana,Esercito_del_Granducato_di_Toscana,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
TUS,fleet,Marina_del_Granducato_di_Toscana,Marina_del_Granducato_di_Toscana,Marina_del_Granducato_di_Toscana,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
LUC,army,Esercito_Ducale,Esercito_Ducale,Esercito_Ducale,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
MOD,army,Esercito_del_Ducato_di_Modena_e_Reggio,Esercito_del_Ducato_di_Modena_e_Reggio,Esercito_del_Ducato_di_Modena_e_Reggio,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
PAR,army,Truppe_Reali_Parmensi,Truppe_Reali_Parmensi,Truppe_Reali_Parmensi,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
NET,fleet,cleanup2d3b_net_naval_2,Convoy and Mediterranean Squadron,Convoy and Mediterranean Squadron,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
NET,army,Koninklijk_Nederlands_Leger,Koninklijk_Nederlands_Leger,Koninklijk_Nederlands_Leger,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
NET,fleet,cleanup2d3b_net_naval_1,Amsterdam and North Sea Squadron,Amsterdam and North Sea Squadron,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
BEO,army,Armee_Belge,Armee_Belge,Armee_Belge,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
POR,fleet,cleanup2d3b_por_naval_2,South Atlantic Squadron,South Atlantic Squadron,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
POR,army,Exercito_Portugues,Exercito_Portugues,Exercito_Portugues,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
POR,fleet,cleanup2d3b_por_naval_1,Lisbon Squadron,Lisbon Squadron,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SPA,fleet,cleanup2d3b_spa_naval_3,Escuadra de América,Escuadra de América,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SPA,army,cleanup2d3b_spa_land_2,Ejército Peninsular del Sur,Ejército Peninsular del Sur,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SPA,army,cleanup2d3b_spa_land_1,Ejército Peninsular del Norte,Ejército Peninsular del Norte,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SPA,army,cleanup2d3b_spa_land_3,Comandos de Ultramar,Comandos de Ultramar,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SPA,fleet,cleanup2d3b_spa_naval_1,Escuadra de Cádiz,Escuadra de Cádiz,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SPA,fleet,cleanup2d3b_spa_naval_2,Escuadra de Cartagena,Escuadra de Cartagena,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
UBD,army,cleanup2d3e_r1_ubd_land_1,Baltische Landwehr,Baltische Landwehr,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
BHU,army,cleanup2d3b_bhu_land_1,Druk Gyalpo'i Mak,Druk Gyalpo'i Mak,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
BUK,army,cleanup2d3b_buk_land_1,Buxoro Qoʻshini,Buxoro Qoʻshini,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
COB,army,cleanup2d3b_cob_land_1,Herzoglich Sachsen-Coburg-Gothaische Armee,Herzoglich Sachsen-Coburg-Gothaische Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
GAL,army,cleanup2d3b_gal_land_1,Armia Galicyjsko-Lodomeryjska,Armia Galicyjsko-Lodomeryjska,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
HOH,army,cleanup2d3b_hoh_land_1,Fürstlich Hohenzollernsche Armee,Fürstlich Hohenzollernsche Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
KHI,army,cleanup2d3b_khi_land_1,Xiva Qoʻshini,Xiva Qoʻshini,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
KOK,army,cleanup2d3b_kok_land_1,Qoʻqon Qoʻshini,Qoʻqon Qoʻshini,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
KOR,army,cleanup2d3b_kor_land_1,Joseon O Gunyeong,Joseon O Gunyeong,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
KZH,army,cleanup2d3b_kzh_land_1,Kişi Jüz Sarbazdary,Kişi Jüz Sarbazdary,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
MEI,army,cleanup2d3b_mei_land_1,Herzoglich Sachsen-Meiningische Armee,Herzoglich Sachsen-Meiningische Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
MST,army,cleanup2d3b_mst_land_1,Großherzoglich Mecklenburg-Strelitzsche Armee,Großherzoglich Mecklenburg-Strelitzsche Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
NEP,army,cleanup2d3b_nep_land_1,Nepālī Gorkhālī Fauj,Nepālī Gorkhālī Fauj,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
OZH,army,cleanup2d3b_ozh_land_1,Orta Jüz Sarbazdary,Orta Jüz Sarbazdary,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SCW,army,cleanup2d3b_scw_land_1,Schwarzburgisches Heer,Schwarzburgisches Heer,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SIK,army,cleanup2d3b_sik_land_1,Sikkim Chogyal's Guard,Sikkim Chogyal's Guard,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
SWI,army,cleanup2d3b_swi_land_1,Schweizer Armee,Schweizer Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
TIB,army,cleanup2d3b_tib_land_1,Bod dmag,Bod dmag,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
WEI,army,cleanup2d3b_wei_land_1,Großherzoglich Sachsen-Weimar-Eisenachische Armee,Großherzoglich Sachsen-Weimar-Eisenachische Armee,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,00_military_formations_europe.txt
USA,army,cleanup2d3b_usa_land_1,Continental Army,Continental Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,01_military_formations_north_america.txt
USA,fleet,cleanup2d3b_usa_naval_1,Continental Squadron,Continental Squadron,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,01_military_formations_north_america.txt
HAI,army,ArmeeIndigene,ArmeeIndigene,ArmeeIndigene,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,01_military_formations_north_america.txt
CUB,army,MiliciasdeCuba,MiliciasdeCuba,MiliciasdeCuba,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,01_military_formations_north_america.txt
PCO,army,MiliciasDiciplinadas,MiliciasDiciplinadas,MiliciasDiciplinadas,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,01_military_formations_north_america.txt
HBC,army,cleanup2d3b_hbc_land_1,Hudson's Bay Company Field Department,Hudson's Bay Company Field Department,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,01_military_formations_north_america.txt
MKT,army,cleanup2d3b_mkt_land_1,Guardia de la Mosquitia,Guardia de la Mosquitia,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,01_military_formations_north_america.txt
BRZ,army,Exrcito_Imperial_Brasileiro,Exrcito_Imperial_Brasileiro,Exrcito_Imperial_Brasileiro,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,02_military_formations_south_america.txt
BRZ,fleet,Armada_Nacional,Armada_Nacional,Armada_Nacional,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,02_military_formations_south_america.txt
SC4,army,Ejrcito_Argentino,Ejrcito_Argentino,Ejrcito_Argentino,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,02_military_formations_south_america.txt
SC4,fleet,Armada_Argentina,Armada_Argentina,Armada_Argentina,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,02_military_formations_south_america.txt
SC2,army,Ejrcito_del_Ecuador,Ejrcito_del_Ecuador,Ejrcito_del_Ecuador,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,02_military_formations_south_america.txt
SC2,army,Ejrcito_de_la_Nueva_Granada,Ejrcito_de_la_Nueva_Granada,Ejrcito_de_la_Nueva_Granada,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,02_military_formations_south_america.txt
SC2,army,Ejrcito_de_Venezuela,Ejrcito_de_Venezuela,Ejrcito_de_Venezuela,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,02_military_formations_south_america.txt
TUN,army,cleanup2d3b_tun_land_1,Jaysh Tūnis,Jaysh Tūnis,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
TUN,fleet,Bahriat_alTuwnusia,Bahriat_alTuwnusia,Bahriat_alTuwnusia,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
TRI,army,cleanup2d3b_tri_land_1,Jaysh Ṭarābulus al-Gharb,Jaysh Ṭarābulus al-Gharb,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
TRI,fleet,Escadre_de_Tripoli,Escadre_de_Tripoli,Escadre_de_Tripoli,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
MAS,army,Jaish_alMohammadi,Jaish_alMohammadi,Jaish_alMohammadi,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
AIT,army,cleanup2d3b_ait_land_1,Igelḍan n At Ɛebbas,Igelḍan n At Ɛebbas,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
CON,army,cleanup2d3b_con_land_1,Jaysh Qusanṭīna,Jaysh Qusanṭīna,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
DFR,army,cleanup2d3b_dfr_land_1,Jaysh Dār Fūr,Jaysh Dār Fūr,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
MOR,army,cleanup2d3b_mor_land_1,Jaysh al-Maghrib,Jaysh al-Maghrib,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
TUG,army,cleanup2d3b_tug_land_1,Jaysh Tuggurt,Jaysh Tuggurt,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,03_military_formations_north_africa.txt
IR1,army,cleanup2d3e_r1_ir1_land_1,Jaysh Mamalik al-Iraq,Jaysh Mamalik al-Iraq,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
TUR,army,cleanup2d3b_tur_land_1,KapÄ±kulu and Capital Army,KapÄ±kulu and Capital Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
TUR,army,cleanup2d3b_tur_land_2,Rumelian Army,Rumelian Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
TUR,army,cleanup2d3b_tur_land_3,Anatolian Army,Anatolian Army,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
TUR,army,cleanup2d3b_tur_land_4,Frontier Garrison Command,Frontier Garrison Command,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
TUR,fleet,Donanmay_Humyn,Donanmay_Humyn,Donanmay_Humyn,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
OMA,fleet,Bahriat_alMasqat,Bahriat_alMasqat,Bahriat_alMasqat,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
OMA,army,cleanup2d3e_r1_oma_land_1,Jaysh Uman,Jaysh Uman,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
PER,army,cleanup2d3e_r1_per_land_1,Sepah-e Iran,Sepah-e Iran,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
DUR,army,cleanup2d3e_r1_dur_land_1,Lashkar-e Shahi-ye Durrani,Lashkar-e Shahi-ye Durrani,NO,NATIVE_OR_ROMANIZED_PROPER_NAME,NO,04_military_formations_middle_east.txt
