record_id,tag,formation,hq_region,current_2d4_general,regional_source,regional_decision,regional_candidate,global_override,final_decision,final_historical_character,reuse_existing_character,birth_date_source_value,birth_date_precision,birth_place_source_value,mapped_v3_origin_state,culture_final,religion_final,dna_action,historical_profile_action,notes
GEN1776-030,CHC,Murtazeki,region_russia,DEFAULT_TEMPLATE_PROCEDURAL,2D5D+2D5G,KEEP_PROCEDURAL | KEEP_PROCEDURAL,PROCEDURAL_GENERAL,KEEP_PROCEDURAL collective structure; Murtazeki nomenclature debt retained,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-031,BAD,Groherzoglich_Badische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-032,WUR,Kniglich_Wrttembergische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-033,SAX,Kniglich_Schsische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,Heinrich Christoph Graf von Baudissin,,IMPLEMENT_HISTORICAL,Heinrich Christoph von Baudissin,NO,1709-07-09,DAY,Schleswig,STATE_SCHLESWIG_HOLSTEIN,north_german,Lutheran/Protestant,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-034,BAV,I_ArmeeKorps,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-035,HEK,Kurfrstlich_Hessische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-036,HES,Groherzoglich_Hessische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-037,NAS,Herzoglich_Nassauische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-038,HAN,Kniglich_Hannoversche_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,ACCEPT_REPLACE_PROCEDURAL,August Friedrich Freiherr von Spörcken,,IMPLEMENT_HISTORICAL,August Friedrich von Spörcken,NO,1698-08-28,DAY,Exact birthplace not pinned down in the consulted biography; family/service context in the Lüneburg-Harburg/Hanoverian sphere,STATE_HANNOVER,north_german,Evangelical/Protestant,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-039,MEC,Groherzoglich_MecklenburgischSchwerinsche_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-040,OLD,Groherzoglich_Oldenburgische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-041,HAM,Hamburger_Burgermilitar,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-042,BRE,Bremer_Stadtmilitar,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-043,LUB,Lubecker_Militar,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-044,FRM,Linienbataillon_Frankfurt,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-045,WLD,Waldecksches_Bataillon,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-046,LUX,Luxemburger_Miliz,region_western_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B+2D5C,KEEP_PROCEDURAL | KEEP_PROCEDURAL,,KEEP_PROCEDURAL; 2D5B/2D5C convergence,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-047,SWE,Kungliga_Svenska_Armn,region_northern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5D,IMPLEMENT_HISTORICAL,Georg Magnus Sprengtporten,,IMPLEMENT_HISTORICAL,Georg Magnus Sprengtporten,NO,1740-08-16 (SBL source-stated date; Swedish calendar conversion not silently altered),DAY,"Borgå rural parish (Porvoo), Nyland, Finland",STATE_UUSIMAA,Swedish / Finland-Swedish,Lutheran (Swedish state-church context; later Protestant burial context),DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-048,DENNOR,Hren,region_northern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5D,KEEP_PROCEDURAL,PROCEDURAL_GENERAL,,KEEP_EXISTING_PROCEDURAL,,NO,,,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-049,SCH,Schleswigsche_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-050,HOL,Holsteinische_Armee,region_central_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-051,WAL,Armata_rii_Romneti,region_balkans,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,KEEP_PROCEDURAL,NONE — no defensible named individual at 1776-01-01,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,UNRESOLVED,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,2D5M researched closure: KEEP_PROCEDURAL; no defensible dated mare spatar holder.
GEN1776-052,MON,Montengrin_Raiders,region_balkans,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,NONE — no defensible named individual at 1776-01-01,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,UNRESOLVED,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,2D5M researched closure: PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE; clan/tribal command.
GEN1776-053,MOL,Armata_Principatului_Moldovei,region_balkans,DEFAULT_TEMPLATE_PROCEDURAL,2D5M,KEEP_PROCEDURAL,NONE — no defensible named individual at 1776-01-01,,KEEP_EXISTING_PROCEDURAL,,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,UNRESOLVED,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,2D5M researched closure: KEEP_PROCEDURAL; no defensible dated mare hatman holder.
GEN1776-054,SIC,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-055,SIC,Guardia_Reale,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-056,SAR,I_Corpo_dArmata,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-057,PAP,Esercito_dello_Stato_della_Chiesa,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-058,TUS,Esercito_del_Granducato_di_Toscana,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-059,LUC,Esercito_Ducale,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-060,MOD,Esercito_del_Ducato_di_Modena_e_Reggio,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-061,PAR,Truppe_Reali_Parmensi,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5C,KEEP_PROCEDURAL,,,KEEP_EXISTING_PROCEDURAL,,NO,,UNKNOWN,,,,,NOT_APPLICABLE,PRESERVE_2D4_PROCEDURAL_PROFILE,
GEN1776-062,NET,Koninklijk_Nederlands_Leger,region_western_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,"Lodewijk Ernst, hertog van Brunswijk-Wolfenbüttel",,IMPLEMENT_HISTORICAL,Lodewijk Ernst van Brunswijk-Wolfenbüttel,NO,1718-09-25,DAY,Wolfenbüttel,STATE_BRUNSWICK,north_german,protestant,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-063,BEO,Armee_Belge,region_western_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,"Joseph-Jean-François, comte de Ferraris",,IMPLEMENT_HISTORICAL,Joseph-Jean-François de Ferraris,NO,1726-04-20,DAY,"Lunéville, Lorraine",STATE_ALSACE_LORRAINE,french (Lorraine francophone; à arbitrer avec la culture de service),catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-064,POR,Exercito_Portugues,region_southern_europe,DEFAULT_TEMPLATE_PROCEDURAL,2D5B,IMPLEMENT_HISTORICAL,"Duarte António da Câmara, 2.º marquês de Tancos",,IMPLEMENT_HISTORICAL,Duarte António da Câmara,NO,1693,YEAR,"Ponta Delgada, São Miguel, Açores (lieu rapporté par la tradition biographique; jour/mois volontairement non promus)",STATE_AZORES,portuguese,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,CREATE_HISTORICAL_PROFILE,
GEN1776-065,SPA,cleanup2d3b_spa_land_2,region_southern_europe,Antonio Ricardos,2D5B,KEEP_EXISTING_HISTORICAL,Antonio Ricardos Carrillo de Albornoz,,IMPLEMENT_HISTORICAL,Antonio Ricardos,NO,1727-09-12,DAY,"Barbastro, Aragón",STATE_ARAGON,spanish,catholic,DNA_PENDING_FUTURE_PORTRAIT_PHASE,REBUILD_2D4_HISTORICAL_PROFILE,
