tag,country_name,state,population_relevant,incorporated,military_law,technology_factor,existing_modifier_factor,native_conscription_rate,native_max_capacity,allocated_target,implemented_capacity,shortfall,shortfall_reason,temporary_modifier_candidate,confidence,notes
AUS,Austria,STATE_AUSTRIA,604320,YES,law_professional_army,1.0,NONE,0.010000,6,6,6,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2014400; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_BOHEMIA,1245123,YES,law_professional_army,1.0,NONE,0.010000,12,43,12,31,LAW,NO,MEDIUM_HIGH_STATIC,Total population=4150412; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
AUS,Austria,STATE_BUKOVINA,111723,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=372410; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_CROATIA,248397,YES,law_professional_army,1.0,NONE,0.010000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=827992; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_EAST_SWITZERLAND,9000,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=30000; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_LOMBARDY,713217,YES,law_professional_army,1.0,NONE,0.010000,7,7,7,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2377392; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_MORAVIA,508247,YES,law_professional_army,1.0,NONE,0.010000,5,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1696408; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_SLAVONIA,109868,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=366228; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_SLOVENIA,145736,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=485788; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_STYRIA,221038,YES,law_professional_army,1.0,NONE,0.010000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=736796; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_TYROL,167791,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=559304; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AUS,Austria,STATE_UPPER_SILESIA,120596,YES,law_professional_army,1.0,NONE,0.010000,1,1,1,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=401988; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
AWA,Awadh,STATE_AWADH,1206055,YES,law_professional_army,1.0,church_law=-0.4,0.006000,7,55,7,48,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=4824221; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BAD,Baden,STATE_BADEN,325350,YES,law_professional_army,1.0,NONE,0.010000,3,4,3,1,LAW,NO,MEDIUM_HIGH_STATIC,Total population=1301400; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BAL,Bali,STATE_SUNDA_ISLANDS,214473,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,5,8,5,3,TECH,NO,MEDIUM_HIGH_STATIC,Total population=837892; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BAV,Bavaria,STATE_BAVARIA,435501,YES,law_professional_army,1.0,NONE,0.010000,4,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1742004; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BAV,Bavaria,STATE_FRANCONIA,469048,YES,law_professional_army,1.0,NONE,0.010000,4,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1876192; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BAV,Bavaria,STATE_RHINELAND,139398,YES,law_professional_army,1.0,NONE,0.010000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=557592; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BEN,Benin,STATE_BENIN,465947,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,11,24,11,13,TECH,NO,MEDIUM_HIGH_STATIC,Total population=1677788; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BEO,Austrian Netherlands (BEO/Belgium),STATE_FLANDERS,599586,YES,law_professional_army,1.0,NONE,0.010000,5,12,0,12,STRUCTURAL,NO,MEDIUM_HIGH_STATIC,Total population=1998620; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BEO,Austrian Netherlands (BEO/Belgium),STATE_GELRE,11735,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=39118; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
BEO,Austrian Netherlands (BEO/Belgium),STATE_WALLONIA,325022,YES,law_professional_army,1.0,NONE,0.010000,3,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1083407; workforce formula applies base/pop-type ratio plus law_women_own_property; law cap=50; techs=NONE.
BGI,Bagirmi,STATE_WADDAI,36998,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,3,0,3,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=139992; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BHN,Bahrain,STATE_ABU_DHABI,7932,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=29300; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BHN,Bahrain,STATE_LARISTAN,1867,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=7238; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BHU,Bhutan,STATE_EASTERN_HIMALAYAS,39100,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,2,0,2,TECH,NO,MEDIUM_HIGH_STATIC,Total population=156400; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BHV,Bhavnagar,STATE_GUJARAT,1333759,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,25,4,4,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=5335039; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BIC,East India,STATE_AWADH,920613,YES,law_professional_army,1.0,NONE,0.010000,9,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=3682454; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BIC,East India,STATE_BIHAR,3241947,YES,law_professional_army,1.0,NONE,0.010000,32,10,10,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=12241311; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BIC,East India,STATE_BUNDELKHAND,120602,YES,law_professional_army,1.0,NONE,0.010000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=482410; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BIC,East India,STATE_CIRCARS,775563,YES,law_professional_army,1.0,NONE,0.010000,7,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=3102255; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BIC,East India,STATE_EAST_BENGAL,5656668,YES,law_professional_army,1.0,NONE,0.010000,50,16,16,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=21556674; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BIC,East India,STATE_PEGU,480,NO,law_professional_army,1.0,unincorporated=-0.5,0.005000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1923; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BIC,East India,STATE_WEST_BENGAL,4474844,YES,law_professional_army,1.0,NONE,0.010000,44,14,14,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=17269275; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BLG,Bulungan,STATE_EAST_BORNEO,27000,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,2,0,2,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=100000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BLG,Bulungan,STATE_NORTH_BORNEO,3150,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=12300; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BNJ,Banjar,STATE_EAST_BORNEO,47398,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,4,1,3,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=159592; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BNY,Bunyoro,STATE_UGANDA,64500,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,3,1,2,TECH,NO,MEDIUM_HIGH_STATIC,Total population=246000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BOR,Bornu,STATE_BORNU,162247,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,3,18,3,15,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=635988; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BOR,Bornu,STATE_CHAD,22250,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=82000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BOR,Bornu,STATE_OUTER_HAUSALAND,28727,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=111606; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BOR,Bornu,STATE_WADDAI,8000,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=29000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BRA,Brunswick,STATE_BRUNSWICK,56100,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=224400; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRD,Burundi,STATE_TANGANYIKA,121001,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,6,2,4,TECH,NO,MEDIUM_HIGH_STATIC,Total population=468004; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BRE,Bremen,STATE_ELBE,26501,YES,law_professional_army,1.0,NONE,0.010000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=106004; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRG,Borgu,STATE_DAHOMEY,53522,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,3,1,2,TECH,NO,MEDIUM_HIGH_STATIC,Total population=207088; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BRG,Borgu,STATE_HAUSALAND,10000,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=40000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BRU,Brunei,STATE_NORTH_BORNEO,57598,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,1,2,1,1,TECH,NO,MEDIUM_HIGH_STATIC,Total population=212392; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BRZ,Brazil,STATE_BAHIA,219690,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=731500; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_CEARA,59213,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=211451; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_GOIAS,21506,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=73918; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_MARANHAO,46381,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=148249; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_MINAS_GERAIS,227801,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=729904; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_PARA,92068,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=302538; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_PARAIBA,39431,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=135764; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_PARANA,10672,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=36566; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_PERNAMBUCO,218145,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=707769; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_PIAUI,29619,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=94932; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_RIO_DE_JANEIRO,211990,YES,law_professional_army,1.0,church_law=-0.4,0.006000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=582808; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_RIO_GRANDE_DO_NORTE,24547,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=87948; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_RIO_GRANDE_DO_SUL,61279,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=202943; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_SANTA_CATARINA,18691,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=61753; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BRZ,Brazil,STATE_SAO_PAULO,105252,YES,law_professional_army,1.0,church_law=-0.4,0.006000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=334077; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=50; techs=NONE.
BST,Basutoland,STATE_VRYSTAAT,6775,YES,law_peasant_levies,1.0,NONE,0.040000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=27100; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BST,Basutoland,STATE_ZULULAND,28974,YES,law_peasant_levies,1.0,NONE,0.040000,1,6,1,5,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=107996; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BTN,Buton,STATE_CELEBES,16236,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,2,0,2,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=56567; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BUG,Buganda,STATE_UGANDA,196672,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,4,12,4,8,TECH,NO,MEDIUM_HIGH_STATIC,Total population=767188; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BUK,Bukhara,STATE_MERZ,16591,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=56746; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BUK,Bukhara,STATE_TAJIKISTAN,88359,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,2,2,2,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=331435; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
BUK,Bukhara,STATE_UZBEKIA,286646,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,6,22,6,16,TECH,NO,MEDIUM_HIGH_STATIC,Total population=1024095; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
BUR,Burma,STATE_KACHIN,164792,YES,law_peasant_levies,1.2,church_law=-0.4,0.032000,5,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=638171; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=mandatory_service.
BUR,Burma,STATE_MANDALAY,274533,YES,law_peasant_levies,1.2,church_law=-0.4,0.032000,8,8,8,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=1047934; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=mandatory_service.
BUR,Burma,STATE_PEGU,338639,YES,law_peasant_levies,1.2,church_law=-0.4,0.032000,10,41,10,31,TECH,NO,MEDIUM_HIGH_STATIC,Total population=1318644; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=mandatory_service. Country-level residual recorded once; no unit attempted above state capacity.
BUR,Burma,STATE_SHAN_STATES,124731,YES,law_peasant_levies,1.2,church_law=-0.4,0.032000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=468725; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=mandatory_service.
BUR,Burma,STATE_TENASSERIM,94424,YES,law_peasant_levies,1.2,church_law=-0.4,0.032000,3,3,3,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=357696; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=mandatory_service.
CAM,Cambodia,STATE_CAMBODIA,188654,YES,law_peasant_levies,1.0,church_law=-0.4,0.024000,4,12,4,8,TECH,NO,MEDIUM_HIGH_STATIC,Total population=714412; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
CHC,Chechnya,STATE_DAGESTAN,51077,YES,law_national_militia,1.0,church_law=-0.4,0.030000,1,24,1,23,POPULATION,NO,MEDIUM_HIGH_STATIC,Total population=204309; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=100; techs=NONE. Country-level residual recorded once; no unit attempted above state capacity.
CHC,Chechnya,STATE_NORTH_CAUCASUS,26500,YES,law_national_militia,1.0,church_law=-0.4,0.030000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=106000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=100; techs=NONE.
CHI,China,STATE_ALTAI,7750,NO,law_peasant_levies,1.0,unincorporated=-0.5,0.020000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=31000; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_ALXA,11197,NO,law_peasant_levies,1.0,unincorporated=-0.5,0.020000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=44788; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_AMUR,20653,NO,law_peasant_levies,1.0,unincorporated=-0.5,0.020000,0,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=82613; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_BEIJING,3757253,YES,law_peasant_levies,1.0,NONE,0.040000,25,4,4,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=15029015; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_CHONGQING,5023202,YES,law_peasant_levies,1.0,NONE,0.040000,25,4,4,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=20092808; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_DZUNGARIA,60050,NO,law_peasant_levies,1.0,unincorporated=-0.5,0.020000,1,0,0,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=240200; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_EASTERN_HUBEI,3381224,YES,law_peasant_levies,1.0,NONE,0.040000,25,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=13524896; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_FORMOSA,725375,YES,law_peasant_levies,1.0,NONE,0.040000,25,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=2901500; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_FUJIAN,4081208,YES,law_peasant_levies,1.0,NONE,0.040000,25,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=16324832; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
CHI,China,STATE_GANSU,1607410,YES,law_peasant_levies,1.0,NONE,0.040000,25,5,5,0,NONE,NO,MEDIUM_HIGH_STATIC,Total population=6429641; workforce formula applies base/pop-type ratio plus law_no_womens_rights; law cap=25; techs=NONE.
