"tag","country_name","current_frigates","current_ship_of_the_line","current_other_ships","current_total_crew","current_naval_admin","historical_registered_hulls","historical_ready_or_commissioned_hulls","historical_active_personnel","hull_based_frigate_equivalent","hull_based_sol_equivalent","crew_based_frigate_equivalent","crew_based_sol_equivalent","readiness_factor","readiness_rationale","target_frigates_low","target_frigates_high","target_frigates_recommended","target_sol_low","target_sol_high","target_sol_recommended","target_other_ships","target_total_crew","target_naval_admin_levels","target_fleet_count","current_to_target_delta","structural_defer","structural_resolution","conversion_confidence","notes"
"BAD","Baden","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BAL","Bali","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"BAV","Bavaria","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BEN","Benin","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BEO","Austrian Netherlands (BEO/Belgium)","1","0","0","500","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","Habsburg component receives no independent blue-water fleet.","0","0","0","0","0","0","0","0","0","0","-1","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Austrian Netherlands are Habsburg lands; military establishment belongs to the Habsburg monarchy, not an independent Belgian army. Habsburg component receives no independent blue-water fleet."
"BGI","Bagirmi","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BHN","Bahrain","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BHU","Bhutan","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BHV","Bhavnagar","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BIC","East India","0","0","0","0","0","","Company maritime assets and transports existed, but the 1776 tag's primary military power was the Presidency armies; Royal Navy assets must not be double-counted.","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","Do not manufacture a sovereign East India Company battlefleet from British imperial naval totals. No packet evidence or current combat fleet supports creating a standing navy."
"BLG","Bulungan","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"BNJ","Banjar","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"BNY","Bunyoro","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BOR","Bornu","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BRA","Brunswick","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BRD","Burundi","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BRE","Bremen","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BRG","Borgu","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BRU","Brunei","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"BRZ","Brazil","8","1","0","4800","0","","","","","","","","","Portuguese imperial allocation; independent fleet target withheld.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Brazil is Portuguese colonial territory; local garrisons/naval stations must be attributed within Portuguese imperial structure. Portuguese imperial allocation; independent fleet target withheld."
"BST","Basutoland","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BTN","Buton","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"BUG","Buganda","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BUK","Bukhara","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"BUR","Burma","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"CAM","Cambodia","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"CHC","Chechnya","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"CHI","China","15","0","0","7500","0","","","","8","0","","","QUALITATIVE_RECONCILIATION","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; coastal security/junk combat capacity represented as frigate equivalents.","6","10","8","0","0","0","0","4000","4","2","-7","NO","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; coastal security/junk combat capacity represented as frigate equivalents."
"CHP","Champasak","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"CIR","Circassia","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"CMI","Chiang Mai","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate. No packet evidence or current combat fleet supports creating a standing navy."
"COB","Saxe-Coburg-Gotha","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"COC","Cochin","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"CON","Constantine","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"COO","Cooch Behar","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"CRI","Crimea","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"CUB","Cuba","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Cuba is Spanish imperial territory; local garrison/naval assets are not an independent sovereign force. Independent fleet target withheld pending structural resolution."
"DAH","Dahomey","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"DAI","Dai Nam","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","MAP_REWORK_DEFERRED","VERY_LOW","The 1776 Vietnamese political-military landscape was divided; a single Dai Nam national force is structurally unsafe. Independent fleet target withheld pending structural resolution."
"DEI","East Indies","1","0","0","500","2","","VOC armed shipping and company military-maritime assets, not a sovereign national navy","Company-wide workforce included a large military share; not equivalent to ship crews alone","2","0","","","QUALITATIVE_RECONCILIATION","VOC company patrol/escort capacity only; merchant hulls and Dutch state navy excluded.","1","3","2","0","0","0","0","1000","1","1","1","NO","","LOW","Company warfare and government were real, but V3 fleet classes require a bespoke company abstraction. VOC company patrol/escort capacity only; merchant hulls and Dutch state navy excluded."
"DENNOR","Denmark-Norway","8","6","0","8800","9","","","national maritime labour pool about 40,000 (not naval payroll)","8","6","","","QUALITATIVE_RECONCILIATION","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; current 14-unit regional mix retained; 40000 maritime labour pool not converted.","6","10","8","4","8","6","0","8800","9","1","0","NO","","LOW","Current 14 V3 ship units are plausible only as an abstraction pending ship-list evidence. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; current 14-unit regional mix retained; 40000 maritime labour pool not converted."
"DFR","Darfur","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"DUR","Afghanistan","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"ETH","Ethiopia","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"EZO","Ezochi","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"FRA","France","47","27","0","45100","24","","23 ships of the line in condition on 1 Jan 1776 (derived from 37 on 1 Jan 1777, +14 year-on-year)","","18","23","","","1.00 of 1 Jan ready SOL anchor","23 SOL in condition on 1 Jan 1776 anchors the recommendation; frigates held below wartime expansion.","14","22","18","21","25","23","0","27400","28","3","-33","NO","","HIGH","Current fork 27 V3 SOL is close to the readiness anchor in raw count, but V3 ship units are abstractions and current 47 frigates/crew capacity is likely too wartime-heavy for Jan 1776. 23 SOL in condition on 1 Jan 1776 anchors the recommendation; frigates held below wartime expansion."
"FRM","Frankfurt","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"FTJ","Futa Jallon","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"FTR","Futa Toro","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"GAL","Galicia-Lodomeria","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Galicia-Lodomeria is Habsburg territory; its troops belong to Habsburg establishment. Independent fleet target withheld pending structural resolution."
"GAR","Garhwal","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"GBR","Great Britain","110","86","0","123800","33","about 270 warships","82 at sea or in condition by June 1776","peacetime manpower below wartime maximum; exact Jan-1776 total not fixed here","42","82","","","0.90-1.00 of ready/in-condition SOL anchor","0.90-1.00 of 82-SOL June readiness anchor; total 270 registered hulls not activated wholesale.","36","48","42","72","82","78","0","83400","84","7","-76","NO","","HIGH","Royal Navy remains the unique global first-rank benchmark. Current fork 196 V3 ship units/123,800 crew must be converted against active capacity, not inventory alone. 0.90-1.00 of 82-SOL June readiness anchor; total 270 registered hulls not activated wholesale."
"GEN","Most Serene Republic of Genoa","5","0","0","2500","3","","","","3","0","","","QUALITATIVE_RECONCILIATION","Small commerce-protection frigate abstraction.","2","4","3","0","0","0","0","1500","2","1","-2","NO","","LOW","Small commerce-protection frigate abstraction."
"GLD","Geledi","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"GR3","Sicily","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"GR5","Santo Domingo","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","ALLOCATE_FROM_OVERLORD_POOL","VERY_LOW","Saint-Domingue is a French colony; do not treat its garrisons/militia as an independent national army/navy. Independent fleet target withheld pending structural resolution."
"GWA","Gwalior","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HAI","Haiti","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","NO_INDEPENDENT_1776_FORCE","VERY_LOW","Independent Haiti does not exist in 1776; military forces belong to colonial Saint-Domingue structures. Independent fleet target withheld pending structural resolution."
"HAM","Hamburg","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HAN","Hanover","1","0","0","500","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No independent Hanoverian blue-water fleet; remove current unsupported frigate.","0","0","0","0","0","0","0","0","0","0","-1","NO","","LOW","No independent Hanoverian blue-water fleet; remove current unsupported frigate."
"HAU","Gobir","0","0","0","0","0","","","","0","0","","","QUALITATIVE_RECONCILIATION","No packet evidence or current combat fleet supports creating a standing navy.","0","0","0","0","0","0","0","0","0","0","0","NO","","LOW","No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. No packet evidence or current combat fleet supports creating a standing navy."
"HAW","Hawaii","0","0","0","0","0","","","","","","","","","Independent fleet target withheld pending structural resolution.","","","","","","","","","","0","","YES","LOCAL_MILITIA_ONLY","VERY_LOW","The fork tag does not map cleanly to an independent 1776 sovereign navy. Imperial/colonial/local vessels must be attributed before V3 conversion. Independent fleet target withheld pending structural resolution."
