"section","key","reference_present","fork_present","reference_value","fork_value_before","final_value","action"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_SUPPLY_SHORTAGE_EFFECT_THRESHOLD","YES","YES","0.25","0.05","0.25","REPLACE_STALE_VALUE"
"NMilitary","MILITARY_FORMATION_WEEKLY_MAX_UNIT_UPGRADES_ARMY","YES","YES","0.1","0.1","0.1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_WEEKLY_MAX_UNIT_UPGRADES_FLEET","YES","YES","0.05","0.05","0.05","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FROMATION_MAX_RESUPPLY_RATIO_PER_WEEK","YES","NO","0.1","","0.1","ADD_REFERENCE_KEY"
"NMilitary","MIN_MANPOWER_CASUALTY_PER_ROUND","YES","YES","5","5","5","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MIN_MOBILIZATION_PER_DAY","YES","YES","0.05","0.05","0.05","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MIN_OFFENSE_DEFENSE","YES","YES","1","1","1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MIN_USABLE_MANPOWER","YES","YES","100","100","100","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MIN_VARIABLE_DISTRIBUTION_PER_POP","YES","YES","0","0","0","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MOBILIZATION_INFRASTRUCTURE_FACTOR","YES","YES","0.01","0.01","0.01","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MOBILIZATION_OPTION_DIFFERENCE_ORGANIZATION_IMPACT","YES","YES","20","20","20","KEEP_REFERENCE_UNCHANGED"
"NMilitary","NAVAL_MISSION_BASE_MAX_SEA_REGIONS","YES","NO","2","","2","ADD_REFERENCE_KEY"
"NMilitary","NAVAL_MISSION_SUPPLY_COST_FACTOR_SCALING","YES","NO","0.1","","0.1","ADD_REFERENCE_KEY"
"NMilitary","NAVAL_MISSION_TYPE_INTERCEPT","YES","NO","""naval_mission_type_intercept""","","""naval_mission_type_intercept""","ADD_REFERENCE_KEY"
"NMilitary","NAVAL_MISSION_TYPE_PROJECT_POWER","YES","NO","""naval_mission_type_project_power""","","""naval_mission_type_project_power""","ADD_REFERENCE_KEY"
"NMilitary","OFFICERS_TO_SERVICEMEN_RATIO_EFFECTIVENESS_FACTOR_MAX","YES","YES","0","0","0","KEEP_REFERENCE_UNCHANGED"
"NMilitary","OFFICERS_TO_SERVICEMEN_RATIO_EFFECTIVENESS_FACTOR_MIN","YES","YES","-0.5","-0.5","-0.5","KEEP_REFERENCE_UNCHANGED"
"NMilitary","OFFICERS_TO_SERVICEMEN_RATIO_THRESHOLD","YES","YES","0.75","0.75","0.75","KEEP_REFERENCE_UNCHANGED"
"NMilitary","POWER_PROJECTION_DIVISOR","YES","YES","1000","1000","1000","KEEP_REFERENCE_UNCHANGED"
"NMilitary","RECENTLY_PROMOTED_YEARS","YES","NO","5","","5","ADD_REFERENCE_KEY"
"NMilitary","SAILORS_PER_ASSIGNMENT_SLOT","YES","NO","100","","100","ADD_REFERENCE_KEY"
"NMilitary","SAILORS_PER_BUILDING_LEVEL","YES","NO","1000","","1000","ADD_REFERENCE_KEY"
"NMilitary","SHIP_COMBAT_POWER_CREW_DAMAGE_MULTIPLIER","YES","NO","0.25","","0.25","ADD_REFERENCE_KEY"
"NMilitary","SHIP_COMBAT_POWER_HULL_DAMAGE_MULTIPLIER","YES","NO","0.75","","0.75","ADD_REFERENCE_KEY"
"NMilitary","SHIP_COMBAT_POWER_SPEED_MULTIPLIER","YES","NO","3.0","","3.0","ADD_REFERENCE_KEY"
"NMilitary","SHIP_CONSTRUCTION_COST_MODIFICATION_LEVEL_FACTOR","YES","NO","1.05","","1.05","ADD_REFERENCE_KEY"
"NMilitary","SHIP_CONSTRUCTION_MAINTENANCE_DAMAGE_RATIO","YES","NO","0.2","","0.2","ADD_REFERENCE_KEY"
"NMilitary","SHIP_CONSTRUCTION_MAINTENANCE_FRACTION","YES","NO","0.0003","","0.0003","ADD_REFERENCE_KEY"
"NMilitary","SHIP_CONSTRUCTION_MAINTENANCE_MAX_HP_PENALTY_FRACTION","YES","NO","0.05","","0.05","ADD_REFERENCE_KEY"
"NMilitary","SHIP_CONSTRUCTION_MAINTENANCE_PENALTY_THRESHOLD","YES","NO","0.5","","0.5","ADD_REFERENCE_KEY"
"NMilitary","SHIP_CREW_STARTING_VETERANCY_EXPERIENCE","YES","NO","0","","0","ADD_REFERENCE_KEY"
"NMilitary","SHIP_MAINTENANCE_GOODS_TO_CONSTRUCTION_GOODS_FACTOR","YES","NO","0.002","","0.002","ADD_REFERENCE_KEY"
"NMilitary","SHIP_MAINTENANCE_SHIPYARD_PREMIUM_FACTOR","YES","NO","0.2","","0.2","ADD_REFERENCE_KEY"
"NMilitary","SHIP_MAX_VETERANCY_EXPERIENCE","YES","NO","1000","","1000","ADD_REFERENCE_KEY"
"NMilitary","SHIP_PARTICIPATE_IN_UPRISING_CREW_PERCENTAGE","YES","NO","0.33","","0.33","ADD_REFERENCE_KEY"
"NMilitary","SHIP_POWER_PROJECTION_ARMOR_MULTIPLIER","YES","NO","0.33","","0.33","ADD_REFERENCE_KEY"
"NMilitary","SHIP_POWER_PROJECTION_CREW_DAMAGE_MULTIPLIER","YES","NO","0.33","","0.33","ADD_REFERENCE_KEY"
"NMilitary","SHIP_POWER_PROJECTION_HIT_POINTS_MULTIPLIER","YES","NO","0.1","","0.1","ADD_REFERENCE_KEY"
"NMilitary","SHIP_POWER_PROJECTION_HULL_DAMAGE_MULTIPLIER","YES","NO","0.33","","0.33","ADD_REFERENCE_KEY"
"NMilitary","SHIP_TEMPLATE_DEFAULT_MODIFICATION_LEVEL","YES","NO","2","","2","ADD_REFERENCE_KEY"
"NMilitary","SHIP_UPKEEP_GOODS_DOCKED_MULT","YES","NO","-0.8","","-0.8","ADD_REFERENCE_KEY"
"NMilitary","SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR","YES","NO","0.002","","0.002","ADD_REFERENCE_KEY"
"NMilitary","SHIP_VETERANCY_BASE_EXPERIENCE_GAIN_BATTLE_DEFEAT","YES","NO","2","","2","ADD_REFERENCE_KEY"
"NMilitary","SHIP_VETERANCY_BASE_EXPERIENCE_GAIN_BATTLE_SUNK_ENEMY_SHIP","YES","NO","1","","1","ADD_REFERENCE_KEY"
"NMilitary","SHIP_VETERANCY_BASE_EXPERIENCE_GAIN_BATTLE_VICTORY","YES","NO","5","","5","ADD_REFERENCE_KEY"
"NMilitary","SHIP_VETERANCY_EXPERIENCE_DECAY_RATE","YES","NO","0.01","","0.01","ADD_REFERENCE_KEY"
"NMilitary","SHIP_VETERANCY_EXPERIENCE_MIN_DECAY","YES","NO","1","","1","ADD_REFERENCE_KEY"
"NMilitary","SUPPLY_SHIP_CONSTRUCTION_MAINTENANCE_FRACTION","YES","NO","0.0003","","0.0003","ADD_REFERENCE_KEY"
"NMilitary","SUPPLY_SHIP_MAINTENANCE_COST_PER_SHIP","YES","NO","1","","1","ADD_REFERENCE_KEY"
"NMilitary","SUPPLY_SHIP_MAINTENANCE_STOCKPILE_REMOVAL_FRACTION","YES","NO","0.05","","0.05","ADD_REFERENCE_KEY"
"NMilitary","SUPPLY_SHIP_TYPE","YES","NO","""ship_type_supply_ship""","","""ship_type_supply_ship""","ADD_REFERENCE_KEY"
"NMilitary","UNNECESSARY_PROMOTION_ARMED_FORCES_IG","YES","NO","""ig_armed_forces""","","""ig_armed_forces""","ADD_REFERENCE_KEY"
"NMilitary","UNNECESSARY_PROMOTION_PENALTY_YEARS","YES","NO","5","","5","ADD_REFERENCE_KEY"
