tag,formation,state,unit_type,state_direct_owner,state_barrack_cap,state_existing_regulars,state_target_regulars,formation_state_type_target,unit_type_allowed,hq,materialization_expected,mismatch_after,notes
VEN,cleanup2d3e_r1_ven_land_1,STATE_ISTRIA,combat_unit_type_line_infantry,YES,100,11,11,8,YES,region_southern_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_3,STATE_BUKOVINA,combat_unit_type_cannon_artillery,YES,100,35,35,4,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_3,STATE_BUKOVINA,combat_unit_type_cuirassiers,YES,100,35,35,5,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_3,STATE_BUKOVINA,combat_unit_type_line_infantry,YES,100,35,35,26,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_4,STATE_AUSTRIA,combat_unit_type_cannon_artillery,YES,100,70,70,3,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_4,STATE_AUSTRIA,combat_unit_type_cuirassiers,YES,100,70,70,5,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_4,STATE_AUSTRIA,combat_unit_type_line_infantry,YES,100,70,70,26,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_1,STATE_AUSTRIA,combat_unit_type_cannon_artillery,YES,100,70,70,4,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_1,STATE_AUSTRIA,combat_unit_type_dragoons,YES,100,70,70,5,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_1,STATE_AUSTRIA,combat_unit_type_line_infantry,YES,100,70,70,27,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_2,STATE_LOMBARDY,combat_unit_type_cannon_artillery,YES,100,35,35,4,YES,region_southern_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_2,STATE_LOMBARDY,combat_unit_type_cuirassiers,YES,100,35,35,5,YES,region_southern_europe,YES,0,R1_CAP_SAFE_PRESERVED
AUS,cleanup2d3b_aus_land_2,STATE_LOMBARDY,combat_unit_type_line_infantry,YES,100,35,35,26,YES,region_southern_europe,YES,0,R1_CAP_SAFE_PRESERVED
HUN,generalkommando_ofen,STATE_BANAT,combat_unit_type_cannon_artillery,YES,100,28,28,2,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
HUN,generalkommando_ofen,STATE_BANAT,combat_unit_type_hussars,YES,100,28,28,6,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
HUN,generalkommando_ofen,STATE_BANAT,combat_unit_type_line_infantry,YES,100,28,28,20,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
TRS,generalkommando_hermannstadt,STATE_NORTHERN_TRANSYLVANIA,combat_unit_type_cannon_artillery,YES,100,8,8,1,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
TRS,generalkommando_hermannstadt,STATE_NORTHERN_TRANSYLVANIA,combat_unit_type_line_infantry,YES,100,8,8,7,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
FRA,cleanup2d3b_fra_land_1,STATE_ALSACE_LORRAINE,combat_unit_type_cannon_artillery,YES,100,85,85,2,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_1,STATE_ALSACE_LORRAINE,combat_unit_type_lancers,YES,100,85,85,5,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_1,STATE_ALSACE_LORRAINE,combat_unit_type_line_infantry,YES,100,85,85,35,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_2,STATE_ALSACE_LORRAINE,combat_unit_type_cannon_artillery,YES,100,85,85,2,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_2,STATE_ALSACE_LORRAINE,combat_unit_type_lancers,YES,100,85,85,5,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_2,STATE_ALSACE_LORRAINE,combat_unit_type_line_infantry,YES,100,85,85,35,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_3,STATE_AQUITAINE,combat_unit_type_cannon_artillery,YES,100,41,41,2,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_3,STATE_AQUITAINE,combat_unit_type_lancers,YES,100,41,41,5,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_3,STATE_AQUITAINE,combat_unit_type_line_infantry,YES,100,41,41,34,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_4,STATE_ALSACE_LORRAINE,combat_unit_type_line_infantry,YES,100,85,85,1,YES,region_central_america,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_4,STATE_WEST_INDIES,combat_unit_type_cannon_artillery,YES,100,39,39,2,YES,region_central_america,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_4,STATE_WEST_INDIES,combat_unit_type_lancers,YES,100,39,39,4,YES,region_central_america,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
FRA,cleanup2d3b_fra_land_4,STATE_WEST_INDIES,combat_unit_type_line_infantry,YES,100,39,39,33,YES,region_central_america,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_2,STATE_BERMUDA,combat_unit_type_cannon_artillery,YES,100,11,11,1,YES,region_atlantic_coast,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_2,STATE_BERMUDA,combat_unit_type_dragoons,YES,100,11,11,1,YES,region_atlantic_coast,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_2,STATE_BERMUDA,combat_unit_type_line_infantry,YES,100,11,11,9,YES,region_atlantic_coast,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,Home_Army,STATE_EAST_ANGLIA,combat_unit_type_cannon_artillery,YES,100,29,29,1,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,Home_Army,STATE_EAST_ANGLIA,combat_unit_type_dragoons,YES,100,29,29,1,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,Home_Army,STATE_EAST_ANGLIA,combat_unit_type_line_infantry,YES,100,29,29,9,YES,region_western_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_4,STATE_EAST_ANGLIA,combat_unit_type_dragoons,YES,100,29,29,1,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_4,STATE_EAST_ANGLIA,combat_unit_type_line_infantry,YES,100,29,29,8,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_3,STATE_BAHAMAS,combat_unit_type_dragoons,YES,100,9,9,1,YES,region_central_america,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_3,STATE_BAHAMAS,combat_unit_type_line_infantry,YES,100,9,9,8,YES,region_central_america,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_5,STATE_EAST_ANGLIA,combat_unit_type_dragoons,YES,100,29,29,1,YES,region_south_india,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
GBR,cleanup2d3b_gbr_land_5,STATE_EAST_ANGLIA,combat_unit_type_line_infantry,YES,100,29,29,8,YES,region_south_india,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_1,STATE_ARKHANGELSK,combat_unit_type_cannon_artillery,YES,25,25,25,4,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_1,STATE_ARKHANGELSK,combat_unit_type_cuirassiers,YES,25,25,25,9,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_1,STATE_ARKHANGELSK,combat_unit_type_line_infantry,YES,25,25,25,12,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_1,STATE_ORYOL,combat_unit_type_line_infantry,YES,25,25,25,19,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_2,STATE_KHARKOV,combat_unit_type_line_infantry,YES,25,25,25,13,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_2,STATE_ORYOL,combat_unit_type_cannon_artillery,YES,25,25,25,4,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_2,STATE_ORYOL,combat_unit_type_cuirassiers,YES,25,25,25,2,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_2,STATE_YAROSLAVL,combat_unit_type_cuirassiers,YES,25,25,25,7,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_2,STATE_YAROSLAVL,combat_unit_type_line_infantry,YES,25,25,25,18,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_3,STATE_KHARKOV,combat_unit_type_cannon_artillery,YES,25,25,25,4,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_3,STATE_KHARKOV,combat_unit_type_dragoons,YES,25,25,25,8,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_3,STATE_KURSK,combat_unit_type_line_infantry,YES,25,25,25,6,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_3,STATE_TAMBOV,combat_unit_type_line_infantry,YES,25,25,25,25,YES,region_russia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_4,STATE_KURSK,combat_unit_type_line_infantry,YES,25,25,25,17,YES,region_balkans,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_4,STATE_MOSCOW,combat_unit_type_cannon_artillery,YES,25,15,15,3,YES,region_balkans,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_4,STATE_MOSCOW,combat_unit_type_lancers,YES,25,15,15,8,YES,region_balkans,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_4,STATE_MOSCOW,combat_unit_type_line_infantry,YES,25,15,15,4,YES,region_balkans,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_4,STATE_NIZHNY_NOVGOROD,combat_unit_type_line_infantry,YES,25,25,25,10,YES,region_balkans,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_5,STATE_BURYATIA,combat_unit_type_cannon_artillery,YES,25,25,25,3,YES,region_siberia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_5,STATE_BURYATIA,combat_unit_type_lancers,YES,25,25,25,8,YES,region_siberia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_5,STATE_BURYATIA,combat_unit_type_line_infantry,YES,25,25,25,14,YES,region_siberia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_5,STATE_KURSK,combat_unit_type_line_infantry,YES,25,25,25,2,YES,region_siberia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
RUS,cleanup2d3b_rus_land_5,STATE_NIZHNY_NOVGOROD,combat_unit_type_line_infantry,YES,25,25,25,15,YES,region_siberia,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
CIR,cleanup2d3e_r1_cir_land_1,STATE_KUBAN,combat_unit_type_cannon_artillery,YES,25,14,14,1,YES,region_russia,YES,0,R1_CAP_SAFE_PRESERVED
CIR,cleanup2d3e_r1_cir_land_1,STATE_KUBAN,combat_unit_type_hussars,YES,25,14,14,7,YES,region_russia,YES,0,R1_CAP_SAFE_PRESERVED
CIR,cleanup2d3e_r1_cir_land_1,STATE_KUBAN,combat_unit_type_irregular_infantry,YES,25,14,14,6,YES,region_russia,YES,0,R1_CAP_SAFE_PRESERVED
CHC,Murtazeki,STATE_DAGESTAN,combat_unit_type_hussars,YES,5,5,5,4,YES,region_russia,YES,0,R1_CAP_SAFE_PRESERVED
CHC,Murtazeki,STATE_DAGESTAN,combat_unit_type_irregular_infantry,YES,5,5,5,1,YES,region_russia,YES,0,R1_CAP_SAFE_PRESERVED
CHC,Murtazeki,STATE_NORTH_CAUCASUS,combat_unit_type_irregular_infantry,YES,5,3,3,3,YES,region_russia,YES,0,R1_CAP_SAFE_PRESERVED
BAD,Groherzoglich_Badische_Armee,STATE_BADEN,combat_unit_type_cannon_artillery,YES,100,9,9,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
BAD,Groherzoglich_Badische_Armee,STATE_BADEN,combat_unit_type_dragoons,YES,100,9,9,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
BAD,Groherzoglich_Badische_Armee,STATE_BADEN,combat_unit_type_line_infantry,YES,100,9,9,7,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
WUR,Kniglich_Wrttembergische_Armee,STATE_WURTTEMBERG,combat_unit_type_cannon_artillery,YES,100,13,13,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
WUR,Kniglich_Wrttembergische_Armee,STATE_WURTTEMBERG,combat_unit_type_lancers,YES,100,13,13,2,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
WUR,Kniglich_Wrttembergische_Armee,STATE_WURTTEMBERG,combat_unit_type_line_infantry,YES,100,13,13,10,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
SAX,Kniglich_Schsische_Armee,STATE_SAXONY,combat_unit_type_cannon_artillery,YES,100,22,22,2,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
SAX,Kniglich_Schsische_Armee,STATE_SAXONY,combat_unit_type_lancers,YES,100,22,22,3,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
SAX,Kniglich_Schsische_Armee,STATE_SAXONY,combat_unit_type_line_infantry,YES,100,22,22,17,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
BAV,I_ArmeeKorps,STATE_BAVARIA,combat_unit_type_cannon_artillery,YES,100,8,8,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
BAV,I_ArmeeKorps,STATE_BAVARIA,combat_unit_type_hussars,YES,100,8,8,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
BAV,I_ArmeeKorps,STATE_BAVARIA,combat_unit_type_line_infantry,YES,100,8,8,6,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HEK,Kurfrstlich_Hessische_Armee,STATE_HESSE,combat_unit_type_hussars,YES,100,5,5,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HEK,Kurfrstlich_Hessische_Armee,STATE_HESSE,combat_unit_type_line_infantry,YES,100,5,5,4,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HES,Groherzoglich_Hessische_Armee,STATE_HESSE,combat_unit_type_lancers,YES,100,4,4,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HES,Groherzoglich_Hessische_Armee,STATE_HESSE,combat_unit_type_line_infantry,YES,100,4,4,3,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
NAS,Herzoglich_Nassauische_Armee,STATE_HESSE,combat_unit_type_cannon_artillery,YES,100,3,3,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
NAS,Herzoglich_Nassauische_Armee,STATE_HESSE,combat_unit_type_line_infantry,YES,100,3,3,2,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HAN,Kniglich_Hannoversche_Armee,STATE_BRUNSWICK,combat_unit_type_cannon_artillery,YES,100,21,21,2,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HAN,Kniglich_Hannoversche_Armee,STATE_BRUNSWICK,combat_unit_type_lancers,YES,100,21,21,3,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HAN,Kniglich_Hannoversche_Armee,STATE_BRUNSWICK,combat_unit_type_line_infantry,YES,100,21,21,16,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
MEC,Groherzoglich_MecklenburgischSchwerinsche_Armee,STATE_MECKLENBURG,combat_unit_type_dragoons,YES,100,5,5,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
MEC,Groherzoglich_MecklenburgischSchwerinsche_Armee,STATE_MECKLENBURG,combat_unit_type_line_infantry,YES,100,5,5,4,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
OLD,Groherzoglich_Oldenburgische_Armee,STATE_HANNOVER,combat_unit_type_cannon_artillery,YES,100,3,3,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
OLD,Groherzoglich_Oldenburgische_Armee,STATE_HANNOVER,combat_unit_type_line_infantry,YES,100,3,3,2,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HAM,Hamburger_Burgermilitar,STATE_ELBE,combat_unit_type_irregular_infantry,YES,100,1,1,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
BRE,Bremer_Stadtmilitar,STATE_ELBE,combat_unit_type_irregular_infantry,YES,100,1,1,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
LUB,Lubecker_Militar,STATE_SCHLESWIG_HOLSTEIN,combat_unit_type_irregular_infantry,YES,100,1,1,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
FRM,Linienbataillon_Frankfurt,STATE_HESSE,combat_unit_type_line_infantry,YES,100,1,1,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
WLD,Waldecksches_Bataillon,STATE_HESSE,combat_unit_type_line_infantry,YES,100,1,1,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
LUX,Luxemburger_Miliz,STATE_WALLONIA,combat_unit_type_irregular_infantry,YES,100,3,3,2,YES,region_western_europe,YES,0,R1_CAP_SAFE_PRESERVED
LUX,Luxemburger_Miliz,STATE_WALLONIA,combat_unit_type_line_infantry,YES,100,3,3,1,YES,region_western_europe,YES,0,R1_CAP_SAFE_PRESERVED
SWE,Kungliga_Svenska_Armn,STATE_ALAND,combat_unit_type_cannon_artillery,YES,100,30,30,2,YES,region_northern_europe,YES,0,R1_CAP_SAFE_PRESERVED
SWE,Kungliga_Svenska_Armn,STATE_ALAND,combat_unit_type_hussars,YES,100,30,30,5,YES,region_northern_europe,YES,0,R1_CAP_SAFE_PRESERVED
SWE,Kungliga_Svenska_Armn,STATE_ALAND,combat_unit_type_line_infantry,YES,100,30,30,23,YES,region_northern_europe,YES,0,R1_CAP_SAFE_PRESERVED
DENNOR,Hren,STATE_EASTERN_NORWAY,combat_unit_type_cannon_artillery,YES,100,18,18,1,YES,region_northern_europe,YES,0,R1_CAP_SAFE_PRESERVED
DENNOR,Hren,STATE_EASTERN_NORWAY,combat_unit_type_dragoons,YES,100,18,18,3,YES,region_northern_europe,YES,0,R1_CAP_SAFE_PRESERVED
DENNOR,Hren,STATE_EASTERN_NORWAY,combat_unit_type_line_infantry,YES,100,18,18,14,YES,region_northern_europe,YES,0,R1_CAP_SAFE_PRESERVED
SCH,Schleswigsche_Armee,STATE_SCHLESWIG_HOLSTEIN,combat_unit_type_line_infantry,YES,100,2,2,2,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HOL,Holsteinische_Armee,STATE_SCHLESWIG_HOLSTEIN,combat_unit_type_lancers,YES,100,4,4,1,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
HOL,Holsteinische_Armee,STATE_SCHLESWIG_HOLSTEIN,combat_unit_type_line_infantry,YES,100,4,4,3,YES,region_central_europe,YES,0,R1_CAP_SAFE_PRESERVED
WAL,Armata_rii_Romneti,STATE_WALLACHIA,combat_unit_type_hussars,YES,25,4,4,1,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
WAL,Armata_rii_Romneti,STATE_WALLACHIA,combat_unit_type_line_infantry,YES,25,4,4,3,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
MON,Montengrin_Raiders,STATE_MONTENEGRO,combat_unit_type_hussars,YES,25,6,6,1,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
MON,Montengrin_Raiders,STATE_MONTENEGRO,combat_unit_type_line_infantry,YES,25,6,6,5,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
MOL,Armata_Principatului_Moldovei,STATE_MOLDAVIA,combat_unit_type_hussars,YES,25,3,3,1,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
MOL,Armata_Principatului_Moldovei,STATE_MOLDAVIA,combat_unit_type_line_infantry,YES,25,3,3,2,YES,region_balkans,YES,0,R1_CAP_SAFE_PRESERVED
SIC,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,STATE_ABRUZZO,combat_unit_type_line_infantry,YES,100,3,3,3,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
SIC,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,STATE_APULIA,combat_unit_type_line_infantry,YES,100,2,2,2,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
SIC,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,STATE_CALABRIA,combat_unit_type_dragoons,YES,100,8,8,2,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
SIC,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,STATE_CALABRIA,combat_unit_type_line_infantry,YES,100,8,8,6,YES,region_southern_europe,YES,0,R2F_RECRUITMENT_STATE_REALLOCATION
