tag,country_name,domain,formation_name,source_file,source_line_or_block,hq,base_state_if_relevant,unit_type,unit_count,estimated_engine_manpower,commander_count,commander_names,duplicate_name_count,duplicate_definition,empty,invalid_reference,vfs_status,risk_level,notes
CHI,China,army,Bordered_Yellow_Banner,common/history/military_formations/06_military_formations_asia.txt,line 3,region_north_china,,combat_unit_type_hussars=10;combat_unit_type_irregular_infantry=20,30,30000,1,Buyantai Yanzha,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Plain_Yellow_Banner,common/history/military_formations/06_military_formations_asia.txt,line 41,region_north_china,,combat_unit_type_hussars=10;combat_unit_type_irregular_infantry=10,20,20000,1,Yunfei Ge_2,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Plain_White_Banner,common/history/military_formations/06_military_formations_asia.txt,line 86,region_north_china,,combat_unit_type_hussars=10;combat_unit_type_irregular_infantry=15,25,25000,1,Qishan Borjigin,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Bordered_Blue_Banner,common/history/military_formations/06_military_formations_asia.txt,line 131,region_north_china,,combat_unit_type_hussars=10;combat_unit_type_irregular_infantry=20,30,30000,1,Delu Wang,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Plain_Red_Banner,common/history/military_formations/06_military_formations_asia.txt,line 172,region_northeast_asia,,combat_unit_type_hussars=10;combat_unit_type_irregular_infantry=20,30,30000,1,Yishan Aisin_Gioro,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Bordered_White_Banner,common/history/military_formations/06_military_formations_asia.txt,line 217,region_south_china,,combat_unit_type_hussars=10;combat_unit_type_irregular_infantry=10,20,20000,1,Bingzhang Luo,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Bordered_Red_Banner,common/history/military_formations/06_military_formations_asia.txt,line 255,region_south_china,,combat_unit_type_hussars=5;combat_unit_type_irregular_infantry=15,20,20000,1,Guanwen Wanggiya,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Plain_Blue_Banner,common/history/military_formations/06_military_formations_asia.txt,line 294,region_south_china,,combat_unit_type_hussars=10;combat_unit_type_irregular_infantry=20,30,30000,1,Fang Yang,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Zhili_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 331,region_north_china,,combat_unit_type_irregular_infantry=40,40,40000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,LiangJiang_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 349,region_south_china,,combat_unit_type_irregular_infantry=35,35,35000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,ShaanGan_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 367,region_north_china,,combat_unit_type_irregular_infantry=40,40,40000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,MinZhe_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 385,region_south_china,,combat_unit_type_irregular_infantry=40,40,40000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,LiangHu_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 403,region_south_china,,combat_unit_type_irregular_infantry=40,40,40000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,LiangGuang_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 421,region_south_china,,combat_unit_type_irregular_infantry=40,40,40000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,YunGui_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 445,region_south_china,,combat_unit_type_irregular_infantry=15,15,15000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,army,Sichuan_Green_Standard_Army,common/history/military_formations/06_military_formations_asia.txt,line 463,region_south_china,,combat_unit_type_irregular_infantry=30,30,30000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CHI,China,fleet,Bohai_Gulf_Fleet,common/history/military_formations/06_military_formations_asia.txt,line 481,region_north_china,,ship_type_frigate=7,7,3500,1,Tianpei Guan,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P0,country_sailor_capacity=0; country_fleet_crew_requirement=7500
CHI,China,fleet,Guangdong_Fleet,common/history/military_formations/06_military_formations_asia.txt,line 510,region_south_china,,ship_type_frigate=8,8,4000,1,Huacheng Chen,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P0,country_sailor_capacity=0; country_fleet_crew_requirement=7500
CIR,Circassia,army,<unnamed@2417>,common/history/military_formations/00_military_formations_europe.txt,line 2417,region_russia,,combat_unit_type_hussars=3;combat_unit_type_irregular_infantry=6,9,9000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
CIR,Circassia,army,<unnamed@2434>,common/history/military_formations/00_military_formations_europe.txt,line 2434,region_russia,,combat_unit_type_hussars=3;combat_unit_type_irregular_infantry=6,9,9000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
COC,Cochin,army,CochinArmy,common/history/military_formations/05_military_formations_india.txt,line 625,region_south_india,,combat_unit_type_irregular_infantry=1;combat_unit_type_line_infantry=1,2,2000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
COO,Cooch Behar,army,CoochBeharArmy,common/history/military_formations/05_military_formations_india.txt,line 453,region_north_india,,combat_unit_type_irregular_infantry=3,3,3000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
CRI,Crimea,army,<unnamed@3>,common/history/military_formations/00_military_formations_europe.txt,line 3,region_eastern_europe,,combat_unit_type_hussars=8;combat_unit_type_irregular_infantry=5,13,13000,1,Anvar Ayaz,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
CUB,Cuba,army,MiliciasdeCuba,common/history/military_formations/01_military_formations_north_america.txt,line 277,region_central_america,,combat_unit_type_cannon_artillery=1;combat_unit_type_dragoons=1;combat_unit_type_line_infantry=9,11,11000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
DEI,East Indies,army,Koninklijk_Nederlandsch_Indisch_Leger,common/history/military_formations/06_military_formations_asia.txt,line 542,region_indonesia,,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=12;combat_unit_type_line_infantry=6;combat_unit_type_mobile_artillery=1,20,20000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
DEI,East Indies,fleet,Koloniale_Marine,common/history/military_formations/06_military_formations_asia.txt,line 584,region_indonesia,STATE_WEST_JAVA:2,ship_type_frigate=1,1,500,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,country_sailor_capacity=2000; country_fleet_crew_requirement=500
DENNOR,Denmark-Norway,army,Hren,common/history/military_formations/00_military_formations_europe.txt,line 3050,region_northern_europe,,combat_unit_type_cannon_artillery=1;combat_unit_type_cuirassiers=3;combat_unit_type_dragoons=3;combat_unit_type_hussars=1;combat_unit_type_lancers=1;combat_unit_type_line_infantry=9,18,18000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
DENNOR,Denmark-Norway,fleet,Kongelige_Danske_Marine,common/history/military_formations/00_military_formations_europe.txt,line 3111,region_northern_europe,STATE_ZEALAND:9,ship_type_frigate=8;ship_type_ship_of_the_line=6,14,8800,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,country_sailor_capacity=9000; country_fleet_crew_requirement=8800
DUR,Afghanistan,army,<unnamed@384>,common/history/military_formations/04_military_formations_middle_east.txt,line 384,region_greater_persia,,combat_unit_type_hussars=2;combat_unit_type_irregular_infantry=18,20,20000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
DUR,Afghanistan,army,<unnamed@407>,common/history/military_formations/04_military_formations_middle_east.txt,line 407,region_greater_persia,,combat_unit_type_irregular_infantry=3,3,3000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
DUR,Afghanistan,army,<unnamed@418>,common/history/military_formations/04_military_formations_middle_east.txt,line 418,region_greater_persia,,combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=12,13,13000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
DUR,Afghanistan,army,<unnamed@435>,common/history/military_formations/04_military_formations_middle_east.txt,line 435,region_greater_persia,,combat_unit_type_hussars=2;combat_unit_type_irregular_infantry=14,16,16000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
DUR,Afghanistan,army,<unnamed@452>,common/history/military_formations/04_military_formations_middle_east.txt,line 452,region_greater_persia,,combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=4,5,5000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
DUR,Afghanistan,army,<unnamed@469>,common/history/military_formations/04_military_formations_middle_east.txt,line 469,region_greater_persia,,combat_unit_type_hussars=2;combat_unit_type_irregular_infantry=7,9,9000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
DUR,Afghanistan,army,<unnamed@486>,common/history/military_formations/04_military_formations_middle_east.txt,line 486,region_greater_persia,,combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=6,7,7000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
DUR,Afghanistan,army,<unnamed@502>,common/history/military_formations/04_military_formations_middle_east.txt,line 502,region_greater_persia,,combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=2,3,3000,0,,0,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,No explicit name key; engine/localization may generate a visible name.
FRA,France,army,1er_Corps_dArme,common/history/military_formations/00_military_formations_europe.txt,line 920,region_western_europe,,combat_unit_type_cannon_artillery=5;combat_unit_type_lancers=10;combat_unit_type_line_infantry=35,50,50000,2,<unnamed>;<unnamed>,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
FRA,France,army,2e_Corps_dArme,common/history/military_formations/00_military_formations_europe.txt,line 980,region_southern_europe,,combat_unit_type_cannon_artillery=5;combat_unit_type_lancers=15;combat_unit_type_line_infantry=40,60,60000,1,<unnamed>,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
FRA,France,army,3e_Corps_dArme,common/history/military_formations/00_military_formations_europe.txt,line 1029,region_western_europe,,combat_unit_type_cannon_artillery=10;combat_unit_type_lancers=5;combat_unit_type_line_infantry=25,40,40000,1,<unnamed>,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
FRA,France,army,Arme_dAfrique,common/history/military_formations/00_military_formations_europe.txt,line 1075,region_north_africa,,combat_unit_type_cannon_artillery=5;combat_unit_type_lancers=5;combat_unit_type_line_infantry=27,37,37000,2,<unnamed>;<unnamed>,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
FRA,France,fleet,Escadre_de_la_Mditerrane,common/history/military_formations/00_military_formations_europe.txt,line 1140,region_southern_europe,STATE_BRITTANY:12|STATE_POITOU:4|STATE_PROVENCE:8,ship_type_frigate=19;ship_type_ship_of_the_line=13,32,19900,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=24000; country_fleet_crew_requirement=45100
FRA,France,fleet,Escadre_du_Nord,common/history/military_formations/00_military_formations_europe.txt,line 1156,region_western_europe,STATE_BRITTANY:12|STATE_POITOU:4|STATE_PROVENCE:8,ship_type_frigate=23;ship_type_ship_of_the_line=12,35,21100,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=24000; country_fleet_crew_requirement=45100
FRA,France,fleet,Station_des_Antilles,common/history/military_formations/00_military_formations_europe.txt,line 1172,region_central_america,STATE_BRITTANY:12|STATE_POITOU:4|STATE_PROVENCE:8,ship_type_frigate=2;ship_type_ship_of_the_line=2,4,2600,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=24000; country_fleet_crew_requirement=45100
FRA,France,fleet,Station_de_latlantique_sud,common/history/military_formations/00_military_formations_europe.txt,line 1188,region_west_africa,STATE_BRITTANY:12|STATE_POITOU:4|STATE_PROVENCE:8,ship_type_frigate=3,3,1500,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=24000; country_fleet_crew_requirement=45100
FRM,Frankfurt,army,Linienbataillon_Frankfurt,common/history/military_formations/00_military_formations_europe.txt,line 2894,region_central_europe,,combat_unit_type_line_infantry=1,1,1000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
GAR,Garhwal,army,GarhwalArmy,common/history/military_formations/05_military_formations_india.txt,line 466,region_north_india,,combat_unit_type_irregular_infantry=3,3,3000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
GBR,Great Britain,army,Home_Army,common/history/military_formations/00_military_formations_europe.txt,line 1201,region_western_europe,,combat_unit_type_cannon_artillery=4;combat_unit_type_cuirassiers=1;combat_unit_type_dragoons=10;combat_unit_type_hussars=2;combat_unit_type_lancers=2;combat_unit_type_line_infantry=30,49,49000,3,<unnamed>;<unnamed>;Matthew Whitworth,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
GBR,Great Britain,army,Army_of_the_Mediterranean,common/history/military_formations/00_military_formations_europe.txt,line 1373,region_southern_europe,,combat_unit_type_cannon_artillery=1;combat_unit_type_line_infantry=15,16,16000,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
GBR,Great Britain,army,Army_of_the_West_Indies,common/history/military_formations/00_military_formations_europe.txt,line 1419,region_central_america,,combat_unit_type_cannon_artillery=1;combat_unit_type_line_infantry=28,29,29000,1,Henry Hardinge,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
GBR,Great Britain,army,Army_of_India,common/history/military_formations/00_military_formations_europe.txt,line 1475,region_south_india,,combat_unit_type_cannon_artillery=2;combat_unit_type_dragoons=4;combat_unit_type_lancers=1;combat_unit_type_line_infantry=20,27,27000,1,Hugh Gough,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,INFO,
GBR,Great Britain,fleet,Mediterranean_Station,common/history/military_formations/00_military_formations_europe.txt,line 1561,region_southern_europe,STATE_HOME_COUNTIES:20|STATE_LANCASHIRE:10|STATE_UPPER_ANDALUSIA:3,ship_type_frigate=5;ship_type_ship_of_the_line=7,12,8100,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=33000; country_fleet_crew_requirement=123800
GBR,Great Britain,fleet,Lisbon_Station,common/history/military_formations/00_military_formations_europe.txt,line 1577,region_southern_europe,STATE_HOME_COUNTIES:20|STATE_LANCASHIRE:10|STATE_UPPER_ANDALUSIA:3,ship_type_frigate=2;ship_type_ship_of_the_line=7,9,6600,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=33000; country_fleet_crew_requirement=123800
GBR,Great Britain,fleet,North_America_and_West_Indies_Station,common/history/military_formations/00_military_formations_europe.txt,line 1595,region_atlantic_coast,STATE_HOME_COUNTIES:20|STATE_LANCASHIRE:10|STATE_UPPER_ANDALUSIA:3,ship_type_frigate=7;ship_type_ship_of_the_line=1,8,4300,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=33000; country_fleet_crew_requirement=123800
GBR,Great Britain,fleet,Cape_of_Good_Hope_Station,common/history/military_formations/00_military_formations_europe.txt,line 1611,region_east_africa,STATE_HOME_COUNTIES:20|STATE_LANCASHIRE:10|STATE_UPPER_ANDALUSIA:3,ship_type_frigate=3;ship_type_ship_of_the_line=1,4,2300,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=33000; country_fleet_crew_requirement=123800
GBR,Great Britain,fleet,East_Indies_and_China_Station,common/history/military_formations/00_military_formations_europe.txt,line 1627,region_indochina,STATE_HOME_COUNTIES:20|STATE_LANCASHIRE:10|STATE_UPPER_ANDALUSIA:3,ship_type_frigate=7;ship_type_ship_of_the_line=1,8,4300,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=33000; country_fleet_crew_requirement=123800
GBR,Great Britain,fleet,South_America_Station,common/history/military_formations/00_military_formations_europe.txt,line 1643,region_la_plata,STATE_HOME_COUNTIES:20|STATE_LANCASHIRE:10|STATE_UPPER_ANDALUSIA:3,ship_type_frigate=5,5,2500,0,,1,NO,NO,,ACTIVE_MOD_FILE_SHADOWS_SAME_RELATIVE_VANILLA_FILE,P1,country_sailor_capacity=33000; country_fleet_crew_requirement=123800
