tag,file,formation_type,formation_name_key,same_key_ordinal,formation_ordinal,hq_region_after,scripted_regular_target_before_r1,scripted_regular_target_after_r1,scripted_conscript_target_before_r1,scripted_conscript_target_after_r1,scripted_ships_after_r1,total_potential_units_after_r1,initial_empty_land_formation_after,runtime_3e_correlation,runtime_3e_regular_objects_exact_formation,runtime_3e_regular_positive_manpower_exact_formation,runtime_3e_conscript_objects_exact_formation,runtime_3e_conscript_positive_manpower_exact_formation,runtime_3e_country_regular_objects,runtime_3e_country_regular_positive_manpower,runtime_3e_country_conscript_objects,runtime_3e_country_conscript_positive_manpower,runtime_3e_country_total_formations_including_engine_or_user_created,final_country_scripted_conscript_target_r1,r2_expected_regular_status,notes
AUS,00_military_formations_europe.txt,fleet,cleanup2d3e_r1_aus_naval_1,1,1,region_balkans,0,0,0,0,3,3,NO,NOT_MATERIALIZED_OR_RUNTIME_NAME_MISMATCH,,,,,140,140,36,0,5,51,PASS_STATIC_STATE_CAP_REALLOCATION,
AUS,00_military_formations_europe.txt,army,cleanup2d3b_aus_land_3,1,1,region_balkans,35,35,39,51,0,86,NO,EXACT_NAME_KEY,35,35,36,0,140,140,36,0,5,51,PASS_STATIC_STATE_CAP_REALLOCATION,
AUS,00_military_formations_europe.txt,army,cleanup2d3b_aus_land_4,1,2,region_central_europe,34,34,0,0,0,34,NO,EXACT_NAME_KEY,34,34,0,0,140,140,36,0,5,51,PASS_STATIC_STATE_CAP_REALLOCATION,
AUS,00_military_formations_europe.txt,army,cleanup2d3b_aus_land_1,1,3,region_central_europe,36,36,0,0,0,36,NO,EXACT_NAME_KEY,36,36,0,0,140,140,36,0,5,51,PASS_STATIC_STATE_CAP_REALLOCATION,
AUS,00_military_formations_europe.txt,army,cleanup2d3b_aus_land_2,1,4,region_southern_europe,35,35,0,0,0,35,NO,EXACT_NAME_KEY,35,35,0,0,140,140,36,0,5,51,PASS_STATIC_STATE_CAP_REALLOCATION,
HUN,00_military_formations_europe.txt,army,generalkommando_ofen,1,1,region_balkans,28,28,0,0,0,28,NO,EXACT_NAME_KEY,28,28,6,0,28,28,6,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
TRS,00_military_formations_europe.txt,army,generalkommando_hermannstadt,1,1,region_balkans,8,8,0,0,0,8,NO,EXACT_NAME_KEY,8,8,2,0,8,8,2,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
FRA,00_military_formations_europe.txt,army,cleanup2d3b_fra_land_1,1,1,region_western_europe,42,42,40,80,0,122,NO,EXACT_NAME_KEY,42,42,40,0,164,164,44,0,7,80,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
FRA,00_military_formations_europe.txt,army,cleanup2d3b_fra_land_2,1,2,region_western_europe,42,42,0,0,0,42,NO,EXACT_NAME_KEY,42,42,2,0,164,164,44,0,7,80,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
FRA,00_military_formations_europe.txt,army,cleanup2d3b_fra_land_3,1,3,region_southern_europe,41,41,0,0,0,41,NO,EXACT_NAME_KEY,41,41,0,0,164,164,44,0,7,80,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
FRA,00_military_formations_europe.txt,army,cleanup2d3b_fra_land_4,1,4,region_central_america,40,40,0,0,0,40,NO,EXACT_NAME_KEY,39,39,2,0,164,164,44,0,7,80,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
FRA,00_military_formations_europe.txt,fleet,cleanup2d3b_fra_naval_2,1,1,region_southern_europe,0,0,0,0,13,13,NO,EXACT_NAME_KEY,0,0,0,0,164,164,44,0,7,80,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
FRA,00_military_formations_europe.txt,fleet,cleanup2d3b_fra_naval_1,1,2,region_western_europe,0,0,0,0,22,22,NO,EXACT_NAME_KEY,0,0,0,0,164,164,44,0,7,80,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
FRA,00_military_formations_europe.txt,fleet,cleanup2d3b_fra_naval_3,1,3,region_central_america,0,0,0,0,6,6,NO,EXACT_NAME_KEY,0,0,0,0,164,164,44,0,7,80,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
GBR,00_military_formations_europe.txt,army,cleanup2d3b_gbr_land_2,1,1,region_atlantic_coast,11,11,29,58,0,69,NO,EXACT_NAME_KEY,11,7,29,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,army,Home_Army,1,2,region_western_europe,11,11,0,0,0,11,NO,EXACT_NAME_KEY,11,11,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,army,cleanup2d3b_gbr_land_4,1,3,region_southern_europe,9,9,0,0,0,9,NO,EXACT_NAME_KEY,9,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,army,cleanup2d3b_gbr_land_3,1,4,region_central_america,9,9,0,0,0,9,NO,EXACT_NAME_KEY,9,9,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,army,cleanup2d3b_gbr_land_5,1,5,region_south_india,9,9,0,0,0,9,NO,EXACT_NAME_KEY,9,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,fleet,Mediterranean_Station,1,1,region_southern_europe,0,0,0,0,12,12,NO,EXACT_NAME_KEY,0,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,fleet,North_America_and_West_Indies_Station,1,2,region_atlantic_coast,0,0,0,0,12,12,NO,EXACT_NAME_KEY,0,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,fleet,cleanup2d3b_gbr_naval_6,1,3,region_east_africa,0,0,0,0,5,5,NO,EXACT_NAME_KEY,0,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,fleet,cleanup2d3b_gbr_naval_5,1,4,region_south_india,0,0,0,0,7,7,NO,EXACT_NAME_KEY,0,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,fleet,cleanup2d3b_gbr_naval_1,1,5,region_western_europe,0,0,0,0,50,50,NO,EXACT_NAME_KEY,0,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,fleet,cleanup2d3b_gbr_naval_2,1,6,region_western_europe,0,0,0,0,28,28,NO,EXACT_NAME_KEY,0,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
GBR,00_military_formations_europe.txt,fleet,cleanup2d3b_gbr_naval_7,1,7,region_western_europe,0,0,0,0,6,6,NO,EXACT_NAME_KEY,0,0,0,0,49,27,29,0,13,58,PASS_STATIC_STATE_CAP_REALLOCATION,
RUS,00_military_formations_europe.txt,army,cleanup2d3b_rus_land_1,1,1,region_russia,44,44,120,120,0,164,NO,EXACT_NAME_KEY,25,25,119,0,75,50,123,0,7,120,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
RUS,00_military_formations_europe.txt,army,cleanup2d3b_rus_land_2,1,2,region_russia,44,44,0,0,0,44,NO,EXACT_NAME_KEY,0,0,0,0,75,50,123,0,7,120,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
RUS,00_military_formations_europe.txt,army,cleanup2d3b_rus_land_3,1,3,region_russia,43,43,0,0,0,43,NO,EXACT_NAME_KEY,0,0,0,0,75,50,123,0,7,120,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
RUS,00_military_formations_europe.txt,army,cleanup2d3b_rus_land_4,1,4,region_balkans,42,42,0,0,0,42,NO,EXACT_NAME_KEY,25,6,4,0,75,50,123,0,7,120,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
RUS,00_military_formations_europe.txt,army,cleanup2d3b_rus_land_5,1,5,region_siberia,42,42,0,0,0,42,NO,EXACT_NAME_KEY,25,19,0,0,75,50,123,0,7,120,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
RUS,00_military_formations_europe.txt,fleet,cleanup2d3b_rus_naval_1,1,1,region_russia,0,0,0,0,25,25,NO,EXACT_NAME_KEY,0,0,0,0,75,50,123,0,7,120,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
RUS,00_military_formations_europe.txt,fleet,cleanup2d3b_rus_naval_2,1,2,region_balkans,0,0,0,0,7,7,NO,EXACT_NAME_KEY,0,0,0,0,75,50,123,0,7,120,PASS_STATIC_STATE_CAP_REALLOCATION,Runtime country total includes user recruitment-test additions; not treated as pre-3D script.
CIR,00_military_formations_europe.txt,army,cleanup2d3e_r1_cir_land_1,1,1,region_russia,14,14,3,7,0,21,NO,NOT_MATERIALIZED_OR_RUNTIME_NAME_MISMATCH,,,,,14,14,3,0,1,7,PASS_STATIC_STATE_CAP_REALLOCATION,
CHC,00_military_formations_europe.txt,army,Murtazeki,1,1,region_russia,8,8,1,5,0,13,NO,EXACT_NAME_KEY,5,5,1,0,5,5,1,0,1,5,PASS_STATIC_STATE_CAP_REALLOCATION,
BAD,00_military_formations_europe.txt,army,Groherzoglich_Badische_Armee,1,1,region_central_europe,9,9,3,4,0,13,NO,EXACT_NAME_KEY,9,9,3,0,9,9,3,0,1,4,PASS_STATIC_STATE_CAP_REALLOCATION,
WUR,00_military_formations_europe.txt,army,Kniglich_Wrttembergische_Armee,1,1,region_central_europe,13,13,4,5,0,18,NO,EXACT_NAME_KEY,13,13,4,0,13,13,4,0,1,5,PASS_STATIC_STATE_CAP_REALLOCATION,
SAX,00_military_formations_europe.txt,army,Kniglich_Schsische_Armee,1,1,region_central_europe,22,22,4,5,0,27,NO,EXACT_NAME_KEY,21,21,3,0,21,21,3,0,1,5,PASS_STATIC_STATE_CAP_REALLOCATION,
BAV,00_military_formations_europe.txt,army,I_ArmeeKorps,1,1,region_central_europe,8,8,4,4,0,12,NO,EXACT_NAME_KEY,8,8,6,0,9,8,6,0,2,4,PASS_STATIC_STATE_CAP_REALLOCATION,
HEK,00_military_formations_europe.txt,army,Kurfrstlich_Hessische_Armee,1,1,region_central_europe,5,5,1,2,0,7,NO,EXACT_NAME_KEY,5,5,1,0,5,5,1,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
HES,00_military_formations_europe.txt,army,Groherzoglich_Hessische_Armee,1,1,region_central_europe,4,4,1,2,0,6,NO,EXACT_NAME_KEY,4,4,1,0,4,4,1,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
NAS,00_military_formations_europe.txt,army,Herzoglich_Nassauische_Armee,1,1,region_central_europe,3,3,1,2,0,5,NO,EXACT_NAME_KEY,3,3,0,0,3,3,0,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
HAN,00_military_formations_europe.txt,army,Kniglich_Hannoversche_Armee,1,1,region_central_europe,21,21,3,6,0,27,NO,EXACT_NAME_KEY,21,21,3,0,21,21,3,0,1,6,PASS_STATIC_STATE_CAP_REALLOCATION,
MEC,00_military_formations_europe.txt,army,Groherzoglich_MecklenburgischSchwerinsche_Armee,1,1,region_central_europe,5,5,1,2,0,7,NO,EXACT_NAME_KEY,4,4,1,0,4,4,1,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
OLD,00_military_formations_europe.txt,army,Groherzoglich_Oldenburgische_Armee,1,1,region_central_europe,3,3,0,1,0,4,NO,EXACT_NAME_KEY,3,3,0,0,3,3,0,0,1,1,PASS_STATIC_STATE_CAP_REALLOCATION,
HAM,00_military_formations_europe.txt,army,Hamburger_Burgermilitar,1,1,region_central_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,2,1,0,0,2,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
BRE,00_military_formations_europe.txt,army,Bremer_Stadtmilitar,1,1,region_central_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
LUB,00_military_formations_europe.txt,army,Lubecker_Militar,1,1,region_central_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
FRM,00_military_formations_europe.txt,army,Linienbataillon_Frankfurt,1,1,region_central_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
WLD,00_military_formations_europe.txt,army,Waldecksches_Bataillon,1,1,region_central_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
LUX,00_military_formations_europe.txt,army,Luxemburger_Miliz,1,1,region_western_europe,3,3,0,1,0,4,NO,EXACT_NAME_KEY,3,3,0,0,3,3,0,0,1,1,PASS_STATIC_STATE_CAP_REALLOCATION,
SWE,00_military_formations_europe.txt,fleet,cleanup2d3b_swe_naval_2,1,1,region_northern_europe,0,0,0,0,6,6,NO,EXACT_NAME_KEY,0,0,0,0,30,9,7,0,3,17,PASS_STATIC_STATE_CAP_REALLOCATION,
SWE,00_military_formations_europe.txt,army,Kungliga_Svenska_Armn,1,1,region_northern_europe,30,30,7,17,0,47,NO,EXACT_NAME_KEY,30,9,7,0,30,9,7,0,3,17,PASS_STATIC_STATE_CAP_REALLOCATION,
SWE,00_military_formations_europe.txt,fleet,cleanup2d3b_swe_naval_1,1,2,region_northern_europe,0,0,0,0,16,16,NO,EXACT_NAME_KEY,0,0,0,0,30,9,7,0,3,17,PASS_STATIC_STATE_CAP_REALLOCATION,
DENNOR,00_military_formations_europe.txt,army,Hren,1,1,region_northern_europe,18,18,0,14,0,32,NO,EXACT_NAME_KEY,18,18,0,0,18,18,0,0,2,14,PASS_STATIC_STATE_CAP_REALLOCATION,
DENNOR,00_military_formations_europe.txt,fleet,Kongelige_Danske_Marine,1,1,region_northern_europe,0,0,0,0,14,14,NO,EXACT_NAME_KEY,0,0,0,0,18,18,0,0,2,14,PASS_STATIC_STATE_CAP_REALLOCATION,
SCH,00_military_formations_europe.txt,army,Schleswigsche_Armee,1,1,region_central_europe,2,2,0,1,0,3,NO,EXACT_NAME_KEY,2,2,0,0,2,2,0,0,1,1,PASS_STATIC_STATE_CAP_REALLOCATION,
HOL,00_military_formations_europe.txt,army,Holsteinische_Armee,1,1,region_central_europe,4,4,1,2,0,6,NO,EXACT_NAME_KEY,4,4,0,0,4,4,0,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
WAL,00_military_formations_europe.txt,army,Armata_rii_Romneti,1,1,region_balkans,4,4,2,2,0,6,NO,EXACT_NAME_KEY,4,4,2,0,4,4,2,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
MON,00_military_formations_europe.txt,army,Montengrin_Raiders,1,1,region_balkans,6,6,0,2,0,8,NO,EXACT_NAME_KEY,3,3,0,0,5,5,0,0,2,2,PASS_STATIC_STATE_CAP_REALLOCATION,
MOL,00_military_formations_europe.txt,army,Armata_Principatului_Moldovei,1,1,region_balkans,3,3,2,2,0,5,NO,EXACT_NAME_KEY,3,3,2,0,3,3,2,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
SIC,00_military_formations_europe.txt,army,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,1,1,region_southern_europe,20,20,0,0,0,20,NO,EXACT_NAME_KEY,15,15,6,0,25,25,6,0,3,0,PASS_STATIC_STATE_CAP_REALLOCATION,
SIC,00_military_formations_europe.txt,army,Guardia_Reale,1,2,region_southern_europe,10,10,0,0,0,10,NO,EXACT_NAME_KEY,10,10,0,0,25,25,6,0,3,0,PASS_STATIC_STATE_CAP_REALLOCATION,
SIC,00_military_formations_europe.txt,fleet,Armata_di_Mare_di_SM_il_Re_del_Regno_delle_Due_Sicilie,1,1,region_southern_europe,0,0,0,0,8,8,NO,EXACT_NAME_KEY,0,0,0,0,25,25,6,0,3,0,PASS_STATIC_STATE_CAP_REALLOCATION,
SAR,00_military_formations_europe.txt,army,I_Corpo_dArmata,1,1,region_southern_europe,19,19,3,10,0,29,NO,EXACT_NAME_KEY,19,19,4,0,19,19,4,0,2,10,PASS_STATIC_STATE_CAP_REALLOCATION,
SAR,00_military_formations_europe.txt,fleet,Marina_del_Regno_di_Sardegna,1,1,region_southern_europe,0,0,0,0,5,5,NO,EXACT_NAME_KEY,0,0,0,0,19,19,4,0,2,10,PASS_STATIC_STATE_CAP_REALLOCATION,
PAP,00_military_formations_europe.txt,army,Esercito_dello_Stato_della_Chiesa,1,1,region_southern_europe,6,6,3,3,0,9,NO,EXACT_NAME_KEY,6,6,3,0,6,6,3,0,2,3,PASS_STATIC_STATE_CAP_REALLOCATION,
PAP,00_military_formations_europe.txt,fleet,Marina_Pontificia,1,1,region_southern_europe,0,0,0,0,1,1,NO,EXACT_NAME_KEY,0,0,0,0,6,6,3,0,2,3,PASS_STATIC_STATE_CAP_REALLOCATION,
TUS,00_military_formations_europe.txt,army,Esercito_del_Granducato_di_Toscana,1,1,region_southern_europe,7,7,2,4,0,11,NO,EXACT_NAME_KEY,7,7,2,0,7,7,2,0,2,4,PASS_STATIC_STATE_CAP_REALLOCATION,
TUS,00_military_formations_europe.txt,fleet,Marina_del_Granducato_di_Toscana,1,1,region_southern_europe,0,0,0,0,1,1,NO,EXACT_NAME_KEY,0,0,0,0,7,7,2,0,2,4,PASS_STATIC_STATE_CAP_REALLOCATION,
LUC,00_military_formations_europe.txt,army,Esercito_Ducale,1,1,region_southern_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
MOD,00_military_formations_europe.txt,army,Esercito_del_Ducato_di_Modena_e_Reggio,1,1,region_southern_europe,4,4,0,2,0,6,NO,EXACT_NAME_KEY,4,4,1,0,4,4,1,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
PAR,00_military_formations_europe.txt,army,Truppe_Reali_Parmensi,1,1,region_southern_europe,3,3,0,2,0,5,NO,EXACT_NAME_KEY,3,3,0,0,3,3,0,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
NET,00_military_formations_europe.txt,fleet,cleanup2d3b_net_naval_2,1,1,region_western_europe,0,0,0,0,5,5,NO,EXACT_NAME_KEY,0,0,0,0,24,24,4,0,3,14,PASS_STATIC_STATE_CAP_REALLOCATION,
NET,00_military_formations_europe.txt,army,Koninklijk_Nederlands_Leger,1,1,region_western_europe,24,24,3,14,0,38,NO,EXACT_NAME_KEY,24,24,4,0,24,24,4,0,3,14,PASS_STATIC_STATE_CAP_REALLOCATION,
NET,00_military_formations_europe.txt,fleet,cleanup2d3b_net_naval_1,1,2,region_western_europe,0,0,0,0,9,9,NO,EXACT_NAME_KEY,0,0,0,0,24,24,4,0,3,14,PASS_STATIC_STATE_CAP_REALLOCATION,
BEO,00_military_formations_europe.txt,army,Armee_Belge,1,1,region_western_europe,12,12,0,0,0,12,NO,EXACT_NAME_KEY,12,12,0,0,12,12,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
POR,00_military_formations_europe.txt,fleet,cleanup2d3b_por_naval_2,1,1,region_southern_europe,0,0,0,0,4,4,NO,EXACT_NAME_KEY,0,0,0,0,24,24,20,0,3,30,PASS_STATIC_STATE_CAP_REALLOCATION,
POR,00_military_formations_europe.txt,army,Exercito_Portugues,1,1,region_southern_europe,24,24,20,30,0,54,NO,EXACT_NAME_KEY,24,24,20,0,24,24,20,0,3,30,PASS_STATIC_STATE_CAP_REALLOCATION,
POR,00_military_formations_europe.txt,fleet,cleanup2d3b_por_naval_1,1,2,region_southern_europe,0,0,0,0,8,8,NO,EXACT_NAME_KEY,0,0,0,0,24,24,20,0,3,30,PASS_STATIC_STATE_CAP_REALLOCATION,
SPA,00_military_formations_europe.txt,fleet,cleanup2d3b_spa_naval_3,1,1,region_central_america,0,0,0,0,13,13,NO,EXACT_NAME_KEY,0,0,0,0,50,30,0,0,6,70,PASS_STATIC_STATE_CAP_REALLOCATION,
SPA,00_military_formations_europe.txt,army,cleanup2d3b_spa_land_2,1,1,region_southern_europe,32,32,65,70,0,102,NO,EXACT_NAME_KEY,25,25,0,0,50,30,0,0,6,70,PASS_STATIC_STATE_CAP_REALLOCATION,
SPA,00_military_formations_europe.txt,army,cleanup2d3b_spa_land_1,1,2,region_southern_europe,33,33,0,0,0,33,NO,EXACT_NAME_KEY,0,0,0,0,50,30,0,0,6,70,PASS_STATIC_STATE_CAP_REALLOCATION,
SPA,00_military_formations_europe.txt,army,cleanup2d3b_spa_land_3,1,3,region_central_america,30,30,0,0,0,30,NO,EXACT_NAME_KEY,25,5,0,0,50,30,0,0,6,70,PASS_STATIC_STATE_CAP_REALLOCATION,
SPA,00_military_formations_europe.txt,fleet,cleanup2d3b_spa_naval_1,1,2,region_southern_europe,0,0,0,0,17,17,NO,EXACT_NAME_KEY,0,0,0,0,50,30,0,0,6,70,PASS_STATIC_STATE_CAP_REALLOCATION,
SPA,00_military_formations_europe.txt,fleet,cleanup2d3b_spa_naval_2,1,3,region_southern_europe,0,0,0,0,10,10,NO,EXACT_NAME_KEY,0,0,0,0,50,30,0,0,6,70,PASS_STATIC_STATE_CAP_REALLOCATION,
UBD,00_military_formations_europe.txt,army,cleanup2d3e_r1_ubd_land_1,1,1,region_eastern_europe,6,6,0,0,0,6,NO,NOT_MATERIALIZED_OR_RUNTIME_NAME_MISMATCH,,,,,5,5,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
BHU,00_military_formations_europe.txt,army,cleanup2d3b_bhu_land_1,1,1,region_himalayas,1,1,0,2,0,3,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,2,PASS_STATIC_STATE_CAP_REALLOCATION,
BUK,00_military_formations_europe.txt,army,cleanup2d3b_buk_land_1,1,1,region_central_asia,8,8,8,17,0,25,NO,EXACT_NAME_KEY,8,8,8,0,8,8,8,0,1,17,PASS_STATIC_STATE_CAP_REALLOCATION,
COB,00_military_formations_europe.txt,army,cleanup2d3b_cob_land_1,1,1,region_central_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
GAL,00_military_formations_europe.txt,army,cleanup2d3b_gal_land_1,1,1,region_eastern_europe,12,12,0,0,0,12,NO,EXACT_NAME_KEY,12,12,7,0,12,12,7,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
HOH,00_military_formations_europe.txt,army,cleanup2d3b_hoh_land_1,1,1,region_central_europe,1,1,0,0,0,1,NO,EXACT_NAME_KEY,1,1,0,0,1,1,0,0,1,0,PASS_STATIC_STATE_CAP_REALLOCATION,
KHI,00_military_formations_europe.txt,army,cleanup2d3b_khi_land_1,1,1,region_central_asia,8,8,7,14,0,22,NO,EXACT_NAME_KEY,8,8,6,0,8,8,6,0,1,14,PASS_STATIC_STATE_CAP_REALLOCATION,
KOK,00_military_formations_europe.txt,army,cleanup2d3b_kok_land_1,1,1,region_central_asia,8,8,8,19,0,27,NO,EXACT_NAME_KEY,8,8,7,0,8,8,7,0,1,19,PASS_STATIC_STATE_CAP_REALLOCATION,
