record_id,research_batch,tag,country_name,formation,source_file,hq_region,expected_runtime_total,reference_date,commander_required_2d4,command_role_type,recommended_character,office_or_role_1776,implementation_decision,procedural_allowed,research_status,role_identity_confidence,formation_mapping_confidence,structural_context,source_1,source_2,legacy_action,notes
GEN1776-016,00_EUROPE_POST_2D3,FRA,France,cleanup2d3b_fra_land_2,00_military_formations_europe.txt,region_western_europe,42,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-017,00_EUROPE_POST_2D3,FRA,France,cleanup2d3b_fra_land_3,00_military_formations_europe.txt,region_southern_europe,41,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-018,00_EUROPE_POST_2D3,FRA,France,cleanup2d3b_fra_land_4,00_military_formations_europe.txt,region_central_america,40,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-019,00_EUROPE_POST_2D3,GBR,Great Britain,cleanup2d3b_gbr_land_2,00_military_formations_europe.txt,region_atlantic_coast,54,1776-01-01,YES,THEATRE_COMMAND,William Howe,Commander-in-chief of British forces in the Atlantic/old colonies,IMPLEMENT_NAMED_HISTORICAL_GENERAL,NO,NAMED_HISTORICAL_CANDIDATE,HIGH,HIGH,,https://founders.archives.gov/documents/Washington/03-01-02-0243,https://www.canadiana.ca/view/oocihm.60316,REPLACE_IF_MISMATCH_OR_CREATE_IF_MISSING,Direct match to the North American/Atlantic theatre on the reference date.
GEN1776-020,00_EUROPE_POST_2D3,GBR,Great Britain,Home_Army,00_military_formations_europe.txt,region_western_europe,11,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-021,00_EUROPE_POST_2D3,GBR,Great Britain,cleanup2d3b_gbr_land_4,00_military_formations_europe.txt,region_southern_europe,9,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-022,00_EUROPE_POST_2D3,GBR,Great Britain,cleanup2d3b_gbr_land_3,00_military_formations_europe.txt,region_central_america,9,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-023,00_EUROPE_POST_2D3,GBR,Great Britain,cleanup2d3b_gbr_land_5,00_military_formations_europe.txt,region_south_india,9,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,REPLACE_BROKEN_OR_ANACHRONISTIC_LEGACY_IF_PRESENT,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-024,00_EUROPE_POST_2D3,RUS,Russia,cleanup2d3b_rus_land_1,00_military_formations_europe.txt,region_russia,164,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-025,00_EUROPE_POST_2D3,RUS,Russia,cleanup2d3b_rus_land_2,00_military_formations_europe.txt,region_russia,44,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-026,00_EUROPE_POST_2D3,RUS,Russia,cleanup2d3b_rus_land_3,00_military_formations_europe.txt,region_russia,43,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-027,00_EUROPE_POST_2D3,RUS,Russia,cleanup2d3b_rus_land_4,00_military_formations_europe.txt,region_balkans,42,1776-01-01,YES,HIGHER_COMMAND_ABSTRACTION,Pyotr Rumyantsev,Field marshal entrusted with chief supervision of Russian cavalry from November 1775 and southern military responsibilities,IMPLEMENT_NAMED_MILITARY_OFFICEHOLDER,NO,NAMED_HISTORICAL_CANDIDATE,HIGH,MEDIUM,,https://www.regiment.ru/bio/R/26.htm,https://ru.wikisource.org/wiki/%D0%A0%D0%91%D0%A1/%D0%92%D0%A2/%D0%A0%D1%83%D0%BC%D1%8F%D0%BD%D1%86%D0%BE%D0%B2%2C_%D0%9F%D0%B5%D1%82%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87_%28%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB-%D1%84%D0%B5%D0%BB%D1%8C%D0%B4%D0%BC%D0%B0%D1%80%D1%88%D0%B0%D0%BB%29,REPLACE_IF_MISMATCH_OR_CREATE_IF_MISSING,Chosen for the southern/Balkan abstraction. Suvorov is rejected for the 1776-01-01 reference date.
GEN1776-028,00_EUROPE_POST_2D3,RUS,Russia,cleanup2d3b_rus_land_5,00_military_formations_europe.txt,region_siberia,42,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-029,03_MIDDLE_EAST_CAUCASUS,CIR,Circassia,cleanup2d3e_r1_cir_land_1,00_military_formations_europe.txt,region_russia,17,1776-01-01,YES,COLLECTIVE_COMMAND_STRUCTURE,,,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,YES,NO_SINGLE_DEFENSIBLE_COMMANDER_COLLECTIVE_STRUCTURE,N/A,N/A,POLITY_CONTEXT_DEFERRED:POLITICAL_STRUCTURE_REWORK_DEFERRED,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No single formation commander is asserted. Use a culturally compatible procedural general without historical=yes unless later specialist research closes the identity.
GEN1776-030,03_MIDDLE_EAST_CAUCASUS,CHC,Chechnya,Murtazeki,00_military_formations_europe.txt,region_russia,9,1776-01-01,YES,COLLECTIVE_COMMAND_STRUCTURE,,,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,YES,NO_SINGLE_DEFENSIBLE_COMMANDER_COLLECTIVE_STRUCTURE,N/A,N/A,POLITY_CONTEXT_DEFERRED:POLITICAL_STRUCTURE_REWORK_DEFERRED,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No single formation commander is asserted. Use a culturally compatible procedural general without historical=yes unless later specialist research closes the identity.
GEN1776-031,00_EUROPE_POST_2D3,BAD,Baden,Groherzoglich_Badische_Armee,00_military_formations_europe.txt,region_central_europe,12,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-032,00_EUROPE_POST_2D3,WUR,Württemberg,Kniglich_Wrttembergische_Armee,00_military_formations_europe.txt,region_central_europe,17,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-033,00_EUROPE_POST_2D3,SAX,Saxony,Kniglich_Schsische_Armee,00_military_formations_europe.txt,region_central_europe,26,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-034,00_EUROPE_POST_2D3,BAV,Bavaria,I_ArmeeKorps,00_military_formations_europe.txt,region_central_europe,12,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-035,00_EUROPE_POST_2D3,HEK,Hesse-Kassel,Kurfrstlich_Hessische_Armee,00_military_formations_europe.txt,region_central_europe,6,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-036,00_EUROPE_POST_2D3,HES,Hesse-Darmstadt,Groherzoglich_Hessische_Armee,00_military_formations_europe.txt,region_central_europe,5,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-037,00_EUROPE_POST_2D3,NAS,Nassau,Herzoglich_Nassauische_Armee,00_military_formations_europe.txt,region_central_europe,4,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-038,00_EUROPE_POST_2D3,HAN,Hanover,Kniglich_Hannoversche_Armee,00_military_formations_europe.txt,region_central_europe,24,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-039,00_EUROPE_POST_2D3,MEC,Mecklenburg-Schwerin,Groherzoglich_MecklenburgischSchwerinsche_Armee,00_military_formations_europe.txt,region_central_europe,6,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-040,00_EUROPE_POST_2D3,OLD,Oldenburg,Groherzoglich_Oldenburgische_Armee,00_military_formations_europe.txt,region_central_europe,3,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-041,00_EUROPE_POST_2D3,HAM,Hamburg,Hamburger_Burgermilitar,00_military_formations_europe.txt,region_central_europe,1,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-042,00_EUROPE_POST_2D3,BRE,Bremen,Bremer_Stadtmilitar,00_military_formations_europe.txt,region_central_europe,1,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-043,00_EUROPE_POST_2D3,LUB,Lübeck,Lubecker_Militar,00_military_formations_europe.txt,region_central_europe,1,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-044,00_EUROPE_POST_2D3,FRM,Frankfurt,Linienbataillon_Frankfurt,00_military_formations_europe.txt,region_central_europe,1,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-045,00_EUROPE_POST_2D3,WLD,Waldeck,Waldecksches_Bataillon,00_military_formations_europe.txt,region_central_europe,1,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-046,00_EUROPE_POST_2D3,LUX,Luxembourg,Luxemburger_Miliz,00_military_formations_europe.txt,region_western_europe,3,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-047,00_EUROPE_POST_2D3,SWE,Sweden,Kungliga_Svenska_Armn,00_military_formations_europe.txt,region_northern_europe,37,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-048,00_EUROPE_POST_2D3,DENNOR,Denmark-Norway,Hren,00_military_formations_europe.txt,region_northern_europe,21,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
GEN1776-049,00_EUROPE_POST_2D3,SCH,Schleswig,Schleswigsche_Armee,00_military_formations_europe.txt,region_central_europe,2,1776-01-01,YES,NO_DEFENSIBLE_FORMATION_COMMAND_FOUND,,,PROCEDURAL_ALLOWED,YES,NO_DEFENSIBLE_NAME_FOUND_IN_THIS_PASS,N/A,N/A,,,,PROCEDURAL_IF_MISSING_OR_UNVALIDATED_LEGACY,No formation-specific identity met the source/date/mapping threshold in this pass. This is not proof that no historical commander existed; it is an anti-invention decision.
