"tag","country_name","domain","proposed_formation_name","historical_or_modeled","historical_role","proposed_hq","proposed_base_region","infantry","cavalry","artillery","other_land","frigates","ships_of_the_line","other_ships","total_units","crew_or_manpower","commander_needed_later","historical_commander_candidate_if_packet_has_one","confidence","source_basis","current_formation_action","notes"
"BAV","Bavaria","land","I_ArmeeKorps","HISTORICAL_MODEL","STANDING_CORE","region_central_europe","","6","1","1","0","0","0","0","8","8000","YES","","HIGH","Near-date 8,000 establishment represented at the locked 1,000-person scale.","MERGE","Target division is arithmetic and preserves national composition; current formations: I_ArmeeKorps; II_ArmeeKorps."
"BEN","Benin","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","6","2","0","0","0","0","0","8","8000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BEO","Austrian Netherlands (BEO/Belgium)","land","Armee_Belge","MODELED","STANDING_CORE","region_western_europe","","9","2","1","0","0","0","0","12","12000","YES","","VERY_LOW","Habsburg Austrian-Netherlands garrison allocation from parent pool.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Armee_Belge."
"BGI","Bagirmi","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BHU","Bhutan","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_north_india","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BHV","Bhavnagar","land","BhavnagarArmy","MODELED","STANDING_CORE","region_north_india","","2","1","0","0","0","0","0","3","3000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: BhavnagarArmy."
"BIC","East India","land","Bengal Army","MODELED","COMPANY_PRESIDENCY_ARMY","region_north_india","","14","3","2","0","0","0","0","19","19000","YES","","LOW","LOW-confidence Presidency model: Bengal 30, Madras 16, Bombay 9; Crown troops excluded.","SPLIT","Target division is arithmetic and preserves national composition; current formations: Bengal_Army."
"BIC","East India","land","Madras Army","MODELED","COMPANY_PRESIDENCY_ARMY","region_south_india","","14","3","2","0","0","0","0","19","19000","YES","","LOW","LOW-confidence Presidency model: Bengal 30, Madras 16, Bombay 9; Crown troops excluded.","CREATE","Target division is arithmetic and preserves national composition; current formations: Bengal_Army."
"BIC","East India","land","Bombay Army","MODELED","COMPANY_PRESIDENCY_ARMY","region_south_india","","14","2","1","0","0","0","0","17","17000","YES","","LOW","LOW-confidence Presidency model: Bengal 30, Madras 16, Bombay 9; Crown troops excluded.","CREATE","Target division is arithmetic and preserves national composition; current formations: Bengal_Army."
"BLG","Bulungan","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BNJ","Banjar","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","2","0","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BNY","Bunyoro","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BOR","Bornu","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","4","2","0","0","0","0","0","6","6000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BRD","Burundi","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BRE","Bremen","land","Bremer_Stadtmilitar","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: Bremer_Stadtmilitar."
"BRG","Borgu","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BRU","Brunei","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BRZ","Brazil","land","Exrcito_Imperial_Brasileiro","STRUCTURAL_DEFER","NO_INDEPENDENT_TARGET","region_brazil","","0","0","0","0","0","0","0","0","0","NO","","VERY_LOW","ALLOCATE_FROM_OVERLORD_POOL","STRUCTURAL_DEFER","Current formation frozen for map/overlord decision; do not interpret as approved target."
"BST","Basutoland","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BTN","Buton","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BUG","Buganda","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BUK","Bukhara","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_greater_persia","","4","4","0","0","0","0","0","8","8000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"BUR","Burma","land","tatmadaw","MODELED","STANDING_CORE","region_indochina","","24","5","1","0","0","0","0","30","30000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; court/core force separated from levy.","RESIZE","Target division is arithmetic and preserves national composition; current formations: tatmadaw."
"CAM","Cambodia","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","5","1","0","0","0","0","0","6","6000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"CHC","Chechnya","land","Murtazeki","MODELED","STANDING_CORE","region_russia","","4","4","0","0","0","0","0","8","8000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","MERGE","Target division is arithmetic and preserves national composition; current formations: Murtazeki; Milishia."
"CHI","China","land","Yellow Banner Command","HISTORICAL_MODEL","BANNER_MOBILE_AND_GARRISON","region_north_china","","29","8","0","0","0","0","0","37","37000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHI","China","land","White Banner Command","HISTORICAL_MODEL","BANNER_MOBILE_AND_GARRISON","region_north_china","","29","8","0","0","0","0","0","37","37000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHI","China","land","Red Banner Command","HISTORICAL_MODEL","BANNER_MOBILE_AND_GARRISON","region_northeast_asia","","29","8","0","0","0","0","0","37","37000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHI","China","land","Blue Banner Command","HISTORICAL_MODEL","BANNER_MOBILE_AND_GARRISON","region_south_china","","29","8","0","0","0","0","0","37","37000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHI","China","land","Zhili-Shaanxi Green Standard","HISTORICAL_MODEL","PROVINCIAL_GARRISON_FIELD_CAPACITY","region_north_china","","29","7","0","0","0","0","0","36","36000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHI","China","land","Liangjiang-MinZhe Green Standard","HISTORICAL_MODEL","PROVINCIAL_GARRISON_FIELD_CAPACITY","region_south_china","","29","7","0","0","0","0","0","36","36000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHI","China","land","Lianghu-Liangguang Green Standard","HISTORICAL_MODEL","PROVINCIAL_GARRISON_FIELD_CAPACITY","region_south_china","","28","7","0","0","0","0","0","35","35000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHI","China","land","Sichuan-Yungui Green Standard","HISTORICAL_MODEL","PROVINCIAL_GARRISON_FIELD_CAPACITY","region_south_china","","28","7","0","0","0","0","0","35","35000","YES","","HIGH","800,000 paid administrative establishment x 0.325-0.400; 290 recommended deployable standing representation.","MERGE","Target division is arithmetic and preserves national composition; current formations: Bordered_Yellow_Banner; Plain_Yellow_Banner; Plain_White_Banner; Bordered_Blue_Banner; Plain_Red_Banner; Bordered_White_Banner; Bordered_Red_Banner; Plain_Blue_Banner; Zhili_Green_Standard_Army; LiangJiang_Green_Standard_Army; ShaanGan_Green_Standard_Army; MinZhe_Green_Standard_Army; LiangHu_Green_Standard_Army; LiangGuang_Green_Standard_Army; YunGui_Green_Standard_Army; Sichuan_Green_Standard_Army."
"CHP","Champasak","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"CIR","Circassia","land","<unnamed@2417>","MODELED","STANDING_CORE","region_russia","","6","7","1","0","0","0","0","14","14000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","MERGE","Target division is arithmetic and preserves national composition; current formations: <unnamed@2417>; <unnamed@2434>."
"CMI","Chiang Mai","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"COB","Saxe-Coburg-Gotha","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_central_europe","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"COC","Cochin","land","CochinArmy","MODELED","STANDING_CORE","region_south_india","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","KEEP","Target division is arithmetic and preserves national composition; current formations: CochinArmy."
"CON","Constantine","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_near_east","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"COO","Cooch Behar","land","CoochBeharArmy","MODELED","STANDING_CORE","region_north_india","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: CoochBeharArmy."
"CRI","Crimea","land","<unnamed@3>","MODELED","STANDING_CORE","region_eastern_europe","","4","5","1","0","0","0","0","10","10000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: <unnamed@3>."
"CUB","Cuba","land","MiliciasdeCuba","STRUCTURAL_DEFER","NO_INDEPENDENT_TARGET","region_central_america","","0","0","0","0","0","0","0","0","0","NO","","VERY_LOW","ALLOCATE_FROM_OVERLORD_POOL","STRUCTURAL_DEFER","Current formation frozen for map/overlord decision; do not interpret as approved target."
"DAH","Dahomey","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","6","1","0","0","0","0","0","7","7000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; royal core only, later Gezo totals excluded.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"DEI","East Indies","land","Koninklijk_Nederlandsch_Indisch_Leger","MODELED","STANDING_CORE","region_indonesia","","10","1","1","0","0","0","0","12","12000","YES","","LOW","VOC company garrisons only; merchant crews and Dutch state forces excluded.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Koninklijk_Nederlandsch_Indisch_Leger."
"DENNOR","Denmark-Norway","land","Hren","MODELED","STANDING_CORE","region_northern_europe","","14","3","1","0","0","0","0","18","18000","YES","","LOW","Hybrid enlisted/national system; 70% national foot is not converted wholly to emergency militia.","KEEP","Target division is arithmetic and preserves national composition; current formations: Hren."
"DFR","Darfur","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","1","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"DUR","Afghanistan","land","<unnamed@384>","MODELED","STANDING_CORE","region_greater_persia","","11","11","1","0","0","0","0","23","23000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Durrani household/core separated from tribal confederal mobilization.","MERGE","Target division is arithmetic and preserves national composition; current formations: <unnamed@384>; <unnamed@407>; <unnamed@418>; <unnamed@435>; <unnamed@452>; <unnamed@469>; <unnamed@486>; <unnamed@502>."
"DUR","Afghanistan","land","<unnamed@407>","MODELED","STANDING_CORE","region_greater_persia","","11","11","0","0","0","0","0","22","22000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Durrani household/core separated from tribal confederal mobilization.","MERGE","Target division is arithmetic and preserves national composition; current formations: <unnamed@384>; <unnamed@407>; <unnamed@418>; <unnamed@435>; <unnamed@452>; <unnamed@469>; <unnamed@486>; <unnamed@502>."
"ETH","Ethiopia","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","11","4","0","1","0","0","0","16","16000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"FRA","France","land","Arm̩e du Nord","HISTORICAL_MODEL","NORTHERN_FIELD_FORCE","region_western_europe","","35","5","2","0","0","0","0","42","42000","YES","","MEDIUM","Saint-Germain transitional range; composition normalized from personnel reform trajectory.","RESIZE","Target division is arithmetic and preserves national composition; current formations: 1er_Corps_dArme; 2e_Corps_dArme; 3e_Corps_dArme; Arme_dAfrique."
"FRA","France","land","Arm̩e de l Est","HISTORICAL_MODEL","EASTERN_FIELD_FORCE","region_western_europe","","35","5","2","0","0","0","0","42","42000","YES","","MEDIUM","Saint-Germain transitional range; composition normalized from personnel reform trajectory.","RESIZE","Target division is arithmetic and preserves national composition; current formations: 1er_Corps_dArme; 2e_Corps_dArme; 3e_Corps_dArme; Arme_dAfrique."
