historical_person,source_birth_value,precision,source_birth_place,v3_state,encoded_birth_date,encoded_age,approximation_used,reason,validation
George Browne,1698-06-15 Old Style,DAY,"Moyne / Castle Mahan, County Limerick",STATE_MUNSTER,1698.6.15,,NO,Existing exact source-supported Old Style date preserved; Gregorian 1698-06-25 documented but not substituted.,PASS_EXISTING_EXACT_WITH_CALENDAR_WARNING
Daniyal Biy,UNKNOWN,UNKNOWN—no reliable birth date found in consulted academic/national encyclopedic sources,UNKNOWN,UNRESOLVED,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Muhammad Amin Inaq,UNKNOWN,"UNKNOWN—no reliable birth date found; the 1762/1763 dates in some sources mark rise/office chronology, not birth",UNKNOWN,UNRESOLVED,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Gu Seon-bok,1718,YEAR,UNKNOWN,UNKNOWN,,57,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Abhiman Singh Basnyat,1744,YEAR,Gorkha,STATE_HIMALAYAS,,31,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Ablai Khan,1711 (alternative 1713),"SOURCE_CONFLICT—Institute gives 1711, other information 1713; broader institute heading 1711/12",Turkestan (alternative Tashkent),UNRESOLVED—birthplace itself is disputed and a confident mod-state mapping was not established,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
George Washington,1732-02-22,DAY,"Pope's Creek, Westmoreland County, Colony of Virginia",STATE_VIRGINIA,1732.2.22,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Victor-Thérèse Charpentier d'Ennery,1732-03-24,DAY,Paris,STATE_ILE_DE_FRANCE,1732.3.24,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Felipe de Fonsdeviela y Ondeano,1725,YEAR,Zaragoza,STATE_ARAGON,,50,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Miguel de Muesas,ca. 1715 (unconfirmed),UNKNOWN,"Trujillo, Extremadura",STATE_EXTREMADURA,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Tempest,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
João Henrique Böhm,1708,YEAR,Bremen,STATE_ELBE (mapping géographique proposé),,67,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
José Diguja,,UNKNOWN,"Benavente, Castille la Vieille",STATE_LEON (mapping géographique proposé),,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Manuel de Guirior,1708-05-23,DAY_WITH_SOURCE_CONFLICT,"Aoiz (Aoyz), Navarre",STATE_NAVARRA,1708.5.23,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Ibrahim Bey of Mascara,,UNKNOWN,,,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Salah Bey,1725,YEAR,İzmir (Smyrna),STATE_AYDIN (repo ID exists; province-to-state mapping should be rechecked during implementation),,50,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Sidi Tahar ben Abdelhaq Fennich,,UNKNOWN,Salé (probable family/local association; exact birth evidence remains insufficient),,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Süleyman Ağa,UNKNOWN (scholarly estimate only: 1720s),UNKNOWN — DECADE_ESTIMATE_ONLY,"Caucasus, exact locality unknown",UNRESOLVED,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Moḥammad Ṣādeq Khan Zand,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Tīmūr Shah Dorrānī,1746,YEAR,Mashhad,STATE_KHORASAN,,29,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Sharīf Surūr ibn Musāʿid,1167 AH (≈1754 CE),HIJRI_YEAR / APPROXIMATE_CE_YEAR,UNKNOWN,UNRESOLVED,,21,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Jassa Singh Ahluwalia,1718-05-03,exact_day_high_confidence,"Ahlu village, near Lahore",STATE_PUNJAB,1718.5.3,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Robert Fletcher,c.1738,circa_year,Unknown in sources consulted,UNRESOLVED_OUTSIDE_SOUTH_ASIA,,37,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
James Stuart,,unknown_18th_century,Unknown in sources consulted,UNRESOLVED_OUTSIDE_SOUTH_ASIA,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
John Clavering,1722,year_only; baptised 1722-08-31 at Lanchester,"Lanchester, County Durham",UNRESOLVED_OUTSIDE_SOUTH_ASIA,,53,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Haripant Phadke,c.1729,circa_year; exact date explicitly unknown,"Exact birthplace not securely established; family originally from Guhagar, Konkan",STATE_BOMBAY provisional if Guhagar association is used,,46,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Tukoji Holkar,1723-06-26,claimed_exact_day_but_source_conflict; same secondary page also says 1725; verify before hardcoding,Unknown in sources consulted,UNRESOLVED,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Mahadji Shinde,c.1727,year_uncertain; Maharashtra state encyclopedia gives ?1727; reject false exact 1730 day without stronger evidence,"Exact birthplace not explicitly secured; family seat Kanherkhed, Satara district",STATE_BOMBAY provisional for Satara/Kanherkhed,,48,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Mudhoji Bhonsle,,unknown; do not use weak 1735 claim,Unknown in priority sources consulted,UNRESOLVED,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Hyder Ali,c.1722,year_uncertain; early-life chronology explicitly uncertain,Budikote near Kolar (commonly attested; early-life details uncertain),STATE_MYSORE,,53,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Tipu Sultan,1750-11-20,exact_day_high_confidence,"Devanahalli, near Bangalore",STATE_MYSORE,1750.11.20,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Eustachius De Lannoy,1715,year_high_confidence; exact day and birthplace disputed,"Disputed: Belgium/Southern Netherlands in Ulloor tradition; Arras, Artois, Kingdom of France in Mark de Lannoy reconstruction",UNRESOLVED_OUTSIDE_SOUTH_ASIA,,60,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Mirza Najaf Khan,1723,year_high_confidence; exact day/location not secured,Iran/Persia; exact locality unresolved,UNRESOLVED_OUTSIDE_SOUTH_ASIA,,52,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Fengshenge,UNKNOWN,UNKNOWN,UNKNOWN_NOT_ATTESTED,UNKNOWN_NOT_MAPPABLE,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Agūi,1717-09-07,EXACT_DAY_SOURCE_CONVERTED,UNKNOWN_NOT_ATTESTED_IN_CONSULTED_AUTHORITY,UNKNOWN_NOT_MAPPABLE,1717.9.7,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Fuyu,UNKNOWN,UNKNOWN_SOURCE_CONFLICT,UNKNOWN_NOT_ATTESTED,UNKNOWN_NOT_MAPPABLE,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Mingliang,1736,YEAR,UNKNOWN_NOT_ATTESTED,UNKNOWN_NOT_MAPPABLE,,39,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Qilikeqi,UNKNOWN,UNKNOWN,UNKNOWN_NOT_ATTESTED,UNKNOWN_NOT_MAPPABLE,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Wufu,c.1728,APPROX_YEAR,UNKNOWN_NOT_ATTESTED,UNKNOWN_NOT_MAPPABLE,,47,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Hailancha,UNKNOWN,UNKNOWN,UNKNOWN_NOT_ATTESTED,UNKNOWN_NOT_MAPPABLE,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Techenge,1746,YEAR,UNKNOWN_NOT_ATTESTED,UNKNOWN_NOT_MAPPABLE,,29,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Maha Thiha Thura,1720,YEAR_ONLY_DISPUTED,Mu River valley / Shwebo area,STATE_MANDALAY (approximate mapping for Shwebo/Mu Valley),,55,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Simón de Anda y Salazar,1709-10-28,EXACT,"Subijana / Subijana-Morillas, Álava",STATE_NAVARRA (approximate V3 mapping for Álava/Basque provinces),1709.10.28,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Kuze Hiroaki,1732,YEAR,UNKNOWN_NOT_ATTESTED_IN_CONSULTED_BIOGRAPHY,UNKNOWN_NOT_MAPPABLE,,43,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Raja Haji Fisabilillah,1725-1727,CONFLICTING_APPROXIMATE_YEAR_RANGE,Kota Lama / Hulu Riau (Riau archipelago),STATE_MALAYA (approximate current-mod mapping; verify Riau island province assignment before implementation),,49,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Chao Phraya Chakri (Thongduang),1737-03-20,EXACT_DAY_MONTH_CALENDAR_CONVERSION_RESOLVED_WITH_NOTE,Ayutthaya,STATE_BANGKOK (current V3 regional approximation for Ayutthaya/central Siam),1737.3.20,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Wand Bewossen,,UNKNOWN,,,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Ibrahima Sori Mawdo,,UNKNOWN,,,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Sira Bo Kulibali,,UNKNOWN,,,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Ngolo Diarra,c.1718,APPROX_YEAR,"Niola, region of Koulikoro (reported in later syntheses)",VERIFY — do not guess during implementation,,57,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Ngwane III,,UNKNOWN,,,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
