tag,country_name,centralized,barracks_levels,land_formations,infantry_units,cavalry_units,artillery_units,other_land_units,total_land_units,land_manpower_equivalent,naval_base_levels,fleets,frigate_units,ship_of_the_line_units,other_ship_units,total_naval_units,naval_manpower_equivalent,generals,admirals,empty_armies,empty_fleets,duplicate_army_names,duplicate_fleet_names,invalid_land_unit_refs,invalid_naval_unit_refs,structural_risk,notes
ACE,Aceh,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_ACEH:4; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_ACEH:4; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BHU,Bhutan,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_EASTERN_HIMALAYAS:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_EASTERN_HIMALAYAS:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BHV,Bhavnagar,YES,0,1,3,1,0,0,4,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_GUJARAT:4; capacity_floor_by_state=STATE_GUJARAT:4; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BIC,East India,YES,0,1,60,10,10,0,80,80000,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,P0,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_AGRA:5|STATE_AWADH:10|STATE_BIHAR:19|STATE_EAST_BENGAL:15|STATE_WEST_BENGAL:31; capacity_floor_by_state=STATE_AGRA:5|STATE_AWADH:10|STATE_BIHAR:19|STATE_EAST_BENGAL:15|STATE_WEST_BENGAL:31; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BLG,Bulungan,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_EAST_BORNEO:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_EAST_BORNEO:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BNJ,Banjar,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_EAST_BORNEO:4; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_EAST_BORNEO:4; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BNY,Bunyoro,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_UGANDA:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_UGANDA:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BOR,Bornu,YES,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_BORNU:15; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_BORNU:15; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BRA,Brunswick,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=NONE; capacity_floor_by_state=NONE; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BRD,Burundi,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_TANGANYIKA:5; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_TANGANYIKA:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BRE,Bremen,YES,0,1,1,0,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_ELBE:1; capacity_floor_by_state=STATE_ELBE:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BRG,Borgu,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_DAHOMEY:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_DAHOMEY:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BRU,Brunei,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_NORTH_BORNEO:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_NORTH_BORNEO:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BRZ,Brazil,YES,0,1,3,1,0,0,4,4000,0,1,8,1,0,9,4800,0,0,0,0,0,0,0,0,P0,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_PARAIBA:1|STATE_RIO_DE_JANEIRO:3; capacity_floor_by_state=STATE_PARAIBA:1|STATE_RIO_DE_JANEIRO:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=4800. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BST,Basutoland,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_VRYSTAAT:2|STATE_ZULULAND:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_VRYSTAAT:2|STATE_ZULULAND:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BTN,Buton,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_CELEBES:1; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_CELEBES:1; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BUG,Buganda,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_UGANDA:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_UGANDA:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BUK,Bukhara,YES,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_UZBEKIA:20; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_UZBEKIA:20; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
BUR,Burma,YES,0,1,30,3,1,0,34,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_KACHIN:10|STATE_MANDALAY:15|STATE_PEGU:9; capacity_floor_by_state=STATE_KACHIN:10|STATE_MANDALAY:15|STATE_PEGU:9; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CAM,Cambodia,YES,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_CAMBODIA:15; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_CAMBODIA:15; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CHC,Chechnya,YES,0,2,9,1,0,0,10,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_DAGESTAN:5|STATE_NORTH_CAUCASUS:5; capacity_floor_by_state=STATE_DAGESTAN:5|STATE_NORTH_CAUCASUS:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CHI,China,YES,0,16,410,75,0,0,485,485000,0,2,15,0,0,15,7500,8,2,0,0,0,0,0,0,P0,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_ALXA:2|STATE_BEIJING:20|STATE_CHONGQING:20|STATE_EASTERN_HUBEI:15|STATE_FORMOSA:5|STATE_FUJIAN:20|STATE_GANSU:5|STATE_GUANGDONG:20|STATE_GUANGXI:20|STATE_GUIZHOU:10|STATE_HINGGAN:8|STATE_HUNAN:25|STATE_JIANGSU:25|STATE_JIANGXI:20|STATE_NANJING:20|STATE_NINGXIA:5|STATE_NORTHERN_ANHUI:15|STATE_NORTHERN_MANCHURIA:10|STATE_OUTER_MANCHURIA:5|STATE_QINGHAI:10|STATE_SHANDONG:10|STATE_SHANXI:10|STATE_SHAOZHOU:20|STATE_SICHUAN:20|STATE_SOUTHERN_ANHUI:20|STATE_SOUTHERN_MANCHURIA:20|STATE_SUZHOU:20|STATE_WESTERN_HUBEI:20|STATE_XIAN:15|STATE_YUNNAN:20|STATE_ZHEJIANG:10|STATE_ZHILI:20; capacity_floor_by_state=STATE_ALXA:2|STATE_BEIJING:20|STATE_CHONGQING:20|STATE_EASTERN_HUBEI:15|STATE_FORMOSA:5|STATE_FUJIAN:20|STATE_GANSU:5|STATE_GUANGDONG:20|STATE_GUANGXI:20|STATE_GUIZHOU:10|STATE_HINGGAN:8|STATE_HUNAN:25|STATE_JIANGSU:25|STATE_JIANGXI:20|STATE_NANJING:20|STATE_NINGXIA:5|STATE_NORTHERN_ANHUI:15|STATE_NORTHERN_MANCHURIA:10|STATE_OUTER_MANCHURIA:5|STATE_QINGHAI:10|STATE_SHANDONG:10|STATE_SHANXI:10|STATE_SHAOZHOU:20|STATE_SICHUAN:20|STATE_SOUTHERN_ANHUI:20|STATE_SOUTHERN_MANCHURIA:20|STATE_SUZHOU:20|STATE_WESTERN_HUBEI:20|STATE_XIAN:15|STATE_YUNNAN:20|STATE_ZHEJIANG:10|STATE_ZHILI:20; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=7500. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CHP,Champasak,YES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_LAOS:3; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_LAOS:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CIR,Circassia,YES,0,2,12,6,0,0,18,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_KUBAN:15|STATE_NORTH_CAUCASUS:3; capacity_floor_by_state=STATE_KUBAN:15|STATE_NORTH_CAUCASUS:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CMI,Chiang Mai,YES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_CHIANG_MAI:10; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_CHIANG_MAI:10; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
COB,Saxe-Coburg-Gotha,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_SAXONY:2; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_SAXONY:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
COC,Cochin,YES,0,1,2,0,0,0,2,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_TRAVANCORE:2; capacity_floor_by_state=STATE_TRAVANCORE:2; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CON,Constantine,YES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_CONSTANTINE:6; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_CONSTANTINE:6; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
COO,Cooch Behar,YES,0,1,3,0,0,0,3,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_WEST_BENGAL:3; capacity_floor_by_state=STATE_WEST_BENGAL:3; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CRI,Crimea,YES,0,1,5,8,0,0,13,13000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_BESSARABIA:4|STATE_CHERSON:1|STATE_CRIMEA:2|STATE_TAURIDA:6; capacity_floor_by_state=STATE_BESSARABIA:4|STATE_CHERSON:1|STATE_CRIMEA:2|STATE_TAURIDA:6; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
CUB,Cuba,YES,0,1,9,1,1,0,11,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_CENTRAL_CUBA:2|STATE_EASTERN_CUBA:2|STATE_WESTERN_CUBA:7; capacity_floor_by_state=STATE_CENTRAL_CUBA:2|STATE_EASTERN_CUBA:2|STATE_WESTERN_CUBA:7; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
DAH,Dahomey,YES,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_DAHOMEY:7; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_DAHOMEY:7; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
DAI,Dai Nam,YES,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_ANNAM:20|STATE_MEKONG:15|STATE_TONKIN:20; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_ANNAM:20|STATE_MEKONG:15|STATE_TONKIN:20; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
DEI,East Indies,YES,0,1,18,1,1,0,20,20000,2,1,1,0,0,1,500,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_CENTRAL_JAVA:4|STATE_EAST_JAVA:6|STATE_SOUTH_SUMATRA:2|STATE_WEST_JAVA:8; capacity_floor_by_state=STATE_CENTRAL_JAVA:4|STATE_EAST_JAVA:6|STATE_SOUTH_SUMATRA:2|STATE_WEST_JAVA:8; naval_administration_by_state=STATE_WEST_JAVA:2; naval_sailor_capacity=2000; naval_crew_requirement=500. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
DENNOR,Denmark-Norway,YES,0,1,9,8,1,0,18,18000,9,1,8,6,0,14,8800,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=NONE; formation_required_levels_by_state=STATE_JUTLAND:6|STATE_ZEALAND:12; capacity_floor_by_state=STATE_JUTLAND:6|STATE_ZEALAND:12; naval_administration_by_state=STATE_ZEALAND:9; naval_sailor_capacity=9000; naval_crew_requirement=8800. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
DFR,Darfur,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFO,explicit_barracks_by_state=STATE_DARFUR:5; formation_required_levels_by_state=NONE; capacity_floor_by_state=STATE_DARFUR:5; naval_administration_by_state=NONE; naval_sailor_capacity=0; naval_crew_requirement=0. barracks_levels is the literal building-history total; formation unit counts separately imply one supported level each under COMBAT_UNITS_PER_LEVEL=1.
