tag,country_name,state,population_relevant,incorporated,military_law,true_native_formula_rate,true_native_raw,raw_state_center_cap,country_has_active_conscription_law,state_directly_owned,state_incorporation_status,state_conscription_allowed,unit_type_allowed_for_conscripts,tech_requirements_met,law_requirements_met,other_engine_requirements_met,active_church_law,effective_rate_factor,final_state_effective_cap,capacity_basis,effective_native_country_cap,desired_2d2,final_scripted_country_target,country_shortfall,country_shortfall_reason
AUS,Austria,STATE_AUSTRIA,604320,YES,law_professional_army,0.010000,6.043200,7,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,6,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_BOHEMIA,1245123,YES,law_professional_army,0.010000,12.451230,13,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,12,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_BUKOVINA,111723,YES,law_professional_army,0.010000,1.117230,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_CROATIA,248397,YES,law_professional_army,0.010000,2.483970,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_EAST_SWITZERLAND,9000,YES,law_professional_army,0.010000,0.090000,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_LOMBARDY,713217,YES,law_professional_army,0.010000,7.132170,8,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,7,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_MORAVIA,508247,YES,law_professional_army,0.010000,5.082470,6,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,5,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_SLAVONIA,109868,YES,law_professional_army,0.010000,1.098680,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_SLOVENIA,145736,YES,law_professional_army,0.010000,1.457360,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_STYRIA,221038,YES,law_professional_army,0.010000,2.210380,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_TYROL,167791,YES,law_professional_army,0.010000,1.677910,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AUS,Austria,STATE_UPPER_SILESIA,120596,YES,law_professional_army,0.010000,1.205960,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,39,70,39,31,EFFECTIVE_NATIVE_CAP
AWA,Awadh,STATE_AWADH,1206055,YES,law_professional_army,0.010000,12.060550,13,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,7,VANILLA_1_13_9_EFFECTIVE_FORMULA,7,55,7,48,EFFECTIVE_NATIVE_CAP
BAD,Baden,STATE_BADEN,325350,YES,law_professional_army,0.010000,3.253500,4,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,3,VANILLA_1_13_9_EFFECTIVE_FORMULA,3,4,3,1,EFFECTIVE_NATIVE_CAP
BAL,Bali,STATE_SUNDA_ISLANDS,214473,YES,law_peasant_levies,0.040000,8.578920,9,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,8,VANILLA_1_13_9_EFFECTIVE_FORMULA,8,8,8,0,NONE
BAV,Bavaria,STATE_BAVARIA,435501,YES,law_professional_army,0.010000,4.355010,5,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,4,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,4,4,0,NONE
BAV,Bavaria,STATE_FRANCONIA,469048,YES,law_professional_army,0.010000,4.690480,5,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,4,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,4,4,0,NONE
BAV,Bavaria,STATE_RHINELAND,139398,YES,law_professional_army,0.010000,1.393980,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,4,4,0,NONE
BEN,Benin,STATE_BENIN,465947,YES,law_peasant_levies,0.040000,18.637880,19,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,18,VANILLA_1_13_9_EFFECTIVE_FORMULA,18,24,18,6,EFFECTIVE_NATIVE_CAP
BEO,Austrian Netherlands (BEO/Belgium),STATE_FLANDERS,599586,YES,law_professional_army,0.010000,5.995860,6,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,5,VANILLA_1_13_9_EFFECTIVE_FORMULA,8,12,0,12,STRUCTURAL_DEFER
BEO,Austrian Netherlands (BEO/Belgium),STATE_GELRE,11735,YES,law_professional_army,0.010000,0.117350,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,8,12,0,12,STRUCTURAL_DEFER
BEO,Austrian Netherlands (BEO/Belgium),STATE_WALLONIA,325022,YES,law_professional_army,0.010000,3.250220,4,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,3,VANILLA_1_13_9_EFFECTIVE_FORMULA,8,12,0,12,STRUCTURAL_DEFER
BGI,Bagirmi,STATE_WADDAI,36998,YES,law_peasant_levies,0.040000,1.479920,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,3,0,3,EFFECTIVE_NATIVE_CAP
BHN,Bahrain,STATE_ABU_DHABI,7932,YES,law_peasant_levies,0.040000,0.317280,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,0,0,0,NONE
BHN,Bahrain,STATE_LARISTAN,1867,YES,law_peasant_levies,0.040000,0.074680,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,0,0,0,NONE
BHU,Bhutan,STATE_EASTERN_HIMALAYAS,39100,YES,law_peasant_levies,0.040000,1.564000,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,2,1,1,EFFECTIVE_NATIVE_CAP
BHV,Bhavnagar,STATE_GUJARAT,1333759,YES,law_peasant_levies,0.040000,53.350360,25,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,25,VANILLA_1_13_9_EFFECTIVE_FORMULA,25,4,4,0,NONE
BIC,East India,STATE_AWADH,920613,YES,law_professional_army,0.010000,9.206130,10,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,9,VANILLA_1_13_9_EFFECTIVE_FORMULA,143,45,45,0,NONE
BIC,East India,STATE_BIHAR,3241947,YES,law_professional_army,0.010000,32.419470,33,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,32,VANILLA_1_13_9_EFFECTIVE_FORMULA,143,45,45,0,NONE
BIC,East India,STATE_BUNDELKHAND,120602,YES,law_professional_army,0.010000,1.206020,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,143,45,45,0,NONE
BIC,East India,STATE_CIRCARS,775563,YES,law_professional_army,0.010000,7.755630,8,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,7,VANILLA_1_13_9_EFFECTIVE_FORMULA,143,45,45,0,NONE
BIC,East India,STATE_EAST_BENGAL,5656668,YES,law_professional_army,0.010000,56.566680,50,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,50,VANILLA_1_13_9_EFFECTIVE_FORMULA,143,45,45,0,NONE
BIC,East India,STATE_PEGU,480,NO,law_professional_army,0.010000,0.004800,1,YES,YES,NO,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,0.500,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,143,45,45,0,NONE
BIC,East India,STATE_WEST_BENGAL,4474844,YES,law_professional_army,0.010000,44.748440,45,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,44,VANILLA_1_13_9_EFFECTIVE_FORMULA,143,45,45,0,NONE
BLG,Bulungan,STATE_EAST_BORNEO,27000,YES,law_peasant_levies,0.040000,1.080000,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,2,0,2,EFFECTIVE_NATIVE_CAP
BLG,Bulungan,STATE_NORTH_BORNEO,3150,YES,law_peasant_levies,0.040000,0.126000,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,2,0,2,EFFECTIVE_NATIVE_CAP
BNJ,Banjar,STATE_EAST_BORNEO,47398,YES,law_peasant_levies,0.040000,1.895920,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,4,1,3,EFFECTIVE_NATIVE_CAP
BNY,Bunyoro,STATE_UGANDA,64500,YES,law_peasant_levies,0.040000,2.580000,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,2,3,2,1,EFFECTIVE_NATIVE_CAP
BOR,Bornu,STATE_BORNU,162247,YES,law_peasant_levies,0.040000,6.489880,7,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,3,VANILLA_1_13_9_EFFECTIVE_FORMULA,3,18,3,15,EFFECTIVE_NATIVE_CAP
BOR,Bornu,STATE_CHAD,22250,YES,law_peasant_levies,0.040000,0.890000,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,3,18,3,15,EFFECTIVE_NATIVE_CAP
BOR,Bornu,STATE_OUTER_HAUSALAND,28727,YES,law_peasant_levies,0.040000,1.149080,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,3,18,3,15,EFFECTIVE_NATIVE_CAP
BOR,Bornu,STATE_WADDAI,8000,YES,law_peasant_levies,0.040000,0.320000,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,3,18,3,15,EFFECTIVE_NATIVE_CAP
BRA,Brunswick,STATE_BRUNSWICK,56100,YES,law_professional_army,0.010000,0.561000,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,0,0,0,NONE
BRD,Burundi,STATE_TANGANYIKA,121001,YES,law_peasant_levies,0.040000,4.840040,5,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,4,VANILLA_1_13_9_EFFECTIVE_FORMULA,4,6,4,2,EFFECTIVE_NATIVE_CAP
BRE,Bremen,STATE_ELBE,26501,YES,law_professional_army,0.010000,0.265010,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,0,0,0,NONE
BRG,Borgu,STATE_DAHOMEY,53522,YES,law_peasant_levies,0.040000,2.140880,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,3,1,2,EFFECTIVE_NATIVE_CAP
BRG,Borgu,STATE_HAUSALAND,10000,YES,law_peasant_levies,0.040000,0.400000,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,3,1,2,EFFECTIVE_NATIVE_CAP
BRU,Brunei,STATE_NORTH_BORNEO,57598,YES,law_peasant_levies,0.040000,2.303920,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,2,1,1,EFFECTIVE_NATIVE_CAP
BRZ,Brazil,STATE_BAHIA,219690,YES,law_professional_army,0.010000,2.196900,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_CEARA,59213,YES,law_professional_army,0.010000,0.592130,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_GOIAS,21506,YES,law_professional_army,0.010000,0.215060,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_MARANHAO,46381,YES,law_professional_army,0.010000,0.463810,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_MINAS_GERAIS,227801,YES,law_professional_army,0.010000,2.278010,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_PARA,92068,YES,law_professional_army,0.010000,0.920680,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_PARAIBA,39431,YES,law_professional_army,0.010000,0.394310,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_PARANA,10672,YES,law_professional_army,0.010000,0.106720,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_PERNAMBUCO,218145,YES,law_professional_army,0.010000,2.181450,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_PIAUI,29619,YES,law_professional_army,0.010000,0.296190,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_RIO_DE_JANEIRO,211990,YES,law_professional_army,0.010000,2.119900,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_RIO_GRANDE_DO_NORTE,24547,YES,law_professional_army,0.010000,0.245470,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_RIO_GRANDE_DO_SUL,61279,YES,law_professional_army,0.010000,0.612790,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_SANTA_CATARINA,18691,YES,law_professional_army,0.010000,0.186910,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BRZ,Brazil,STATE_SAO_PAULO,105252,YES,law_professional_army,0.010000,1.052520,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,9,0,0,0,STRUCTURAL_DEFER
BST,Basutoland,STATE_VRYSTAAT,6775,YES,law_peasant_levies,0.040000,0.271000,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,6,1,5,EFFECTIVE_NATIVE_CAP
BST,Basutoland,STATE_ZULULAND,28974,YES,law_peasant_levies,0.040000,1.158960,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,1.000,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,6,1,5,EFFECTIVE_NATIVE_CAP
BTN,Buton,STATE_CELEBES,16236,YES,law_peasant_levies,0.040000,0.649440,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,0,2,0,2,EFFECTIVE_NATIVE_CAP
BUG,Buganda,STATE_UGANDA,196672,YES,law_peasant_levies,0.040000,7.866880,8,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,7,VANILLA_1_13_9_EFFECTIVE_FORMULA,7,12,7,5,EFFECTIVE_NATIVE_CAP
BUK,Bukhara,STATE_MERZ,16591,YES,law_peasant_levies,0.040000,0.663640,1,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,8,24,8,16,EFFECTIVE_NATIVE_CAP
BUK,Bukhara,STATE_TAJIKISTAN,88359,YES,law_peasant_levies,0.040000,3.534360,4,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,2,VANILLA_1_13_9_EFFECTIVE_FORMULA,8,24,8,16,EFFECTIVE_NATIVE_CAP
BUK,Bukhara,STATE_UZBEKIA,286646,YES,law_peasant_levies,0.040000,11.465840,12,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,6,VANILLA_1_13_9_EFFECTIVE_FORMULA,8,24,8,16,EFFECTIVE_NATIVE_CAP
BUR,Burma,STATE_KACHIN,164792,YES,law_peasant_levies,0.040000,6.591680,7,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,6,VANILLA_1_13_9_EFFECTIVE_FORMULA,36,60,36,24,EFFECTIVE_NATIVE_CAP
BUR,Burma,STATE_MANDALAY,274533,YES,law_peasant_levies,0.040000,10.981320,11,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,10,VANILLA_1_13_9_EFFECTIVE_FORMULA,36,60,36,24,EFFECTIVE_NATIVE_CAP
BUR,Burma,STATE_PEGU,338639,YES,law_peasant_levies,0.040000,13.545560,14,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,13,VANILLA_1_13_9_EFFECTIVE_FORMULA,36,60,36,24,EFFECTIVE_NATIVE_CAP
BUR,Burma,STATE_SHAN_STATES,124731,YES,law_peasant_levies,0.040000,4.989240,5,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,4,VANILLA_1_13_9_EFFECTIVE_FORMULA,36,60,36,24,EFFECTIVE_NATIVE_CAP
BUR,Burma,STATE_TENASSERIM,94424,YES,law_peasant_levies,0.040000,3.776960,4,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,3,VANILLA_1_13_9_EFFECTIVE_FORMULA,36,60,36,24,EFFECTIVE_NATIVE_CAP
CAM,Cambodia,STATE_CAMBODIA,188654,YES,law_peasant_levies,0.040000,7.546160,8,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_state_religion,1.000,7,VANILLA_1_13_9_EFFECTIVE_FORMULA,7,12,7,5,EFFECTIVE_NATIVE_CAP
CHC,Chechnya,STATE_DAGESTAN,51077,YES,law_national_militia,0.050000,2.553850,3,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,1,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,24,1,23,EFFECTIVE_NATIVE_CAP
CHC,Chechnya,STATE_NORTH_CAUCASUS,26500,YES,law_national_militia,0.050000,1.325000,2,YES,YES,YES,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_people_of_the_book,0.600,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,1,24,1,23,EFFECTIVE_NATIVE_CAP
CHI,China,STATE_ALTAI,7750,NO,law_peasant_levies,0.040000,0.310000,1,YES,YES,NO,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,0.500,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,766,150,150,0,NONE
CHI,China,STATE_ALXA,11197,NO,law_peasant_levies,0.040000,0.447880,1,YES,YES,NO,YES,YES_INFANTRY_BASELINE,YES,YES,YES,law_freedom_of_conscience,0.500,0,VANILLA_1_13_9_EFFECTIVE_FORMULA,766,150,150,0,NONE
