historical_person,tag,target_formation,existing_character_found,existing_character_file,existing_template,existing_dna,reuse_possible,reuse_method,duplicate_created,fallback,notes
Muhammad Amin Inaq,KHI,cleanup2d3b_khi_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Ablai Khan,OZH,cleanup2d3b_ozh_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
George Washington,USA,cleanup2d3b_usa_land_1,NO,,NONE_IDENTIFIED,dna_washington_traitor,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Victor-Thérèse Charpentier d'Ennery,HAI,ArmeeIndigene,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Felipe de Fonsdeviela y Ondeano,CUB,MiliciasdeCuba,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Miguel de Muesas,PCO,MiliciasDiciplinadas,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Tempest,MKT,cleanup2d3b_mkt_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
João Henrique Böhm,BRZ,Exrcito_Imperial_Brasileiro,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
José Diguja,SC2,Ejrcito_del_Ecuador,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Manuel de Guirior,SC2,Ejrcito_de_la_Nueva_Granada,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Ibrahim Bey of Mascara,MAS,Jaish_alMohammadi,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Salah Bey,CON,cleanup2d3b_con_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Sidi Tahar ben Abdelhaq Fennich,MOR,cleanup2d3b_mor_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Süleyman Ağa,IR1,cleanup2d3e_r1_ir1_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Moḥammad Ṣādeq Khan Zand,PER,cleanup2d3e_r1_per_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Tīmūr Shah Dorrānī,DUR,cleanup2d3e_r1_dur_land_1,YES,common/history/characters/dur.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Sharīf Surūr ibn Musāʿid,HDJ,cleanup2d3b_hdj_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Jassa Singh Ahluwalia,PAN,FaujiKhas,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Robert Fletcher,BIC,cleanup2d3b_bic_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
James Stuart,BIC,cleanup2d3b_bic_land_3,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
John Clavering,BIC,Bengal_Army,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Haripant Phadke,MARATH,cleanup2d3b_marath_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Tukoji Holkar,MARATH,cleanup2d3b_marath_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Mahadji Shinde,GWA,GwaliorArmy,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Mudhoji Bhonsle,NAG,NagpurArmy,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Hyder Ali,MYS,cleanup2d3b_mys_land_2,YES,common/history/characters/cleanup2b1 - major rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Tipu Sultan,MYS,cleanup2d3b_mys_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Eustachius De Lannoy,TRA,TravancoreArmy,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Mirza Najaf Khan,MUG,MughalArmy,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Fengshenge,CHI,cleanup2d3b_chi_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Agūi,CHI,cleanup2d3b_chi_land_2,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Fuyu,CHI,cleanup2d3b_chi_land_3,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Mingliang,CHI,cleanup2d3b_chi_land_4,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Qilikeqi,CHI,cleanup2d3b_chi_land_5,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Wufu,CHI,cleanup2d3b_chi_land_6,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Hailancha,CHI,cleanup2d3b_chi_land_7,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Techenge,CHI,cleanup2d3b_chi_land_8,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Maha Thiha Thura,BUR,tatmadaw,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Simón de Anda y Salazar,PHI,ejercito_de_filipinas,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Kuze Hiroaki,JAP,Kinai_Guard_Army,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Raja Haji Fisabilillah,JOH,cleanup2d3b_joh_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Chao Phraya Chakri (Thongduang),SIA,cleanup2d3b_sia_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Wand Bewossen,ETH,cleanup2d3b_eth_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Ibrahima Sori Mawdo,FTJ,cleanup2d3b_ftj_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Sira Bo Kulibali,KRT,cleanup2d3b_krt_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Ngolo Diarra,SGU,cleanup2d3b_sgu_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
Ngwane III,SWZ,cleanup2d3b_swz_land_1,YES,common/history/characters/cleanup2c1 - non europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Vanilla 1.13 supports ruler=yes plus is_general=yes.
George Browne,UBD,cleanup2d3e_r1_ubd_land_1,YES,common/history/characters/cleanup2b3 - residual europe rulers 1776.txt,NONE_IDENTIFIED,NONE_IDENTIFIED,YES,ADD is_general=yes + save_scope_as; transfer same character,NO,NONE,Same George Browne instance retained as ruler/general; DUAL_ROLE_CHARACTER_LEVEL_PROFILE_CONSTRAINT preserves ruler IG/ideology.
Gu Seon-bok,KOR,cleanup2d3b_kor_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
Abhiman Singh Basnyat,NEP,cleanup2d3b_nep_land_1,NO,,NONE_IDENTIFIED,NONE_IDENTIFIED,NOT_APPLICABLE,CREATE_SINGLE_CHARACTER,NO,NONE,Repo-wide name/template/DNA audit found no reusable exact person.
