tag,formation,state,unit_type,raw_cap,effective_cap,r1_assigned,final_assigned,rejection_reason,materialization_expected,law_forced_composition_simplification,mismatch_after
BEO,NONE,STATE_FLANDERS,N/A_NO_SCRIPTED_CONSCRIPTS,6,5,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BEO,NONE,STATE_GELRE,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BEO,NONE,STATE_WALLONIA,N/A_NO_SCRIPTED_CONSCRIPTS,4,3,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BGI,FIRST_SCRIPTED_LAND_FORMATION,STATE_WADDAI,combat_unit_type_irregular_infantry,2,0,2,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BHN,NONE,STATE_ABU_DHABI,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BHN,NONE,STATE_LARISTAN,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BHU,FIRST_SCRIPTED_LAND_FORMATION,STATE_EASTERN_HIMALAYAS,combat_unit_type_irregular_infantry,2,1,2,1,NONE,YES,YES,0
BHV,FIRST_SCRIPTED_LAND_FORMATION,STATE_GUJARAT,combat_unit_type_irregular_infantry,25,25,4,4,NONE,YES,YES,0
BIC,FIRST_SCRIPTED_LAND_FORMATION,STATE_AWADH,combat_unit_type_line_infantry,10,9,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BIC,FIRST_SCRIPTED_LAND_FORMATION,STATE_BIHAR,combat_unit_type_line_infantry,33,32,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BIC,FIRST_SCRIPTED_LAND_FORMATION,STATE_BUNDELKHAND,combat_unit_type_line_infantry,2,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BIC,FIRST_SCRIPTED_LAND_FORMATION,STATE_CIRCARS,combat_unit_type_line_infantry,8,7,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BIC,FIRST_SCRIPTED_LAND_FORMATION,STATE_EAST_BENGAL,combat_unit_type_line_infantry,50,50,45,45,NONE,YES,NO,0
BIC,FIRST_SCRIPTED_LAND_FORMATION,STATE_PEGU,combat_unit_type_line_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BIC,FIRST_SCRIPTED_LAND_FORMATION,STATE_WEST_BENGAL,combat_unit_type_line_infantry,45,44,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BLG,FIRST_SCRIPTED_LAND_FORMATION,STATE_EAST_BORNEO,combat_unit_type_irregular_infantry,2,0,2,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BLG,FIRST_SCRIPTED_LAND_FORMATION,STATE_NORTH_BORNEO,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BNJ,FIRST_SCRIPTED_LAND_FORMATION,STATE_EAST_BORNEO,combat_unit_type_irregular_infantry,2,1,2,1,NONE,YES,YES,0
BNY,FIRST_SCRIPTED_LAND_FORMATION,STATE_UGANDA,combat_unit_type_irregular_infantry,3,2,3,2,NONE,YES,YES,0
BOR,FIRST_SCRIPTED_LAND_FORMATION,STATE_BORNU,combat_unit_type_irregular_infantry,7,3,7,3,NONE,YES,YES,0
BOR,FIRST_SCRIPTED_LAND_FORMATION,STATE_CHAD,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BOR,FIRST_SCRIPTED_LAND_FORMATION,STATE_OUTER_HAUSALAND,combat_unit_type_irregular_infantry,2,0,2,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BOR,FIRST_SCRIPTED_LAND_FORMATION,STATE_WADDAI,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BRA,NONE,STATE_BRUNSWICK,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRD,FIRST_SCRIPTED_LAND_FORMATION,STATE_TANGANYIKA,combat_unit_type_irregular_infantry,5,4,5,4,NONE,YES,YES,0
BRE,NONE,STATE_ELBE,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRG,FIRST_SCRIPTED_LAND_FORMATION,STATE_DAHOMEY,combat_unit_type_irregular_infantry,3,1,3,1,NONE,YES,YES,0
BRG,FIRST_SCRIPTED_LAND_FORMATION,STATE_HAUSALAND,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BRU,FIRST_SCRIPTED_LAND_FORMATION,STATE_NORTH_BORNEO,combat_unit_type_irregular_infantry,3,1,2,1,NONE,YES,YES,0
BRZ,NONE,STATE_BAHIA,N/A_NO_SCRIPTED_CONSCRIPTS,3,2,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BRZ,NONE,STATE_CEARA,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_GOIAS,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_MARANHAO,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_MINAS_GERAIS,N/A_NO_SCRIPTED_CONSCRIPTS,3,2,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BRZ,NONE,STATE_PARA,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_PARAIBA,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_PARANA,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_PERNAMBUCO,N/A_NO_SCRIPTED_CONSCRIPTS,3,2,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BRZ,NONE,STATE_PIAUI,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_RIO_DE_JANEIRO,N/A_NO_SCRIPTED_CONSCRIPTS,3,2,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BRZ,NONE,STATE_RIO_GRANDE_DO_NORTE,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_RIO_GRANDE_DO_SUL,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_SANTA_CATARINA,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
BRZ,NONE,STATE_SAO_PAULO,N/A_NO_SCRIPTED_CONSCRIPTS,2,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
BST,FIRST_SCRIPTED_LAND_FORMATION,STATE_VRYSTAAT,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BST,FIRST_SCRIPTED_LAND_FORMATION,STATE_ZULULAND,combat_unit_type_irregular_infantry,2,1,2,1,NONE,YES,YES,0
BTN,FIRST_SCRIPTED_LAND_FORMATION,STATE_CELEBES,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BUG,FIRST_SCRIPTED_LAND_FORMATION,STATE_UGANDA,combat_unit_type_irregular_infantry,8,7,8,7,NONE,YES,YES,0
BUK,FIRST_SCRIPTED_LAND_FORMATION,STATE_MERZ,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
BUK,FIRST_SCRIPTED_LAND_FORMATION,STATE_TAJIKISTAN,combat_unit_type_irregular_infantry,4,2,4,2,NONE,YES,YES,0
BUK,FIRST_SCRIPTED_LAND_FORMATION,STATE_UZBEKIA,combat_unit_type_irregular_infantry,12,6,12,6,NONE,YES,YES,0
BUR,FIRST_SCRIPTED_LAND_FORMATION,STATE_KACHIN,combat_unit_type_irregular_infantry,7,6,7,6,NONE,YES,YES,0
BUR,FIRST_SCRIPTED_LAND_FORMATION,STATE_MANDALAY,combat_unit_type_irregular_infantry,11,10,11,10,NONE,YES,YES,0
BUR,FIRST_SCRIPTED_LAND_FORMATION,STATE_PEGU,combat_unit_type_irregular_infantry,14,13,14,13,NONE,YES,YES,0
BUR,FIRST_SCRIPTED_LAND_FORMATION,STATE_SHAN_STATES,combat_unit_type_irregular_infantry,5,4,5,4,NONE,YES,YES,0
BUR,FIRST_SCRIPTED_LAND_FORMATION,STATE_TENASSERIM,combat_unit_type_irregular_infantry,4,3,4,3,NONE,YES,YES,0
CAM,FIRST_SCRIPTED_LAND_FORMATION,STATE_CAMBODIA,combat_unit_type_irregular_infantry,8,7,8,7,NONE,YES,YES,0
CHC,FIRST_SCRIPTED_LAND_FORMATION,STATE_DAGESTAN,combat_unit_type_irregular_infantry,3,1,3,1,NONE,YES,NO,0
CHC,FIRST_SCRIPTED_LAND_FORMATION,STATE_NORTH_CAUCASUS,combat_unit_type_irregular_infantry,2,0,2,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_ALTAI,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_ALXA,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_AMUR,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_BEIJING,combat_unit_type_irregular_infantry,25,25,25,25,NONE,YES,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CHONGQING,combat_unit_type_irregular_infantry,25,25,25,25,NONE,YES,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_DZUNGARIA,combat_unit_type_irregular_infantry,3,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_EASTERN_HUBEI,combat_unit_type_irregular_infantry,25,25,25,25,NONE,YES,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_FORMOSA,combat_unit_type_irregular_infantry,25,25,25,25,NONE,YES,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_FUJIAN,combat_unit_type_irregular_infantry,25,25,25,25,NONE,YES,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_GANSU,combat_unit_type_irregular_infantry,25,25,25,25,NONE,YES,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_GUANGDONG,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_GUANGXI,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_GUIZHOU,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_HENAN,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_HINGGAN,combat_unit_type_irregular_infantry,22,10,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_HUNAN,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_JETISY,combat_unit_type_irregular_infantry,2,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_JIANGSU,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_JIANGXI,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_KIRGHIZIA,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_NANJING,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_NINGXIA,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_NORTHERN_ANHUI,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_NORTHERN_MANCHURIA,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_OUTER_MANCHURIA,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_QINGHAI,combat_unit_type_irregular_infantry,13,6,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SHANDONG,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SHANXI,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SHAOZHOU,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SHENGJING,combat_unit_type_irregular_infantry,22,21,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SICHUAN,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SOUTHERN_ANHUI,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SOUTHERN_MANCHURIA,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SUZHOU,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_TIANSHAN,combat_unit_type_irregular_infantry,4,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_TUVA,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_ULIASTAI,combat_unit_type_irregular_infantry,3,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_URGA,combat_unit_type_irregular_infantry,4,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_WESTERN_HUBEI,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_XIAN,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_YUNNAN,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_ZHEJIANG,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHI,FIRST_SCRIPTED_LAND_FORMATION,STATE_ZHILI,combat_unit_type_irregular_infantry,25,25,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
CHP,FIRST_SCRIPTED_LAND_FORMATION,STATE_LAOS,combat_unit_type_irregular_infantry,2,1,2,1,NONE,YES,YES,0
CIR,FIRST_SCRIPTED_LAND_FORMATION,STATE_KUBAN,combat_unit_type_irregular_infantry,6,3,6,3,NONE,YES,YES,0
CIR,FIRST_SCRIPTED_LAND_FORMATION,STATE_NORTH_CAUCASUS,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
CMI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CHIANG_MAI,combat_unit_type_irregular_infantry,10,9,8,8,NONE,YES,YES,0
COB,NONE,STATE_SAXONY,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
COC,FIRST_SCRIPTED_LAND_FORMATION,STATE_TRAVANCORE,combat_unit_type_irregular_infantry,2,1,2,1,NONE,YES,NO,0
CON,FIRST_SCRIPTED_LAND_FORMATION,STATE_CONSTANTINE,combat_unit_type_irregular_infantry,16,9,4,4,NONE,YES,YES,0
COO,FIRST_SCRIPTED_LAND_FORMATION,STATE_WEST_BENGAL,combat_unit_type_irregular_infantry,1,0,1,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
CRI,FIRST_SCRIPTED_LAND_FORMATION,STATE_BESSARABIA,combat_unit_type_irregular_infantry,7,3,2,3,NONE,YES,YES,0
CRI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CHERSON,combat_unit_type_irregular_infantry,12,6,12,6,NONE,YES,YES,0
CRI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CRIMEA,combat_unit_type_irregular_infantry,4,1,0,1,NONE,YES,YES,0
CRI,FIRST_SCRIPTED_LAND_FORMATION,STATE_KUBAN,combat_unit_type_irregular_infantry,5,1,0,1,NONE,YES,YES,0
CRI,FIRST_SCRIPTED_LAND_FORMATION,STATE_TAURIDA,combat_unit_type_irregular_infantry,16,9,16,9,NONE,YES,YES,0
CUB,NONE,STATE_CENTRAL_CUBA,N/A_NO_SCRIPTED_CONSCRIPTS,2,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
CUB,NONE,STATE_EASTERN_CUBA,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,NO,0
CUB,NONE,STATE_WESTERN_CUBA,N/A_NO_SCRIPTED_CONSCRIPTS,2,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,NO,0
DAH,FIRST_SCRIPTED_LAND_FORMATION,STATE_DAHOMEY,combat_unit_type_irregular_infantry,5,4,5,4,NONE,YES,YES,0
DAI,NONE,STATE_ANNAM,N/A_NO_SCRIPTED_CONSCRIPTS,25,24,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DAI,NONE,STATE_LAOS,N/A_NO_SCRIPTED_CONSCRIPTS,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
DAI,NONE,STATE_MEKONG,N/A_NO_SCRIPTED_CONSCRIPTS,19,18,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DAI,NONE,STATE_TONKIN,N/A_NO_SCRIPTED_CONSCRIPTS,24,23,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CAPE_COLONY,combat_unit_type_irregular_infantry,5,4,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CELEBES,combat_unit_type_irregular_infantry,1,0,0,0,ZERO_EFFECTIVE_CAP,N/A,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CENTRAL_JAVA,combat_unit_type_irregular_infantry,22,21,0,18,NONE,YES,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_CEYLON,combat_unit_type_irregular_infantry,13,12,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_EASTERN_CAPE,combat_unit_type_irregular_infantry,2,1,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_EAST_JAVA,combat_unit_type_irregular_infantry,22,21,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_MOLUCCAS,combat_unit_type_irregular_infantry,3,2,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
DEI,FIRST_SCRIPTED_LAND_FORMATION,STATE_SUNDA_ISLANDS,combat_unit_type_irregular_infantry,8,7,0,0,CAPACITY_NOT_NEEDED_FOR_FINAL_TARGET,N/A,YES,0
