tag,country_name,state,direct_owner,incorporated_if_required,conscription_eligible,target_conscript_units,infantry,cavalry,artillery,other,formation,service_type,historical_role,mechanism,static_result,notes
AUS,Austria,STATE_MORAVIA,YES,YES,YES,5,5,0,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_SLAVONIA,YES,YES,YES,1,0,0,1,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_SLOVENIA,YES,YES,YES,1,1,0,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_STYRIA,YES,YES,YES,2,2,0,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_TYROL,YES,YES,YES,1,0,1,0,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AUS,Austria,STATE_UPPER_SILESIA,YES,YES,YES,1,0,0,1,0,cleanup2d3b_aus_land_3,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
AWA,Awadh,STATE_AWADH,YES,YES,YES,7,6,1,0,0,OudhRoyalArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
BAD,Baden,STATE_BADEN,YES,YES,YES,3,3,0,0,0,Groherzoglich_Badische_Armee,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
BAL,Bali,STATE_SUNDA_ISLANDS,YES,YES,YES,5,5,0,0,0,cleanup2d3b_bal_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BAV,Bavaria,STATE_BAVARIA,YES,YES,YES,2,2,0,0,0,I_ArmeeKorps,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
BAV,Bavaria,STATE_FRANCONIA,YES,YES,YES,2,2,0,0,0,I_ArmeeKorps,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE
BEN,Benin,STATE_BENIN,YES,YES,YES,11,11,0,0,0,cleanup2d3b_ben_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BHV,Bhavnagar,STATE_GUJARAT,YES,YES,YES,4,4,0,0,0,BhavnagarArmy,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BIC,East India,STATE_AWADH,YES,YES,YES,3,1,1,1,0,cleanup2d3b_bic_land_2,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT
BIC,East India,STATE_BIHAR,YES,YES,YES,10,10,0,0,0,cleanup2d3b_bic_land_2,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT
BIC,East India,STATE_CIRCARS,YES,YES,YES,2,0,1,1,0,cleanup2d3b_bic_land_2,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT
BIC,East India,STATE_EAST_BENGAL,YES,YES,YES,16,16,0,0,0,cleanup2d3b_bic_land_2,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT
BIC,East India,STATE_WEST_BENGAL,YES,YES,YES,14,14,0,0,0,cleanup2d3b_bic_land_2,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT
BNJ,Banjar,STATE_EAST_BORNEO,YES,YES,YES,1,1,0,0,0,cleanup2d3b_bnj_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BNY,Bunyoro,STATE_UGANDA,YES,YES,YES,1,1,0,0,0,cleanup2d3b_bny_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BOR,Bornu,STATE_BORNU,YES,YES,YES,3,3,0,0,0,cleanup2d3b_bor_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BRD,Burundi,STATE_TANGANYIKA,YES,YES,YES,2,2,0,0,0,cleanup2d3b_brd_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BRG,Borgu,STATE_DAHOMEY,YES,YES,YES,1,1,0,0,0,cleanup2d3b_brg_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BRU,Brunei,STATE_NORTH_BORNEO,YES,YES,YES,1,1,0,0,0,cleanup2d3b_bru_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BST,Basutoland,STATE_ZULULAND,YES,YES,YES,1,1,0,0,0,cleanup2d3b_bst_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUG,Buganda,STATE_UGANDA,YES,YES,YES,4,4,0,0,0,cleanup2d3b_bug_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUK,Bukhara,STATE_TAJIKISTAN,YES,YES,YES,2,2,0,0,0,cleanup2d3b_buk_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUK,Bukhara,STATE_UZBEKIA,YES,YES,YES,6,6,0,0,0,cleanup2d3b_buk_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUR,Burma,STATE_KACHIN,YES,YES,YES,5,5,0,0,0,tatmadaw,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUR,Burma,STATE_MANDALAY,YES,YES,YES,8,8,0,0,0,tatmadaw,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUR,Burma,STATE_PEGU,YES,YES,YES,10,10,0,0,0,tatmadaw,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUR,Burma,STATE_SHAN_STATES,YES,YES,YES,3,3,0,0,0,tatmadaw,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
BUR,Burma,STATE_TENASSERIM,YES,YES,YES,3,3,0,0,0,tatmadaw,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CAM,Cambodia,STATE_CAMBODIA,YES,YES,YES,4,4,0,0,0,cleanup2d3b_cam_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHC,Chechnya,STATE_DAGESTAN,YES,YES,YES,1,1,0,0,0,Murtazeki,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL; unsupported unit groups shifted to infantry.
CHI,China,STATE_BEIJING,YES,YES,YES,4,4,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_CHONGQING,YES,YES,YES,4,4,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_EASTERN_HUBEI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_FORMOSA,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_FUJIAN,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_GANSU,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_GUANGDONG,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_GUANGXI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_GUIZHOU,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_HENAN,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_HINGGAN,YES,NO_NOT_REQUIRED,YES,2,2,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_HUNAN,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_JIANGSU,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_JIANGXI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_NANJING,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_NINGXIA,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_NORTHERN_ANHUI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_NORTHERN_MANCHURIA,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_QINGHAI,YES,NO_NOT_REQUIRED,YES,1,1,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SHANDONG,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SHANXI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SHAOZHOU,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SHENGJING,YES,YES,YES,4,4,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SICHUAN,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SOUTHERN_ANHUI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SOUTHERN_MANCHURIA,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_SUZHOU,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_WESTERN_HUBEI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_XIAN,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_YUNNAN,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_ZHEJIANG,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CHI,China,STATE_ZHILI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_chi_land_1,conscript,QING_LOCAL_SURGE,NATIVE_CONSCRIPT_UNIT,PASS,QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CIR,Circassia,STATE_KUBAN,YES,YES,YES,3,3,0,0,0,CIR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
CMI,Chiang Mai,STATE_CHIANG_MAI,YES,YES,YES,5,5,0,0,0,cleanup2d3b_cmi_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
CON,Constantine,STATE_CONSTANTINE,YES,YES,YES,4,4,0,0,0,cleanup2d3b_con_land_1,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
CRI,Crimea,STATE_BESSARABIA,YES,YES,YES,3,3,0,0,0,CRI_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
CRI,Crimea,STATE_CHERSON,YES,YES,YES,6,6,0,0,0,CRI_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
CRI,Crimea,STATE_CRIMEA,YES,YES,YES,1,1,0,0,0,CRI_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
CRI,Crimea,STATE_TAURIDA,YES,YES,YES,9,9,0,0,0,CRI_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DAH,Dahomey,STATE_DAHOMEY,YES,YES,YES,2,2,0,0,0,cleanup2d3b_dah_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
DEI,East Indies,STATE_CAPE_COLONY,YES,YES,YES,1,1,0,0,0,Koninklijk_Nederlandsch_Indisch_Leger,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT evidence retained; law_peasant_levies permits infantry-group conscripts only.
DEI,East Indies,STATE_CENTRAL_JAVA,YES,YES,YES,4,4,0,0,0,Koninklijk_Nederlandsch_Indisch_Leger,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT evidence retained; law_peasant_levies permits infantry-group conscripts only.
DEI,East Indies,STATE_CEYLON,YES,YES,YES,3,3,0,0,0,Koninklijk_Nederlandsch_Indisch_Leger,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT evidence retained; law_peasant_levies permits infantry-group conscripts only.
DEI,East Indies,STATE_EAST_JAVA,YES,YES,YES,4,4,0,0,0,Koninklijk_Nederlandsch_Indisch_Leger,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT evidence retained; law_peasant_levies permits infantry-group conscripts only.
DEI,East Indies,STATE_SUNDA_ISLANDS,YES,YES,YES,2,2,0,0,0,Koninklijk_Nederlandsch_Indisch_Leger,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT evidence retained; law_peasant_levies permits infantry-group conscripts only.
DEI,East Indies,STATE_WEST_JAVA,YES,NO_NOT_REQUIRED,YES,4,4,0,0,0,Koninklijk_Nederlandsch_Indisch_Leger,conscript,COMPANY_RECRUITMENT,NATIVE_CONSCRIPT_UNIT,PASS,COMPANY_RECRUITMENT evidence retained; law_peasant_levies permits infantry-group conscripts only.
DFR,Darfur,STATE_DARFUR,YES,YES,YES,1,1,0,0,0,cleanup2d3b_dfr_land_1,conscript,EUROPEAN_MILITIA_RESERVE,NATIVE_CONSCRIPT_UNIT,PASS,EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_BALKH,YES,YES,YES,1,1,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_BALUCHISTAN,YES,YES,YES,6,6,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_CENTRAL_HIGHLANDS,YES,YES,YES,1,1,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_HERAT,YES,YES,YES,5,5,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_HILL_PUNJAB,YES,YES,YES,14,14,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
DUR,Afghanistan,STATE_KABUL,YES,YES,YES,6,6,0,0,0,DUR_existing_army,conscript,CENTRAL_ASIAN_TRIBAL,NATIVE_CONSCRIPT_UNIT,PASS,CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.
