tag,country_name,standing_regular_units_3b,target_mobilization_capacity_2d2,historical_mobilization_type,mobilization_model,army_model_law,native_conscription_limit,target_fits_native_limit,implementation_mechanism,conscript_infantry,conscript_cavalry,conscript_artillery,conscript_other,total_conscript_capacity,target_delta,formations_used,new_reserve_formation_created,structural_defer,structural_action,law_limited,law_limit_shortfall,modeled_from_qualitative_evidence,peacetime_cost_expected,budget_risk,static_result,confidence,notes
BHU,Bhutan,1,2,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,0,NO,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,-2,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BHV,Bhavnagar,3,4,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,25,YES,NATIVE_CONSCRIPT_UNITS,4,0,0,0,4,0,BhavnagarArmy,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=NONE; no temporary modifier applied.
BIC,East India,55,45,LOCALLY_RAISED_AUXILIARIES,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,143,YES,NATIVE_CONSCRIPT_UNITS,41,2,2,0,45,0,cleanup2d3b_bic_land_2,NO,NO,NOT_APPLICABLE,NO,0,NO,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=COMPANY_RECRUITMENT; shortfall_reason=NONE; no temporary modifier applied.
BLG,Bulungan,1,2,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,0,NO,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,-2,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
BNJ,Banjar,2,4,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-3,cleanup2d3b_bnj_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
BNY,Bunyoro,1,3,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-2,cleanup2d3b_bny_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BOR,Bornu,6,18,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,3,NO,NATIVE_CONSCRIPT_UNITS,3,0,0,0,3,-15,cleanup2d3b_bor_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
BRA,Brunswick,0,0,MILITIA_RESERVE,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,0,YES,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,0,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.; shortfall_reason=NONE; no temporary modifier applied.
BRD,Burundi,2,6,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,2,NO,NATIVE_CONSCRIPT_UNITS,2,0,0,0,2,-4,cleanup2d3b_brd_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BRE,Bremen,1,0,MILITIA_RESERVE,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,0,YES,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,0,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.; shortfall_reason=NONE; no temporary modifier applied.
BRG,Borgu,1,3,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-2,cleanup2d3b_brg_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BRU,Brunei,1,2,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-1,cleanup2d3b_bru_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BRZ,Brazil,4,0,MILITIA_LEVY_OR_LOCAL_OBLIGATION,ALLOCATE_FROM_OVERLORD_POOL,law_professional_army,4,NO,STRUCTURAL_DEFER_UNCHANGED,0,0,0,0,0,0,,NO,YES,UNCHANGED,NO,0,NO,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.; shortfall_reason=NONE; no temporary modifier applied.
BST,Basutoland,2,6,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-5,cleanup2d3b_bst_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
BTN,Buton,1,2,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,0,NO,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,-2,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
BUG,Buganda,4,12,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,4,NO,NATIVE_CONSCRIPT_UNITS,4,0,0,0,4,-8,cleanup2d3b_bug_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BUK,Bukhara,8,24,TRIBAL_CONFEDERAL_LEVY,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,8,NO,NATIVE_CONSCRIPT_UNITS,8,0,0,0,8,-16,cleanup2d3b_buk_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BUR,Burma,30,60,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,29,NO,NATIVE_CONSCRIPT_UNITS,29,0,0,0,29,-31,tatmadaw,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
CAM,Cambodia,6,12,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,4,NO,NATIVE_CONSCRIPT_UNITS,4,0,0,0,4,-8,cleanup2d3b_cam_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
CHC,Chechnya,8,24,TRIBAL_CONFEDERAL_LEVY,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_national_militia,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-23,Murtazeki,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=CENTRAL_ASIAN_TRIBAL; unsupported unit groups shifted to infantry.; shortfall_reason=POPULATION; no temporary modifier applied.
CHI,China,290,150,PROVINCIAL_GARRISON_AND_BANNER_SURGE,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,766,YES,NATIVE_CONSCRIPT_UNITS,150,0,0,0,150,0,cleanup2d3b_chi_land_1,NO,NO,NOT_APPLICABLE,NO,0,NO,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=QING_LOCAL_SURGE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=NONE; no temporary modifier applied.
CHP,Champasak,1,2,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,0,NO,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,-2,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
CIR,Circassia,14,42,TRIBAL_CONFEDERAL_LEVY,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,3,NO,NATIVE_CONSCRIPT_UNITS,3,0,0,0,3,-39,CIR_existing_army,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
CMI,Chiang Mai,4,8,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,5,NO,NATIVE_CONSCRIPT_UNITS,5,0,0,0,5,-3,cleanup2d3b_cmi_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
COB,Saxe-Coburg-Gotha,1,0,MILITIA_RESERVE,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,0,YES,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,0,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.; shortfall_reason=NONE; no temporary modifier applied.
COC,Cochin,2,3,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,0,NO,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,-3,,NO,NO,NOT_APPLICABLE,YES,3,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.; shortfall_reason=LAW; no temporary modifier applied.
