"section","key","fork_value_before","reference_value","final_value","classification","action","scenario_required","military_related","evidence","notes"
"NBattle","PRIORITY_SHIPS_EXPOSED_THRESHOLD","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","RAIDING_SHIP_WITHDRAW_DESIRE_MULT_PRIORITY_SHIPS_EXPOSED","","0.25","0.25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SCREENING_SHIP_WITHDRAW_DESIRE_MULT_PRIORITY_SHIPS_EXPOSED","","-0.2","-0.2","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_ATTACK_ACCURACY_SPEED_RATIO","","5","5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_ATTACK_BASE_MISS_CHANCE","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_ATTACK_MAX_MISS_CHANCE","","0.9","0.9","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_ATTACK_MIN_MISS_CHANCE","","0.05","0.05","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_ATTACK_MISS_PER_SPEED","","0.03","0.03","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_ATTACK_VISIBILITY_DIVISOR","","15","15","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_BATTLE_DAYS_BETWEEN_UPDATES","","5","5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_BATTLE_DESTROYED_SHIP_RATIO_RESIGN_THRESHOLD","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_DEFAULT_READINESS_GAIN","","10","10","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_INITIAL_READINESS","","0.0","0.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_LIGHT_DAMAGE","","0.8","0.8","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_MODERATE_DAMAGE","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_REQUIRED_READINESS_TO_ACT","","100.0","100.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_SEVERE_DAMAGE","","0.25","0.25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_BASE_CHANCE","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_DESIRE_HIGH_ZERO_DAMAGE_HIT_RATIO","","0.1","0.1","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_DESIRE_LIGHT_DAMAGE","","0.05","0.05","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_DESIRE_MODERATE_DAMAGE","","0.20","0.20","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_DESIRE_OVERWHELMING_ODDS_BASE","","0.1","0.1","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_DESIRE_OVERWHELMING_ODDS_MAX","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_DESIRE_SEVERE_DAMAGE","","0.80","0.80","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SHIP_WITHDRAW_SPEED_FACTOR","","1.0","1.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","SUPPLY_SHIP_WITHDRAW_CHANCE_MULT","","0.1","0.1","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NBattle","ZERO_DAMAGE_HIT_RATIO_THRESHOLD","","0.5","0.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","CHARACTER_HOME_STATE_CAPITAL_WEIGHT","","10.0","10.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","CHARACTER_HOME_STATE_HOMELAND_MIN_WEIGHT","","1000","1000","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","CHARACTER_HOME_STATE_TRY_EXCLUDE_STATE_WEIGHT","","0.001","0.001","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","CHARACTER_TEMPLATE_CULTURE_ACCEPTED_THRESHOLD","","60","60","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","CHARACTER_TEMPLATE_RELIGION_ACCEPTED_THRESHOLD","","15","15","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","CHILD_TRAIT","","""trait_child""","""trait_child""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","DEFAULT_CHARACTER_ROLE","","""character_role_politician""","""character_role_politician""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","DEFAULT_TITLE_PREPOSITION","","""PREP_IN""","""PREP_IN""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","HISTORICAL_CAREER_LENGTH_MULT","","1.5","1.5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","HISTORICAL_CHARACTER_IDEOLOGY_LEADER_FACTOR","","2.0","2.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","HISTORICAL_USAGE_CHANCE_MULT","","2","2","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","HOLDING_REVENUE_SCALING_GDP_DIVISOR","","1250","1250","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","HOLDING_REVENUE_SCALING_MAX","","1.0","1.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","HOLDING_REVENUE_SCALING_MIN","","0.2","0.2","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","HOLDING_TYPE_RANDOM_FACTOR","","1.0","1.0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","INTERACTION_INVITE_EXILE","","""invite_exile""","""invite_exile""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FAITHFUL_THRESHOLD","","100","100","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FROM_IDEOLOGY_ENACTED","","25","25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FROM_IDEOLOGY_ENACTING","","25","25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FROM_IDEOLOGY_MAX","","50","50","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FROM_IDEOLOGY_MIN","","-50","-50","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FROM_IG_APPROVAL","","5","5","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FROM_IG_APPROVAL_MAX","","50","50","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_FROM_IG_APPROVAL_MIN","","-50","-50","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_NEUTRAL_THRESHOLD","","50","50","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_RELIABLE_THRESHOLD","","75","75","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","LOYALTY_UNCERTAIN_THRESHOLD","","25","25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","MAX_LOYALTY","","100","100","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","MAX_POPULARITY","","100","100","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","MAX_PROMINENCE","","100","100","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","MIN_POPULARITY","","-100","-100","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","MIN_YEARS_OF_SERVICE_FOR_COMMANDER_IG_LEADER","10","5","5","STALE_VANILLA_VALUE","REPLACE_WITH_REFERENCE","NO","YES","Value differs from canonical 1.13.9; no post-import intentional edit or scenario dependency exists.",""
"NCharacters","PROMINENCE_EMINENT_THRESHOLD","","75","75","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","PROMINENCE_FROM_POPULARITY","","0.25","0.25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","PROMINENCE_IG_MIN_MULTIPLIER","","0.05","0.05","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","PROMINENCE_IMPORTANT_THRESHOLD","","50","50","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","PROMINENCE_NOTEWORTHY_THRESHOLD","","10","10","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","PROMINENCE_PREEMINENT_THRESHOLD","","100","100","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","PROMINENCE_SIGNIFICANT_THRESHOLD","","25","25","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","RECRUIT_COMMANDER_POOL_SIZE","5","3","3","STALE_VANILLA_VALUE","REPLACE_WITH_REFERENCE","NO","YES","Value differs from canonical 1.13.9; no post-import intentional edit or scenario dependency exists.",""
"NCharacters","ROLE_HEIR","","""character_role_heir""","""character_role_heir""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","ROLE_IG_LEADER","","""character_role_ig_leader""","""character_role_ig_leader""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","ROLE_RULER","","""character_role_ruler""","""character_role_ruler""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","TARGET_NUM_POOL_POLITICIANS_INFLUENTIAL_IG","","2","2","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","TARGET_NUM_POOL_POLITICIANS_MARGINAL_IG","","0","0","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCharacters","TARGET_NUM_POOL_POLITICIANS_POWERFUL_IG","","3","3","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCountry","COMPANY_FALLBACK_COUNTRY_TYPE","","""colonial""","""colonial""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCountry","LAND_LOGISTICS_CENTER_BUILDING","","""building_army_logistics_center""","""building_army_logistics_center""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCountry","NAVAL_ADMINISTRATION_BUILDING","","""building_naval_administration""","""building_naval_administration""","RENAMED_KEY","ADD_REFERENCE_RENAMED_KEY","NO","YES","Canonical 1.13.9 define uses the paired The Great Wave key.","paired_with=NCountry|NAVAL_BASE_BUILDING"
"NCountry","NAVAL_BASE_BUILDING","""building_naval_base""","","","RENAMED_KEY","REMOVE_RENAMED_SOURCE_KEY","NO","YES","Canonical 1.13.9 define uses the paired The Great Wave key.","paired_with=NCountry|NAVAL_ADMINISTRATION_BUILDING"
"NCountry","NAVAL_FORTIFICATION_BUILDING","","""building_naval_fortification""","""building_naval_fortification""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NCountry","NAVAL_LOGISTICS_CENTER_BUILDING","","""building_naval_logistics_center""","""building_naval_logistics_center""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","CULTURAL_MINORITY_MOVEMENT_TYPE","","""movement_cultural_minority""","""movement_cultural_minority""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","DIPLOMATIC_CATALYST_TYPE_STRAIT_CLOSED","","""catalyst_strait_closed""","""catalyst_strait_closed""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","DIPLOMATIC_CATALYST_TYPE_STRAIT_NO_MILITARY","","""catalyst_strait_no_military""","""catalyst_strait_no_military""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","DIPLOMATIC_CATALYST_TYPE_STRAIT_OPENED","","""catalyst_strait_opened""","""catalyst_strait_opened""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","DIPLOMATIC_CATALYST_TYPE_STRAIT_PARTIALLY_OPENED","","""catalyst_strait_partially_opened""","""catalyst_strait_partially_opened""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","DIPLOMATIC_CATALYST_TYPE_STRAIT_TOLL_HIGH","","""catalyst_strait_toll_high""","""catalyst_strait_toll_high""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","DIPLOMATIC_CATALYST_TYPE_STRAIT_TOLL_REDUCED","","""catalyst_strait_toll_reduced""","""catalyst_strait_toll_reduced""","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_ARMY_INVOLVEMENT_CAP","","5000","5000","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_ARMY_TARGET_INVOLVEMENT","","0.33","0.33","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","YES","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_CAPITAL_NEIGHBOR_TARGET_INVOLVEMENT","","1500","1500","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_CAPITAL_TARGET_INVOLVEMENT","","2500","2500","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_CLAIM_LOCALITY_WEIGHT","","0.20","0.20","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_DECAY_SPEED","","20","20","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_GDP_TARGET_INVOLVEMENT","","2500","2500","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_GROWTH_RATIO","","0.02","0.02","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_MAX_INVOLVEMENT","","10000","10000","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_MIN_GROWTH","","10","10","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_MIN_INVOLVEMENT_RATIO","","0.1","0.1","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
"NDiplomacy","INTEREST_NAVY_INVOLVEMENT_CAP","","5000","5000","MISSING_REFERENCE_KEY","ADD_REFERENCE_KEY","NO","NO","Present in canonical 1.13.9 SHA256 398C364C... and absent from the imported fork copy.",""
