tag,country_name,current_v3_land_units,current_v3_land_manpower_equivalent,historical_standing_force_low,historical_standing_force_high,land_gap_direction,land_gap_severity,current_v3_naval_crew,historical_active_naval_personnel_low,historical_active_naval_personnel_high,naval_gap_direction,naval_gap_severity,current_frigate_units,historical_frigate_hulls,current_ship_of_the_line_units,historical_ship_of_the_line_hulls,structural_difference,conversion_warning,notes
BAD,Baden,10,10000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BAL,Bali,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BAV,Bavaria,30,30000,8000,8000,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
BEN,Benin,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BEO,Austrian Netherlands (BEO/Belgium),24,24000,,,UNKNOWN,MEDIUM,500,,,UNKNOWN,LOW,1,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
BGI,Bagirmi,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BHN,Bahrain,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BHU,Bhutan,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BHV,Bhavnagar,4,4000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BIC,East India,80,80000,,,NOT_DIRECTLY_COMPARABLE,HIGH,0,,,NOT_DIRECTLY_COMPARABLE,HIGH,0,,0,,Company Presidency armies and attached Crown troops must be separated.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_LOW_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
BLG,Bulungan,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BNJ,Banjar,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BNY,Bunyoro,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BOR,Bornu,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BRA,Brunswick,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BRD,Burundi,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BRE,Bremen,1,1000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BRG,Borgu,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BRU,Brunei,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BRZ,Brazil,4,4000,,,UNKNOWN,MEDIUM,4800,,,UNKNOWN,LOW,8,,1,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
BST,Basutoland,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BTN,Buton,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BUG,Buganda,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BUK,Bukhara,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
BUR,Burma,34,34000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CAM,Cambodia,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CHC,Chechnya,10,10000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CHI,China,485,485000,,,NOT_DIRECTLY_COMPARABLE,HIGH,7500,,,UNKNOWN,LOW,15,,0,,Qing establishment is dispersed between Banners and Green Standard; administrative headcount is not deployable field strength.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
CHP,Champasak,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CIR,Circassia,18,18000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CMI,Chiang Mai,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
COB,Saxe-Coburg-Gotha,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
COC,Cochin,2,2000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CON,Constantine,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
COO,Cooch Behar,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CRI,Crimea,13,13000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
CUB,Cuba,11,11000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
DAH,Dahomey,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
DAI,Dai Nam,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
DEI,East Indies,20,20000,,,UNKNOWN,LOW,500,,,NOT_DIRECTLY_COMPARABLE,HIGH,1,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
DENNOR,Denmark-Norway,18,18000,,,UNKNOWN,LOW,8800,,,NOT_DIRECTLY_COMPARABLE,MEDIUM,8,,6,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
DFR,Darfur,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
DUR,Afghanistan,76,76000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
ETH,Ethiopia,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
EZO,Ezochi,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
FRA,France,187,187000,150000,180000,ROUGHLY_COMPARABLE,LOW,45100,,,CURRENT_TOO_HIGH,MEDIUM,47,,27,23 SOL in condition; frigate count unresolved,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_MEDIUM_CONFIDENCE; naval research status=QUANTITATIVE_HIGH_CONFIDENCE.
FRM,Frankfurt,1,1000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
FTJ,Futa Jallon,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
FTR,Futa Toro,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
GAL,Galicia-Lodomeria,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
GAR,Garhwal,3,3000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
GBR,Great Britain,121,121000,48000,50000,CURRENT_TOO_HIGH,HIGH,123800,,,NOT_DIRECTLY_COMPARABLE,HIGH,110,,86,82 SOL ready/at sea; ~270 warships total,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUANTITATIVE_HIGH_CONFIDENCE.
GEN,Most Serene Republic of Genoa,2,2000,,,UNKNOWN,LOW,2500,,,UNKNOWN,LOW,5,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
GLD,Geledi,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
GR3,Sicily,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
GR5,Santo Domingo,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
GWA,Gwalior,43,43000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HAI,Haiti,20,20000,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
HAM,Hamburg,1,1000,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HAN,Hanover,18,18000,21000,21000,UNKNOWN,LOW,500,,,UNKNOWN,LOW,1,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUANTITATIVE_HIGH_CONFIDENCE; naval research status=QUALITATIVE_ONLY.
HAU,Gobir,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HAW,Hawaii,0,0,,,UNKNOWN,MEDIUM,0,,,UNKNOWN,LOW,0,,0,,Historical polity/imperial dependency does not map cleanly to an independent 1776 national force.,Resolve the 1776 polity/imperial mapping before any numeric conversion; do not create an independent national military from this tag.,Land research status=STRUCTURAL_DEFER; naval research status=STRUCTURAL_DEFER.
HBC,Hudson's Bay Company,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
HDJ,Hedjaz,0,0,,,UNKNOWN,LOW,0,,,UNKNOWN,LOW,0,,0,,No major structural distinction established beyond the 2D-0 baseline.,"Do not convert historical headcounts/hulls 1:1 into V3 units. Apply 2D-0 manpower constants, readiness, role, dispersion and mobilization separation in 2D-2.",Land research status=QUALITATIVE_ONLY; naval research status=QUALITATIVE_ONLY.
