nav_record_id,tag,country_name,formation,source_file,hq_region,ship_count,research_batch,source_packet,source_decision,final_candidate,mapping_type,final_decision,arbitration_note,current_admiral_count,current_admiral_note,final_rank,guaranteed_command_limit,rank_capacity_decision
NAV1776-020,SAR,Sardinia-Piedmont,Marina_del_Regno_di_Sardegna,00_military_formations_europe.txt,region_southern_europe,5,2D-6D,2D-6D,ADD_HISTORICAL_STARTING_ADMIRAL,Francesco Maria De Nobili,,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-021,PAP,Papal States,Marina_Pontificia,00_military_formations_europe.txt,region_southern_europe,1,2D-6D,2D-6D,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-022,TUS,Tuscany,Marina_del_Granducato_di_Toscana,00_military_formations_europe.txt,region_southern_europe,1,2D-6D,2D-6D,ADD_HISTORICAL_STARTING_ADMIRAL,John Francis Edward Acton,,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-023,NET,Netherlands,cleanup2d3b_net_naval_2,00_military_formations_europe.txt,region_western_europe,5,2D-6B,2D-6B,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,Andries Hartsinck,SQUADRON_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-024,NET,Netherlands,cleanup2d3b_net_naval_1,00_military_formations_europe.txt,region_western_europe,9,2D-6B,2D-6B,COLLECTIVE_COMMAND_NO_SINGLE_ADMIRAL,,COLLECTIVE_NAVAL_COMMAND,COLLECTIVE_COMMAND_NO_SINGLE_ADMIRAL,,0,0,NO_COMMANDER,20,COLLECTIVE_COMMAND_NO_SINGLE_ADMIRAL
NAV1776-025,POR,Portugal,cleanup2d3b_por_naval_2,00_military_formations_europe.txt,region_southern_europe,4,2D-6B,2D-6B,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,Roberto Macdouall,SQUADRON_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-026,POR,Portugal,cleanup2d3b_por_naval_1,00_military_formations_europe.txt,region_southern_europe,8,2D-6B,2D-6B,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-027,SPA,Spain,cleanup2d3b_spa_naval_3,00_military_formations_europe.txt,region_central_america,13,2D-6B,2D-6B,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,Juan Bautista Bonet Arniaud,STATION_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,2D-6E independently reaches same American-station candidate under variant Bonet y Arnau,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-028,SPA,Spain,cleanup2d3b_spa_naval_1,00_military_formations_europe.txt,region_southern_europe,17,2D-6B,2D-6B,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,REMOVE existing unnamed procedural Spanish admiral and its transfer; do not preserve it merely because capacity is sufficient,1,1,NO_COMMANDER,20,FINAL HISTORICAL DECISION OVERRIDES capacity-only KEEP_CURRENT_RANK; no-commander fallback 20 covers 17 ships
NAV1776-029,SPA,Spain,cleanup2d3b_spa_naval_2,00_military_formations_europe.txt,region_southern_europe,10,2D-6B,2D-6B,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,REMOVE existing unnamed procedural Spanish admiral and its transfer,1,1,NO_COMMANDER,20,FINAL HISTORICAL DECISION OVERRIDES capacity-only KEEP_CURRENT_RANK; no-commander fallback 20 covers 10 ships
NAV1776-030,USA,United States / United Colonies abstraction,cleanup2d3b_usa_naval_1,01_military_formations_north_america.txt,region_atlantic_coast,5,2D-6E,2D-6E,ASSIGN_FIXED_STARTING_ADMIRAL,Esek Hopkins,,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-031,BRZ,Brazil abstraction,Armada_Nacional,02_military_formations_south_america.txt,region_brazil,9,2D-6E,2D-6E,DEFER_STRUCTURE_REWORK,Robert MacDouall,,DEFER_STRUCTURE_REWORK,Do not attach Portuguese Robert MacDouall to current anachronistic BRZ object; leave without fixed admiral,0,0,NO_COMMANDER,20,DEFER_STRUCTURE_REWORK
NAV1776-032,SC4,Río de la Plata abstraction,Armada_Argentina,02_military_formations_south_america.txt,region_la_plata,1,2D-6E,2D-6E,DEFER_STRUCTURE_REWORK,Juan Antonio Camino,,DEFER_STRUCTURE_REWORK,Do not attach Spanish Juan Antonio Camino to current anachronistic SC4 national object; leave without fixed admiral,0,0,NO_COMMANDER,20,DEFER_STRUCTURE_REWORK
NAV1776-033,TUN,Tunis,Bahriat_alTuwnusia,03_military_formations_north_africa.txt,region_north_africa,1,2D-6F,2D-6F,NO_SECURE_NAMED_CANDIDATE,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,"2D-6F found no secure named candidate at cutoff; current canonical parse has no admiral, so do not invent a procedural fixed admiral",0,0,NO_COMMANDER,20,No-commander fallback 20 is sufficient
NAV1776-034,TRI,Tripolitania,Escadre_de_Tripoli,03_military_formations_north_africa.txt,region_north_africa,1,2D-6F,2D-6F,NO_SECURE_NAMED_CANDIDATE,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,"2D-6F found no secure named candidate at cutoff; current canonical parse has no admiral, so do not invent a procedural fixed admiral",0,0,NO_COMMANDER,20,No-commander fallback 20 is sufficient
NAV1776-035,TUR,Ottoman Empire,Donanmay_Humyn,04_military_formations_middle_east.txt,region_balkans,9,2D-6F,2D-6F,APPROVE_HISTORICAL_COMMANDER,Cezayirli Gazi Hasan Paşa,KAPTAN_I_DERYA / HIGHER_NAVAL_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-036,OMA,Oman,Bahriat_alMasqat,04_military_formations_middle_east.txt,region_arabia,8,2D-6F,2D-6F,APPROVE_WITH_ROLE_ABSTRACTION,Hilāl ibn Aḥmad ibn Saʿīd al-Būsaʿīdī,REGIONAL_MARITIME_COMMAND,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,"Use V3 admiral mechanically, but preserve historical regional-maritime-command description",0,0,commander_rank_1,20,CREATE_NAMED_ADMIRAL_AT_SMALLEST_SUFFICIENT_RANK
NAV1776-037,MARATH,Maratha Confederacy,Konkan_Flotilla,05_military_formations_india.txt,region_south_india,2,2D-6G,2D-6K override for 2D-6G,REBUILD_EXISTING_HISTORICAL_ADMIRAL,Anandrao Dhulap,HIGHER_NAVAL_COMMAND_ABSTRACTION,REBUILD_EXISTING_HISTORICAL_ADMIRAL,Reuse/rebuild MARATH_anandrao_dhulap exactly once; do not clone; birth and birthplace remain unknown,1,1,commander_rank_1,20,KEEP_CURRENT_RANK_CAPACITY_WHILE_REBUILDING_BIOGRAPHY
NAV1776-038,TRA,Travancore,TravancoreNavy,05_military_formations_india.txt,region_south_india,1,2D-6G,2D-6G,KEEP_NO_FIXED_STARTING_ADMIRAL,,NO_DEFENSIBLE_MAPPING,KEEP_NO_FIXED_STARTING_ADMIRAL,Eustachius de Lannoy remains land commander; do not convert him to admiral,0,0,NO_COMMANDER,20,KEEP_NO_FIXED_STARTING_ADMIRAL
NAV1776-039,CHI,Qing China,cleanup2d3b_chi_naval_1,06_military_formations_asia.txt,region_north_china,4,2D-6H,2D-6H,HIGHER_NAVAL_COMMAND_ABSTRACTION,Li Fengyao,HIGHER_NAVAL_COMMAND_ABSTRACTION,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,REMOVE/replace current Tianpei Guan; Guan Tianpei was born in 1781 and is impossible at 1776 start,1,1,commander_rank_1,20,REPLACE_ANACHRONISTIC_IDENTITY_WITH_NAMED_HIGHER_COMMAND_ABSTRACTION
NAV1776-040,CHI,Qing China,cleanup2d3b_chi_naval_2,06_military_formations_asia.txt,region_south_china,4,2D-6H,2D-6H,HIGHER_NAVAL_COMMAND_ABSTRACTION,Zhang Shen,HIGHER_NAVAL_COMMAND_ABSTRACTION,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,REMOVE/replace current Huacheng Chen; 2D-6H rejects Chen Huacheng as anachronistic,1,1,commander_rank_1,20,REPLACE_ANACHRONISTIC_IDENTITY_WITH_NAMED_HIGHER_COMMAND_ABSTRACTION
NAV1776-041,DEI,Dutch East India Company / VOC,Koloniale_Marine,06_military_formations_asia.txt,region_indonesia,2,2D-6H,2D-6H,HIGHER_NAVAL_COMMAND_ABSTRACTION,Assuerus van den Bergh,HIGHER_NAVAL_COMMAND_ABSTRACTION,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,,0,0,commander_rank_1,20,CREATE_NAMED_HIGHER_COMMAND_ABSTRACTION_AT_SMALLEST_SUFFICIENT_RANK
