tag,country_name,region,total_registered_warships,commissioned_combat_warships,reserve_or_ordinary_warships,under_construction_warships,ships_of_the_line_total,ships_of_the_line_commissioned,frigates_total,frigates_commissioned,other_warships_total,other_warships_commissioned,total_naval_personnel,active_seagoing_personnel,typical_ship_of_the_line_crew,typical_frigate_crew,principal_bases,historical_squadrons,geographic_distribution,date_of_evidence,evidence_window,source_1,source_2,source_3,source_disagreement,recommended_historical_range,quantitative_confidence,organization_confidence,research_status,notes
BAD,Baden,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BAL,Bali,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
BAV,Bavaria,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BEN,Benin,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BEO,Austrian Netherlands (BEO/Belgium),Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,"Austrian Netherlands are Habsburg lands; military establishment belongs to the Habsburg monarchy, not an independent Belgian army."
BGI,Bagirmi,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BHN,Bahrain,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BHU,Bhutan,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BHV,Bhavnagar,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BIC,East India,South Asia,,"Company maritime assets and transports existed, but the 1776 tag's primary military power was the Presidency armies; Royal Navy assets must not be double-counted.",,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/journal-of-global-history/article/abs/hybrid-military-establishment-of-the-east-india-company-in-south-asia-17501849/5231F27DF10E4755D017A92704C08672,https://www.cambridge.org/core/journals/journal-of-british-studies/article/abs/recruitment-and-reform-in-the-east-india-company-army-17601800/917E89E800A905219FA8881EBCBF055F,,,QUALITATIVE_ONLY company maritime component; exclude Royal Navy double counting.,VERY_LOW,MEDIUM,QUALITATIVE_ONLY,Do not manufacture a sovereign East India Company battlefleet from British imperial naval totals.
BLG,Bulungan,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
BNJ,Banjar,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
BNY,Bunyoro,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BOR,Bornu,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BRA,Brunswick,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BRD,Burundi,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BRE,Bremen,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BRG,Borgu,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BRU,Brunei,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
BRZ,Brazil,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Brazil is Portuguese colonial territory; local garrisons/naval stations must be attributed within Portuguese imperial structure.
BST,Basutoland,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BTN,Buton,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
BUG,Buganda,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BUK,Bukhara,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
BUR,Burma,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
CAM,Cambodia,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
CHC,Chechnya,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
CHI,China,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,
CHP,Champasak,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
CIR,Circassia,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
CMI,Chiang Mai,Southeast Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,LOW,LOW,QUALITATIVE_ONLY,"No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review. Regional warfare included sea/river power, but European SOL/frigate categories may be inappropriate."
COB,Saxe-Coburg-Gotha,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
COC,Cochin,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
CON,Constantine,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
COO,Cooch Behar,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
CRI,Crimea,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
CUB,Cuba,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Cuba is Spanish imperial territory; local garrison/naval assets are not an independent sovereign force.
DAH,Dahomey,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
DAI,Dai Nam,Southeast Asia,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,The 1776 Vietnamese political-military landscape was divided; a single Dai Nam national force is structurally unsafe.
DEI,East Indies,Southeast Asia,,"VOC armed shipping and company military-maritime assets, not a sovereign national navy",,,,,,,,,Company-wide workforce included a large military share; not equivalent to ship crews alone,,,,,VOC commercial/military shipping tied to Batavia and regional stations,Indian Ocean / Indonesian archipelago / Cape / Asian routes,18th century,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/labouring-transformations-of-amphibious-monsters-exploring-early-modern-globalization-diversity-and-shifting-clusters-of-labour-relations-in-the-context-of-the-dutch-east-india-company-16001800/6D2A9DF44C70C44B1AA6BFB773AFF7E2,,,,STRUCTURAL COMPANY RECONSTRUCTION; do not copy Dutch state navy or count merchant hulls as V3 frigates/SOL.,VERY_LOW,MEDIUM,QUALITATIVE_ONLY,"Company warfare and government were real, but V3 fleet classes require a bespoke company abstraction."
DENNOR,Denmark-Norway,Europe,,,,,,,,,,,"national maritime labour pool about 40,000 (not naval payroll)",,,,Copenhagen; Norwegian maritime resources,Regional Baltic/North Sea fleet; conscription system could mobilize maritime labour,,late 18th-century structural evidence,Regional manpower system,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,https://tidsskrift.dk/historisktidsskrift/article/download/52833/70118?inline=1,,Seafaring labour pool cannot be treated as active navy personnel.,"QUALITATIVE_ONLY active fleet; preserve meaningful regional naval power without converting the 40,000 labour pool directly.",VERY_LOW,MEDIUM,QUALITATIVE_ONLY,Current 14 V3 ship units are plausible only as an abstraction pending ship-list evidence.
DFR,Darfur,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
DUR,Afghanistan,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
ETH,Ethiopia,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
EZO,Ezochi,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
FRA,France,Europe,,,,,,"23 ships of the line in condition on 1 Jan 1776 (derived from 37 on 1 Jan 1777, +14 year-on-year)",,At beginning of 1775 only about half a dozen frigates were at sea/fitting; 1776 count was rising but exact Jan figure not fixed.,,,,,,,Brest; Toulon; Rochefort,Peace establishment transitioning into rearmament,"Atlantic/Channel, Mediterranean, Caribbean/overseas responsibilities",1 Jan 1776 / 1775–77,Exact SOL condition point plus rearmament trajectory,https://www.jstor.org/stable/j.ctt13x0t7s,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,Condition/readiness is not identical to commissioned at sea; frigate readiness changed during rearmament.,"23 ready/in-condition SOL is the Jan-1776 anchor; frigates require conservative 2D-2 reconstruction, below later 1778 wartime scale.",HIGH,HIGH,QUANTITATIVE_HIGH_CONFIDENCE,"Current fork 27 V3 SOL is close to the readiness anchor in raw count, but V3 ship units are abstractions and current 47 frigates/crew capacity is likely too wartime-heavy for Jan 1776."
FRM,Frankfurt,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
FTJ,Futa Jallon,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
FTR,Futa Toro,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
GAL,Galicia-Lodomeria,Europe,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Galicia-Lodomeria is Habsburg territory; its troops belong to Habsburg establishment.
GAR,Garhwal,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
GBR,Great Britain,Europe,about 270 warships,,,,,82 at sea or in condition by June 1776,,,,,peacetime manpower below wartime maximum; exact Jan-1776 total not fixed here,,,,Portsmouth; Plymouth; Chatham; overseas stations,Home/Channel and overseas station system; North America rapidly reinforced,Global,1776,1776,https://www.history.navy.mil/content/history/nhhc/browse-by-topic/wars-conflicts-and-operations/american-revolution.html,https://www.jstor.org/stable/j.ctt13x0t7s,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,"~270 is total warship inventory; 82 SOL is readiness/condition, not total active hull count. Personnel pool is not navy payroll.",Use ~270 total-warship scale and 82 ready/at-sea SOL as separate constraints; do not convert all registered hulls to active V3 ships.,HIGH,HIGH,QUANTITATIVE_HIGH_CONFIDENCE,"Royal Navy remains the unique global first-rank benchmark. Current fork 196 V3 ship units/123,800 crew must be converted against active capacity, not inventory alone."
GEN,Most Serene Republic of Genoa,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,
GLD,Geledi,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
GR3,Sicily,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
GR5,Santo Domingo,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Saint-Domingue is a French colony; do not treat its garrisons/militia as an independent national army/navy.
GWA,Gwalior,South Asia,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
HAI,Haiti,Americas,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Independent Haiti does not exist in 1776; military forces belong to colonial Saint-Domingue structures.
HAM,Hamburg,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
HAN,Hanover,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,
HAU,Gobir,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
HAW,Hawaii,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,The fork tag does not map cleanly to an independent 1776 sovereign navy. Imperial/colonial/local vessels must be attributed before V3 conversion.
HBC,Hudson's Bay Company,Other / requires map review,,No evidence in this research pass for a first-rank state combat navy; company vessels/fort supply craft are not automatically V3 combat fleets.,,,,,,,,,,,,,,,,,,,,,,QUALITATIVE_ONLY; normally zero V3 battlefleet unless a specific armed-company flotilla is documented.,VERY_LOW,LOW,QUALITATIVE_ONLY,Keep corporate security/logistics distinct from Royal Navy.
HDJ,Hedjaz,Middle East / North Africa,,,,,,,,,,,,,,,,,,,,,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
HEK,Hesse-Kassel,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
HES,Hesse-Darmstadt,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
HOH,Hohenzollern,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
HOL,Holstein,Europe,,,,,,,,,,,,,,,,,,,,https://www.cambridge.org/core/journals/international-review-of-social-history/article/seamen-on-late-eighteenthcentury-european-warships/B9DD11186E6574618F424E02E5341146,,,,,LOW,LOW,QUALITATIVE_ONLY,No current V3 fleet. This research pass found no reason to invent a state battle fleet without polity-specific evidence; absence remains subject to 2D-2 map/structural review.
